wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1354669,15312097,settlement,"Rongshu Lang","Rongshu Lang",variant,22.228591,114.114204,HK-000,,
-1354667,15310599,settlement,榕树凹,榕树凹,unknown,22.544171,114.247536,HK-000,,
-1354675,15311220,hydrographic,太浪灣,太浪灣,unknown,22.400212,114.393347,HK-000,,
-1354683,-1950318,settlement,"Tsuen Wan","Tsuen Wan",official,22.371569,114.112103,HK-000,,
-1354666,15311221,settlement,榕樹凹,榕樹凹,unknown,22.42712,114.29312,HK-000,,
-1354665,-1950675,settlement,"Yung Long","Yung Long",variant,22.403153,113.915723,HK-000,,
-1354675,-2017514,hydrographic,"Tai Long Wan","Tai Long Wan",official,22.400212,114.393347,HK-000,,
-1354675,15319787,hydrographic,太浪湾,太浪湾,unknown,22.400212,114.393347,HK-000,,
-1354669,15312096,settlement,榕樹塱,榕樹塱,unknown,22.228591,114.114204,HK-000,,
-1354683,-1950328,settlement,"Tsun Wan","Tsun Wan",variant,22.371569,114.112103,HK-000,,
-1354683,-1950329,settlement,"Tsun Wan Wai","Tsun Wan Wai",variant,22.371569,114.112103,HK-000,,
-1354671,-1950681,settlement,"Yung Shue Wan","Yung Shue Wan",official,22.226233,114.112408,HK-000,,
-1354675,-1949957,hydrographic,"Tai Long Bay","Tai Long Bay",variant,22.400212,114.393347,HK-000,,
-1354667,15309891,settlement,榕樹凹,榕樹凹,unknown,22.544171,114.247536,HK-000,,
-1354683,15319785,settlement,荃湾,荃湾,unknown,22.371569,114.112103,HK-000,,
-1354675,-1948230,hydrographic,"Fung Bay","Fung Bay",variant,22.400212,114.393347,HK-000,,
-1354671,-1950684,settlement,"Yung Shu Wan","Yung Shu Wan",variant,22.226233,114.112408,HK-000,,
-1354668,15312101,settlement,榕树下,榕树下,unknown,22.199866,114.141233,HK-000,,
-1354671,15312090,settlement,榕樹灣,榕樹灣,unknown,22.226233,114.112408,HK-000,,
-1354670,-1950683,hydrographic,"Yung Shu Wan","Yung Shu Wan",variant,22.225564,114.109672,HK-000,,
-1354667,15310242,settlement,Rongshu’ao,Rongshu'ao,variant,22.544171,114.247536,HK-000,,
-1354670,15312094,hydrographic,"Rongshu Wan","Rongshu Wan",variant,22.225564,114.109672,HK-000,,
-1354683,-1948059,settlement,Ch’üan-wan,Ch'uan-wan,variant,22.371569,114.112103,HK-000,,
-1354670,15312093,hydrographic,榕樹灣,榕樹灣,unknown,22.225564,114.109672,HK-000,,
-1354666,15375641,settlement,Rongshu’ao,Rongshu'ao,variant,22.42712,114.29312,HK-000,,
-1354675,-1948201,hydrographic,Feng-wan,Feng-wan,variant,22.400212,114.393347,HK-000,,
