wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
13238196,16701145,hypsographic,"Cape Lambeth","Cape Lambeth",variant,-53.183333,73.6,HM-000,,
-1306199,-1889672,hypsographic,"South Barrier","South Barrier",official,-53.15,73.583333,HM-000,,
-1306131,-1889558,hypsographic,"Mount Andrée","Mount Andree",official,-53.033333,73.366667,HM-000,,
-1306185,-1889648,hypsographic,"Norwegian Rock","Norwegian Rock",official,-53.033333,73.316667,HM-000,,
-1306209,-1889687,hydrographic,"West Bay","West Bay",official,-53.033333,73.35,HM-000,,
-1306160,-1889600,hydrographic,"Gotley Glacier","Gotley Glacier",official,-53.166667,73.45,HM-000,,
-1306177,-1889631,hypsographic,"McDonalds Rocks","McDonalds Rocks",variant,-53.033333,72.6,HM-000,,
-1306154,-1889593,hypsographic,"Erractic Point","Erractic Point",official,-53.05,73.366667,HM-000,,
13238476,16701048,hypsographic,"Walsh Bluff","Walsh Bluff",official,-53.1,73.383333,HM-000,,
-1306196,-1889667,hypsographic,"Mount Separation","Mount Separation",official,-53.083333,73.55,HM-000,,
-1306149,-1889586,hypsographic,"Mount Dixon","Mount Dixon",official,-53,73.283333,HM-000,,
-1306138,-1889571,hypsographic,"Cape Bidlingmaier","Cape Bidlingmaier",official,-53.016667,73.533333,HM-000,,
-1306170,-1889620,hypsographic,"Little Matterhorn","Little Matterhorn",official,-53.066667,73.483333,HM-000,,
-1306162,-1889608,hypsographic,"Herd’s Island","Herd's Island",variant,-53.1,73.5,HM-000,,
-1306192,-1889665,hypsographic,Segel-Fels,Segel-Fels,variant,-52.9,73.566667,HM-000,,
-1306131,-1889579,hypsographic,"Cave Bay Hill","Cave Bay Hill",variant,-53.033333,73.366667,HM-000,,
-1306155,-1889602,hypsographic,"Hanchild Beach","Hanchild Beach",variant,-53.066667,73.65,HM-000,,
-1306211,-1889691,hydrographic,"Winston Lagoon","Winston Lagoon",official,-53.15,73.65,HM-000,,
-1306192,-1889662,hypsographic,"Sail Rock","Sail Rock",official,-52.9,73.566667,HM-000,,
-1306177,-1889630,hypsographic,"McDonald Islands","McDonald Islands",official,-53.033333,72.6,HM-000,,
-1306194,-1889664,hydrographic,"Schmidt Glacier","Schmidt Glacier",official,-53.05,73.4,HM-000,,
