wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1130280,-1668935,settlement,Tegucigucigalpa,Tegucigucigalpa,variant,14.1,-87.216667,HN-FM,,
-1130280,-1668928,settlement,Tegucigalpa,Tegucigalpa,official,14.1,-87.216667,HN-FM,,
-1117784,-1652169,settlement,Comayagüela,Comayaguela,official,14.086667,-87.229167,HN-FM,,
-1126276,-1663147,settlement,Maye,Maye,official,14.416667,-88,HN-IN,,
-1127528,-1665065,settlement,Pijol,Pijol,official,15.25,-87.616667,HN-YO,,
-1122549,-1658451,hydrographic,Joya,Joya,official,14.183333,-86.95,HN-FM,,
6242704,6268284,settlement,Ola,Ola,official,13.326389,-87.286667,HN-CH,,
6246297,6272431,settlement,"El Asta","El Asta",official,13.523611,-87.141111,HN-CH,,
6262403,6293187,settlement,"El Mojón","El Mojon",official,13.673889,-87.1075,HN-EP,,
-1703321,-4851863,hypsographic,"Sierra Madre","Sierra Madre",official,15.5,-92.583333,S1-000,,
-1703321,-2331084,hypsographic,"Cordillera de Chiapas","Cordillera de Chiapas",variant,15.5,-92.583333,S1-000,,
-1703321,17587082,hypsographic,"Madre de Chiapas","Madre de Chiapas",official,15.5,-92.583333,S1-000,,
-1703321,-2391262,hypsographic,"Sierra de Soconusco","Sierra de Soconusco",variant,15.5,-92.583333,S1-000,,
-1703321,-2362027,hypsographic,"Sierra Madre de Chiapas","Sierra Madre de Chiapas",variant,15.5,-92.583333,S1-000,,
-1703321,-2349670,hypsographic,"Sierra de Istatán","Sierra de Istatan",variant,15.5,-92.583333,S1-000,,
-1127058,-1664395,settlement,Pacheco,Pacheco,official,14.316667,-87.733333,HN-LP,,
-1126207,-1663022,hypsographic,Masaya,Masaya,official,13.916667,-88.2,HN-IN,,
-1130210,-1668824,settlement,Tapaire,Tapaire,official,13.393056,-87.092222,HN-CH,,
-1130660,-1669494,settlement,Tule,Tule,official,14.866667,-86.15,HN-OL,,
-1125088,-1661526,settlement,"La Zona","La Zona",official,15.183333,-88.65,HN-SB,,
-1125175,-1661671,settlement,Limones,Limones,official,13.866667,-86.65,HN-EP,,
-1125174,-1661669,settlement,Limones,Limones,official,13.499167,-87.105278,HN-CH,,
-1130341,-1669021,settlement,Terlaca,Terlaca,official,14.166667,-88.616667,HN-LE,,
-1130463,-1669182,settlement,Tigni,Tigni,official,15.166667,-83.466667,HN-GD,,
-1126758,-1663919,hydrographic,Negros,Negros,official,14.566667,-86.333333,HN-OL,,
-1126484,-1663483,settlement,Molo,Molo,official,14.633333,-88.216667,HN-SB,,
-1130298,-1668957,settlement,Tela,Tela,official,15.783333,-87.45,HN-AT,,
-1131013,-1670051,settlement,Yauyupe,Yauyupe,official,13.743056,-87.06,HN-EP,,
-1125217,-1661739,settlement,Litoro,Litoro,official,14.85,-87.75,HN-CM,,
-1130594,-1669378,hydrographic,Trancas,Trancas,official,14.15,-86.25,HN-EP,,
-1130465,-1669188,settlement,Tigre,Tigre,official,15.35,-87.366667,HN-YO,,
-1130466,-1669189,hydrographic,Tigre,Tigre,official,15.416667,-87.65,HN-YO,,
-1125176,-1661675,settlement,Limones,Limones,official,14.666667,-87.1,HN-FM,,
-1143868,-1686113,hypsographic,"Cerro Zarzal","Cerro Zarzal",official,14.901728,-89.198135,S1-000,,
-1125087,-1661525,settlement,"La Zona","La Zona",official,15.033333,-89.1,HN-CP,,
-1143041,-1685019,hydrographic,"Río Tinto","Rio Tinto",official,15.670325,-88.321921,S1-000,,
-1123985,-1660217,settlement,"La Pita","La Pita",official,14.733333,-87.6,HN-CM,,
-1143041,-1685014,hydrographic,"Río Tinta","Rio Tinta",variant,15.670325,-88.321921,S1-000,,
-1123984,-1660216,settlement,"La Pita","La Pita",official,14.583333,-86.7,HN-OL,,
-1142541,-1684330,hypsographic,"Cerro Sepulturas","Cerro Sepulturas",variant,14.796439,-89.193523,S1-000,,
-1142906,-1684828,hydrographic,"Quebrada Tecomapa","Quebrada Tecomapa",official,14.547352,-89.263604,S1-000,,
-1123769,-1663293,settlement,Mica,Mica,variant,15.016667,-88.066667,HN-SB,,
-1123983,-1660215,settlement,"La Pita","La Pita",official,14.033333,-86.883333,HN-EP,,
-1142541,-1684329,hypsographic,"Cerro Sepultura","Cerro Sepultura",official,14.796439,-89.193523,S1-000,,
-1141324,-1682838,hydrographic,"Quebrada San José","Quebrada San Jose",official,14.781764,-89.226201,S1-000,,
-1123674,-1659847,settlement,"La Loma","La Loma",official,15.683333,-87.883333,HN-CR,,
-1123981,-1660212,settlement,"La Pita","La Pita",official,13.633333,-87.616667,HN-VA,,
-1123859,-1663883,settlement,Nava,Nava,variant,14.516667,-86.816667,HN-FM,,
-1142382,19322658,hydrographic,"Quebrada Sarmín","Quebrada Sarmin",variant,14.865705,-89.264489,S1-000,,
-1123982,-1660214,settlement,"La Pita","La Pita",official,13.758056,-87.263333,HN-FM,,
-1141324,-1682839,hydrographic,"Quebrada Boca del Monte","Quebrada Boca del Monte",official,14.781764,-89.226201,S1-000,,
-1142382,-1684117,hydrographic,"Quebrada Sarmí","Quebrada Sarmi",official,14.865705,-89.264489,S1-000,,
-1142906,-1670499,hydrographic,"Quebrada Agua Caliente","Quebrada Agua Caliente",variant,14.547352,-89.263604,S1-000,,
-1123768,-1659958,settlement,"La Mica","La Mica",official,15,-88.066667,HN-CR,,
-1139033,19452382,hypsographic,"Cerro El Sombrerito","Cerro El Sombrerito",variant,14.916441,-89.181472,S1-000,,
-1139036,-1684266,hydrographic,"Río Selapec","Rio Selapec",variant,15.724669,-88.233108,S1-000,,
-1139033,-1679893,hypsographic,"Cerro Morola","Cerro Morola",official,14.916441,-89.181472,S1-000,,
-1139033,-1679894,hypsographic,"Cerro Morova","Cerro Morova",variant,14.916441,-89.181472,S1-000,,
-1139250,-1680186,hydrographic,"Río Nuevo Cacao","Rio Nuevo Cacao",official,15.606411,-88.445344,S1-000,,
-1139036,-1679899,hydrographic,"Río Motagua","Rio Motagua",official,15.724669,-88.233108,S1-000,,
-1123672,-1659844,settlement,"La Loma","La Loma",official,14.733333,-88.966667,HN-CP,,
-1140596,-1681941,hypsographic,"Barra del Río Motagua","Barra del Rio Motagua",official,15.716667,-88.216667,HN-CR,,
