wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-64786,-97770,settlement,Hatty,Hatty,official,19.2,-72.133333,HT-CE,,
-62958,-95626,settlement,Duvet,Duvet,official,18.55,-74.066667,HT-GA,,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-3364013,18135493,hydrographic,"Rivière Pedernales","Riviere Pedernales",official,18.032238,-71.75864,S1-000,,
-3364013,-4772535,hydrographic,"Les Pedernales","Les Pedernales",variant,18.032238,-71.75864,S1-000,,
-3364013,-4755184,hydrographic,"Riviere Anse","Riviere Anse",variant,18.032238,-71.75864,S1-000,,
-3364013,-4778519,hydrographic,"Rivière Pédernales","Riviere Pedernales",variant,18.032238,-71.75864,S1-000,,
-3364013,-4755186,hydrographic,"Riviere des Anses à Pitre","Riviere des Anses a Pitre",variant,18.032238,-71.75864,S1-000,,
-3364013,-4778522,hydrographic,"Rivière des Pédernates","Riviere des Pedernates",variant,18.032238,-71.75864,S1-000,,
-3364013,-4778518,hydrographic,"Río Pedernales","Rio Pedernales",official,18.032238,-71.75864,S1-000,,
-3364013,18135492,hydrographic,"Rivière des Pédernales","Riviere des Pedernales",variant,18.032238,-71.75864,S1-000,,
-3364013,-4778521,hydrographic,"Pedernales River","Pedernales River",variant,18.032238,-71.75864,S1-000,,
-3359380,-4772548,hydrographic,"Río Libón","Rio Libon",official,19.230285,-71.635266,S1-000,,
-3359380,18125608,hydrographic,"Rivière Ténèbres","Riviere Tenebres",variant,19.230285,-71.635266,S1-000,,
-3360641,-4774123,hydrographic,"Rivière Lagua","Riviere Lagua",official,19.211357,-71.627648,S1-000,,
-3359380,18125601,hydrographic,"Rivière Libon","Riviere Libon",official,19.230285,-71.635266,S1-000,,
-3360641,-4769068,hydrographic,"La Guárana","La Guarana",variant,19.211357,-71.627648,S1-000,,
-3360641,-4774122,hydrographic,"Arroyo Los Guaranos","Arroyo Los Guaranos",official,19.211357,-71.627648,S1-000,,
-3359380,-4772549,hydrographic,"Rivière du Libon","Riviere du Libon",variant,19.230285,-71.635266,S1-000,,
-3350190,-4760561,hydrographic,"Río Dajabón","Rio Dajabon",official,19.701773,-71.758444,S1-000,,
-3350190,-4760563,hydrographic,"Río Dajabón Massacre","Rio Dajabon Massacre",variant,19.701773,-71.758444,S1-000,,
-3350190,-4760562,hydrographic,"Rivière du Massacre","Riviere du Massacre",official,19.701773,-71.758444,S1-000,,
-3350190,-4776436,hydrographic,"Massacre Riviere","Massacre Riviere",variant,19.701773,-71.758444,S1-000,,
-3350190,-4760640,hydrographic,"Rio Dejabon","Rio Dejabon",variant,19.701773,-71.758444,S1-000,,
-3350190,-4776435,hydrographic,"Massacre River","Massacre River",variant,19.701773,-71.758444,S1-000,,
-3350190,-4776418,hydrographic,"Rio Masacre","Rio Masacre",variant,19.701773,-71.758444,S1-000,,
-3347942,-4757313,hydrographic,"Rivière l’Eau Bonite","Riviere l'Eau Bonite",official,18.187241,-71.786372,S1-000,,
-3347989,-4833849,hypsographic,"Morne Boucan Ti Cochon","Morne Boucan Ti Cochon",official,18.481146,-71.913454,S1-000,,
-3347942,-4757312,hydrographic,"Río Bonito","Rio Bonito",official,18.187241,-71.786372,S1-000,,
-3347989,-4757378,hypsographic,"Boucon Ticochon","Boucon Ticochon",variant,18.481146,-71.913454,S1-000,,
-3347942,18135497,hydrographic,"D’l’Eau Bonite","D'l'Eau Bonite",variant,18.187241,-71.786372,S1-000,,
-3346843,-4755636,hydrographic,"Rivière Artibonite","Riviere Artibonite",variant,19.238303,-72.779348,S1-000,,
-3346843,-4770952,hydrographic,"L’Artibonite River","L'Artibonite River",variant,19.238303,-72.779348,S1-000,,
-3346843,-4755635,hydrographic,"Rio Artibonite","Rio Artibonite",variant,19.238303,-72.779348,S1-000,,
-3346843,-4765662,hydrographic,"Rio Guayajayuco","Rio Guayajayuco",variant,19.238303,-72.779348,S1-000,,
-3346843,-4755638,hydrographic,"Artibonite River","Artibonite River",variant,19.238303,-72.779348,S1-000,,
-3346843,-4755634,hydrographic,"Fleuve Artibonite","Fleuve Artibonite",variant,19.238303,-72.779348,S1-000,,
-3346843,-4755640,hydrographic,"Río Artibonito","Rio Artibonito",official,19.238303,-72.779348,S1-000,,
-3346843,-4755641,hydrographic,"Rivière de l’Artibonite","Riviere de l'Artibonite",official,19.238303,-72.779348,S1-000,,
-3346843,-4755639,hydrographic,"Artibonite Riviere","Artibonite Riviere",variant,19.238303,-72.779348,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1360033,-1957447,hypsographic,"Antillas Mayores","Antillas Mayores",variant,19,-72,S1-000,,
-1360033,-1958253,hypsographic,"Groote Antillen","Groote Antillen",variant,19,-72,S1-000,,
-1360033,-1958231,hypsographic,"Grandes Antillas","Grandes Antillas",variant,19,-72,S1-000,,
-1360033,-1958245,hypsographic,"Greater Antilles","Greater Antilles",colloquial,19,-72,S1-000,,
-1360033,-1958232,hypsographic,"Grandes Antilles","Grandes Antilles",variant,19,-72,S1-000,,
-72895,-107027,settlement,Yobec,Yobec,official,19.366667,-72.45,HT-AR,,
-72894,-107026,settlement,Ylain,Ylain,official,18.816667,-72.033333,HT-CE,,
-72893,-107025,settlement,Yilier,Yilier,official,18.45,-73.3,HT-NI,,
-72852,-106971,settlement,Vogues,Vogues,official,19.633333,-72.066667,HT-ND,,
-72851,-106970,settlement,Vodry,Vodry,official,18.65,-74.3,HT-GA,,
-72850,-106969,settlement,Vlaud,Vlaud,official,19.65,-72,HT-NE,,
-72820,-106934,settlement,Vincent,Vincent,official,18.516667,-74.116667,HT-GA,,
-72641,-106690,settlement,Varne,Varne,official,19.533333,-72.45,HT-ND,,
-72312,-106306,settlement,Toman,Toman,official,18.35,-74.066667,HT-SD,,
-72311,-106305,settlement,Toman,Toman,official,18.216667,-73.95,HT-SD,,
-72310,-106304,settlement,Tolifo,Tolifo,official,18.416667,-72.65,HT-OU,,
-72309,-106303,settlement,Todivi,Todivi,official,19.5,-71.966667,HT-NE,,
-72200,-106187,settlement,Tilot,Tilot,official,18.616667,-72.25,HT-OU,,
-71821,-105774,park,Tamarin,Tamarin,official,18.25,-74.083333,HT-SD,,
-71669,-105606,settlement,Sonson,Sonson,official,18.4,-72.616667,HT-OU,,
-71556,-105473,settlement,Ségur,Segur,official,19.15,-72.516667,HT-AR,,
-71555,-105471,settlement,Seguin,Seguin,official,19.65,-72.783333,HT-AR,,
-71554,-105470,settlement,Seguin,Seguin,official,19.55,-72.083333,HT-NE,,
-71553,-105469,settlement,Seguin,Seguin,official,19.4,-72.466667,HT-AR,,
-71552,-105468,settlement,Seguin,Seguin,official,18.4,-73.333333,HT-NI,,
-73029,-107116,hydrographic,"Saut d’Eau","Saut d'Eau",official,18.8,-72.166667,HT-CE,,
