wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-870051,-1291172,settlement,Vécs,Vecs,official,47.816667,20.166667,HU-HE,,
-870256,-1291450,settlement,Vid,Vid,official,47.213613,17.33702,HU-VE,,
-863115,-1282134,settlement,Nyúl,Nyul,official,47.590471,17.689043,HU-GS,,
-860038,-1278134,settlement,Láp,Lap,official,46.183333,18.966667,HU-BK,,
-869776,-1290841,settlement,Vár,Var,official,47.516667,19.05,HU-BU,,
-865985,-1285934,settlement,Sé,Se,official,47.243368,16.554996,HU-VA,,
-1988644,-2771490,hydrographic,Répce,Repce,official,47.68312,17.039544,S1-000,,
-1988644,-2771489,hydrographic,Rabnitz,Rabnitz,official,47.68312,17.039544,S1-000,,
-1988644,-2772185,hydrographic,Répcze,Repcze,variant,47.68312,17.039544,S1-000,,
-1988644,-2771492,hydrographic,"Rabnitz Bach","Rabnitz Bach",variant,47.68312,17.039544,S1-000,,
-1987341,-2779328,park,Warth,Warth,variant,47.25,16.416667,S1-000,,
-1985720,-4851873,hydrographic,Mura,Mura,official,46.3,16.916667,S1-000,,
-1985720,-2767972,hydrographic,Mur,Mur,official,46.3,16.916667,S1-000,,
-1987341,19727069,park,"Őrség Hegyhát","Orseg Hegyhat",variant,47.25,16.416667,S1-000,,
-1987341,-2769884,park,Őrség,Orseg,official,47.25,16.416667,S1-000,,
-1984045,-2765935,hydrographic,Lendva,Lendva,official,46.483333,16.583333,S1-000,,
-1983548,-2765313,hypsographic,Lapincs-völgy,Lapincs-volgy,official,47.166667,16.1,S1-000,,
-1983548,-2765312,hypsographic,Lafnitztal,Lafnitztal,official,47.166667,16.1,S1-000,,
-1984045,-2766073,hydrographic,Libenica,Libenica,variant,46.483333,16.583333,S1-000,,
-1984045,-2765937,hydrographic,Ledava,Ledava,official,46.483333,16.583333,S1-000,,
-1984045,-2765931,hydrographic,Lendava,Lendava,variant,46.483333,16.583333,S1-000,,
-1977981,-2758677,hypsographic,Írottkő,Irottko,official,47.35,16.433333,S1-000,,
-1977981,-2762852,hypsographic,Íttkő,Ittko,variant,47.35,16.433333,S1-000,,
-1977981,-2758676,hypsographic,Geschriebenstein,Geschriebenstein,official,47.35,16.433333,S1-000,,
-1975877,-2756188,hydrographic,Drave,Drave,variant,45.55,18.916667,S1-000,,
-1975877,15692493,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-1268348,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-2756189,hydrographic,Dravus,Dravus,variant,45.55,18.916667,S1-000,,
-1975877,-1268331,hydrographic,"Drau Fluss","Drau Fluss",variant,45.55,18.916667,S1-000,,
-1975877,15248504,hydrographic,Drava,Drava,colloquial,45.55,18.916667,S1-000,,
-1975877,-2756185,hydrographic,Drau,Drau,official,45.55,18.916667,S1-000,,
-1975877,-2756184,hydrographic,"Drava River","Drava River",colloquial,45.55,18.916667,S1-000,,
-1975877,-2756186,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-2756187,hydrographic,Dráva,Drava,official,45.55,18.916667,S1-000,,
-1164849,-1718146,hydrographic,Mureş,Mures,official,46.25111,20.1963,S1-000,,
-1164849,-1718156,hydrographic,Muresh,Muresh,variant,46.25111,20.1963,S1-000,,
-1164849,-1718147,hydrographic,Maros,Maros,official,46.25111,20.1963,S1-000,,
-1164849,-1718161,hydrographic,Mureşul,Muresul,variant,46.25111,20.1963,S1-000,,
-1164849,-1716483,hydrographic,Marisus,Marisus,variant,46.25111,20.1963,S1-000,,
-1159942,-1710609,settlement,"Gémesi Révház","Gemesi Revhaz",official,46.33472,18.89167,HU-000,,
-1157319,-1706534,hydrographic,"Crişul Alb","Crisul Alb",variant,46.933333,20.966667,HU-000,,
-1157166,-1706339,hydrographic,Kraszna-csatorna,Kraszna-csatorna,official,48.133333,22.316667,S1-000,,
-1157166,-1706324,hydrographic,"Canalul Crasna","Canalul Crasna",variant,48.133333,22.316667,S1-000,,
-1157319,-1733836,hydrographic,"White Körös","White Koros",variant,46.933333,20.966667,HU-000,,
-1157321,-1706543,hydrographic,"Râul Crişu Negru","Raul Crisu Negru",variant,46.7,21.266667,S1-000,,
-1157319,-1733835,hydrographic,"Weisze Körös","Weisze Koros",variant,46.933333,20.966667,HU-000,,
-1157321,-1699844,hydrographic,"Black Körös","Black Koros",variant,46.7,21.266667,S1-000,,
-1157321,-1706542,hydrographic,Fekete-Körös,Fekete-Koros,official,46.7,21.266667,S1-000,,
-1157166,-1706338,hydrographic,"Canalul Crasnei","Canalul Crasnei",official,48.133333,22.316667,S1-000,,
-1157319,-1706532,hydrographic,"Crişu Alb","Crisu Alb",official,46.933333,20.966667,HU-000,,
-1157155,-1706322,hydrographic,Crasna,Crasna,official,48.15,22.333333,S1-000,,
-1157319,-1733834,hydrographic,"Weifse Körös","Weifse Koros",variant,46.933333,20.966667,HU-000,,
-1157155,-1706323,hydrographic,Kraszna,Kraszna,official,48.15,22.333333,S1-000,,
-1157319,-1706533,hydrographic,Fehér-Körös,Feher-Koros,official,46.933333,20.966667,HU-000,,
-1157321,-1706536,hydrographic,"Crişul Negru","Crisul Negru",variant,46.7,21.266667,S1-000,,
-1157155,-1714454,hydrographic,Krasna,Krasna,variant,48.15,22.333333,S1-000,,
-1157321,-1706541,hydrographic,"Crişu Negru","Crisu Negru",official,46.7,21.266667,S1-000,,
-1154783,15216777,hypsographic,Karpaty,Karpaty,official,47,25.5,S1-000,,
-1154783,15216778,hypsographic,Karpaty,Karpaty,official,47,25.5,S1-000,,
-1154783,-1714302,hypsographic,Karpátok,Karpatok,official,47,25.5,S1-000,,
-1154783,-1702875,hypsographic,"Carpathian Mountains","Carpathian Mountains",colloquial,47,25.5,S1-000,,
-1154783,-1702876,hypsographic,Carpathians,Carpathians,colloquial,47,25.5,S1-000,,
-1154783,15216779,hypsographic,Karpaty,Karpaty,official,47,25.5,S1-000,,
-1154783,-1714303,hypsographic,Karpaty,Karpaty,official,47,25.5,S1-000,,
-1154783,-1702874,hypsographic,Carpates,Carpates,variant,47,25.5,S1-000,,
-1154783,-1702877,hypsographic,"Munţii Carpaţi","Muntii Carpati",official,47,25.5,S1-000,,
-1154783,15216776,hypsographic,Karpati,Karpati,official,47,25.5,S1-000,,
-1154783,-1702878,hypsographic,Carpaţii,Carpatii,official,47,25.5,S1-000,,
-1154783,-1714301,hypsographic,Karpaten,Karpaten,official,47,25.5,S1-000,,
-1154783,15216785,hypsographic,Карпати,Карпати,unknown,47,25.5,S1-000,,
-1154783,15216782,hypsographic,Карпати,Карпати,unknown,47,25.5,S1-000,,
-1056337,338986,hydrographic,Tisza,Tisza,official,45.138056,20.2775,S1-000,,
-1056337,400944,hydrographic,Tysa,Tysa,official,45.138056,20.2775,S1-000,,
-1056337,205435,hydrographic,Tisa,Tisa,official,45.138056,20.2775,S1-000,,
-869672,-1290707,settlement,Vág,Vag,official,47.44659,17.21009,HU-GS,,
-869670,-1290705,hydrographic,Vad-tó,Vad-to,official,46.910067,17.179455,HU-VE,,
