wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1505421,-2148540,settlement,Ross,Ross,official,53.566667,-6.583333,IE-MH,,
-1504686,-2147614,settlement,Moy,Moy,official,53.120556,-8.960556,IE-G,,
-1500176,-2141877,settlement,Ard,Ard,official,53.316111,-9.878333,IE-G,,
172200,214428,hypsographic,Seefin,Seefin,official,52.213333,-7.6,IE-WF,,
344529,428127,park,Madore,Madore,official,51.626389,-9.294722,IE-CO,,
365907,456296,settlement,Ardeen,Ardeen,official,52.753611,-6.526111,IE-WW,,
343450,426755,hypsographic,Stouke,Stouke,official,51.549167,-9.475,IE-CO,,
349880,434680,park,Lyre,Lyre,official,52.011944,-8.47,IE-CO,,
370130,461888,settlement,Moglass,Moglass,official,52.522222,-7.716944,IE-TA,,
389451,486433,hypsographic,Tormore,Tormore,official,54.351944,-8.404722,IE-SO,,
368446,459675,park,Heigh,Heigh,official,52.745,-7.9975,IE-TA,,
393352,491090,park,Poll,Poll,official,53.305556,-9.289722,IE-G,,
424469,543225,hypsographic,Doolick,Doolick,official,53.276389,-9.979167,IE-G,,
406843,510343,settlement,Bawnoge,Bawnoge,official,52.928889,-6.714722,IE-WW,,
414727,525342,settlement,Raheen,Raheen,official,53.048056,-6.257222,IE-WW,,
425586,544503,settlement,Ranns,Ranns,official,54.098889,-9.252222,IE-MO,,
404429,506373,settlement,Monnagh,Monnagh,official,52.99,-7.605278,IE-LS,,
12339051,15292279,settlement,Cloncat,Cloncat,official,53.680329,-6.955322,IE-MH,,
12322443,15267687,settlement,Srah,Srah,official,53.99795,-9.12245,IE-MO,,
12339866,15293293,settlement,Creroge,Creroge,official,53.553558,-6.709783,IE-MH,,
14769005,19304936,settlement,Faha,Faha,official,52.546123,-9.66717,IE-KY,,
14792051,19353287,settlement,Bolany,Bolany,official,52.72209,-6.36331,IE-WX,,
14831092,19433867,settlement,Glen,Glen,official,54.145912,-8.329135,IE-SO,,
-2612018,-3590517,hydrographic,"Woodford River","Woodford River",official,54.148611,-7.448333,S1-000,,
-2612018,474823,hydrographic,Woodford,Woodford,variant,54.148611,-7.448333,S1-000,,
-2610476,-3588696,hydrographic,"Ulster Canal","Ulster Canal",official,54.133333,-7.366667,S1-000,,
-2606513,452556,hydrographic,"Lough Ross","Lough Ross",official,54.083333,-6.65,S1-000,,
-2604061,16153215,hydrographic,Newry,Newry,variant,54.1,-6.266667,S1-000,,
-2604061,-3580812,hydrographic,"Newry River","Newry River",official,54.1,-6.266667,S1-000,,
-2602390,-3578756,hydrographic,"Lough Macnean Upper","Lough Macnean Upper",official,54.3,-7.933333,S1-000,,
-2602390,-3578754,hydrographic,"Lough Macnean","Lough Macnean",variant,54.3,-7.933333,S1-000,,
-2603549,-3580212,hydrographic,"Mourne Beg River","Mourne Beg River",official,54.683333,-7.65,S1-000,,
-2603549,16153304,hydrographic,"Mourne Beg","Mourne Beg",variant,54.683333,-7.65,S1-000,,
-2602389,-3578755,hydrographic,"Lough Macnean Lower","Lough Macnean Lower",official,54.283333,-7.833333,S1-000,,
-2602389,-3580928,hydrographic,"Lough Nilly","Lough Nilly",variant,54.283333,-7.833333,S1-000,,
-2594638,-3569247,hydrographic,"Dromore Lough","Dromore Lough",official,52.91962,-8.97256,IE-CE,,
-2596507,-3571524,hydrographic,"River Foyle","River Foyle",official,54.983333,-7.3,S1-000,,
-2594636,-3569245,hypsographic,"Dromore Head","Dromore Head",official,53.697778,-10.1375,IE-G,,
-2595683,15052445,hydrographic,Erne,Erne,official,54.5,-8.266667,S1-000,,
-2596507,16153676,hydrographic,Foyle,Foyle,variant,54.983333,-7.3,S1-000,,
-2595683,-3570515,hydrographic,"River Erne","River Erne",official,54.5,-8.266667,S1-000,,
-2592634,-3566726,hydrographic,"Claddagh River","Claddagh River",official,54.233333,-7.583333,S1-000,,
-2592634,-3587143,hydrographic,"Swanlinbar River","Swanlinbar River",variant,54.233333,-7.583333,S1-000,,
-2592634,16153718,hydrographic,Claddagh,Claddagh,variant,54.233333,-7.583333,S1-000,,
-2592634,-3566724,hydrographic,"Cladagh River","Cladagh River",official,54.233333,-7.583333,S1-000,,
-2592755,-3566885,spot,Cliff,Cliff,official,54.483333,-8.116667,IE-DL,,
-2591267,-3565001,settlement,Buncrana,Buncrana,official,55.133333,-7.45,IE-DL,,
-2591267,217695,settlement,"Bun Cranncha","Bun Cranncha",official,55.133333,-7.45,IE-DL,,
-1505966,-2149210,settlement,Togher,Togher,official,53.081667,-6.52,IE-WW,,
-1505154,-2148203,settlement,Quilty,Quilty,official,52.816944,-9.450833,IE-CE,,
-1504711,-2147643,settlement,Moyne,Moyne,official,53.9,-7.633333,IE-LD,,
-1505987,-2149232,settlement,Tooreen,Tooreen,official,51.55,-9.833333,IE-CO,,
-1505858,-2149081,settlement,Tallyho,Tallyho,official,52.81602,-6.36439,IE-WW,,
-1503834,-2146502,settlement,Killurin,Killurin,official,52.385,-6.575,IE-WX,,
-1501185,-2143185,settlement,Bullaun,Bullaun,official,53.246944,-8.551667,IE-G,,
-1502205,-2144447,settlement,Curragh,Curragh,official,52.139722,-8.203611,IE-CO,,
-1503721,-2146360,settlement,Kilglass,Kilglass,official,53.416111,-8.345556,IE-G,,
-1503915,-2146606,settlement,Kilseily,Kilseily,official,52.8,-8.65,IE-CE,,
-1502111,-2144331,settlement,Croghan,Croghan,official,52.777778,-6.323611,IE-WX,,
-1502581,-2144927,settlement,Dunboyne,Dunboyne,official,53.4,-6.466667,IE-MH,,
-1501184,-2143184,hypsographic,"The Bull","The Bull",official,51.583333,-10.3,IE-000,,
-1503833,-2146501,hydrographic,Killure,Killure,official,53.333333,-8.233333,IE-G,,
-1505971,-2149215,settlement,Tomacurry,Tomacurry,official,52.553333,-6.56,IE-WX,,
-1505925,-2149158,settlement,Tiaquin,Tiaquin,official,53.359722,-8.633333,IE-G,,
-1505540,-2148692,settlement,Salterstown,Salterstown,official,53.871667,-6.306944,IE-LH,,
-1506205,6146803,administrative_region,Wicklow,Wicklow,official,53,-6.366667,IE-WW,,
-1505805,-2149016,hydrographic,"Streamstown Bay","Streamstown Bay",official,53.509167,-10.068333,IE-G,,
-1506139,-2149426,settlement,Ward,Ward,official,53.433056,-6.333333,IE-FI,,
-1505857,-2149079,spot,"Tallow Road","Tallow Road",variant,52.116667,-7.983333,IE-WF,,
-1505853,417385,settlement,Tamhlacht,Tamhlacht,official,53.287778,-6.341111,IE-SD,,
