wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2541539,-3492709,settlement,Fīq,Fiq,official,32.779348,35.700322,IL-000,1,
-2538567,-3484616,administrative_region,"Minţaqat al Qunayţirah","Mintaqat al Qunaytirah",variant,33.085708,35.788436,IL-000,1,
-2538351,14305832,settlement,البطيحة,البطيحة,unknown,32.908707,35.631985,IL-000,1,
-2538567,-3499353,administrative_region,Kuneïtra,Kuneitra,variant,33.085708,35.788436,IL-000,1,
-2544771,-3501458,settlement,Messadi,Messadi,variant,33.232026,35.755723,IL-Z,1,
-2538351,-3500073,settlement,Mahjar,Mahjar,variant,32.908707,35.631985,IL-000,1,
11205707,14305838,administrative_region,"ناحية البطيحة","ناحية البطيحة",unknown,32.89245,35.656714,IL-000,1,
-2544771,-3491975,settlement,"El Mesadi","El Mesadi",variant,33.232026,35.755723,IL-Z,1,
-2541539,-3492661,settlement,Feeq,Feeq,variant,32.779348,35.700322,IL-000,1,
-2538298,13010063,settlement,الخشنية,الخشنية,unknown,32.999412,35.810836,IL-000,1,
11205106,13020051,administrative_region,"ناحية مسعدة","ناحية مسعدة",unknown,33.197499,35.720295,IL-000,1,
11313180,14472748,spot,الجمرك,الجمرك,unknown,33.012122,35.65114,IL-000,1,
-2538351,13540509,settlement,Minjār,Minjar,variant,32.908707,35.631985,IL-000,1,
-2538298,-3484304,settlement,"Al Khushnīyah","Al Khushniyah",official,32.999412,35.810836,IL-000,1,
-2538567,13675531,administrative_region,"Minţaqat Markaz al Qunayţirah","Mintaqat Markaz al Qunaytirah",official,33.085708,35.788436,IL-000,1,
-2544771,13014788,settlement,مسعدة,مسعدة,unknown,33.232026,35.755723,IL-Z,1,
-2539868,-3512182,administrative_region,"Qaḑā’ az Zawīyah","Qada' az Zawiyah",variant,32.797933,35.721984,IL-000,1,
-2539868,-3492711,administrative_region,"Qaḑā’ Fīq","Qada' Fiq",variant,32.797933,35.721984,IL-000,1,
-2538567,-3496104,administrative_region,Jolâne,Jolane,variant,33.085708,35.788436,IL-000,1,
-2544771,-3500768,settlement,Mas‘adah,Mas`adah,variant,33.232026,35.755723,IL-Z,1,
-2538298,-3498826,settlement,Khochniyé,Khochniye,variant,32.999412,35.810836,IL-000,1,
-2538351,13018571,settlement,المحجار,المحجار,unknown,32.908707,35.631985,IL-000,1,
-2538298,-3489776,settlement,Couchenié,Couchenie,variant,32.999412,35.810836,IL-000,1,
-2544771,-3500902,settlement,Massaadé,Massaade,variant,33.232026,35.755723,IL-Z,1,
-2541539,-3492689,settlement,Fig,Fig,variant,32.779348,35.700322,IL-000,1,
11792784,14305658,administrative_region,"ناحية مركز فيق زوية","ناحية مركز فيق زوية",unknown,32.797933,35.721984,IL-000,1,
-2541539,13013800,settlement,فيق,فيق,unknown,32.779348,35.700322,IL-000,1,
-2538567,-3495677,administrative_region,Jawlan,Jawlan,variant,33.085708,35.788436,IL-000,1,
-2539868,-3492660,administrative_region,Feeq,Feeq,variant,32.797933,35.721984,IL-000,1,
-2539868,13674241,administrative_region,"Minţaqat Fīq Zawīyah","Mintaqat Fiq Zawiyah",official,32.797933,35.721984,IL-000,1,
-2538351,-3484378,settlement,"Al Maḩjar","Al Mahjar",variant,32.908707,35.631985,IL-000,1,
11205106,13019339,administrative_region,"Nāḩiyat Mas‘adah","Nahiyat Mas`adah",official,33.197499,35.720295,IL-000,1,
11205771,13019955,administrative_region,"ناحية الخشنية","ناحية الخشنية",unknown,32.98274,35.853011,IL-000,1,
-2539868,-3492710,administrative_region,"Minţaqat Fīq","Mintaqat Fiq",variant,32.797933,35.721984,IL-000,1,
-2539868,-3512103,administrative_region,Zaouîye,Zaouiye,variant,32.797933,35.721984,IL-000,1,
-2538567,13675530,administrative_region,"منطقة مركز القنيطرة","منطقة مركز القنيطرة",unknown,33.085708,35.788436,IL-000,1,
-2538567,-3505135,administrative_region,"Qaḑā’ al Qunayţirah","Qada' al Qunaytirah",variant,33.085708,35.788436,IL-000,1,
-2538351,-3491904,settlement,"El Mahjar","El Mahjar",variant,32.908707,35.631985,IL-000,1,
-2544771,19305000,settlement,Mas‘ada,Mas`ada,official,33.232026,35.755723,IL-Z,1,
-2538298,-3498954,settlement,Khushnīyah,Khushniyah,variant,32.999412,35.810836,IL-000,1,
-2538351,13018572,settlement,العامرية,العامرية,unknown,32.908707,35.631985,IL-000,1,
11313180,13278315,spot,"الجمرك السوري","الجمرك السوري",unknown,33.012122,35.65114,IL-000,1,
-2539868,-3486397,administrative_region,"Minţaqat az Zawīyah","Mintaqat az Zawiyah",variant,32.797933,35.721984,IL-000,1,
-2541539,-3492695,settlement,Fik,Fik,variant,32.779348,35.700322,IL-000,1,
-2538567,-3511928,administrative_region,"Gaza of Yolan","Gaza of Yolan",variant,33.085708,35.788436,IL-000,1,
11792784,14305655,administrative_region,"Nāḩiyat Markaz Fīq Zawīyah","Nahiyat Markaz Fiq Zawiyah",official,32.797933,35.721984,IL-000,1,
-2538351,13018570,settlement,"Al ‘Āmirīyah","Al `Amiriyah",variant,32.908707,35.631985,IL-000,1,
11205707,13019541,administrative_region,"Nāḩiyat al Buţmīyah","Nahiyat al Butmiyah",variant,32.89245,35.656714,IL-000,1,
-2539868,-3492694,administrative_region,Fik,Fik,variant,32.797933,35.721984,IL-000,1,
11792871,14305789,administrative_region,"ناحية مركز القنيطرة","ناحية مركز القنيطرة",unknown,33.071973,35.769568,IL-000,1,
11792871,14305788,administrative_region,"Nāḩiyat Markaz al Qunayţirah","Nahiyat Markaz al Qunaytirah",official,33.071973,35.769568,IL-000,1,
-2538298,-3491855,settlement,"El Khushnīye","El Khushniye",variant,32.999412,35.810836,IL-000,1,
-2538351,-3501595,settlement,Minnjar,Minnjar,variant,32.908707,35.631985,IL-000,1,
-2544771,19304999,settlement,מסעדה,מסעדה,unknown,33.232026,35.755723,IL-Z,1,
-2541539,-3492686,settlement,Fick,Fick,variant,32.779348,35.700322,IL-000,1,
11313180,13278314,spot,"Al Jumruk as Sūrī","Al Jumruk as Suri",variant,33.012122,35.65114,IL-000,1,
-2539868,-3492659,administrative_region,Feek,Feek,variant,32.797933,35.721984,IL-000,1,
-2538351,14305833,settlement,"Al Buţayḩah","Al Butayhah",official,32.908707,35.631985,IL-000,1,
-2538298,-3491884,settlement,"El Kushniye","El Kushniye",variant,32.999412,35.810836,IL-000,1,
-2538567,13015431,administrative_region,"منطقة القنيطرة","منطقة القنيطرة",unknown,33.085708,35.788436,IL-000,1,
-2538351,13540510,settlement,منجار,منجار,unknown,32.908707,35.631985,IL-000,1,
-2544771,-3491974,settlement,"El Mes ‘ade","El Mes `ade",variant,33.232026,35.755723,IL-Z,1,
-2539868,13674240,administrative_region,"منطقة فيق زوية","منطقة فيق زوية",unknown,32.797933,35.721984,IL-000,1,
-2538351,13018573,settlement,"Al Maḩjār","Al Mahjar",variant,32.908707,35.631985,IL-000,1,
11205771,13019699,administrative_region,"Nāḩiyat al Khushnīyah","Nahiyat al Khushniyah",official,32.98274,35.853011,IL-000,1,
-2539868,13015430,administrative_region,"منطقة الزوية","منطقة الزوية",unknown,32.797933,35.721984,IL-000,1,
11205707,14305837,administrative_region,"Nāḩiyat al Buţayḩah","Nahiyat al Butayhah",official,32.89245,35.656714,IL-000,1,
11313180,14472749,spot,"Al Jumruk","Al Jumruk",official,33.012122,35.65114,IL-000,1,
-3866243,15027689,settlement,"Aş Şulbah","As Sulbah",variant,32.929012,35.713009,IL-Z,,
-3866260,13536802,settlement,معوبرة,معوبرة,unknown,32.84504,35.705693,IL-Z,,
-3866247,19309764,settlement,"Sīr el Khurfān","Sir el Khurfan",official,32.969439,35.648476,IL-Z,,
-3866248,-5107615,spot,Sawāḩīyah,Sawahiyah,variant,32.98026,35.665699,IL-Z,,
-3866248,15016439,spot,Suwayhīyah,Suwayhiyah,variant,32.98026,35.665699,IL-Z,,
-3866259,-5107626,park,Ḩinjān,Hinjan,variant,32.861945,35.676903,IL-Z,,
