wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1187025,-1748948,settlement,Ramsey,Ramsey,official,54.316667,-4.4,IM-000,,
-1187013,-1748931,hypsographic,"The Niarbyl","The Niarbyl",official,54.166667,-4.733333,IM-000,,
-1187011,-1748928,hydrographic,"Port Mooar","Port Mooar",official,54.283333,-4.316667,IM-000,,
-1186980,-1748896,settlement,Douglas,Douglas,official,54.15,-4.483333,IM-000,,
-1186960,-1748871,hydrographic,"Calf Sound","Calf Sound",official,54.05,-4.8,IM-000,,
-1186996,-1748913,settlement,"Kirk Braddon","Kirk Braddon",official,54.166667,-4.516667,IM-000,,
-1187044,-1748976,settlement,Sulby,Sulby,official,54.316667,-4.483333,IM-000,,
-1186958,-1748869,settlement,Bride,Bride,official,54.383333,-4.383333,IM-000,,
-1187019,-1748938,settlement,Peel,Peel,official,54.233333,-4.7,IM-000,,
-1187018,-1748937,settlement,Patrick,Patrick,official,54.2,-4.7,IM-000,,
-1187014,-1748933,hypsographic,"Noggin Head","Noggin Head",official,54.066667,-4.75,IM-000,,
-1187031,-1748959,spot,"Saint Germains Station","Saint Germains Station",official,54.233333,-4.65,IM-000,,
-1187040,-1748972,hypsographic,Snaefell,Snaefell,official,54.266667,-4.483333,IM-000,,
-1186996,-1748958,settlement,"Saint Braddon","Saint Braddon",variant,54.166667,-4.516667,IM-000,,
-1186994,-1748910,hypsographic,"Jurby Head","Jurby Head",official,54.383333,-4.533333,IM-000,,
-1187012,20082465,hydrographic,Neb,Neb,official,54.216667,-4.7,IM-000,,
-1187017,-1748936,hypsographic,"Orrisdale Head","Orrisdale Head",official,54.3,-4.583333,IM-000,,
-1187037,-1748956,hypsographic,"Saint Ann Head","Saint Ann Head",variant,54.1,-4.55,IM-000,,
-1186979,-1748895,settlement,"Dog Mills","Dog Mills",official,54.35,-4.383333,IM-000,,
-1187018,-1748967,settlement,"Saint Patrick","Saint Patrick",variant,54.2,-4.7,IM-000,,
-1187029,-1748953,settlement,Ronaldsway,Ronaldsway,official,54.083333,-4.616667,IM-000,,
-1186949,-1748860,hydrographic,"Bahama Bank","Bahama Bank",official,54.366667,-4.25,IM-000,,
-1187036,-1748968,settlement,Santon,Santon,official,54.116667,-4.583333,IM-000,,
-1187037,-1748969,hypsographic,"Santon Head","Santon Head",official,54.1,-4.55,IM-000,,
-1186981,-1748897,hydrographic,"Douglas Bay","Douglas Bay",official,54.15,-4.45,IM-000,,
-1187036,-1748955,settlement,"Saint Anne","Saint Anne",variant,54.116667,-4.583333,IM-000,,
-1187005,-1748922,hypsographic,"Little Ness","Little Ness",official,54.133333,-4.5,IM-000,,
-1187039,-1748883,hypsographic,"Point Cranstal","Point Cranstal",variant,54.366667,-4.366667,IM-000,,
-1187009,-1748926,hypsographic,"Glen Mona","Glen Mona",official,54.266667,-4.366667,IM-000,,
-1187008,-1748925,hypsographic,"Maughold Head","Maughold Head",official,54.3,-4.316667,IM-000,,
-1187047,-1748886,spot,Cronky-y-Keillown,Cronky-y-Keillown,variant,54.2,-4.633333,IM-000,,
-1187016,-1748878,settlement,Conchan,Conchan,variant,54.183333,-4.45,IM-000,,
-1187038,-1748970,hypsographic,"Scarlet Point","Scarlet Point",official,54.066667,-4.666667,IM-000,,
-1186993,-1748909,settlement,Jurby,Jurby,official,54.35,-4.533333,IM-000,,
-1186976,-1748891,settlement,Derbyhaven,Derbyhaven,official,54.083333,-4.616667,IM-000,,
-1187001,-1748918,hydrographic,"Laxey Bay","Laxey Bay",official,54.216667,-4.383333,IM-000,,
-1186959,-1748870,hypsographic,"Calf of Man","Calf of Man",official,54.05,-4.833333,IM-000,,
-1187027,-1748952,hydrographic,"Rhenass Waterfall","Rhenass Waterfall",variant,54.233333,-4.566667,IM-000,,
-1186971,-1748885,settlement,Cregneish,Cregneish,official,54.066667,-4.766667,IM-000,,
-1186992,-1748908,administrative_region,"Isle of Man","Isle of Man",official,54.25,-4.5,IM-000,,
-1186961,-1748947,hydrographic,"Poyll Vaaish Bay","Poyll Vaaish Bay",variant,54.066667,-4.716667,IM-000,,
-1187027,-1748950,hydrographic,Rhenas,Rhenas,official,54.233333,-4.566667,IM-000,,
-1187004,-1748921,settlement,Lezayre,Lezayre,official,54.316667,-4.416667,IM-000,,
-1187000,-1748917,settlement,Laxey,Laxey,official,54.233333,-4.4,IM-000,,
-1186977,20082467,hydrographic,Dhoo,Dhoo,official,54.15,-4.466667,IM-000,,
-1187002,-1748919,hypsographic,"Laxey Glen","Laxey Glen",official,54.233333,-4.416667,IM-000,,
-1187037,-1748957,hypsographic,"Saint Anns Head","Saint Anns Head",variant,54.1,-4.55,IM-000,,
-1187010,-1748927,hypsographic,"Glen Mooar","Glen Mooar",official,54.266667,-4.6,IM-000,,
-1186983,-1748899,hypsographic,"Douglas Head","Douglas Head",official,54.15,-4.466667,IM-000,,
-1186957,-1748868,hypsographic,"Bradda Head","Bradda Head",official,54.1,-4.766667,IM-000,,
-1186986,-1748902,settlement,Foxdale,Foxdale,official,54.166667,-4.616667,IM-000,,
-1187045,-1748977,spot,"Sulby Glen Station","Sulby Glen Station",official,54.316667,-4.5,IM-000,,
-1186961,-1748872,hydrographic,"Bay ny Carrickey","Bay ny Carrickey",official,54.066667,-4.716667,IM-000,,
-1187034,-1748963,hydrographic,"Port Saint Mary","Port Saint Mary",official,54.066667,-4.733333,IM-000,,
-1187048,-1748980,settlement,"Union Mills","Union Mills",official,54.166667,-4.516667,IM-000,,
-1186951,-1748862,hydrographic,"Ballacash Bank","Ballacash Bank",official,54.433333,-4.233333,IM-000,,
-1187039,-1748971,hypsographic,"Shellag Point","Shellag Point",official,54.366667,-4.366667,IM-000,,
-1186978,-1748893,hypsographic,Dhoon,Dhoon,variant,54.25,-4.366667,IM-000,,
-1186984,-1748900,hypsographic,"Elby Point","Elby Point",official,54.166667,-4.733333,IM-000,,
-1187043,-1748975,hydrographic,"Strunakill Bank","Strunakill Bank",official,54.416667,-4.383333,IM-000,,
-1187027,-1748951,hydrographic,"Rhenas Fall","Rhenas Fall",variant,54.233333,-4.566667,IM-000,,
-1187046,20082464,hydrographic,Sulby,Sulby,official,54.333333,-4.383333,IM-000,,
-1187007,-1748924,settlement,Maughold,Maughold,official,54.3,-4.316667,IM-000,,
-1187021,-1748942,settlement,"Port Erin","Port Erin",official,54.1,-4.783333,IM-000,,
-1186964,-1748875,hypsographic,"Chicken Rock","Chicken Rock",official,54.033333,-4.833333,IM-000,,
-1187006,-1748923,hypsographic,"Isle of Man","Isle of Man",official,54.25,-4.5,IM-000,,
-1187014,-1748929,hypsographic,"Naggin Head","Naggin Head",variant,54.066667,-4.75,IM-000,,
-1186973,-1748888,settlement,Dalby,Dalby,official,54.166667,-4.733333,IM-000,,
-1187042,-1748974,hypsographic,"Spanish Head","Spanish Head",official,54.066667,-4.766667,IM-000,,
-1187022,-1748944,settlement,"Port Saint Mary","Port Saint Mary",official,54.066667,-4.733333,IM-000,,
-1186987,20082466,hydrographic,Glass,Glass,official,54.166667,-4.5,IM-000,,
-1186948,-1748859,hypsographic,"The Ayre","The Ayre",official,54.4,-4.416667,IM-000,,
-1186966,-1748877,settlement,Colby,Colby,official,54.1,-4.716667,IM-000,,
-1187024,-1748946,settlement,"Port Soderick","Port Soderick",official,54.116667,-4.533333,IM-000,,
-1187047,-1748979,spot,"Tynwald Hill","Tynwald Hill",official,54.2,-4.633333,IM-000,,
-1186956,-1748867,spot,"Bishops Court","Bishops Court",official,54.3,-4.583333,IM-000,,
-1186991,-1748907,hypsographic,"Glen Helen","Glen Helen",official,54.216667,-4.583333,IM-000,,
-1187026,-1748949,hydrographic,"Ramsey Bay","Ramsey Bay",official,54.35,-4.3,IM-000,,
-1186970,-1748884,settlement,Cranstall,Cranstall,variant,54.4,-4.366667,IM-000,,
-1187046,-1748978,hydrographic,"Sulby River","Sulby River",official,54.333333,-4.383333,IM-000,,
-1187033,-1748962,settlement,"Saint Marks","Saint Marks",official,54.133333,-4.6,IM-000,,
-1186954,-1748865,hypsographic,"Banks Howe","Banks Howe",official,54.166667,-4.416667,IM-000,,
-1187022,-1748943,settlement,"Port Mary","Port Mary",variant,54.066667,-4.733333,IM-000,,
-1186965,-1748876,hypsographic,"Clay Head","Clay Head",official,54.2,-4.4,IM-000,,
-1186946,-1748857,settlement,Andreas,Andreas,official,54.366667,-4.433333,IM-000,,
-1186968,-1748940,hydrographic,"Port Cornah","Port Cornah",variant,54.266667,-4.35,IM-000,,
-1187030,-1748954,hypsographic,"Rue Point","Rue Point",official,54.4,-4.45,IM-000,,
-1186996,-1748912,settlement,"Kirk Braddan","Kirk Braddan",variant,54.166667,-4.516667,IM-000,,
-1187016,-1748935,settlement,Onchan,Onchan,official,54.183333,-4.45,IM-000,,
-1186950,-1748861,settlement,Ballabeg,Ballabeg,official,54.1,-4.683333,IM-000,,
-1186972,-1748887,settlement,Crosby,Crosby,official,54.183333,-4.566667,IM-000,,
-1187003,-1748920,hypsographic,"Laxey Head","Laxey Head",official,54.233333,-4.366667,IM-000,,
-1186975,-1748890,hydrographic,"Derby Haven","Derby Haven",official,54.083333,-4.616667,IM-000,,
-1186969,-1748881,hydrographic,"Craig Rock","Craig Rock",official,54.266667,-4.666667,IM-000,,
-1186974,-1748889,hypsographic,"Dalby Point","Dalby Point",official,54.183333,-4.733333,IM-000,,
-1187007,-1748964,settlement,"Saint Maughold","Saint Maughold",variant,54.3,-4.316667,IM-000,,
-1186955,-1748866,spot,Barony,Barony,official,54.266667,-4.333333,IM-000,,
-1186977,-1748892,hydrographic,"River Dhoo","River Dhoo",official,54.15,-4.466667,IM-000,,
-1186987,-1748903,hydrographic,"River Glass","River Glass",official,54.166667,-4.5,IM-000,,
-1186998,-1748915,hypsographic,Langness,Langness,official,54.05,-4.616667,IM-000,,
-1186953,-1748864,settlement,Ballasalla,Ballasalla,official,54.1,-4.633333,IM-000,,
-1186985,-1748901,hydrographic,"Fleshwick Bay","Fleshwick Bay",official,54.116667,-4.75,IM-000,,
-1186997,-1748914,settlement,Kirkmichael,Kirkmichael,official,54.283333,-4.583333,IM-000,,
-1186968,-1748880,hydrographic,"Port Corna","Port Corna",official,54.266667,-4.35,IM-000,,
-1186967,-1748879,hypsographic,"Contrary Head","Contrary Head",official,54.216667,-4.733333,IM-000,,
-1187014,-1748932,hypsographic,"Nogging Head","Nogging Head",variant,54.066667,-4.75,IM-000,,
-1186963,-1748874,hydrographic,"Castletown Bay","Castletown Bay",official,54.066667,-4.633333,IM-000,,
-1186989,-1748905,hydrographic,"Port Grenaugh","Port Grenaugh",official,54.1,-4.566667,IM-000,,
-1186990,-1748906,hydrographic,"Port Groudle","Port Groudle",official,54.183333,-4.416667,IM-000,,
-1186999,-1748916,hypsographic,"Langness Point","Langness Point",official,54.05,-4.633333,IM-000,,
-1186988,-1748904,settlement,"Glen Maye","Glen Maye",official,54.183333,-4.7,IM-000,,
-1187035,-1748965,hypsographic,"Saint Michael Island","Saint Michael Island",variant,54.066667,-4.6,IM-000,,
-1186995,-1748911,hydrographic,"King William Banks","King William Banks",official,54.45,-4.083333,IM-000,,
-1186952,-1748863,settlement,Ballakinnag,Ballakinnag,official,54.333333,-4.55,IM-000,,
-1186980,-1748941,settlement,"Port Douglas","Port Douglas",variant,54.15,-4.483333,IM-000,,
-1187023,-1748945,hydrographic,"Port Saint Mary Bay","Port Saint Mary Bay",official,54.066667,-4.733333,IM-000,,
-1187012,-1748930,hydrographic,"River Neb","River Neb",official,54.216667,-4.7,IM-000,,
-1187033,-1748961,settlement,"Saint Mark","Saint Mark",variant,54.133333,-4.6,IM-000,,
-1187015,-1748934,hypsographic,"North Barrule","North Barrule",official,54.283333,-4.4,IM-000,,
-1186970,-1748882,settlement,Cranstal,Cranstal,official,54.4,-4.366667,IM-000,,
-1186978,-1748894,hypsographic,"Dhoon Glen","Dhoon Glen",official,54.25,-4.366667,IM-000,,
-1187020,-1748939,hydrographic,"Perwick Bay","Perwick Bay",official,54.066667,-4.75,IM-000,,
-1187041,-1748973,hypsographic,"South Barrule","South Barrule",official,54.15,-4.666667,IM-000,,
-1187049,-1748981,hydrographic,"Whitestone Bank","Whitestone Bank",official,54.4,-4.316667,IM-000,,
-1187032,-1748960,settlement,"Saint Johns","Saint Johns",official,54.2,-4.633333,IM-000,,
-1187035,-1748966,hypsographic,"Saint Michaels Island","Saint Michaels Island",official,54.066667,-4.6,IM-000,,
-1186962,-1748873,settlement,Castletown,Castletown,official,54.083333,-4.65,IM-000,,
-1186982,-1748898,hydrographic,"Douglas Harbour","Douglas Harbour",official,54.15,-4.466667,IM-000,,
-1186947,-1748858,hypsographic,"Point of Ayre","Point of Ayre",official,54.416667,-4.383333,IM-000,,
38656,48625,hydrographic,"Wart Bank","Wart Bank",official,54.05,-4.766667,IM-000,,
38658,48636,hypsographic,"Mount Karrin","Mount Karrin",official,54.291667,-4.5,IM-000,,
