wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1204022,-1769512,hypsographic,"Point Marianne","Point Marianne",variant,-7.312784,72.433041,IO-000,,
-1203987,-1769500,hypsographic,"Gunners Coign","Gunners Coign",variant,-5.427791,71.881169,IO-000,,
-1204015,-1769505,hypsographic,"Île Longue","Ile Longue",official,-5.269374,71.869397,IO-000,,
-1204025,-1769516,settlement,"Minni Minni","Minni Minni",official,-7.316926,72.482918,IO-000,,
-1204064,-1769560,hypsographic,"West Island","West Island",official,-7.248096,72.384715,IO-000,,
-1204018,10824925,hypsographic,"Île Manoël","Ile Manoel",variant,-5.259373,71.922461,IO-000,,
-1204055,-1769550,hydrographic,"Spur Reef","Spur Reef",official,-7.235083,72.406151,IO-000,,
-1204022,10809462,hypsographic,"Pointe Marianne","Pointe Marianne",official,-7.312784,72.433041,IO-000,,
-1204062,-1769558,hypsographic,"Île Verte","Ile Verte",official,-5.328901,71.743409,IO-000,,
-1203983,-1769466,hypsographic,"Île Carre Pate","Ile Carre Pate",official,-6.678076,71.363225,IO-000,,
-1204048,-1769542,hypsographic,"Île Saint-Brandon","Ile Saint-Brandon",variant,-5.248408,71.833974,IO-000,,
-1203990,-1769476,hypsographic,Danger,Danger,official,-6.383333,71.265278,IO-000,,
-1204049,-1769543,hypsographic,"Salomon Islands","Salomon Islands",official,-5.328894,72.244606,IO-000,,
-1204066,19908429,hypsographic,"Île Yēyē","Ile Yeye",variant,-5.24302,71.962352,IO-000,,
-1203976,-1769459,hydrographic,"Barton Pass","Barton Pass",variant,-7.225295,72.431697,IO-000,,
-1204023,-1769513,hypsographic,"Middle Island","Middle Island",official,-7.228612,72.408546,IO-000,,
-1204026,-1769517,hydrographic,"Minni Minni Patch","Minni Minni Patch",official,-7.309997,72.471074,IO-000,,
-1204008,-1769497,hypsographic,"Grande Île Mapou","Grande Ile Mapou",official,-5.265438,71.750875,IO-000,,
-1203986,-1769472,hypsographic,"Île du Coin","Ile du Coin",official,-5.453976,71.766186,IO-000,,
-1203985,-1769469,hypsographic,Chagos,Chagos,variant,-6,72,IO-000,,
-1203989,-1769475,hypsographic,"Cust Point","Cust Point",official,-7.290236,72.493014,IO-000,,
-1204037,-1769530,hypsographic,"Peros Banhos","Peros Banhos",official,-5.332494,71.8502,IO-000,,
-1203978,-1769461,hydrographic,"Benares Shoals","Benares Shoals",official,-5.25777,71.672444,IO-000,,
-1204028,-1769519,hypsographic,"Moresby Islands","Moresby Islands",official,-5.237162,71.826577,IO-000,,
-1204039,-1769533,hypsographic,"Petite Île de la Passe","Petite Ile de la Passe",short,-5.233427,71.817279,IO-000,,
-1204060,-1769556,hypsographic,"Île Vache Marine","Ile Vache Marine",official,-5.424321,71.829625,IO-000,,
