wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-112389,-174441,settlement,By,By,official,45.883333,7.3,IT-23,,
-117793,-181466,settlement,Forme,Forme,official,42.1,13.433333,IT-65,,
-130585,-198862,settlement,Temù,Temu,official,46.25,10.466667,IT-25,,
-116694,-179992,settlement,Cure,Cure,official,45.7,10.066667,IT-25,,
-130789,-199161,settlement,Tina,Tina,official,45.416667,7.933333,IT-21,,
-129978,-198045,settlement,Sorti,Sorti,official,43.116667,12.95,IT-57,,
-130608,-198898,settlement,Teora,Teora,official,42.416667,13.25,IT-65,,
-122953,-188706,settlement,Ne,Ne,official,44.35,9.4,IT-42,,
-111464,-173236,settlement,Beo,Beo,official,44.383333,9.633333,IT-42,,
-123509,-189443,settlement,Osa,Osa,official,42.733333,12.233333,IT-55,,
-119635,-184158,settlement,Lamia,Lamia,official,38.466667,15.95,IT-78,,
102700,126414,settlement,Pasa,Pasa,short,46.098056,12.124444,IT-34,,
102892,126652,settlement,Dogna,Dogna,short,46.26,12.310556,IT-34,,
-2554653,-3517679,hypsographic,"Mont Vélan","Mont Velan",official,45.9,7.25,S1-000,,
-2554653,-3517680,hypsographic,"Monte Velan","Monte Velan",official,45.9,7.25,S1-000,,
-2554653,-3517677,hypsographic,Vélan,Velan,variant,45.9,7.25,S1-000,,
-2553753,-3516384,hypsographic,"Rätische Alpen","Ratische Alpen",variant,46.5,10,S1-000,,
-2553753,-3516416,hypsographic,"Alpi Reti","Alpi Reti",variant,46.5,10,S1-000,,
-2553077,-3515526,hypsographic,Matterhorn,Matterhorn,colloquial,45.978564,7.655091,S1-000,,
-2553077,-3513443,hypsographic,Cervino,Cervino,variant,45.978564,7.655091,S1-000,,
-2553753,-3516425,hypsographic,"Rhätische Alpen","Rhatische Alpen",official,46.5,10,S1-000,,
-2553077,-3515527,hypsographic,Matterhorn,Matterhorn,official,45.978564,7.655091,S1-000,,
-2554296,-3517197,hypsographic,"Passo di Spluga","Passo di Spluga",variant,46.505445,9.330385,S1-000,,
-2552970,-3515377,hydrographic,Lugano,Lugano,variant,46.001681,9.006525,S1-000,,
