wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1187108,-1749064,settlement,Millbrook,Millbrook,official,49.198611,-2.138333,JE-000,,
-1187131,9355889,hydrographic,"La Baie de St. Ouën","La Baie de St. Ouen",variant,49.216667,-2.25,JE-000,,
-1187119,-1749079,hypsographic,"Rouge Nez Point","Rouge Nez Point",official,49.255278,-2.251389,JE-000,,
-1187065,-1749001,hydrographic,Fliquet,Fliquet,variant,49.229722,-2.018056,JE-000,,
-1187114,9355858,hypsographic,"La Tête de Plémont","La Tete de Plemont",variant,49.260833,-2.2275,JE-000,,
-1187070,-1749009,hypsographic,"Grève au Lançon","Greve au Lancon",official,49.257222,-2.232778,JE-000,,
-1187087,-1749017,spot,"Hougue Bie","Hougue Bie",variant,49.2,-2.066667,JE-000,,
-1187095,-1749043,hypsographic,"Pierre de Lecq","Pierre de Lecq",variant,49.293889,-2.205556,JE-000,,
-1187139,-1749117,hypsographic,"Vicard Point","Vicard Point",official,49.248056,-2.085,JE-000,,
-1187115,-1749074,hydrographic,"Portelet Bay","Portelet Bay",official,49.168611,-2.176944,JE-000,,
-1187136,-1749085,hypsographic,"Rozel Tower","Rozel Tower",variant,49.243333,-2.051944,JE-000,,
-1187073,-1749013,hydrographic,"Grouville Bay","Grouville Bay",official,49.183333,-2.016667,JE-000,,
-1187110,-1749067,hypsographic,"Île Percée","Ile Percee",official,49.166944,-2.1725,JE-000,,
-1187070,-1749008,hypsographic,"Greve au L’anchon","Greve au L'anchon",variant,49.257222,-2.232778,JE-000,,
-1187103,-1749058,hydrographic,"Les Mouriers","Les Mouriers",official,49.253611,-2.17,JE-000,,
-1187123,-1749086,settlement,"Saint Aubin","Saint Aubin",official,49.1875,-2.170556,JE-000,,
-1187050,-1749053,hydrographic,"Les Aiguillons","Les Aiguillons",variant,49.173333,-2.218889,JE-000,,
-1187114,-1749072,hypsographic,"Pleinmont Point","Pleinmont Point",variant,49.260833,-2.2275,JE-000,,
-1187061,-1748995,hydrographic,"Bouley Bay","Bouley Bay",official,49.248056,-2.072222,JE-000,,
-1187096,-1749047,hypsographic,"Point Le Croc","Point Le Croc",official,49.163056,-2.078056,JE-000,,
-1187102,-1749057,hypsographic,"Les Landes","Les Landes",official,49.250556,-2.2475,JE-000,,
-1187125,-1749091,hydrographic,"Saint Brelade Bay","Saint Brelade Bay",variant,49.176389,-2.2,JE-000,,
-1187116,297192,park,"Les Quennevais","Les Quennevais",official,49.1975,-2.206944,JE-000,,
-1187076,-1749018,hypsographic,Jersey,Jersey,official,49.216667,-2.116667,JE-000,,
-1187088,-1749034,spot,"La Hougue Boëte","La Hougue Boete",official,49.236389,-2.1425,JE-000,,
-1187078,9356004,hypsographic,"La Colonbine","La Colonbine",variant,49.254722,-2.093611,JE-000,,
-1187068,295615,settlement,Gouray,Gouray,variant,49.2,-2.033333,JE-000,,
-1187141,-1749121,spot,"Vinchelez de Bas","Vinchelez de Bas",official,49.246667,-2.218056,JE-000,,
-1187132,9356049,hydrographic,"St. Ouen’s Pond","St. Ouen's Pond",variant,49.214444,-2.221667,JE-000,,
-1187111,9356512,hydrographic,"Le Petit Port","Le Petit Port",variant,49.184722,-2.235556,JE-000,,
-1187059,9355986,hydrographic,"Bonne Nuit","Bonne Nuit",variant,49.252778,-2.117778,JE-000,,
-1187120,-1749081,hypsographic,"Roussé Rock","Rousse Rock",official,49.170833,-2.193333,JE-000,,
-1187140,-1749118,settlement,"Ville des Quennevais","Ville des Quennevais",official,49.201944,-2.200278,JE-000,,
-1187100,-1749000,hydrographic,Ecrehos,Ecrehos,variant,49.3,-1.916667,JE-000,,
-1187084,-1749027,hypsographic,"La Crete","La Crete",variant,49.251389,-2.112222,JE-000,,
-1187055,-1748988,hydrographic,"Belcroute Bay","Belcroute Bay",official,49.18,-2.164167,JE-000,,
-1187137,-1749114,hydrographic,"Vallée des Vaux","Vallee des Vaux",official,49.2,-2.1,JE-000,,
-1187084,-1748997,hypsographic,"Crete Point","Crete Point",variant,49.251389,-2.112222,JE-000,,
-1187138,-1749116,hypsographic,"Verclut Point","Verclut Point",official,49.224444,-2.020278,JE-000,,
-1187097,-1749030,hypsographic,"La Fret Point","La Fret Point",variant,49.169167,-2.189444,JE-000,,
-1187112,-1749069,hydrographic,"Petit Port","Petit Port",official,49.25,-2.09,JE-000,,
-1187144,-1749125,hydrographic,"Violet Channel","Violet Channel",official,49.15,-1.95,JE-000,,
-1187122,-1749083,hydrographic,"Rozel Bay","Rozel Bay",official,49.237778,-2.040833,JE-000,,
-1187075,295904,hypsographic,"Hermitage Rock","Hermitage Rock",official,49.173333,-2.125,JE-000,,
-1187118,-1749078,hypsographic,"Rouge Nez","Rouge Nez",official,49.249722,-2.194167,JE-000,,
-1187066,-1749003,hypsographic,"Fremont Point","Fremont Point",official,49.253611,-2.121389,JE-000,,
-1187125,9356783,hydrographic,"La Baie de Saint Brélade","La Baie de Saint Brelade",variant,49.176389,-2.2,JE-000,,
-1187087,-1749033,spot,"La Hougue Bie","La Hougue Bie",official,49.2,-2.066667,JE-000,,
-1187077,14063823,administrative_region,Jersey,Jersey,official,49.216667,-2.116667,JE-000,,
-1187116,-1749076,park,"The Quenvais","The Quenvais",variant,49.1975,-2.206944,JE-000,,
-1187074,9356522,hypsographic,"L’Île au Guerdain","L'Ile au Guerdain",variant,49.169722,-2.1775,JE-000,,
-1187077,-1749019,administrative_region,"Bailiwick of Jersey","Bailiwick of Jersey",official,49.216667,-2.116667,JE-000,,
-1187089,-1749036,hypsographic,"La Motte","La Motte",official,49.160556,-2.077222,JE-000,,
