wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3753200,-4991318,hydrographic,"Rio Pedro","Rio Pedro",official,18.1,-77,JM-14,,
-3753142,-4991249,settlement,Palm,Palm,official,18.2,-77.033333,JM-14,,
-3752026,-4989757,settlement,Grasmond,Grasmond,official,18.064926,-77.66228,JM-11,,
-3753394,-4991579,settlement,Recess,Recess,official,18.216667,-77.033333,JM-14,,
-3753227,-4991361,settlement,Peru,Peru,official,18.383333,-77.666667,JM-07,,
-3752757,-4990752,settlement,Masters,Masters,official,18.016667,-77.15,JM-14,,
-3753393,-4991578,settlement,Reading,Reading,official,18.444675,-77.947005,JM-08,,
-3752254,-4990073,settlement,Hope,Hope,official,17.983333,-77.55,JM-12,,
-3751663,-4989287,settlement,Dunkeld,Dunkeld,official,18.116667,-77.516667,JM-12,,
-3751415,-4988957,settlement,Content,Content,official,18.019719,-77.163548,JM-14,,
-3751417,-4988959,settlement,Content,Content,official,18.054821,-77.436811,JM-12,,
-3751416,-4988958,settlement,Content,Content,official,18.045883,-76.684367,JM-02,,
-3751418,-4988960,settlement,Content,Content,official,18.107,-77.906016,JM-11,,
-3751419,-4988961,settlement,Content,Content,official,18.15,-77.966667,JM-10,,
-3751947,-4989650,spot,Gilnoch,Gilnoch,short,18.033333,-77.65,JM-11,,
-3750877,-4988216,settlement,Belmont,Belmont,official,18.366667,-77.45,JM-06,,
-3750874,-4988212,settlement,Belmont,Belmont,official,18.037691,-77.348609,JM-13,,
-3750992,-4988380,settlement,Bog,Bog,official,18.150672,-77.948473,JM-10,,
-3751010,-4988408,settlement,Booth,Booth,official,18.266667,-77.616667,JM-07,,
-3750875,-4988213,settlement,Belmont,Belmont,official,18.034608,-77.070246,JM-14,,
-3750993,-4988383,settlement,Bogg,Bogg,variant,18.4,-77.133333,JM-06,,
-3750991,-4988379,settlement,Bog,Bog,official,17.82674,-77.238412,JM-13,,
-3750873,-4988211,settlement,Belmare,Belmare,official,17.95,-76.45,JM-03,,
-3750876,-4988215,settlement,Belmont,Belmont,official,18.316667,-77.133333,JM-06,,
-3751414,-4988956,settlement,Content,Content,official,18.021822,-77.073412,JM-14,,
-3753475,-4991683,settlement,"Rio Magno","Rio Magno",official,18.208775,-76.967717,JM-14,,
-3753815,-4992151,settlement,Southfield,Southfield,official,18.433333,-77.283333,JM-06,,
-3753999,-4992384,settlement,"The Cooperage","The Cooperage",official,18.033976,-76.730309,JM-02,,
-3754020,20031505,hydrographic,Thomsons,Thomsons,official,18.066667,-76.633333,JM-03,,
-3753662,-4991953,hydrographic,"Sandy Gully","Sandy Gully",official,17.933333,-76.683333,JM-02,,
-3753525,-4991743,hypsographic,"Rodney’s Lookout","Rodney's Lookout",official,17.933333,-76.883333,JM-14,,
-3753694,-4991999,settlement,Seafield,Seafield,official,18.493141,-77.703454,JM-07,,
-3753958,-4992333,settlement,Swansea,Swansea,official,18.15,-77.15,JM-14,,
-3753516,-4991732,settlement,"Rocky Point","Rocky Point",official,17.774003,-77.261069,JM-13,,
-3753824,-4992160,settlement,Spaldings,Spaldings,official,18.155488,-77.457751,JM-13,,
-3754112,20031497,hydrographic,Ugly,Ugly,official,18.216667,-76.783333,JM-05,,
-3753953,-4992327,settlement,Sussex,Sussex,official,18.416667,-77.216667,JM-06,,
-3754340,-4992857,settlement,"York Village","York Village",variant,17.933333,-77.45,JM-12,,
-3754008,-4992399,hypsographic,"Thetford Mountain","Thetford Mountain",official,18.151607,-77.118587,JM-14,,
-3754250,-4992735,hydrographic,"White River","White River",official,18.366667,-76.95,JM-05,,
-3753985,-4992367,hypsographic,"Mount Telegraph","Mount Telegraph",official,18.154942,-76.754954,JM-05,,
-3754271,-4992766,settlement,Williamsfield,Williamsfield,official,18.009269,-76.269829,JM-04,,
-3754030,-4992429,hydrographic,"Tingley Gully","Tingley Gully",official,18.116667,-77.183333,JM-14,,
-3753290,-4990544,settlement,"Long Wharf","Long Wharf",variant,17.892722,-77.131883,JM-14,,
-3753807,-4992143,settlement,"Soursop Turn","Soursop Turn",official,18.028383,-77.224043,JM-13,,
-3753874,-4992223,settlement,"Spur Tree Hill","Spur Tree Hill",variant,18.01068,-77.554435,JM-12,,
-3753645,-4991930,hypsographic,"Salt Savanna","Salt Savanna",official,17.784349,-77.248307,JM-13,,
-3753594,-4991859,settlement,"Saint John’s","Saint John's",official,18.209703,-77.154961,JM-06,,
-3754212,-4992683,administrative_region,Westmorland,Westmorland,variant,18.233333,-78.15,JM-10,,
-3753914,-4992274,settlement,"Stony Hill","Stony Hill",official,18.180875,-76.480453,JM-04,,
-3754294,-4992794,settlement,Windsor,Windsor,official,18.359449,-77.647758,JM-07,,
-3753982,-4992363,settlement,"Teak Pen","Teak Pen",official,18.048369,-77.263678,JM-13,,
-3753490,-4991704,hydrographic,"Roaring River","Roaring River",official,17.951722,-76.388575,JM-03,,
-3753563,-4991795,settlement,Rozelle,Rozelle,official,17.866667,-76.45,JM-03,,
-3754272,-4992767,settlement,Williamsfield,Williamsfield,official,18.016667,-76.983333,JM-14,,
-3754068,-4992475,settlement,Treadways,Treadways,official,18.189867,-77.042047,JM-14,,
-3754163,-4992610,hydrographic,"Walkens Bay","Walkens Bay",variant,17.848473,-77.005217,JM-14,,
-3753491,20031570,hydrographic,Roaring,Roaring,official,18.139032,-77.325864,JM-13,,
-3754097,-4992518,hydrographic,"Turtle Bay","Turtle Bay",official,18.043136,-76.271694,JM-04,,
-3754099,20031502,hydrographic,"Turtle Crawle","Turtle Crawle",official,18.173369,-76.418181,JM-04,,
-3753536,-4991761,settlement,"Rose Hill","Rose Hill",variant,17.925576,-77.646953,JM-11,,
-3754027,-4991689,hydrographic,"The Rio Tiber River","The Rio Tiber River",variant,18.333333,-77,JM-05,,
-3754191,-4992648,hydrographic,"Watson Spit","Watson Spit",official,17.883333,-76.316667,JM-03,,
-3753992,-4992374,hydrographic,"Thatch River","Thatch River",official,18.15,-77.383333,JM-13,,
-3753933,-4992297,hydrographic,"River Styx","River Styx",official,18.213538,-78.182681,JM-10,,
-3753255,20031584,hydrographic,Plantain,Plantain,official,17.933333,-77.133333,JM-14,,
-3753825,-4990569,hydrographic,"Luana River","Luana River",variant,18.045264,-77.903977,JM-11,,
-3753250,-4991392,hydrographic,"Pindars River","Pindars River",official,18.082563,-77.228642,JM-13,,
-3753477,-4991688,hydrographic,"Rio Nuevo Bay","Rio Nuevo Bay",official,18.413268,-77.013979,JM-05,,
-3753983,-4992364,hydrographic,"Teak River","Teak River",official,18.1,-77.266667,JM-13,,
-3753863,-4992208,settlement,"Spring Mount","Spring Mount",official,18.383333,-77.85,JM-08,,
-3754334,20031473,hydrographic,Yallahs,Yallahs,official,17.868624,-76.594619,JM-000,,
-3753255,-4991398,hydrographic,"Plantain River","Plantain River",official,17.933333,-77.133333,JM-14,,
-3754189,-4992645,settlement,"Water Works","Water Works",official,18.248343,-78.053427,JM-10,,
-3754213,-4992684,settlement,Westphalia,Westphalia,official,18.066667,-77.65,JM-11,,
-3753645,-4991931,hypsographic,"Salt Savannah","Salt Savannah",variant,17.784349,-77.248307,JM-13,,
-3754171,-4992623,hypsographic,Wareika,Wareika,official,17.983333,-76.75,JM-02,,
-3753924,-4992285,hypsographic,"Stowe Mountain","Stowe Mountain",official,18.366667,-78.083333,JM-10,,
-3753674,-4991969,hypsographic,"Santa Cruz Range","Santa Cruz Range",variant,17.980608,-77.707101,JM-11,,
-3753641,20031554,hydrographic,Salt,Salt,official,18.379843,-76.893668,JM-05,,
-3753399,-4989673,settlement,"Globe Mountains","Globe Mountains",variant,18.066667,-77.883333,JM-11,,
-3754186,-4992642,settlement,"Water Valley","Water Valley",official,17.866667,-76.383333,JM-03,,
-3753531,-4991749,settlement,"Rollington Town","Rollington Town",official,17.976925,-76.770166,JM-01,,
-3753838,-4992176,settlement,Spotfield,Spotfield,official,18.402561,-77.558721,JM-07,,
-3753919,20031523,hydrographic,Stony,Stony,official,18.132808,-77.400962,JM-13,,
-3753648,-4991935,hydrographic,"Salt Spring Gut","Salt Spring Gut",official,18.517358,-77.883333,JM-08,,
-3753820,-4992156,hypsographic,"Southwest Cay","Southwest Cay",official,17.383333,-76.016667,JM-000,,
-3754266,-4992759,hydrographic,"Wild Cane River","Wild Cane River",official,17.95,-76.433333,JM-03,,
-3754286,-4992782,settlement,Wilson,Wilson,official,18.266667,-77.566667,JM-07,,
-3753532,-4991750,settlement,Rome,Rome,official,18.418566,-78.045191,JM-09,,
-3753871,-4992218,settlement,"Spring Valley","Spring Valley",official,18.4,-77.033333,JM-05,,
-3754309,-4992811,hydrographic,"Woman River","Woman River",official,18.166667,-76.583333,JM-04,,
-3753825,-4992162,hydrographic,"Spanish Gully","Spanish Gully",official,18.045264,-77.903977,JM-11,,
-3753333,-4991505,settlement,Prosper,Prosper,variant,18.35,-77.816667,JM-08,,
-3754205,-4992670,settlement,Westfield,Westfield,official,18.35,-78.25,JM-09,,
-3753777,-4992107,hydrographic,"Slippery Gully","Slippery Gully",variant,18.445341,-77.810562,JM-08,,
-3753567,-4991803,settlement,"Runaway Village","Runaway Village",variant,18.459616,-77.335704,JM-06,,
-3753814,-4992150,settlement,Southfield,Southfield,official,17.887803,-77.667133,JM-11,,
-3753835,-4992172,settlement,"Spicy Grove","Spicy Grove",official,18.397208,-76.948338,JM-05,,
-3753398,-4992389,settlement,"The Rectory","The Rectory",variant,18.066667,-77.266667,JM-13,,
-3754347,-4992865,hypsographic,"Mount Zion","Mount Zion",official,18.216667,-77.066667,JM-000,,
-3753894,-4992249,hypsographic,"Stewarts Hill","Stewarts Hill",official,17.95,-76.616667,JM-03,,
-3753899,-4992239,settlement,"Sterling Castle","Sterling Castle",variant,18.05,-76.833333,JM-02,,
-3753803,-4992139,settlement,Somerville,Somerville,official,18.133333,-77.05,JM-14,,
-3753251,-4991393,hydrographic,"Pindars River","Pindars River",official,18.122749,-76.924869,JM-14,,
-3753877,-4992226,settlement,"Stanberry Grove","Stanberry Grove",official,18.076512,-76.940155,JM-14,,
-3753542,-4991764,settlement,"Rose Hill","Rose Hill",official,18.493625,-77.766805,JM-08,,
-3754088,-4992506,park,Tryall,Tryall,official,18.361017,-76.917066,JM-05,,
-3753825,-4990570,hydrographic,"Luana Spring","Luana Spring",variant,18.045264,-77.903977,JM-11,,
-3753770,-4992098,settlement,Skibo,Skibo,official,18.19219,-76.63442,JM-04,,
-3754095,-4992515,settlement,"Tulloch Estate","Tulloch Estate",variant,18.112597,-76.994442,JM-14,,
-3753529,-4991747,hydrographic,"Rogers River","Rogers River",official,17.863967,-77.444223,JM-12,,
-3753869,-4992216,hydrographic,"Spring Vale River","Spring Vale River",official,18.105505,-77.030134,JM-14,,
-3753841,-4992180,hypsographic,"Mount Spring","Mount Spring",official,18.3,-78.233333,JM-10,,
-3753923,-4992284,hydrographic,"Stony Valley River","Stony Valley River",official,17.991582,-76.624432,JM-03,,
-3753634,-4991915,settlement,"Salt Pond Pen","Salt Pond Pen",official,17.95,-76.933333,JM-14,,
-3753558,-4991788,settlement,Rowington,Rowington,variant,17.9,-77.316667,JM-13,,
-3754020,-4992417,hydrographic,"Thomson River","Thomson River",variant,18.066667,-76.633333,JM-03,,
-3754016,-4992412,settlement,"Thompsons Bush","Thompsons Bush",official,18.4,-78.05,JM-09,,
-3753324,-4991488,settlement,"Priestmans River","Priestmans River",official,18.134774,-76.340271,JM-04,,
-3753930,-4992293,settlement,"Sturge Town","Sturge Town",official,18.418331,-77.317718,JM-06,,
-3754251,-4992736,hydrographic,"White River","White River",official,18.41519546,-77.07175815,"JM-05,JM-06",,
-3753570,-4988914,settlement,"Cog Hall","Cog Hall",variant,18.095196,-76.31119,JM-04,,
-3754305,-4992806,settlement,"Windsor Park","Windsor Park",official,17.966667,-76.983333,JM-14,,
-3754126,-4992554,settlement,"Unity Valley","Unity Valley",official,17.916667,-76.35,JM-03,,
-3753314,-4991473,hypsographic,"Port Royal Mountains","Port Royal Mountains",official,17.966667,-76.633333,JM-000,,
-3753289,-4991439,spot,"Port Esquivel","Port Esquivel",short,17.883333,-77.133333,JM-14,,
-3754110,-4992536,hydrographic,"Tyrrells River","Tyrrells River",official,18.31584,-76.809163,JM-05,,
-3753558,-4991789,settlement,"Rowington Park","Rowington Park",official,17.9,-77.316667,JM-13,,
-3753258,20031582,hydrographic,"Plantain Walk","Plantain Walk",official,18.35,-76.916667,JM-05,,
-3753427,-4991621,settlement,"Rest Store","Rest Store",official,17.883333,-77.566667,JM-12,,
-3753973,-4992351,settlement,"Tales Pen","Tales Pen",official,18.016667,-76.966667,JM-14,,
-3753833,-4992170,settlement,"Spencers Pen","Spencers Pen",official,18.016667,-76.95,JM-14,,
-3754341,-4992854,settlement,York,York,official,18.291478,-77.933352,JM-10,,
-3753564,-4991796,hydrographic,"Rozelle Falls","Rozelle Falls",official,17.866667,-76.466667,JM-03,,
-3753530,-4991748,hypsographic,"Roller Hill","Roller Hill",official,17.983333,-77.133333,JM-14,,
-3753847,-4992188,settlement,Springfield,Springfield,official,18.216667,-76.733333,JM-05,,
-3753951,-4992325,park,"Surrey County","Surrey County",variant,18.083333,-76.566667,JM-000,,
-3753504,-4991718,settlement,"Robins River","Robins River",official,18.139227,-77.996513,JM-10,,
-3754262,-4992755,settlement,Whydow,Whydow,variant,18.183333,-76.516667,JM-04,,
-3753527,-4991745,settlement,"Roebuck Hill","Roebuck Hill",official,18.283333,-78.15,JM-10,,
-3754090,-4992505,settlement,Tryal,Tryal,variant,18.45,-78.066667,JM-09,,
-3753908,-4992264,settlement,"Stone Hill","Stone Hill",official,18.033333,-77.116667,JM-14,,
-3753929,-4992291,settlement,Strui,Strui,variant,18.265065,-77.957446,JM-10,,
-3753756,-4992082,hypsographic,"Silver Hill Peak","Silver Hill Peak",official,18.104918,-76.680554,JM-04,,
-3753469,-4991671,hydrographic,"Ridleys Bay","Ridleys Bay",official,17.85111,-77.024519,JM-14,,
-3754346,-4992859,hydrographic,"The Y River","The Y River",variant,18.102094,-77.824614,JM-11,,
-3754039,-4992439,settlement,"Tommy Bush","Tommy Bush",official,18.1,-77.933333,JM-10,,
-3754083,-4992495,settlement,Troy,Troy,official,18.247232,-77.612376,JM-07,,
-3753330,-4991494,settlement,Prospect,Prospect,official,17.933333,-76.466667,JM-03,,
-3753682,-4991984,hydrographic,"Savanna River","Savanna River",official,18.066667,-76.683333,JM-02,,
