wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3847541,-5086717,spot,"Qubūr Ḩamdān","Qubur Hamdan",official,32.521569,36.114859,S1-000,,
-3847541,13147504,spot,"Qabr Ḩamdān","Qabr Hamdan",variant,32.521569,36.114859,S1-000,,
-3847541,13130402,spot,"قبور حمدان","قبور حمدان",unknown,32.521569,36.114859,S1-000,,
-3100732,-4365273,hypsographic,‘Enâza,`Enaza,variant,32.255906,39.221241,S1-000,,
-3100686,-4377352,hydrographic,"Dumaythat Umm Ţu‘ays","Dumaythat Umm Tu`ays",official,31.864306,38.233677,S1-000,,
-3100732,-4377441,hypsographic,"Jabal ‘Unayzah","Jabal `Unayzah",official,32.255906,39.221241,S1-000,,
-3100732,-4361441,hypsographic,"Jabal Anazan","Jabal Anazan",variant,32.255906,39.221241,S1-000,,
-3100732,-4377443,hypsographic,"Jabal ‘Unāzah","Jabal `Unazah",official,32.255906,39.221241,S1-000,,
-3100732,-4367810,hypsographic,"Jebel ‘Ināza","Jebel `Inaza",variant,32.255906,39.221241,S1-000,,
-3100732,-4361447,hypsographic,"Jebel ‘Aneiza","Jebel `Aneiza",variant,32.255906,39.221241,S1-000,,
-3100732,-4361420,hypsographic,"Jabal Anaizah","Jabal Anaizah",variant,32.255906,39.221241,S1-000,,
-3100686,-4377337,hydrographic,"Dumaythat Umm Ta‘īs","Dumaythat Umm Ta`is",variant,31.864306,38.233677,S1-000,,
-3100732,16562103,hypsographic,"تل عنازة","تل عنازة",unknown,32.255906,39.221241,S1-000,,
-3100732,16562104,hypsographic,"Tall ‘Unāzah","Tall `Unazah",official,32.255906,39.221241,S1-000,,
-3100686,-4377336,hydrographic,"Dumaythāt Umm Ta’āyis","Dumaythat Umm Ta'ayis",variant,31.864306,38.233677,S1-000,,
-3100686,-4377387,hydrographic,"Dmejtet Ummu Ṭe‘ejs","Dmejtet Ummu Te`ejs",variant,31.864306,38.233677,S1-000,,
-3100732,-4361436,hypsographic,Anaza,Anaza,variant,32.255906,39.221241,S1-000,,
-3100732,-4361437,hypsographic,"Jabal ‘Anazah","Jabal `Anazah",variant,32.255906,39.221241,S1-000,,
-3100732,-4377446,hypsographic,‘Unâza,`Unaza,variant,32.255906,39.221241,S1-000,,
-3098021,17873436,hydrographic,"Wādī Nuwaybi‘","Wadi Nuwaybi`",official,29.381343,34.964681,S1-000,,
-3098021,6485620,hydrographic,"وَادِي اَلنُّوَيْبِع","وادي النويبع",unknown,29.381343,34.964681,S1-000,,
-3098021,-4372084,hydrographic,"Wādī an Nuwaybi‘","Wadi an Nuwaybi`",variant,29.381343,34.964681,S1-000,,
-3098021,-4361572,hydrographic,An-Nuwejb‘e,An-Nuwejb`e,variant,29.381343,34.964681,S1-000,,
-3098021,-4372093,hydrographic,"Wādi el Nuweibi","Wadi el Nuweibi",variant,29.381343,34.964681,S1-000,,
-3098021,-4361573,hydrographic,An-Nwêb‘e,An-Nweb`e,variant,29.381343,34.964681,S1-000,,
-3098021,-4372086,hydrographic,"Wādī an Nuwaybi‘ī","Wadi an Nuwaybi`i",variant,29.381343,34.964681,S1-000,,
-3097420,-4370981,hypsographic,"Jabal Mubārak","Jabal Mubarak",variant,29.332489,35.199949,JO-AQ,,
-3097420,6485621,hypsographic,"جَبَل اَلْمَبْرَك","جبل المبرك",unknown,29.332489,35.199949,JO-AQ,,
-3097420,-4369793,hypsographic,"Jabal al Mabrak","Jabal al Mabrak",official,29.332489,35.199949,JO-AQ,,
-3094580,-4365045,hydrographic,"Wādī ed Dumeitha Um Maḩfūr","Wadi ed Dumeitha Um Mahfur",variant,31.933052,38.171294,S1-000,,
-3094580,-4377135,hydrographic,"Dumaythat Umm Maḩfūr","Dumaythat Umm Mahfur",variant,31.933052,38.171294,S1-000,,
-3094580,-4377134,hydrographic,"Dumaythat Umm Maḩāfīr","Dumaythat Umm Mahafir",variant,31.933052,38.171294,S1-000,,
-3093608,-4358157,hydrographic,"Khabra ‘Adhaman","Khabra `Adhaman",variant,31.788439,38.094709,S1-000,,
-3094580,-4377366,hydrographic,"Dmejtet Ummu Mḥaffûr","Dmejtet Ummu Mhaffur",variant,31.933052,38.171294,S1-000,,
-3094580,16563071,hydrographic,"Wādī ad Dumaythat Umm Maḩfūr","Wadi ad Dumaythat Umm Mahfur",official,31.933052,38.171294,S1-000,,
-3093608,-4363069,hydrographic,"H̱abra ‘Azâmân","Habra `Azaman",variant,31.788439,38.094709,S1-000,,
-3094580,-4365040,hydrographic,"Wādī ad Dumaythah Umm Maḩfūr","Wadi ad Dumaythah Umm Mahfur",variant,31.933052,38.171294,S1-000,,
-3094580,16563073,hydrographic,"وادي دميثة أم محفور","وادي دميثة أم محفور",unknown,31.933052,38.171294,S1-000,,
-3093608,-4367904,hydrographic,"Khabrat ‘Iz̧āmān","Khabrat `Izaman",variant,31.788439,38.094709,S1-000,,
-3094580,-4371067,hydrographic,Muhaifu,Muhaifu,variant,31.933052,38.171294,S1-000,,
-3093608,-4363071,hydrographic,"Khabrat ‘Az̧āmān","Khabrat `Azaman",official,31.788439,38.094709,S1-000,,
-3094580,16563072,hydrographic,"Wādī Dumaythat Umm Maḩfūr","Wadi Dumaythat Umm Mahfur",official,31.933052,38.171294,S1-000,,
-3094580,-4365038,hydrographic,"Dumaythah Umm Maḩfūr","Dumaythah Umm Mahfur",variant,31.933052,38.171294,S1-000,,
-3093608,-4363072,hydrographic,"Qā‘ ‘Az̧āmān","Qa` `Azaman",variant,31.788439,38.094709,S1-000,,
-3091709,-4366537,hypsographic,"Hamād Desert","Hamad Desert",variant,32.003135,39.491274,S1-000,,
-3091709,-4359378,hypsographic,"Al Ḩamād","Al Hamad",official,32.003135,39.491274,S1-000,,
-3091709,-4365186,hypsographic,"El Hamad","El Hamad",variant,32.003135,39.491274,S1-000,,
-3091709,14377134,hypsographic,الحماد,الحماد,unknown,32.003135,39.491274,S1-000,,
-2549582,-3512474,hypsographic,"Jebel ez Zoumla","Jebel ez Zoumla",variant,32.518673,36.117532,S1-000,,
-2549492,18526780,hypsographic,"مخاضة زور كنعان","مخاضة زور كنعان",unknown,32.68163,35.666823,S1-000,,
-2549492,-3512207,hypsographic,"Makhāḑat Zawr Kan‘ān","Makhadat Zawr Kan`an",short,32.68163,35.666823,S1-000,,
-2549582,-3512523,hypsographic,"Jabal az Zumlah","Jabal az Zumlah",official,32.518673,36.117532,S1-000,,
-2549582,-3512077,hypsographic,"Jebel ez Zamla","Jebel ez Zamla",variant,32.518673,36.117532,S1-000,,
-2549492,-3512450,hypsographic,"Makhadat Zor Kan‘an","Makhadat Zor Kan`an",variant,32.68163,35.666823,S1-000,,
-2549582,-3512372,hypsographic,"Jebel ez Zimla","Jebel ez Zimla",variant,32.518673,36.117532,S1-000,,
-2549582,-3512475,hypsographic,"Jebel ez Zoumle","Jebel ez Zoumle",variant,32.518673,36.117532,S1-000,,
-2549582,-3512527,hypsographic,"Djebel el Zumle","Djebel el Zumle",variant,32.518673,36.117532,S1-000,,
-2549582,18562175,hypsographic,"جبل الزملة","جبل الزملة",unknown,32.518673,36.117532,S1-000,,
-2549123,13147456,hydrographic,"Wādī Umm Shāmah","Wadi Umm Shamah",official,32.435934,37.056187,S1-000,,
-2549123,-3511594,hydrographic,"Wādī Umm Shahamī","Wadi Umm Shahami",variant,32.435934,37.056187,S1-000,,
-2549037,15028655,spot,"جسر أم بطمة","جسر أم بطمة",unknown,32.691014,35.672085,S1-000,,
-2549130,-3511634,hypsographic,"Tell Um Şīra","Tell Um Sira",variant,32.533333,36.15,S1-000,,
-2549037,-3511377,spot,"Jisr Um Butma","Jisr Um Butma",variant,32.691014,35.672085,S1-000,,
-2549123,-3511633,hydrographic,"Wādī Um Shahamī","Wadi Um Shahami",variant,32.435934,37.056187,S1-000,,
-2549123,-3511595,hydrographic,"Wādī Umm Shaḩmī","Wadi Umm Shahmi",official,32.435934,37.056187,S1-000,,
-2549130,-3511602,hypsographic,"Tall Umm Şīrah","Tall Umm Sirah",official,32.533333,36.15,S1-000,,
-2549123,-3501213,hydrographic,"Ouâdi Mchami","Ouadi Mchami",variant,32.435934,37.056187,S1-000,,
-2549037,-3511492,spot,"Jisr Umm Buţmah","Jisr Umm Butmah",short,32.691014,35.672085,S1-000,,
