wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2261613,14098319,administrative_region,"Rift Valley","Rift Valley",official,0.5,36,KE-000,1,
-2243490,-3098159,administrative_region,"Coast Region","Coast Region",variant,-3,39.5,KE-000,1,
-2260069,-3119328,administrative_region,"Nyanza Region","Nyanza Region",variant,-0.5,34.5,KE-000,1,
-2243971,14098316,administrative_region,Eastern,Eastern,official,1.0E-6,38,KE-000,1,
-2242815,14098314,administrative_region,Central,Central,official,-0.75,37,KE-000,1,
-2243490,14098315,administrative_region,Coast,Coast,official,-3,39.5,KE-000,1,
-2243490,-3098158,administrative_region,"Coast Province","Coast Province",official,-3,39.5,KE-000,1,
-2259593,-3118735,administrative_region,"Northern Frontier","Northern Frontier",variant,1,40.25,KE-000,1,
-2264702,14098320,administrative_region,Western,Western,official,0.5,34.583333,KE-000,1,
-2261613,-3121408,administrative_region,"Rift Valley Region","Rift Valley Region",variant,0.5,36,KE-000,1,
-2264702,-3125365,administrative_region,"Western Province","Western Province",official,0.5,34.583333,KE-000,1,
-2243971,-3098800,administrative_region,"Eastern Province","Eastern Province",official,1.0E-6,38,KE-000,1,
-2259593,-3118734,administrative_region,"North-Eastern Region","North-Eastern Region",variant,1,40.25,KE-000,1,
-2260069,-3119327,administrative_region,"Nyanza Province","Nyanza Province",official,-0.5,34.5,KE-000,1,
-2260069,14098318,administrative_region,Nyanza,Nyanza,official,-0.5,34.5,KE-000,1,
-2259593,-3118733,administrative_region,"North-Eastern Province","North-Eastern Province",official,1,40.25,KE-000,1,
-2242815,-3097323,administrative_region,"Central Region","Central Region",variant,-0.75,37,KE-000,1,
-2243971,-3098801,administrative_region,"Eastern Region","Eastern Region",variant,1.0E-6,38,KE-000,1,
-2259593,14098317,administrative_region,North-Eastern,North-Eastern,official,1,40.25,KE-000,1,
-2264702,-3125366,administrative_region,"Western Region","Western Region",variant,0.5,34.583333,KE-000,1,
-2242815,-3097322,administrative_region,"Central Province","Central Province",official,-0.75,37,KE-000,1,
-2261613,-3121407,administrative_region,"Rift Valley Province","Rift Valley Province",official,0.5,36,KE-000,1,
-2263743,-3124162,spot,Tombe,Tombe,official,-0.539134,35.010679,KE-34,,
-2254804,-3112432,spot,Malava,Malava,official,0.45,34.85,KE-11,,
-2254099,-3111525,spot,Luanda,Luanda,official,0.133333,34.5,KE-11,,
-2251827,-3109972,spot,Kyumu,Kyumu,variant,-0.75,37,KE-29,,
-2244085,-3098944,settlement,Ela,Ela,variant,-1.166667,40.783333,KE-07,,
-2245822,-3101196,hydrographic,Habitre,Habitre,official,0.833333,34.45,KE-03,,
-2246665,-3102258,park,Ititi,Ititi,variant,-2.453822,38.174677,KE-23,,
-2245912,-3101318,hypsographic,Harangi,Harangi,official,-0.55,37.116667,KE-36,,
