wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2331836,20456136,settlement,Razzakov,Razzakov,official,39.838949,69.527605,KG-B,,
-2331836,20456135,settlement,Раззаков,Раззаков,unknown,39.838949,69.527605,KG-B,,
-2913833,-4080283,hypsographic,"Pik Igla","Pik Igla",official,39.4,70.583333,KG-000,,
-3049931,-4675118,hydrographic,"Malyy Dzhanalag","Malyy Dzhanalag",variant,42.574962,79.283849,KG-Y,,
-3049931,13803169,hydrographic,Kichine-Dzhanalach,Kichine-Dzhanalach,official,42.574962,79.283849,KG-Y,,
-3049931,-4136545,hydrographic,"Malyy Dzhanalog","Malyy Dzhanalog",variant,42.574962,79.283849,KG-Y,,
-3049931,13803170,hydrographic,Кичине-Джаналач,Кичине-Джаналач,unknown,42.574962,79.283849,KG-Y,,
-3045437,-4269065,hypsographic,"Gora Zarya Vastoka","Gora Zarya Vastoka",variant,39.472151,73.664807,S1-000,,
-3045437,-4269067,hypsographic,"Pik Zarya-Vostoka","Pik Zarya-Vostoka",official,39.472151,73.664807,S1-000,,
-3045437,13914898,hypsographic,"Пик Заря-Востока","Пик Заря-Востока",unknown,39.472151,73.664807,S1-000,,
-3043366,9188293,hydrographic,"Janubiy Farg‘ona Kanali","Janubiy Farg`ona Kanali",official,40.368459,71.528454,S1-000,,
-3043366,-4266365,hydrographic,"Yuzhnoferganskiy Kanal","Yuzhnoferganskiy Kanal",variant,40.368459,71.528454,S1-000,,
-3043366,13328961,hydrographic,"Южний Ферганский Канал Имени Андреева","Южний Ферганский Канал Имени Андреева",unknown,40.368459,71.528454,S1-000,,
-3043366,504835,hydrographic,"Yuzhniy Ferganskiy Kanal Imeni Andreyeva","Yuzhniy Ferganskiy Kanal Imeni Andreyeva",official,40.368459,71.528454,S1-000,,
-3043366,504833,hydrographic,"Janubiy Farghona Kanali","Janubiy Farghona Kanali",variant,40.368459,71.528454,S1-000,,
-3043366,-4266504,hydrographic,"Yuzhnyy Ferganskiy Kanal","Yuzhnyy Ferganskiy Kanal",variant,40.368459,71.528454,S1-000,,
-3043366,504834,hydrographic,"Tüshtük Fergana Kanaly","Tushtuk Fergana Kanaly",official,40.368459,71.528454,S1-000,,
-3043366,-4266509,hydrographic,"Yuzhnyy Kanal","Yuzhnyy Kanal",variant,40.368459,71.528454,S1-000,,
-3038904,13658510,hypsographic,"Aghbai Kirk-Buloq","Aghbai Kirk-Buloq",official,39.567911,69.799989,S1-000,,
-3038904,13849489,hypsographic,"Pereval Kyrk-Bulak","Pereval Kyrk-Bulak",official,39.567911,69.799989,S1-000,,
-3038904,13658509,hypsographic,"Ағбаи Кирк-булоқ","Ағбаи Кирк-булоқ",unknown,39.567911,69.799989,S1-000,,
-3038904,-4260177,hypsographic,"Pereval Yangisabakh","Pereval Yangisabakh",variant,39.567911,69.799989,S1-000,,
-3038904,-4260178,hypsographic,"Pereval Yangi-Saban","Pereval Yangi-Saban",variant,39.567911,69.799989,S1-000,,
-3038904,-4260176,hypsographic,"Pereval Yangisabak","Pereval Yangisabak",variant,39.567911,69.799989,S1-000,,
-3038904,13849490,hypsographic,"Перевал Кырк-Булак","Перевал Кырк-Булак",unknown,39.567911,69.799989,S1-000,,
-3038904,-4101880,hypsographic,"Pereval Kirk-Bulak","Pereval Kirk-Bulak",variant,39.567911,69.799989,S1-000,,
-3038202,-4259203,hypsographic,"Pereval Yakhrut","Pereval Yakhrut",official,39.583333,69.5,KG-000,,
