wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1352531,-238254,undersea,"Gilbert Seamounts","Gilbert Seamounts",variant,1,173,KI-000,,
-3742663,-4977637,park,Micronesia,Micronesia,colloquial,9,155,S1-000,,
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1352795,-1947778,settlement,Umauma,Umauma,official,-0.716667,174.466667,KI-000,,
-1352468,-1947169,settlement,Baretoa,Baretoa,official,0.45,173.9,KI-000,,
-1352561,-1947361,settlement,Kuma,Kuma,official,3.166667,172.966667,KI-000,,
-1352441,-1947125,hypsographic,Anaua,Anaua,official,1.883333,172.85,KI-000,,
-1352800,-1947784,hydrographic,"Vinstra Shoal","Vinstra Shoal",official,1.383333,172.933333,KI-000,,
-1352434,-1947115,settlement,Abatao,Abatao,official,1.399876,173.118939,KI-000,,
-1352538,-1947377,hypsographic,"Lone Tree Island","Lone Tree Island",variant,1.766667,172.95,KI-000,,
-1352459,-1947157,hypsographic,Autukia,Autukia,official,-0.65,174.45,KI-000,,
-1352680,-1947578,hydrographic,"South Channel","South Channel",official,-3.1,172.75,KI-000,,
-1352703,-1947616,hypsographic,Taboiaki,Taboiaki,official,-0.733333,174.466667,KI-000,,
-1352675,-1947570,hypsographic,Rotuma,Rotuma,official,-0.633333,174.433333,KI-000,,
-1352450,-1947302,hypsographic,"Henderville Island","Henderville Island",variant,0.183333,173.6,KI-000,,
-1352722,-1947569,hypsographic,"Rotcher Island","Rotcher Island",variant,-2.5,175.983333,KI-000,,
-1352436,-1947117,hypsographic,"Abemama Atoll","Abemama Atoll",official,0.4,173.866667,KI-000,,
-1352619,14261279,hypsographic,Nonouti,Nonouti,official,-0.666667,174.35,KI-000,,
-1352712,-1947638,settlement,Taburari,Taburari,variant,-1.916667,175.566667,KI-000,,
-1352644,-1947510,hypsographic,Oteariki,Oteariki,official,3.2,172.7,KI-000,,
-1352702,-1947663,hypsographic,Tapiteouea,Tapiteouea,variant,-1.333333,174.833333,KI-000,,
-1352472,-1947596,hypsographic,Sunday,Sunday,variant,-1.333333,176,KI-000,,
-1352685,-1947583,hypsographic,"South Island","South Island",official,-10,-150.233333,KI-000,,
-1352478,-1947182,hypsographic,Bike,Bike,official,1.883333,172.866667,KI-000,,
-1352755,-1947751,hypsographic,"Tipurao Sandbank","Tipurao Sandbank",variant,-0.683333,174.35,KI-000,,
-1352764,-1947722,hydrographic,"Temaiku Bight","Temaiku Bight",official,1.373497,173.140248,KI-000,,
-1352716,-1947637,settlement,Taburao,Taburao,official,1.820856,173.021079,KI-000,,
-1352573,-1947284,hypsographic,Gilbert,Gilbert,variant,0.916667,173,KI-000,,
-1352631,-1947484,undersea,"Nova Trough","Nova Trough",official,-1.333333,-168.666667,KI-000,,
-1352567,-1947371,hypsographic,"Line Islands","Line Islands",official,1.0E-6,-157,KI-000,,
-1352436,-1947576,hypsographic,"Simpson Island","Simpson Island",variant,0.4,173.866667,KI-000,,
-1352774,-1947735,settlement,Terikai,Terikai,variant,-1.166667,174.716667,KI-000,,
-1352575,-1947373,hypsographic,"Little Makin","Little Makin",variant,3.333333,172.966667,KI-000,,
-1352657,-1947543,settlement,Puakonikai,Puakonikai,official,-0.883333,169.55,KI-000,,
-1352575,-1947538,hypsographic,"Pitts Island","Pitts Island",variant,3.333333,172.966667,KI-000,,
-1352689,-1947614,hydrographic,"Tabiteuea South Lagoon","Tabiteuea South Lagoon",variant,-1.483333,174.933333,KI-000,,
-1352554,-1947289,administrative_region,"Gilbert Islands","Gilbert Islands",variant,-5,-170,KI-000,,
-1352557,-1947354,settlement,Koinawa,Koinawa,official,1.866667,172.983333,KI-000,,
-1352643,-1947311,hypsographic,"Hull Atoll","Hull Atoll",variant,-4.516667,-172.183333,KI-000,,
-1352735,14261147,hypsographic,Tarawa,Tarawa,official,1.416667,173,KI-000,,
-1352711,-1947631,hypsographic,"Tabuaeran Island","Tabuaeran Island",variant,3.866667,-159.333333,KI-000,,
-1352599,-1947429,hypsographic,Nabeina,Nabeina,official,1.439471,173.080576,KI-000,,
-1352762,-1947719,settlement,Tekatirirake,Tekatirirake,official,0.466667,173.866667,KI-000,,
-1352429,-1947136,hypsographic,Apia,Apia,variant,1.86114,172.938142,KI-000,,
-1352629,-1947481,hypsographic,Noto,Noto,official,1.50983,173.01191,KI-000,,
-1352431,-1947111,settlement,Abaokoro,Abaokoro,official,1.497377,173.015288,KI-000,,
-1352564,-1947364,settlement,Kuria,Kuria,official,1.831309,173.012042,KI-000,,
-1352698,-1947607,settlement,Tabiang,Tabiang,official,-1.3,175.983333,KI-000,,
-1352573,-1947382,hypsographic,"Maiana Island","Maiana Island",variant,0.916667,173,KI-000,,
-1352665,-1947553,hypsographic,Rawaki,Rawaki,official,-3.716667,-170.716667,KI-000,,
-1352689,-1947588,hydrographic,"South Tabiteuea Lagoon","South Tabiteuea Lagoon",official,-1.483333,174.933333,KI-000,,
-1352640,-1947306,hypsographic,"Honai Island","Honai Island",variant,3.266667,172.95,KI-000,,
-1352610,-1947444,hypsographic,Nantorum,Nantorum,official,1.866667,172.883333,KI-000,,
-1352543,-1947407,hypsographic,"Mary Island","Mary Island",variant,-2.833333,-171.683333,KI-000,,
-1352641,-1947259,hypsographic,Eliza,Eliza,variant,-1.866667,175.566667,KI-000,,
-1352460,-1947158,settlement,Autukia,Autukia,official,-0.65,174.45,KI-000,,
-1352760,-1947717,settlement,"Te Kapuipui","Te Kapuipui",official,-1.166667,174.7,KI-000,,
-1352567,-1947270,hypsographic,"Equatorial Islands","Equatorial Islands",variant,1.0E-6,-157,KI-000,,
-1352589,-1947413,hypsographic,Maungatabu,Maungatabu,official,1.328806,173.001999,KI-000,,
-1352656,-1947540,hypsographic,Pono-tai,Pono-tai,official,3.9,-159.333333,KI-000,,
-1352643,-1947508,hypsographic,"Orona Island","Orona Island",variant,-4.516667,-172.183333,KI-000,,
-1352510,-1947235,hydrographic,"Central Channel","Central Channel",official,3.116667,172.733333,KI-000,,
-1352658,-1947545,hydrographic,"Pureara Bank","Pureara Bank",official,-1.45,174.9,KI-000,,
-1352708,-1947623,settlement,Tabonuea,Tabonuea,official,3.1,172.816667,KI-000,,
-1352712,-1947632,settlement,Tabuarorae,Tabuarorae,official,-1.916667,175.566667,KI-000,,
-1352619,-1947468,hypsographic,Nonut,Nonut,variant,-0.666667,174.35,KI-000,,
-1352574,-1947383,settlement,Makauro,Makauro,official,-0.716667,174.466667,KI-000,,
-1352797,-1947781,hypsographic,"Motu Upou","Motu Upou",variant,1.997951,-157.449208,KI-000,,
-1352619,-1947463,hypsographic,Nomutsch,Nomutsch,variant,-0.666667,174.35,KI-000,,
-1352595,-1947424,settlement,Morikao,Morikao,official,1.85,173,KI-000,,
-1352503,-1947681,hypsographic,Taritari,Taritari,variant,3.116667,172.8,KI-000,,
-1352488,-1947200,hypsographic,"Black Rock","Black Rock",official,3.9,-159.4,KI-000,,
-1352553,-1947339,hypsographic,"Kingsmill Group","Kingsmill Group",variant,1.0E-6,174,KI-000,,
-1352585,-1947411,hypsographic,"Matthew Island","Matthew Island",variant,2.011103,173.275622,KI-000,,
-1352708,-1947624,settlement,Tabonuuia,Tabonuuia,variant,3.1,172.816667,KI-000,,
-1352569,-1947375,settlement,London,London,official,1.984738,-157.474918,KI-000,,
-1352530,-1947290,administrative_region,"Gilbert Islands District","Gilbert Islands District",official,1.0E-6,174,KI-000,1,
-1352486,-1947192,hypsographic,Birney,Birney,variant,-3.583333,-171.516667,KI-000,,
-1352702,-1947639,hypsographic,Tabuteuea,Tabuteuea,variant,-1.333333,174.833333,KI-000,,
-1352734,-1947674,settlement,Taratai,Taratai,official,1.548471,172.992676,KI-000,,
-1352590,19802748,hypsographic,McKean,McKean,official,-3.6,-174.133333,KI-000,,
-1352788,-1947763,hypsographic,Tukurere,Tukurere,variant,3.133333,172.716667,KI-000,,
-1352652,-1947535,hypsographic,Piachüeta,Piachueta,official,3.266667,172.7,KI-000,,
-1352737,-1947683,hypsographic,Taru-fefe,Taru-fefe,official,3.866667,-159.3,KI-000,,
-1352665,-1947554,hypsographic,"Rawaki Atoll","Rawaki Atoll",variant,-3.716667,-170.716667,KI-000,,
-1352450,-1947593,hypsographic,Starbuck,Starbuck,variant,0.183333,173.6,KI-000,,
-1352785,-1947757,hydrographic,"Rakai Tuai","Rakai Tuai",official,3.083333,172.783333,KI-000,,
-1352532,-1947295,hydrographic,"Gran Cocal Shoal","Gran Cocal Shoal",variant,-6,176.25,KI-000,,
-1352602,-1947432,hypsographic,Naeai,Naeai,official,1.883333,172.833333,KI-000,,
-1352721,-1947647,settlement,Taku,Taku,official,-1.516667,175.066667,KI-000,,
-1352697,-1947606,settlement,Tabiang,Tabiang,official,-0.883333,169.533333,KI-000,,
-1352651,-1947534,undersea,"Phoenix Seamounts","Phoenix Seamounts",official,-4,-173,KI-000,,
-1352505,-1947748,hypsographic,"Thornton Island","Thornton Island",variant,-9.966667,-150.216667,KI-000,,
-1352501,-1947218,settlement,Buoata,Buoata,official,2.015427,173.260129,KI-000,,
-1352555,-1947238,hypsographic,"Christmas Atoll","Christmas Atoll",variant,1.866667,-157.416667,KI-000,,
-1352695,-1947603,hypsographic,"Sydney Point","Sydney Point",official,-0.9,169.55,KI-000,,
-1352611,-1947447,park,Napia,Napia,official,3.85,-159.366667,KI-000,,
-1352693,-1947592,hypsographic,"Spam Island","Spam Island",official,-2.816667,-171.716667,KI-000,,
-1352492,-1947208,settlement,Borotium,Borotium,variant,1.9,172.966667,KI-000,,
-1352673,18112347,settlement,Norauca,Norauca,variant,1.999832,173.292304,KI-000,,
-1352537,-1947314,settlement,Ijaki,Ijaki,official,-1.916667,175.583333,KI-000,,
-1352495,-1947212,hypsographic,"Brothers Islet","Brothers Islet",official,-9.983333,-150.216667,KI-000,,
-1352711,-1947273,hypsographic,"Fanning Atoll","Fanning Atoll",variant,3.866667,-159.333333,KI-000,,
-1352751,-1947706,settlement,Tebikeriki,Tebikeriki,official,-1.3,175.95,KI-000,,
-1352559,-1947359,hypsographic,"Kotabu Island","Kotabu Island",official,3.116667,172.75,KI-000,,
-1352618,-1947461,settlement,Nikutoru,Nikutoru,official,-1.483333,175.066667,KI-000,,
-1352650,-1947532,hypsographic,"Phoenix Islands","Phoenix Islands",official,-4,-172,KI-000,,
-1352700,-1947610,hypsographic,Tabiteuea,Tabiteuea,official,1.420094,173.106091,KI-000,,
-1352552,-1947343,spot,"Kings Wharf","Kings Wharf",official,3.066667,172.783333,KI-000,,
-1352437,-1947119,hypsographic,"Aeon Point","Aeon Point",official,1.755222,-157.170612,KI-000,,
-1352505,-1947229,hypsographic,"Caroline Atoll","Caroline Atoll",official,-9.966667,-150.216667,KI-000,,
-1352450,-1947140,hypsographic,"Aranuka Atoll","Aranuka Atoll",official,0.183333,173.6,KI-000,,
-1352773,-1947455,hypsographic,"New York Island","New York Island",variant,4.716667,-160.4,KI-000,,
-1352617,-1947226,hypsographic,"Byron Island","Byron Island",variant,-1.366667,176.466667,KI-000,,
-1352620,-1947470,settlement,Noriti,Noriti,official,-4.666667,-174.533333,KI-000,,
-1352461,18082874,hypsographic,"Auverne Sandhills","Auverne Sandhills",official,1.86297,-157.52661,KI-000,,
-1352628,-1947480,hypsographic,"North West Point","North West Point",variant,2.032336,-157.496605,KI-000,,
-1352653,-1947536,hypsographic,"Pig Islet","Pig Islet",official,-9.983333,-150.216667,KI-000,,
-1352794,14261281,settlement,Umantewenei,Umantewenei,variant,-0.733333,174.466667,KI-000,,
-1352640,-1947500,hypsographic,Onne,Onne,official,3.266667,172.95,KI-000,,
-1352582,-1947395,hypsographic,Manra,Manra,official,-4.45,-171.25,KI-000,,
-1352538,-1947315,hypsographic,Iku,Iku,official,1.766667,172.95,KI-000,,
-1352735,-1947677,hypsographic,"Tarawa Island","Tarawa Island",variant,1.416667,173,KI-000,,
-1352757,-1947713,hypsographic,Teharoa-iti,Teharoa-iti,official,3.816667,-159.283333,KI-000,,
-1352453,-1947148,hypsographic,Arurai,Arurai,variant,-2.633333,176.816667,KI-000,,
-1352720,-1947646,hypsographic,"Takoronga Point","Takoronga Point",official,1.35,172.95,KI-000,,
-1352472,-1947526,hypsographic,Peroat,Peroat,variant,-1.333333,176,KI-000,,
-1352732,-1947672,settlement,Tarakarawa,Tarakarawa,official,-0.666667,174.466667,KI-000,,
-1352787,-1947760,hypsographic,"Tuba Island","Tuba Island",variant,1.936898,-157.433222,KI-000,,
-1352797,18083259,hypsographic,"Motu Upua","Motu Upua",official,1.997951,-157.449208,KI-000,,
-1352623,-1947575,undersea,"Severo-Vostochnaya Kotlovina","Severo-Vostochnaya Kotlovina",variant,20,-140,KI-000,,
-1352733,-1947673,hypsographic,Taratai,Taratai,official,1.533333,173,KI-000,,
