wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
353090,439187,hypsographic,Chindini,Chindini,official,-11.51,43.36,KM-G,,
-2088057,-2899567,settlement,Ouanani,Ouanani,official,-12.3375,43.7975,KM-M,,
-2088057,-2899554,settlement,Oanani,Oanani,variant,-12.3375,43.7975,KM-M,,
-2088057,-2899713,settlement,Wanani,Wanani,variant,-12.3375,43.7975,KM-M,,
-2088056,-2899711,settlement,Voany,Voany,variant,-12.244167,44.374444,KM-A,,
-2088056,-2899712,settlement,Vouani,Vouani,official,-12.244167,44.374444,KM-A,,
-2088056,-2899710,settlement,Voani,Voani,variant,-12.244167,44.374444,KM-A,,
-2088055,-2899709,hydrographic,"Mouillage de la Ville","Mouillage de la Ville",official,-12.15,44.383333,KM-000,,
-2088055,-2899684,hydrographic,"Town Anchorage","Town Anchorage",variant,-12.15,44.383333,KM-000,,
-2088051,-2899699,settlement,Vassi,Vassi,variant,-12.231944,44.3425,KM-A,,
-2088051,-2899700,settlement,Vassy,Vassy,official,-12.231944,44.3425,KM-A,,
-2088050,-2899698,settlement,Vanamboini,Vanamboini,variant,-11.611389,43.253056,KM-G,,
-2088050,439257,settlement,Vanambouani,Vanambouani,official,-11.611389,43.253056,KM-G,,
-2088049,-2899697,hydrographic,"Vailheu Shoal","Vailheu Shoal",variant,-11.8,43.066667,KM-000,,
-2088049,-2899696,hydrographic,"Récif Vailheu","Recif Vailheu",official,-11.8,43.066667,KM-000,,
-2088047,-2899687,settlement,Tsimbeo,Tsimbeo,official,-12.205833,44.464722,KM-A,,
-2088045,-2899683,hypsographic,"Tortues Island","Tortues Island",variant,-11.4,43.416667,KM-000,,
-2088045,-2899682,hypsographic,"Île aux Tortues","Ile aux Tortues",official,-11.4,43.416667,KM-000,,
-2088044,-2899681,hypsographic,"Sommet Tortue","Sommet Tortue",official,-11.366667,43.4,KM-000,,
-2088040,-2899674,hypsographic,"Pointe Sud","Pointe Sud",official,-11.883333,43.483333,KM-000,,
-2088037,-2899667,settlement,Singani,Singani,official,-11.845556,43.309167,KM-G,,
-2088036,-2899666,settlement,Sima,Sima,official,-12.195556,44.276667,KM-A,,
-2088029,-2899647,hypsographic,"Îlot Sanzi","Ilot Sanzi",official,-12.4,43.733333,KM-000,,
-2088028,-2899645,settlement,Sanadani,Sanadani,official,-12.190278,44.332778,KM-A,,
-2088027,-2899644,hypsographic,"Samia Islet","Samia Islet",variant,-12.35,43.883333,KM-000,,
-2088027,-2899643,hypsographic,"Îlot Samia","Ilot Samia",official,-12.35,43.883333,KM-000,,
-2088026,-2899485,settlement,M’Tsumbia,M'Tsumbia,variant,-12.366944,43.796111,KM-M,,
-2088026,-2899642,settlement,Sambia,Sambia,official,-12.366944,43.796111,KM-M,,
-2088025,439460,settlement,Samba-Madi,Samba-Madi,official,-11.665278,43.398056,KM-G,,
-2088025,-2899641,settlement,Samba,Samba,variant,-11.665278,43.398056,KM-G,,
