wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1710136,-2400627,hydrographic,"The Channel","The Channel",official,17.433333,-62.883333,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1359140,-1956965,hypsographic,"Horse Shoe Point","Horse Shoe Point",official,17.216667,-62.65,KN-03,,
-1359291,-1957222,spot,Profit,Profit,official,17.398459,-62.816183,KN-06,,
-1359081,-1956881,hydrographic,"Fountain River","Fountain River",official,17.316667,-62.716667,KN-000,,
-1358949,-1956669,spot,"Beachlands Estate","Beachlands Estate",official,17.204212,-62.577474,KN-05,,
-1359383,-1957368,spot,"Upper Boreo","Upper Boreo",variant,17.357959,-62.755313,KN-01,,
-1359334,-1957295,hydrographic,"Sand Bank Bay","Sand Bank Bay",official,17.252524,-62.639959,KN-03,,
-1359022,-1956781,spot,Clark,Clark,variant,17.156973,-62.623309,KN-12,,
-1359374,-1957287,spot,"Saint Thomas Fort","Saint Thomas Fort",variant,17.28907,-62.734717,KN-03,,
-1359199,-1957067,hydrographic,"Masshouse Bay","Masshouse Bay",official,17.414267,-62.824855,KN-09,,
-1359004,-1956757,hypsographic,"Canada Ridge","Canada Ridge",variant,17.331077,-62.718647,KN-000,,
-1359378,-1957363,settlement,Trants,Trants,official,17.383333,-62.85,KN-000,,
-1359185,-1957044,settlement,Lucas,Lucas,official,17.3,-62.7,KN-06,,
-1359415,20082275,hydrographic,Wingfields,Wingfields,official,17.321018,-62.802762,KN-13,,
-1359087,-1956892,spot,"Garner Estate","Garner Estate",official,17.186993,-62.58977,KN-05,,
-1359104,-1957238,hypsographic,"Rock Point","Rock Point",variant,17.231512,-62.664159,KN-03,,
-1358981,-1956728,spot,Buckleys,Buckleys,variant,17.300442,-62.735261,KN-03,,
-1359195,-1957063,spot,"Mansion Estate","Mansion Estate",official,17.374358,-62.759612,KN-01,,
-1359401,-1957399,hydrographic,"White Flag Bay","White Flag Bay",official,17.4,-62.85,KN-000,,
-1359238,-1957137,spot,"New River Estate","New River Estate",official,17.148882,-62.549093,KN-05,,
-1359393,-1957389,hydrographic,"Wash Gut","Wash Gut",official,17.349876,-62.719,KN-08,,
-1359317,-1957268,administrative_region,"Saint James Windward","Saint James Windward",official,17.166667,-62.566667,KN-05,,
-1359133,-1956960,settlement,"Hicks Village","Hicks Village",variant,17.186433,-62.559608,KN-05,,
-1359309,-1957254,hydrographic,"Sadlers Gut","Sadlers Gut",official,17.405578,-62.787844,KN-06,,
-1359145,-1957244,hypsographic,"Round Hill","Round Hill",variant,17.204417,-62.607951,KN-05,,
-1359113,-1956930,spot,Hanleys,Hanleys,variant,17.125788,-62.560256,KN-04,,
-1359385,-1957373,settlement,"Upper Conaree","Upper Conaree",official,17.315029,-62.706972,KN-11,,
-1359186,-1957047,spot,"Lynche’s Estate","Lynche's Estate",official,17.398976,-62.802807,KN-06,,
-1359060,-1956850,spot,Dunbars,Dunbars,variant,17.137057,-62.581414,KN-04,,
-1359166,-1957019,spot,"Lavington Village","Lavington Village",variant,17.401036,-62.796832,KN-06,,
-1359278,-1957201,settlement,Phillips,Phillips,official,17.366087,-62.760577,KN-01,,
-1358975,-1956720,spot,Browne’s,Browne's,official,17.40939,-62.821873,KN-09,,
-1358950,-1956671,settlement,"Beaumont Village","Beaumont Village",variant,17.124366,-62.581308,KN-07,,
-1358995,-1956746,spot,"Caines Estate","Caines Estate",official,17.413492,-62.811911,KN-06,,
-1359217,-1957104,hydrographic,"Mosquito Bay","Mosquito Bay",official,17.200694,-62.611801,KN-05,,
-1358965,-1956699,settlement,Brambles,Brambles,official,17.383333,-62.766667,KN-06,,
-1359096,-1956905,spot,"Golden Rock","Golden Rock",variant,17.141923,-62.563599,KN-04,,
-1359158,-1956999,settlement,Key,Key,official,17.342127,-62.714159,KN-08,,
