wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
6340705,6558695,settlement,Hukol,Hukol,official,38.76172897,127.47655917,KP-07,,
6340146,6556881,settlement,Chŏn-gol,Chon-gol,variant,39.4784992,126.51577419,KP-02,,
6340776,6558974,settlement,Kudŏgi,Kudogi,official,39.69012854,127.0422502,KP-08,,
6340259,6557267,hypsographic,오장산,오장산,unknown,38.60483,126.84937,KP-07,,
6340482,6558161,settlement,재궁동,재궁동,unknown,39.438056,127.168807,KP-08,,
6340703,6558692,settlement,하정신리,하정신리,unknown,38.78261688,127.42200683,KP-07,,
6340664,6558614,settlement,삼거리,삼거리,unknown,38.87906729,127.34523079,KP-07,,
6340660,6558606,spot,보문암,보문암,unknown,38.99005076,127.37119409,KP-07,,
6339956,6556376,settlement,서재동,서재동,unknown,38.531389,126.331111,KP-06,,
6340490,6558176,settlement,Ch’imabau,Ch'imabau,official,39.271667,127.185556,KP-07,,
6340375,6557753,hypsographic,마유령,마유령,unknown,38.96886167,126.60402992,KP-000,,
6340744,6558911,settlement,공굴,공굴,unknown,39.54666059,126.94612534,KP-08,,
6340309,6557480,hypsographic,덕련산,덕련산,unknown,39.11329532,126.388162,KP-02,,
6340855,6559328,settlement,소양,소양,unknown,39.1717167,126.90581226,KP-02,,
6340409,6557821,hypsographic,당고개,당고개,unknown,38.796111,126.614722,KP-06,,
6340508,6558212,settlement,Hu-dong,Hu-dong,official,39.45806299,127.03440155,KP-08,,
6340377,6557757,hypsographic,넓은고개,넓은고개,unknown,38.94827897,126.74439542,KP-06,,
6340064,6556717,settlement,Pŏlmal,Polmal,official,39.461111,126.438611,KP-02,,
6340860,6559338,settlement,각정동,각정동,unknown,39.1385444,126.9645367,KP-02,,
6340041,6556546,settlement,구룡동,구룡동,unknown,38.723611,126.5725,KP-06,,
6340918,6559453,spot,Mujik-sa,Mujik-sa,official,39.081389,126.968333,KP-02,,
6340859,6559335,settlement,Okkye-dong,Okkye-dong,official,39.13012894,126.94188174,KP-02,,
6340040,6556543,settlement,Saet’ŏ,Saet'o,official,38.701389,126.574167,KP-06,,
6340065,6556719,settlement,Hamjŏng-gol,Hamjong-gol,variant,39.45290755,126.42002606,KP-02,,
6340474,6557951,settlement,덕골,덕골,unknown,38.958611,126.8525,KP-06,,
6340083,6556755,settlement,Sat’aeul,Sat'aeul,official,39.35306193,126.33751012,KP-02,,
6340545,6558286,spot,Panghwa-yŏk,Panghwa-yok,official,39.43582053,127.14588522,KP-08,,
6340133,6556856,hypsographic,고성산,고성산,unknown,39.41044403,126.56841985,KP-02,,
6340264,6557276,hypsographic,Naenggol-gogae,Naenggol-gogae,official,38.63,126.763889,KP-07,,
6340116,6556821,settlement,Ch’ang-ni,Ch'ang-ni,official,39.37637766,126.54015412,KP-02,,
6340043,6556550,settlement,갈우물동,갈우물동,unknown,38.734167,126.597222,KP-06,,
6340424,6557851,settlement,양지동,양지동,unknown,38.77002403,126.69007244,KP-06,,
6340772,6558966,settlement,Hwajusŏngji,Hwajusongji,official,39.65824353,127.09331263,KP-08,,
6340364,6557590,settlement,화락리,화락리,unknown,39.23056203,126.50390899,KP-02,,
6340328,6557518,settlement,소거리,소거리,unknown,39.09613403,126.30293748,KP-02,,
6340186,6557114,settlement,Kumi,Kumi,official,38.639722,126.729167,KP-07,,
6339959,6556381,settlement,Hoe-dong,Hoe-dong,official,38.516944,126.3,KP-06,,
6339976,6556415,settlement,Pakkegodŭn-gol,Pakkegodun-gol,official,38.506944,126.590556,KP-06,,
6340055,6556573,settlement,Koch’on,Koch'on,official,38.678889,126.590278,KP-06,,
6340483,6558162,settlement,Ch’a-gol,Ch'a-gol,variant,39.40965986,127.10924638,KP-08,,
6340444,6557890,settlement,Kwit’o-dong,Kwit'o-dong,official,38.787222,126.829722,KP-06,,
6340007,6556478,settlement,천곡동,천곡동,unknown,38.610833,126.519722,KP-06,,
6340250,6557249,hypsographic,염대골고개,염대골고개,unknown,38.571111,126.848611,KP-07,,
6340737,6558896,settlement,Sŭngdang-dong,Sungdang-dong,official,39.571944,127.004722,KP-08,,
6340498,6558193,settlement,하촌,하촌,unknown,39.43900223,127.09268597,KP-08,,
6340813,6559048,settlement,Namsŏngmal,Namsongmal,official,39.528333,127.179722,KP-08,,
6340689,6558664,settlement,장평리,장평리,unknown,38.92187478,127.45881942,KP-07,,
6340063,6556716,settlement,도장골,도장골,unknown,39.461944,126.428333,KP-02,,
6340922,6559462,hypsographic,들메골,들메골,unknown,39.203333,126.971389,KP-02,,
6340859,6559336,settlement,옥계동,옥계동,unknown,39.13012894,126.94188174,KP-02,,
6339973,6556409,settlement,Hoedong-ni,Hoedong-ni,official,38.504722,126.558333,KP-06,,
6340383,6557769,settlement,소로골,소로골,unknown,38.90339764,126.69748919,KP-06,,
6340134,6556857,settlement,Anmal,Anmal,official,39.41743863,126.53847566,KP-02,,
6340434,6557870,park,Yaksu-dong,Yaksu-dong,official,38.768056,126.710278,KP-06,,
6340097,6556783,hypsographic,Wŏllak-san,Wollak-san,official,39.281389,126.383611,KP-02,,
6340432,6557867,settlement,동산동,동산동,unknown,38.76623715,126.69336687,KP-06,,
6340277,6557302,settlement,Tongp’o-ri,Tongp'o-ri,official,38.738889,126.762222,KP-06,,
6340587,6558372,settlement,영춘동,영춘동,unknown,39.44431905,127.18254253,KP-08,,
6339995,6556453,settlement,Kaejŏng-dong,Kaejong-dong,official,38.586667,126.560278,KP-06,,
6340872,6559361,settlement,Changp’ae-dong,Changp'ae-dong,official,39.09298305,126.93523004,KP-02,,
6340204,6557150,settlement,Tŏk-tong,Tok-tong,official,38.60166,126.739657,KP-07,,
6340921,6559459,hypsographic,Koch’ik-kol,Koch'ik-kol,official,39.220833,126.994722,KP-08,,
6340730,6558883,park,천화동,천화동,unknown,39.6075,126.99,KP-08,,
6340475,6557953,settlement,생금촌,생금촌,unknown,38.957222,126.773056,KP-06,,
6340382,6557767,settlement,음지동,음지동,unknown,38.9056784,126.63206292,KP-06,,
6340674,6558633,administrative_region,Sŏngp’yŏng-ni,Songp'yong-ni,official,38.77034232,127.30020893,KP-07,,
6340391,6557785,settlement,도원동,도원동,unknown,38.89613863,126.62030463,KP-06,,
6340857,6559331,settlement,Suju-ri,Suju-ri,official,39.157222,126.948611,KP-02,,
6340134,6556858,settlement,안말,안말,unknown,39.41743863,126.53847566,KP-02,,
6340800,6559023,settlement,모래골,모래골,unknown,39.56029268,127.14057241,KP-08,,
6340185,6557112,settlement,Chosanmal,Chosanmal,official,38.630833,126.729722,KP-07,,
6340717,6558856,settlement,Insang-ni,Insang-ni,official,39.67180305,126.93722779,KP-08,,
6340363,6557588,hypsographic,홍군령,홍군령,unknown,39.16761386,126.43059302,KP-02,,
6340188,6557118,settlement,Chungp’o,Chungp'o,official,38.635966,126.704439,KP-07,,
6339947,6556357,hypsographic,Sŭng-san,Sung-san,official,38.586111,126.458611,KP-06,,
6340850,6559318,hypsographic,다대령,다대령,unknown,39.10988396,127.05584124,KP-07,,
6340232,6557210,hypsographic,삼무산,삼무산,unknown,38.51,126.802222,KP-07,,
6340412,6557827,settlement,부평리,부평리,unknown,38.78926355,126.6739341,KP-06,,
6340368,6557598,settlement,회목동,회목동,unknown,39.16035748,126.3621517,KP-02,,
6340481,6558159,park,아직가리,아직가리,unknown,39.298056,127.02,KP-08,,
6340808,6559038,settlement,Sangsal-li,Sangsal-li,official,39.54409816,127.18289152,KP-08,,
6340762,6558947,settlement,방랑동,방랑동,unknown,39.577778,127.038333,KP-000,1,
6340442,6557887,settlement,원포동,원포동,unknown,38.78629644,126.74660945,KP-06,,
6340365,6557591,settlement,Hwail-li,Hwail-li,official,39.24017149,126.5028124,KP-02,,
6340337,6557536,settlement,엽소동,엽소동,unknown,39.0975,126.443889,KP-02,,
6340296,6557453,settlement,Kŭmch’on-dong,Kumch'on-dong,official,39.17395263,126.35444522,KP-02,,
