wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3112228,-4398283,hydrographic,"Khawr Umm Qaşr","Khawr Umm Qasr",official,30.000519,47.960997,KW-000,,
-3112700,10456673,hydrographic,"خور الزبير","خور الزبير",unknown,29.994583,48.012239,S1-000,,
-3112700,-4399133,hydrographic,"Hawr az Zubayr","Hawr az Zubayr",variant,29.994583,48.012239,S1-000,,
-3112700,18360065,hydrographic,"Khūr az Zubayr","Khur az Zubayr",official,29.994583,48.012239,S1-000,,
-3112700,-4378582,hydrographic,"Hawr ‘Abd Allāh","Hawr `Abd Allah",variant,29.994583,48.012239,S1-000,,
-3112700,-4399119,hydrographic,"Khor Zubair","Khor Zubair",variant,29.994583,48.012239,S1-000,,
-3112700,11320621,hydrographic,"Khor az Zubayr","Khor az Zubayr",variant,29.994583,48.012239,S1-000,,
-3112228,-4398325,hydrographic,"Khor Um Qasr","Khor Um Qasr",variant,30.000519,47.960997,KW-000,,
-3112228,-4398285,hydrographic,"Khōr Umm Qasr","Khor Umm Qasr",variant,30.000519,47.960997,KW-000,,
-3112700,-4399110,hydrographic,"Khn̈r Zobier","Khnr Zobier",variant,29.994583,48.012239,S1-000,,
-3112700,-4399134,hydrographic,"Khawr az Zubayr","Khawr az Zubayr",official,29.994583,48.012239,S1-000,,
-3110966,-4396284,hydrographic,"Khawr Shityānah","Khawr Shityanah",variant,30.029167,48.075556,S1-000,,
-3110966,-4396172,hydrographic,Shetana,Shetana,variant,30.029167,48.075556,S1-000,,
-3110966,-4396146,hydrographic,"Khawr Shayţānah","Khawr Shaytanah",variant,30.029167,48.075556,S1-000,,
-3110966,-4395921,hydrographic,"Khawr Shaţānah","Khawr Shatanah",official,30.029167,48.075556,S1-000,,
-3110966,-4396173,hydrographic,"Khor Shetana","Khor Shetana",variant,30.029167,48.075556,S1-000,,
-3110966,6485618,hydrographic,"خَوْر شَطَانَة","خور شطانة",unknown,30.029167,48.075556,S1-000,,
-3103946,-4382773,hydrographic,Batain,Batain,variant,30.186031,47.451922,S1-000,,
-3103946,-4383370,hydrographic,Buţayn,Butayn,variant,30.186031,47.451922,S1-000,,
-3103946,-4384686,hydrographic,"El Bātin","El Batin",variant,30.186031,47.451922,S1-000,,
-3103946,-4382789,hydrographic,"Wadi Batin al-Rammah","Wadi Batin al-Rammah",variant,30.186031,47.451922,S1-000,,
-3103946,18373417,hydrographic,"وادي الباطن","وادي الباطن",unknown,30.186031,47.451922,S1-000,,
-3103946,-4382788,hydrographic,"Wādī al Bāţin","Wadi al Batin",official,30.186031,47.451922,S1-000,,
-3103946,18373538,hydrographic,"Wādī al Bāṭin","Wadi al Batin",variant,30.186031,47.451922,S1-000,,
-3103946,-4379747,hydrographic,"Al Batin","Al Batin",variant,30.186031,47.451922,S1-000,,
-3103946,-4379748,hydrographic,"Al Baţn","Al Batn",variant,30.186031,47.451922,S1-000,,
-3102379,-4380084,hydrographic,"Al Ḩulaybah","Al Hulaybah",official,30.05,47.266667,S1-000,,
-3102379,-4386725,hydrographic,Hulaiba,Hulaiba,variant,30.05,47.266667,S1-000,,
-3095791,-4367113,park,Hazaim,Hazaim,variant,28.491387,48.331138,S1-000,,
-3095791,-4359738,park,"Al Ḩuzaym","Al Huzaym",official,28.491387,48.331138,S1-000,,
-3095791,-4359736,park,"Al Huzaim","Al Huzaim",variant,28.491387,48.331138,S1-000,,
-3095791,-4359543,park,"Al Hazaim","Al Hazaim",variant,28.491387,48.331138,S1-000,,
-3095791,124192,park,"Ḩamḑ al Ḩuzaym","Hamd al Huzaym",official,28.491387,48.331138,S1-000,,
-3095791,-4367703,park,Huzeem,Huzeem,variant,28.491387,48.331138,S1-000,,
-3095791,-4367126,park,Ḩazim,Hazim,variant,28.491387,48.331138,S1-000,,
-3095791,-4367699,park,Ḩuzaym,Huzaym,variant,28.491387,48.331138,S1-000,,
-3092884,15503473,hypsographic,"Shibh al Jazīrah al ‘Arabīyah","Shibh al Jazirah al `Arabiyah",official,25,45,S1-000,,
-3092883,-4363787,park,"Bilād al ‘Arab","Bilad al `Arab",official,25,45,S1-000,,
-3092884,11181255,hypsographic,"جزيرة العرب","جزيرة العرب",unknown,25,45,S1-000,,
-3092883,15503254,park,"بلاد العرب","بلاد العرب",unknown,25,45,S1-000,,
-3092883,-4368270,park,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092883,-4361700,park,Arabia,Arabia,colloquial,25,45,S1-000,,
