wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1187421,-1749547,hydrographic,"Colliers Pond","Colliers Pond",official,19.338737,-81.087536,KY-000,,
-1187637,-1749787,settlement,Vicksville,Vicksville,official,19.377544,-81.41637,KY-000,,
-1187536,-1749671,hydrographic,"Miss Eden Bay","Miss Eden Bay",official,19.294452,-81.383874,KY-000,,
-1187518,-1749653,hypsographic,"Long Point","Long Point",official,19.346854,-81.182527,KY-000,,
-1187363,-1749482,hydrographic,"Anchorage Bay","Anchorage Bay",official,19.666667,-80.116667,KY-000,,
-1187647,-1749797,hydrographic,"West Bay","West Bay",official,19.338316,-81.399193,KY-000,,
-1187461,-1749590,settlement,"Frenchman’s Fort","Frenchman's Fort",variant,19.701897,-79.864729,KY-000,,
-1187385,-1749505,settlement,"Blossom Point","Blossom Point",official,19.666732,-80.083804,KY-000,,
-1187393,-1749515,hypsographic,"Booby Point","Booby Point",official,19.332228,-81.295199,KY-000,,
-1187545,-1749681,hydrographic,"North East Bay","North East Bay",official,19.757546,-79.758152,KY-000,,
-1187542,-1749677,park,"Muddy Foots","Muddy Foots",official,19.702108,-79.96671,KY-000,,
-1187549,-1749685,settlement,"North Side","North Side",official,19.350954,-81.206939,KY-000,,
-1187484,-1749616,hydrographic,"Head of Reef","Head of Reef",official,19.268282,-81.305354,KY-000,,
-1187513,-1749647,hydrographic,"Little Salt Creek","Little Salt Creek",official,19.366851,-81.375457,KY-000,,
-1187525,-1749660,hydrographic,"Main Channel","Main Channel",official,19.382016,-81.334704,KY-000,,
-1187568,-1749707,settlement,Pedro,Pedro,official,19.275813,-81.274867,KY-000,,
-1187464,-1749594,spot,"Gerrard Smith Airport","Gerrard Smith Airport",short,19.687199,-79.880278,KY-000,,
-1187605,-1749749,hydrographic,"South Sound","South Sound",official,19.270777,-81.360081,KY-000,,
-1187646,-1749796,hypsographic,"Welch Point","Welch Point",official,19.344043,-81.361574,KY-000,,
-1187379,-1749499,hydrographic,"The Bight","The Bight",official,19.739588,-79.793906,KY-000,,
-1187632,-1749782,hypsographic,"Timms Point","Timms Point",official,19.367644,-81.398598,KY-000,,
-1187538,-1749673,hydrographic,"Moon Bay","Moon Bay",official,19.286789,-81.23361,KY-000,,
-1187641,-1749791,settlement,"Water Ground","Water Ground",official,19.375813,-81.400255,KY-000,,
-1187621,-1749769,hypsographic,"Stake Bay Point","Stake Bay Point",official,19.72837,-79.813966,KY-000,,
-1187571,-1749710,settlement,Prospect,Prospect,official,19.276907,-81.336489,KY-000,,
-1187504,-1749638,settlement,"Knob Hill","Knob Hill",official,19.692374,-79.877613,KY-000,,
-1187638,-1749788,hypsographic,"Vidal Cay","Vidal Cay",official,19.385585,-81.353229,KY-000,,
-1187396,-1749518,hypsographic,"Bowse Bluff","Bowse Bluff",official,19.36569,-81.262121,KY-000,,
-1187636,-1749786,settlement,"Upper Land","Upper Land",official,19.362577,-81.387029,KY-000,,
-1187416,-1749542,park,Colliers,Colliers,official,19.340315,-81.099293,KY-000,,
-1187485,-1749617,settlement,Hell,Hell,official,19.380104,-81.406937,KY-000,,
-1187495,-1749627,hypsographic,"Jackson Point","Jackson Point",official,19.281124,-81.39214,KY-000,,
-1187425,-1749551,park,"Cork Landing","Cork Landing",official,19.697899,-80.029031,KY-000,,
-1187388,-1749509,hydrographic,"Boatswain Bay","Boatswain Bay",variant,19.387752,-81.411781,KY-000,,
-1187371,-1749491,hydrographic,"Beach Bay","Beach Bay",official,19.264075,-81.274102,KY-000,,
-1187380,-1749500,hypsographic,"Bill Eden Point","Bill Eden Point",official,19.26589,-81.299121,KY-000,,
-1187406,-1749526,administrative_region,Cayman,Cayman,variant,19.5,-80.666667,KY-000,,
-1187459,-1749588,hydrographic,"Frank Sound","Frank Sound",official,19.294869,-81.174442,KY-000,,
