wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2669551,-3686207,hydrographic,"Houay Xôt","Houay Xot",official,20.15,102.15,LA-OU,,
-2668603,-3678611,hypsographic,"Pha Ke Bong","Pha Ke Bong",variant,18.624613,104.308707,LA-BL,,
-2668423,-3684419,settlement,"Sin Tiai","Sin Tiai",official,21.1,102.866667,LA-LP,,
-2668416,-3684407,hypsographic,"Pha Sing","Pha Sing",official,18.966667,102.583333,LA-XS,,
-2667918,-3683585,settlement,Rein,Rein,official,15.383333,107.233333,LA-XE,,
-2667773,-3683347,hypsographic,"Phou Poh","Phou Poh",variant,16.662802,105.789631,LA-SV,,
-2667078,-3682303,settlement,"Pa Boun","Pa Boun",official,18.794444,102.621667,LA-XS,,
-2666151,-3680632,hypsographic,"Pha Mèo","Pha Meo",official,17.325993,105.290407,LA-KH,,
-2666112,-3680565,hydrographic,"Houay Mat","Houay Mat",official,20.052972,102.234586,LA-LP,,
-3735499,-4965429,hypsographic,"Phou Xong","Phou Xong",official,19.216019,104.11521,S1-000,,
-3734008,-4963554,hypsographic,"Phu Xé","Phu Xe",official,20.958933,104.079559,S1-000,,
-3735499,-4965428,hypsographic,"Phu Xong","Phu Xong",official,19.216019,104.11521,S1-000,,
-3734008,17606548,hypsographic,"Phou Xé","Phou Xe",official,20.958933,104.079559,S1-000,,
-3733874,-4963354,hypsographic,"Phu Xai Lai Leng","Phu Xai Lai Leng",variant,19.197452,104.180063,S1-000,,
-3733874,-4963355,hypsographic,"Phou Xai Lai Leng","Phou Xai Lai Leng",variant,19.197452,104.180063,S1-000,,
-3733874,17540684,hypsographic,"Phou Xaylailèng","Phou Xaylaileng",official,19.197452,104.180063,S1-000,,
-3732749,-4961811,hypsographic,"Co Tun Tang","Co Tun Tang",official,17.386216,106.051771,S1-000,,
-3732749,13971823,hypsographic,"Phou Tuntang","Phou Tuntang",official,17.386216,106.051771,S1-000,,
