wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1313835,-1901151,settlement,"Dernière Rivière","Derniere Riviere",official,13.953769,-60.924334,LC-05,,
-1314123,-1901573,hypsographic,"Piton Saint Esprit","Piton Saint Esprit",official,13.849304,-60.979225,LC-08,,
-1314152,-1901614,settlement,Soufrière,Soufriere,official,13.855369,-61.058445,LC-10,,
-1313741,-1901014,hydrographic,"Black Bay River","Black Bay River",official,13.736416,-60.980721,LC-11,,
-1314102,-1901546,settlement,"Riche Fond","Riche Fond",official,13.936177,-60.920273,LC-05,,
-1313766,-1901050,hydrographic,"Canaries River","Canaries River",official,13.904901,-61.068765,LC-12,,
-1313853,-1901184,settlement,"Eau Piquant","Eau Piquant",official,13.758385,-60.931933,LC-11,,
-1313856,19041858,hydrographic,"Espérance Harbour","Esperance Harbour",official,14.066058,-60.908774,LC-06,,
-1313995,-1901400,settlement,Malmaison,Malmaison,variant,13.872868,-61.048251,LC-10,,
-1314143,-1901603,hydrographic,"Port des Savannes","Port des Savannes",variant,13.763016,-60.92193,LC-08,,
-1314142,-1901601,settlement,Savannes,Savannes,official,13.774082,-60.93963,LC-11,,
-1313968,-1901358,hydrographic,"La Verdure River","La Verdure River",variant,13.920047,-61.059635,LC-12,,
-1313862,-1901198,settlement,Fiette,Fiette,official,13.794631,-61.053452,LC-03,,
-1313802,-1901109,settlement,Ciceron,Ciceron,official,13.990088,-61.008064,LC-02,,
-1313843,-1901164,settlement,Desruisseau,Desruisseau,variant,13.798237,-60.935088,LC-08,,
-1314181,14101712,administrative_region,Vieux-Fort,Vieux-Fort,official,13.775,-60.958333,LC-11,,
-1313805,-1901113,hydrographic,"Anse Cochon","Anse Cochon",official,13.927479,-61.058156,LC-12,,
-1313829,14872737,administrative_region,"District of Dennery","District of Dennery",official,13.927778,-60.916667,LC-05,,
-1313965,-1901632,settlement,Tourney,Tourney,variant,13.737176,-60.957059,LC-11,,
-1313764,-1901158,hydrographic,"Anse Des Canaries","Anse Des Canaries",variant,13.909633,-61.066894,LC-12,,
-1314151,-1901595,settlement,"Sans Souci","Sans Souci",variant,13.977514,-60.999222,LC-02,,
-1313932,-1901311,hydrographic,"Laborie Bay","Laborie Bay",official,13.748791,-61.001407,LC-07,,
-1313780,-1901073,hypsographic,"Mount Casteau","Mount Casteau",official,13.850584,-61.018905,LC-10,,
-1314089,-1901635,hydrographic,"Rivière des Trois Islets","Riviere des Trois Islets",official,13.878953,-60.895872,LC-08,,
-1313873,-1901211,settlement,"Fond Saint Jaques","Fond Saint Jaques",variant,13.836696,-61.025855,LC-10,,
-1313873,-1901516,settlement,"Pond Saint Jacques","Pond Saint Jacques",variant,13.836696,-61.025855,LC-10,,
-1313907,-1901277,settlement,"Gros Islet","Gros Islet",official,14.080704,-60.952274,LC-06,,
-1313817,-1901128,hydrographic,"Couti Cove","Couti Cove",variant,14.062512,-60.974822,LC-06,,
-1313974,-1901374,hypsographic,"Linnis Point","Linnis Point",official,13.892793,-60.879761,LC-05,,
-1313753,-1901033,settlement,Bouton,Bouton,official,13.879733,-61.069251,LC-10,,
-1313849,-1901179,settlement,Dugard,Dugard,official,13.811773,-60.912885,LC-08,,
-1313705,-1900967,settlement,"Au Tabor","Au Tabor",official,13.944181,-61.042056,LC-01,,
-1313923,-1901300,settlement,Jalousie,Jalousie,official,13.828311,-61.059936,LC-10,,
-1313864,-1901200,hypsographic,"Piton Flore","Piton Flore",official,13.964384,-60.944854,LC-02,,
-1314161,-1901628,settlement,Theodorine,Theodorine,official,13.92585,-61.047777,LC-12,,
-1313758,-1901040,hypsographic,"Caesar Point","Caesar Point",official,13.709412,-60.955271,LC-11,,
-1313769,-1901159,hypsographic,"Des Canelles Point","Des Canelles Point",variant,13.781483,-60.898148,LC-08,,
