wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
12696194,15941978,settlement,Dux,Dux,official,47.165709,9.519031,LI-07,,
12767702,16070359,settlement,Winkel,Winkel,official,47.068924,9.506908,LI-01,,
12767691,16070348,hypsographic,Sätz,Satz,official,47.066715,9.52857,LI-01,,
12767838,16070638,hypsographic,Guschg,Guschg,official,47.125436,9.605873,LI-07,,
12767816,16070636,hypsographic,Band,Band,official,47.128722,9.603375,LI-07,,
12762380,16058303,settlement,Hega,Hega,official,47.11588,9.541446,LI-10,,
12763898,16061930,hypsographic,Zog,Zog,official,47.083154,9.556462,LI-09,,
-2554729,-3517783,hypsographic,Vorder-Grauspitz,Vorder-Grauspitz,official,47.05274,9.581265,S1-000,,
-2554729,15058845,hypsographic,Vordera-Grauspitz,Vordera-Grauspitz,official,47.05274,9.581265,S1-000,,
-2554729,-3514416,hypsographic,Grauspitz,Grauspitz,variant,47.05274,9.581265,S1-000,,
-2552453,-3514417,hypsographic,Grauspitz,Grauspitz,variant,47.054843,9.587377,S1-000,,
-2553295,-3515847,hypsographic,"Nauf Kopf","Nauf Kopf",variant,47.06077,9.60707,S1-000,,
-2552453,-3514649,hypsographic,Hinter-Grauspitz,Hinter-Grauspitz,official,47.054843,9.587377,S1-000,,
-2552453,15058553,hypsographic,Hindera-Grauspitz,Hindera-Grauspitz,official,47.054843,9.587377,S1-000,,
-2553295,-3515835,hypsographic,Naafkopf,Naafkopf,official,47.06077,9.60707,S1-000,,
-2551968,-3513968,hypsographic,"Falknis Horn","Falknis Horn",variant,47.05086,9.56385,S1-000,,
-2551001,-3512710,hypsographic,Alpi,Alpi,official,46.416667,10,S1-000,,
-2551968,-3513871,hypsographic,"Enderlin Horn","Enderlin Horn",variant,47.05086,9.56385,S1-000,,
-2551001,-3512719,hypsographic,Alps,Alps,colloquial,46.416667,10,S1-000,,
-2551001,-3512681,hypsographic,Alpe,Alpe,official,46.416667,10,S1-000,,
-2551968,-3513967,hypsographic,Falknis,Falknis,official,47.05086,9.56385,S1-000,,
-2551001,15216851,hypsographic,Alps,Alps,official,46.416667,10,S1-000,,
-2551001,-3515229,hypsographic,"Les Alpes","Les Alpes",variant,46.416667,10,S1-000,,
-2551001,-3512704,hypsographic,Alpes,Alpes,official,46.416667,10,S1-000,,
-2551001,-3512699,hypsographic,Alpen,Alpen,official,46.416667,10,S1-000,,
-2152115,-2984289,hydrographic,"Rhine River","Rhine River",colloquial,51.98404,4.08245,S1-000,,
-2152115,16306357,hydrographic,Rin,Rin,variant,51.98404,4.08245,S1-000,,
-2152115,-2984224,hydrographic,Reno,Reno,official,51.98404,4.08245,S1-000,,
-2152115,-2984293,hydrographic,Rhein,Rhein,official,51.98404,4.08245,S1-000,,
-2152115,18466775,hydrographic,Rhenos,Rhenos,variant,51.98404,4.08245,S1-000,,
-2152115,16304753,hydrographic,Rhine,Rhine,colloquial,51.98404,4.08245,S1-000,,
-2152115,16306356,hydrographic,Ryn,Ryn,variant,51.98404,4.08245,S1-000,,
-2152115,18466776,hydrographic,Rhenus,Rhenus,variant,51.98404,4.08245,S1-000,,
