wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2135021,-2962209,settlement,Sinta,Sinta,official,6.916667,-9.95,LR-BG,,
-2133380,-2959582,settlement,Kuli,Kuli,official,6.116667,-8.55,LR-GG,,
-2132875,-2958791,settlement,Kanga,Kanga,official,6.2,-9.65,LR-GB,,
-2134853,-2955918,settlement,Dia,Dia,variant,5.866667,-10.016667,LR-GB,,
-2132178,-2957733,settlement,Gomah,Gomah,variant,6.766667,-9.583333,LR-BG,,
-2131299,-2956284,settlement,Dopawe,Dopawe,official,6.093068,-9.985752,LR-GB,,
-2131296,20081305,hydrographic,Don,Don,official,6.266667,-9.783333,LR-GB,,
-2133150,-2959222,settlement,Kongba,Kongba,official,6.26852,-10.295015,LR-GB,,
-2136152,-2963923,settlement,Yiaka,Yiaka,official,6.794722,-8.8475,LR-NI,,
-2131297,-2956281,settlement,Donva,Donva,official,6.85,-9.883333,LR-BG,,
-2132687,-2958521,settlement,Joke,Joke,official,4.790689,-7.583713,LR-MY,,
-2133373,-2959574,settlement,Kuinmen,Kuinmen,official,6.483333,-10.5,LR-MO,,
-2132381,-2958064,settlement,Gwiebli,Gwiebli,official,5.75,-9.833333,LR-GB,,
-2132361,-2958033,settlement,Guwe,Guwe,official,6.4,-9.433333,LR-GB,,
-2134849,-2961918,settlement,Sayobli,Sayobli,official,6.216667,-9.816667,LR-GB,,
-2135875,-2963520,settlement,Wobli,Wobli,official,6.283333,-10.25,LR-GB,,
-2133567,-2959880,settlement,Lolela,Lolela,official,6.516667,-10.824722,LR-BM,,
-2134828,-2961884,settlement,Saviama,Saviama,official,7.384444,-10.206667,LR-GP,,
-2135840,-2963468,settlement,Willija,Willija,official,6.933333,-10.983333,LR-CM,,
-2136025,-2963737,settlement,Ya,Ya,variant,6.177026,-9.67248,LR-GB,,
-2130618,-2955177,settlement,Bonibli,Bonibli,official,5.837477,-9.540922,LR-RI,,
-2135294,-2964403,administrative_region,3A,3A,variant,6,-9.75,LR-000,1,
-2135156,-2962406,settlement,Sum,Sum,official,6.533333,-10.6,LR-MO,,
-2135377,-2962765,settlement,Toga,Toga,official,7.116667,-11.2,LR-CM,,
-2134739,-2961745,settlement,Saluna,Saluna,official,6.443783,-10.827339,LR-MO,,
-2135959,-2963641,settlement,Wudiyazu,Wudiyazu,official,7.75,-9.55,LR-LO,,
-2132380,-2958060,settlement,Gwenning,Gwenning,official,6.6,-10.133333,LR-MG,,
-2133350,-2961542,settlement,Quema,Quema,variant,6.716667,-9.95,LR-MG,,
-2135506,-2962940,settlement,Tumobli,Tumobli,official,6.233333,-9.75,LR-GB,,
-2134921,-2962036,settlement,Senopla,Senopla,official,5.515833,-8.756111,LR-SI,,
-2130620,-2955179,settlement,Bonibli,Bonibli,official,6.303288,-9.467603,LR-GB,,
-2131312,-2956305,settlement,Doue,Doue,official,6.15,-10.083333,LR-GB,,
-2133024,-2959049,settlement,Klilike,Klilike,official,4.831312,-7.862849,LR-MY,,
-2135943,-2963620,settlement,Wozita,Wozita,official,7.633333,-9.566667,LR-LO,,
-2132324,-2957969,settlement,Gubli,Gubli,official,6.339021,-10.563347,LR-MG,,
-2134379,-2961181,settlement,Omalu,Omalu,official,6.932055,-10.69737,LR-GP,,
-2132133,-2957663,settlement,Gofabli,Gofabli,official,6,-10.05,LR-GB,,
-2132362,-2958035,settlement,Guyuga,Guyuga,official,6.216667,-9.583333,LR-GB,,
-2131446,-2956538,settlement,Fali,Fali,official,6.692203,-10.854927,LR-BM,,
-2133568,-2959881,settlement,Lolo,Lolo,official,8.43,-10.223056,LR-LO,,
-2131045,-2955843,settlement,Degota,Degota,official,6.881389,-8.630556,LR-NI,,
-2134851,-2961920,settlement,Sayota,Sayota,official,6.716667,-10.65,LR-BM,,
-2135820,-2963442,settlement,Wieson,Wieson,official,5.589561,-9.753711,LR-GB,,
-2134532,-2961416,settlement,Planten,Planten,official,6.833333,-9.766667,LR-BG,,
-2133424,-2959643,settlement,Kwito,Kwito,official,5.632693,-9.604685,LR-RI,,
-2134653,-2961606,settlement,Roni,Roni,official,6.583333,-10.85,LR-BM,,
-2136119,-2963873,settlement,Yayie,Yayie,official,7.183333,-9.416667,LR-BG,,
-2135242,-2962544,settlement,Tawafia,Tawafia,official,6.983333,-10.816667,LR-GP,,
-2132134,-2957665,settlement,Gofabli,Gofabli,official,6.433333,-9.516667,LR-GB,,
-2134380,-2961182,settlement,Omata,Omata,official,6.491772,-9.361951,LR-GB,,
-2129804,-2953876,settlement,Babli,Babli,official,5.47549,-9.583625,LR-RI,,
-2134852,-2961921,settlement,Sayouta,Sayouta,official,6.65,-10.15,LR-MG,,
-2134652,-2961605,settlement,Rondaze,Rondaze,official,6.966667,-8.333333,LR-NI,,
-2132453,-2958168,settlement,Hon,Hon,official,5.866667,-9.816667,LR-GB,,
-2134829,-2961885,settlement,Savohn,Savohn,official,5.65,-8.133333,LR-GG,,
-2135876,-2963521,hydrographic,"Wo Creek","Wo Creek",official,6.2,-10.016667,LR-GB,,
-2131233,-2956192,settlement,Dobli,Dobli,official,6.173933,-10.264084,LR-GB,,
-2132131,-2957660,settlement,Gofa,Gofa,official,6.133333,-9.8,LR-GB,,
-2135877,-2963522,hydrographic,Wodaya,Wodaya,official,7.933333,-9.9,LR-LO,,
-2133782,-2960214,settlement,Mano,Mano,official,6.983333,-11.283333,LR-CM,,
-2131298,-2956282,settlement,Donya,Donya,official,6.649011,-9.51523,LR-BG,,
-2133059,-2959101,settlement,Kohnma,Kohnma,official,6.752384,-11.102895,LR-CM,,
-2135210,-2962478,settlement,Takuima,Takuima,official,7.166667,-11.3,LR-CM,,
-2134293,-2961030,settlement,Nufata,Nufata,official,8.213611,-9.734444,LR-LO,,
-2130619,-2955178,settlement,Bonibli,Bonibli,official,6,-9.883333,LR-GB,,
-2134830,-2961886,settlement,Sawabli,Sawabli,official,6.283333,-9.666667,LR-GB,,
-2132453,-2958160,settlement,Hoh,Hoh,variant,5.866667,-9.816667,LR-GB,,
-2134850,-2961919,settlement,Sayon,Sayon,official,6.15,-10.35,LR-GB,,
-2132604,-2958412,settlement,Jima,Jima,official,6.86223,-11.300534,LR-CM,,
-2130276,-2953957,settlement,Bah,Bah,variant,6.566667,-10.016667,LR-MG,,
-2132360,-2958031,settlement,Guwala,Guwala,official,6.533333,-9.65,LR-GB,,
-2134292,-2961024,settlement,Nubli,Nubli,official,6.27195,-9.723156,LR-GB,,
-2132132,-2957662,settlement,Gofabli,Gofabli,official,5.528808,-9.613576,LR-RI,,
-2130657,-2955242,settlement,Bota,Bota,official,6.59975,-9.424198,LR-BG,,
-2131003,-2955778,settlement,Dauma,Dauma,official,7.140389,-9.603938,LR-BG,,
-2131962,-2957389,settlement,Gbonti,Gbonti,official,7.166667,-11.2,LR-CM,,
-2133423,-2959642,settlement,Kwiti,Kwiti,official,5.82876,-7.53376,LR-GG,,
-2133977,-2960526,settlement,Molebli,Molebli,official,6,-9.9,LR-GB,,
-2133060,-2959102,settlement,Kohnma,Kohnma,official,6.783333,-10.95,LR-BM,,
-2135062,-2962273,settlement,Sofa,Sofa,variant,7.191389,-8.658889,LR-NI,,
12360623,15335539,settlement,Tuwo,Tuwo,official,5.33217,-9.397917,LR-RI,,
12374833,15361445,administrative_region,Garr,Garr,official,7.234181,-8.926072,LR-NI,,
12362334,15338709,settlement,Setor,Setor,official,4.672363,-8.215296,LR-GK,,
-2136307,-2964181,settlement,Ziayozu,Ziayozu,official,8.265278,-9.926667,LR-LO,,
-2136468,-2962618,settlement,Tenebu,Tenebu,variant,8.329444,-9.769167,LR-LO,,
-2136468,-3140513,settlement,Kpademai,Kpademai,official,8.329444,-9.769167,LR-LO,,
-2136463,-2961387,settlement,Piein,Piein,variant,6.598396,-10.990201,LR-BM,,
-2136463,15302583,settlement,Kpagbola,Kpagbola,official,6.598396,-10.990201,LR-BM,,
-2136463,-3140515,settlement,Kpagbla,Kpagbla,variant,6.598396,-10.990201,LR-BM,,
-2136461,-2961252,settlement,Pandamai,Pandamai,variant,8.211944,-9.908611,LR-LO,,
-2136461,-3140514,settlement,Kpademai,Kpademai,official,8.211944,-9.908611,LR-LO,,
-2136461,-2959353,settlement,Kpandemai,Kpandemai,variant,8.211944,-9.908611,LR-LO,,
-2136461,-2961253,settlement,Pandemai,Pandemai,variant,8.211944,-9.908611,LR-LO,,
-2136461,-2961247,settlement,Pamdemé,Pamdeme,variant,8.211944,-9.908611,LR-LO,,
-2136454,-2959441,hypsographic,"Mount Kpoh","Mount Kpoh",variant,6.583333,-9.35,LR-GB,,
-2136454,-3140516,hypsographic,"Mount Kpa","Mount Kpa",official,6.583333,-9.35,LR-GB,,
-2136453,-3140518,settlement,Kpajedeta,Kpajedeta,variant,6.349057,-10.276175,LR-GB,,
-2136453,-2959370,settlement,Kpauedeta,Kpauedeta,official,6.349057,-10.276175,LR-GB,,
-2136443,-2959327,settlement,Kpakai,Kpakai,variant,6.976608,-9.230364,LR-BG,,
-2136443,150175,settlement,Kpai,Kpai,variant,6.976608,-9.230364,LR-BG,,
-2136443,15319062,settlement,"Kpaai Number One","Kpaai Number One",variant,6.976608,-9.230364,LR-BG,,
-2136443,-2957040,settlement,Gbae,Gbae,variant,6.976608,-9.230364,LR-BG,,
-2136443,-3140512,settlement,Kpaai,Kpaai,official,6.976608,-9.230364,LR-BG,,
-2136443,-2958812,settlement,Kapi,Kapi,variant,6.976608,-9.230364,LR-BG,,
-2136433,-3140517,settlement,Kpainsu,Kpainsu,variant,7.291111,-10.420278,LR-GP,,
-2136433,-2954255,settlement,Basu,Basu,official,7.291111,-10.420278,LR-GP,,
-2136433,-2957070,settlement,Gbaizu,Gbaizu,variant,7.291111,-10.420278,LR-GP,,
-2136432,-2964402,hydrographic,"Zwi Creek","Zwi Creek",official,6.666667,-8.983333,LR-NI,,
-2136431,-2964401,settlement,Zwiata,Zwiata,official,6.814636,-10.359146,LR-BG,,
-2136430,-2964400,settlement,Zwedru,Zwedru,official,6.068462,-8.135585,LR-GG,,
-2136430,-2962568,settlement,Tchien,Tchien,variant,6.068462,-8.135585,LR-GG,,
