wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1405509,-2017851,settlement,Kena,Kena,official,-29.766667,27.65,LS-000,,
-1405411,-2017645,settlement,Cheri,Cheri,variant,-29.602345,27.170027,LS-000,,
-1406013,-2018642,settlement,Mpiti,Mpiti,variant,-30.07465,28.620823,LS-000,,
-1405508,-2017850,spot,Kena,Kena,official,-29.75,27.683333,LS-000,,
-1406012,-2018640,settlement,Mphoto,Mphoto,official,-29.445363,27.589156,LS-000,,
-1406231,-2019051,spot,Seahle,Seahle,official,-30.05,28.683333,LS-000,,
-1405510,-2017852,settlement,Kepi,Kepi,official,-29.156476,27.771993,LS-000,,
-1405367,-2017571,hypsographic,Blokung,Blokung,official,-28.8,28.15,LS-000,,
-1406232,-2019052,spot,Seaka,Seaka,official,-30.35,27.6,LS-000,,
-1406073,-2018765,hypsographic,Patsi,Patsi,official,-28.78273,28.149261,LS-000,,
-1405442,-2017711,hypsographic,Ditsebi,Ditsebi,official,-29.308746,28.133384,LS-000,,
-1406360,-2019264,settlement,Theetsoa,Theetsoa,official,-29.716667,27.9,LS-000,,
-1406179,-2018941,settlement,Rafolatsana,Rafolatsana,variant,-29.347993,29.006787,LS-000,,
-1405691,-2018809,hydrographic,"Phutiatsana River","Phutiatsana River",variant,-29.37429,27.431367,LS-000,,
-1406258,-2019089,settlement,Sekake,Sekake,official,-30,28.35,LS-000,,
-1405985,-2018474,spot,Moipanyane,Moipanyane,variant,-28.966667,28.583333,LS-000,,
-1405638,-2018138,settlement,Loutsa,Loutsa,variant,-29.536885,27.516259,LS-000,,
-1406385,-2019306,hypsographic,Tlhakanelo,Tlhakanelo,official,-29.716667,28.85,LS-000,,
-1406144,-2019252,settlement,Thabatsoeu,Thabatsoeu,variant,-29.784675,27.408983,LS-000,,
-1405891,-2018446,hypsographic,Mochawa,Mochawa,official,-29.4,27.616667,LS-000,,
-1405900,-2018461,settlement,Mohlakwana,Mohlakwana,variant,-30.21788,27.939389,LS-000,,
-1405481,-2017787,hypsographic,"Hlabeng Sa Dikhama","Hlabeng Sa Dikhama",official,-29.35,28.083333,LS-000,,
-1406125,-2018856,hypsographic,"Thaba Putsoa","Thaba Putsoa",official,-29.616667,27.916667,LS-000,,
-1406200,-2018997,hydrographic,"Redi Stream","Redi Stream",official,-29.408744,29.336443,LS-000,,
-1405733,-2018219,spot,Makaung,Makaung,official,-29.85,27.2,LS-000,,
