wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1736555,-2433039,settlement,Zittig,Zittig,official,49.738889,6.345,LU-EC,,
-1735822,-2431878,settlement,Colmar,Colmar,official,49.810278,6.097222,LU-ME,,
-1735678,-2431664,settlement,Aspelt,Aspelt,official,49.522778,6.224722,LU-ES,,
-1736531,-2433001,settlement,Weyer,Weyer,official,49.719722,6.2,LU-GR,,
-1735765,-2431794,settlement,Bour,Bour,official,49.701389,6.018889,LU-ME,,
-1972851,-2739065,hydrographic,"La Wiltz","La Wiltz",variant,49.95,6.016667,S1-000,,
-1972851,-2725853,hydrographic,"Ruisseau de Bastogne","Ruisseau de Bastogne",variant,49.95,6.016667,S1-000,,
-1972851,11138789,hydrographic,"Le Wiltz","Le Wiltz",official,49.95,6.016667,S1-000,,
-1972851,11138790,hydrographic,"Wiltz Rivière","Wiltz Riviere",official,49.95,6.016667,S1-000,,
-1972851,-2752413,hydrographic,Wiltz,Wiltz,official,49.95,6.016667,S1-000,,
-1969395,-2747571,hydrographic,"Schibech Ruisseau","Schibech Ruisseau",variant,50.143686,6.140848,S1-000,,
-1969395,-2747572,hydrographic,Schiebach,Schiebach,official,50.143686,6.140848,S1-000,,
-1969395,-2747576,hydrographic,"Schie Rivière","Schie Riviere",variant,50.143686,6.140848,S1-000,,
-1966421,-2743384,hydrographic,"Ruisseau de Nothomb Baach","Ruisseau de Nothomb Baach",variant,49.766667,5.816667,S1-000,,
-1966421,-2743386,hydrographic,Holzerbach,Holzerbach,official,49.766667,5.816667,S1-000,,
-1966421,-2729498,hydrographic,"Cronawasser Ruisseau","Cronawasser Ruisseau",variant,49.766667,5.816667,S1-000,,
-1966421,-2743385,hydrographic,Nothomerbach,Nothomerbach,official,49.766667,5.816667,S1-000,,
-1758837,-2457584,park,"Parc Naturel Germano-Luxembourgeois","Parc Naturel Germano-Luxembourgeois",official,49.966667,6.216667,S1-000,,
-1758837,-2457582,park,"Deutsch-Luxemburger Naturpark","Deutsch-Luxemburger Naturpark",variant,49.966667,6.216667,S1-000,,
-1758837,-2457583,park,"Deutsch-Luxemburgischer Naturpark","Deutsch-Luxemburgischer Naturpark",official,49.966667,6.216667,S1-000,,
-1735761,15760949,park,Guttland,Guttland,variant,49.7,6.166667,LU-ME,,
-1736008,-2432198,settlement,Haller,Haller,official,49.8125,6.2825,LU-EC,,
-1736190,14476628,administrative_region,Luxemburg,Luxemburg,variant,49.6093,6.132035,LU-LU,,
-1736453,367819,settlement,Staekaul,Staekaul,official,49.696111,5.920278,LU-CA,,
-1736495,-2432947,spot,Vogelsmühl,Vogelsmuhl,variant,49.815278,6.3275,LU-EC,,
-1735705,-2431707,settlement,Berdorf,Berdorf,official,49.813611,6.350278,LU-EC,,
-1735777,367947,hydrographic,Breschterbaach,Breschterbaach,official,49.811667,5.920556,LU-RD,,
-1736152,-2432433,hypsographic,Langenberg,Langenberg,official,49.466667,6.066667,S1-000,,
-1736092,-2432319,settlement,Imbringen,Imbringen,official,49.6975,6.1975,LU-GR,,
-1736130,-2432690,spot,"Petit Bourghof","Petit Bourghof",variant,49.813611,6.136944,LU-ME,,
-1735931,367920,settlement,Fënsterdall,Fensterdall,official,49.759167,6.041111,LU-ME,,
-1736542,-2433019,settlement,Wincrange,Wincrange,official,50.053333,5.919167,LU-CL,,
-1735820,-2432384,spot,Kloosdellt,Kloosdellt,variant,49.902222,6.124167,LU-VD,,
-1736382,-2432760,settlement,Roddt,Roddt,variant,49.691944,6.002222,LU-CA,,
-1735818,-2432383,settlement,Klerf,Klerf,variant,50.054722,6.031389,LU-CL,,
-1736468,-2432325,settlement,Ischpelt,Ischpelt,variant,49.950556,5.796111,LU-WI,,
-1736349,367828,vegetation,Reckenerwald,Reckenerwald,official,49.732778,6.061111,LU-ME,,
-1736272,367342,spot,Neimillen,Neimillen,official,49.639167,6.048333,LU-LU,,
-1736190,14471131,administrative_region,"Stad Lëtzebuerg","Stad Letzebuerg",variant,49.6093,6.132035,LU-LU,,
-1736035,-2432196,settlement,Haispelt,Haispelt,variant,49.857222,5.880556,LU-RD,,
-1736134,-2432387,settlement,Knaphoscheid,Knaphoscheid,official,50.013333,5.964722,LU-WI,,
-1735940,-2432039,settlement,"Ferme Folkendange","Ferme Folkendange",variant,49.843056,6.204167,LU-DI,,
-1736304,-2432664,settlement,Ober-Merzig,Ober-Merzig,official,49.833333,6.016667,LU-DI,,
-1735969,-2432135,settlement,Goedingen,Goedingen,variant,50.149167,6.013333,LU-CL,,
-1735992,14466741,administrative_region,"Distrikt Grevenmacher","Distrikt Grevenmacher",variant,49.67777,6.35,LU-000,1,
-1735740,-2431750,settlement,Bischenrech,Bischenrech,official,50.083333,6,LU-CL,,
-1735813,-2431862,settlement,Clairefontaine,Clairefontaine,official,49.866667,6.183333,LU-DI,,
-1735976,-2432046,spot,"Ferme Gudelt","Ferme Gudelt",variant,49.772778,6.183056,LU-ME,,
-1736243,403122,spot,Michelshaff,Michelshaff,official,49.768611,6.383611,LU-EC,,
-1735754,14573418,settlement,Boevange,Boevange,variant,49.775278,6.015556,LU-ME,,
-1735877,-2431963,settlement,Ehmeschhof,Ehmeschhof,variant,50.093611,5.956667,LU-CL,,
-1736530,-2432996,settlement,Wemperhardt,Wemperhardt,official,50.155556,6.053333,LU-CL,,
