wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3214488,-4553251,spot,Zariņi,Zarini,official,56.636819,23.465881,LV-041,,
-3214332,-4552778,settlement,Virdzes,Virdzes,official,56.930416,25.930919,LV-059,,
-3213798,-4551862,spot,Vāģi,Vagi,official,57.21772,21.598903,LV-106,,
-3212453,-4549443,settlement,Ruži,Ruzi,variant,56.656628,25.787733,LV-002,,
-3211447,-4547641,spot,Paisas,Paisas,short,56.568258,22.008078,LV-050,,
-3209774,-4544127,spot,Kroģeļi,Krogeli,official,56.701453,22.596919,LV-088,,
-3208739,-4542424,spot,Inci,Inci,official,56.803309,22.325508,LV-088,,
-3208724,-4542397,settlement,Ilzene,Ilzene,official,57.380262,26.730078,LV-007,,
-3208241,-4541602,spot,Elki,Elki,official,57.215514,25.609508,LV-022,,
-3207674,-4540674,settlement,Cepurnieki,Cepurnieki,official,56.956102,26.758627,LV-059,,
-3207273,-4540017,settlement,Bičul,Bicul,variant,56.549392,23.583463,LV-041,,
-3214644,-4553511,spot,Zushi,Zushi,variant,57.163733,21.75365,LV-106,,
-3214645,-4553512,spot,Zushi,Zushi,variant,57.192167,21.966562,LV-106,,
-3214658,-4553537,spot,Zvani,Zvani,official,56.743912,22.690743,LV-088,,
14668561,19104963,settlement,Kozori,Kozori,official,56.51452,27.247967,LV-077,,
-3214645,-4553516,spot,Zuši,Zusi,official,57.192167,21.966562,LV-106,,
-3214644,-4553515,spot,Zuši,Zusi,official,57.163733,21.75365,LV-106,,
-3736220,-4966342,hydrographic,Rīzupe,Rizupe,official,57.831163,25.898145,S1-000,,
-3736300,-4966588,hydrographic,Baltezers,Baltezers,variant,55.937779,27.661926,S1-000,,
-3736300,-4966702,hydrographic,"Baltais Ezers","Baltais Ezers",official,55.937779,27.661926,S1-000,,
-3736308,12147200,hydrographic,Viguliīca,Viguliica,variant,57.439972,27.328587,S1-000,,
-3736308,-4966605,hydrographic,Virguļica,Virgulica,variant,57.439972,27.328587,S1-000,,
-3736308,17762450,hydrographic,Virgulica,Virgulica,official,57.439972,27.328587,S1-000,,
-3736220,18720027,hydrographic,Circeņupe,Circenupe,variant,57.831163,25.898145,S1-000,,
-3736220,-4966344,hydrographic,"Riisupi Oja","Riisupi Oja",official,57.831163,25.898145,S1-000,,
-3736300,-4966590,hydrographic,"Belojes Ezers","Belojes Ezers",variant,55.937779,27.661926,S1-000,,
-3736308,-4966709,hydrographic,Virgulitsa,Virgulitsa,official,57.439972,27.328587,S1-000,,
-3736300,17565946,hydrographic,"Bielaje Vozyera","Bielaje Vozyera",variant,55.937779,27.661926,S1-000,,
-3701499,-4919570,hydrographic,"Vaidava Jõgi","Vaidava Jogi",official,57.606296,26.567171,S1-000,,
-3701499,-4919571,hydrographic,Vaidava,Vaidava,official,57.606296,26.567171,S1-000,,
-3701499,-4919572,hydrographic,Vaydava,Vaydava,variant,57.606296,26.567171,S1-000,,
-3701495,-4919511,hydrographic,"Pedetsi Jõgi","Pedetsi Jogi",official,56.973984,26.864514,S1-000,,
-3701495,-4919575,hydrographic,Pedetsi,Pedetsi,variant,56.973984,26.864514,S1-000,,
-3701495,-4919512,hydrographic,Pededze,Pededze,official,56.973984,26.864514,S1-000,,
-3701495,-4919513,hydrographic,Pededze,Pededze,official,56.973984,26.864514,S1-000,,
-3701494,-4919506,hydrographic,Pedela,Pedela,variant,57.85,26.133333,S1-000,,
-3701494,-4919503,hydrographic,Pedala,Pedala,variant,57.85,26.133333,S1-000,,
