wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2551001,-3512710,hypsographic,Alpi,Alpi,official,46.416667,10,S1-000,,
-2551001,-3512719,hypsographic,Alps,Alps,colloquial,46.416667,10,S1-000,,
-2551001,-3512681,hypsographic,Alpe,Alpe,official,46.416667,10,S1-000,,
-2551001,15216851,hypsographic,Alps,Alps,official,46.416667,10,S1-000,,
-2551001,-3515229,hypsographic,"Les Alpes","Les Alpes",variant,46.416667,10,S1-000,,
-2551001,-3512704,hypsographic,Alpes,Alpes,official,46.416667,10,S1-000,,
-2551001,-3512699,hypsographic,Alpen,Alpen,official,46.416667,10,S1-000,,
-1452685,-2080376,settlement,Monte-Carlo,Monte-Carlo,official,43.73935,7.427381,MC-000,,
-1451965,14103758,administrative_region,Monaco,Monaco,colloquial,43.733333,7.419444,MC-000,,
-1451965,14100723,administrative_region,Monaco,Monaco,official,43.733333,7.419444,MC-000,,
-1451966,-2079416,hypsographic,"Rocher de Monaco","Rocher de Monaco",official,43.731017,7.42516,MC-000,,
-1451964,-2079418,settlement,Monaco-Ville,Monaco-Ville,variant,43.733333,7.416667,MC-000,,
-1451965,-2079414,administrative_region,"Principality of Monaco","Principality of Monaco",colloquial,43.733333,7.419444,MC-000,,
-1451965,-2079415,administrative_region,"Principauté de Monaco","Principaute de Monaco",official,43.733333,7.419444,MC-000,,
-1451964,-2079413,settlement,Monaco,Monaco,official,43.733333,7.416667,MC-000,,
-1435451,-2038544,settlement,Condamine,Condamine,variant,43.734395,7.420238,MC-000,,
-1435451,-2056775,settlement,"La Condamine","La Condamine",official,43.734395,7.420238,MC-000,,
-1427549,-2046500,settlement,Fontvieille,Fontvieille,official,43.726866,7.417664,MC-000,,
-1427170,-3022952,hypsographic,"Pointe Focinane","Pointe Focinane",official,43.738063,7.429955,MC-000,,
-1427170,-2045969,hypsographic,"Pointe Focinana","Pointe Focinana",variant,43.738063,7.429955,MC-000,,
-1416579,-2032391,hydrographic,"Anse de Canton","Anse de Canton",short,43.733333,7.416667,MC-000,,
152279,186583,hypsographic,"Point Saint-Martin","Point Saint-Martin",variant,43.72942,7.424244,MC-000,,
152283,186587,hydrographic,"Port de Fontvieille","Port de Fontvieille",official,43.729615,7.420473,MC-000,,
152290,575439,park,"Port Hercule","Port Hercule",official,43.735208,7.4252,MC-000,,
152279,186582,hypsographic,"Pointe Saint-Martin","Pointe Saint-Martin",official,43.72942,7.424244,MC-000,,
152288,186592,hypsographic,"Pointe Saint-Antoine","Pointe Saint-Antoine",official,43.733137,7.428085,MC-000,,
152285,186589,hypsographic,"Pointe de la Poudrière","Pointe de la Poudriere",official,43.730752,7.427236,MC-000,,
152290,186594,park,"Port de la Condamine","Port de la Condamine",variant,43.735208,7.4252,MC-000,,
152290,575361,park,"Port de Monaco","Port de Monaco",variant,43.735208,7.4252,MC-000,,
451046,575319,spot,"Stade Louis II","Stade Louis II",variant,43.727381,7.415573,MC-000,,
451046,575318,spot,"Stade Louis Deux","Stade Louis Deux",official,43.727381,7.415573,MC-000,,
451051,575325,hypsographic,"Pointe Sainte-Barbe","Pointe Sainte-Barbe",official,43.729843,7.42048,MC-000,,
451053,575327,hypsographic,Ciappaira,Ciappaira,official,43.731854,7.428097,MC-000,,
451062,575338,hypsographic,"Plage du Larvotto","Plage du Larvotto",official,43.746558,7.434041,MC-000,,
451068,575344,park,Larvotto,Larvotto,official,43.747137,7.433558,MC-000,,
451090,575370,hydrographic,"Anse de la Grue","Anse de la Grue",official,43.729845,7.421341,MC-000,,
451093,575376,park,"Réserve Sous-marine du Larvotto","Reserve Sous-marine du Larvotto",variant,43.744662,7.438972,MC-000,,
451093,575375,park,"Réserve Sous-marine de Monaco","Reserve Sous-marine de Monaco",official,43.744662,7.438972,MC-000,,
451099,575382,spot,"Jardin Exotique","Jardin Exotique",official,43.732529,7.41776,MC-000,,
451101,575384,spot,"Jardin Japonais","Jardin Japonais",official,43.741522,7.430542,MC-000,,
451106,575390,hydrographic,"Anse du Portier","Anse du Portier",official,43.740795,7.430909,MC-000,,
451138,13144207,settlement,"Les Moneghetti","Les Moneghetti",variant,43.736791,7.416468,MC-000,,
451138,575429,settlement,Moneghetti,Moneghetti,official,43.736791,7.416468,MC-000,,
451149,575444,administrative_region,"Commune de Monaco","Commune de Monaco",official,43.733333,7.4,MC-000,,
11264541,13144209,settlement,"Les Révoires","Les Revoires",official,43.734217,7.413058,MC-000,,
11264542,13144210,hydrographic,"Port de Cap d’Ail","Port de Cap d'Ail",official,43.724968,7.415798,MC-000,,
11264543,13144211,hypsographic,"Cap d’Ail","Cap d'Ail",official,43.71879,7.406081,MC-000,,
11264543,13144212,hypsographic,"Pointe des Douaniers","Pointe des Douaniers",variant,43.71879,7.406081,MC-000,,
11264544,13144213,hypsographic,"Cap Rognoso","Cap Rognoso",official,43.718919,7.398906,MC-000,,
