wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
364235,454301,settlement,Zaboj,Zaboj,official,43.0225,19.464167,ME-000,,
15068,18066,hypsographic,Vrh,Vrh,official,43.026667,18.624167,ME-000,,
365294,455541,park,Maren,Maren,official,43.23,19.582778,ME-000,,
295199,369851,hypsographic,Sovic,Sovic,official,42.55,18.468611,ME-000,,
438567,560564,hypsographic,Kape,Kape,official,42.648333,19.096111,ME-000,,
433954,554788,settlement,Orah,Orah,official,42.747222,19.896111,ME-000,,
433907,554731,hypsographic,Zavoj,Zavoj,official,42.620017,20.068091,ME-000,,
437925,559845,hypsographic,Guka,Guka,official,42.617778,18.765833,ME-000,,
442640,565062,hypsographic,Seča,Seca,official,43.098056,19.844167,ME-000,,
6127280,6137816,hypsographic,Sopot,Sopot,official,42.2625,19.0975,ME-000,,
440351,562514,hypsographic,Kršt,Krst,official,42.3725,18.885833,ME-000,,
6016925,6020012,hypsographic,Siga,Siga,official,42.874444,19.153611,ME-000,,
439652,561771,park,Paklina,Paklina,official,43.02,18.994444,ME-000,,
9065631,9065631,settlement,Rt,Rt,official,43.472778,19.147778,ME-000,,
9052937,9052937,hypsographic,Sto,Sto,official,42.842222,19.406667,ME-000,,
9048484,9048484,park,Lokva,Lokva,official,42.831667,19.732222,ME-000,,
9035309,9035309,hypsographic,Šila,Sila,official,42.573611,19.515,ME-000,,
9051246,9051246,spot,Kapa,Kapa,official,42.831111,19.265556,ME-000,,
9064302,9064302,hypsographic,Ploče,Ploce,official,42.445833,18.791944,ME-000,,
9077674,9078511,park,Budohi,Budohi,official,42.414444,19.387222,ME-000,,
-1151841,19650071,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
-1151841,-1698243,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650073,hypsographic,"Βαλκανική Χερσόνησο","Βαλκανική Χερσόνησο",unknown,44,23,S1-000,,
-1151841,19650065,hypsographic,"Valkanikí Chersónisos","Valkaniki Chersonisos",official,44,23,S1-000,,
-1151841,19650064,hypsographic,"Balkansko Poluostrvo","Balkansko Poluostrvo",official,44,23,S1-000,,
-1151841,19650063,hypsographic,"Gadishulli Ballkanik","Gadishulli Ballkanik",official,44,23,S1-000,,
-1151841,19650069,hypsographic,"Balkan Yarımadası","Balkan Yarimadasi",official,44,23,S1-000,,
-1151841,19650066,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650072,hypsographic,"Балканско Полуострво","Балканско Полуострво",unknown,44,23,S1-000,,
-1151841,-1698242,hypsographic,Balkans,Balkans,variant,44,23,S1-000,,
-1151841,19650067,hypsographic,"Peninsula Balcanică","Peninsula Balcanica",official,44,23,S1-000,,
-1151841,19650068,hypsographic,"Balkanski Poluotok","Balkanski Poluotok",official,44,23,S1-000,,
-1151841,-1698241,hypsographic,"Balkan Peninsula","Balkan Peninsula",colloquial,44,23,S1-000,,
-1151841,19650070,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
