wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1710025,-2400478,hypsographic,"Babil Punt","Babil Punt",variant,18.053803,-63.01112,MF-000,,
-1710025,-2400477,hypsographic,"Pointe Babil","Pointe Babil",variant,18.053803,-63.01112,MF-000,,
-1710025,-2400479,hypsographic,"Babit Point","Babit Point",official,18.053803,-63.01112,MF-000,,
-1710180,-2400682,hydrographic,"Cupecoy Bay","Cupecoy Bay",official,18.051563,-63.138058,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1203828,-1769330,hypsographic,"Île Tintamarre","Ile Tintamarre",official,18.119364,-62.979233,MF-000,,
-1203785,-1769252,hydrographic,Simsons-Lagune,Simsons-Lagune,variant,18.053323,-63.109385,S1-000,,
-1203785,-1769250,hydrographic,"Simson Baai Lagoon","Simson Baai Lagoon",variant,18.053323,-63.109385,S1-000,,
-1203821,-1769320,hypsographic,"Péninsule des Terres Basses","Peninsule des Terres Basses",official,18.066667,-63.133333,MF-000,,
-1203870,-1767538,hypsographic,"Ile Chaloupe","Ile Chaloupe",variant,18.088914,-63.011086,MF-000,,
-1203785,-1769245,hydrographic,"Lac Simson","Lac Simson",variant,18.053323,-63.109385,S1-000,,
-1203828,-1769331,hypsographic,"Îlot Tintamarre","Ilot Tintamarre",variant,18.119364,-62.979233,MF-000,,
-1203785,-1769248,hydrographic,"Simson Bay Lagoon","Simson Bay Lagoon",variant,18.053323,-63.109385,S1-000,,
-1203785,-1769249,hydrographic,"Simson Baai Lagoen","Simson Baai Lagoen",variant,18.053323,-63.109385,S1-000,,
-1203785,-1769251,hydrographic,"Lac Simson’s Bay","Lac Simson's Bay",variant,18.053323,-63.109385,S1-000,,
-1203785,-1769244,hydrographic,"Lac Simpson","Lac Simpson",variant,18.053323,-63.109385,S1-000,,
-1203785,10952221,hydrographic,"Simpson Bay Lagoon","Simpson Bay Lagoon",official,18.053323,-63.109385,S1-000,,
-1203785,-1769243,hydrographic,"Étang de Simpson","Etang de Simpson",variant,18.053323,-63.109385,S1-000,,
-1203870,-1769394,hypsographic,"Caye Verte","Caye Verte",official,18.088914,-63.011086,MF-000,,
-1203828,-1769329,hypsographic,"Îlot Tintamare","Ilot Tintamare",variant,18.119364,-62.979233,MF-000,,
-1203821,-1769319,hypsographic,"Peninsula des Terres Basses","Peninsula des Terres Basses",variant,18.066667,-63.133333,MF-000,,
-1203785,-1769246,hydrographic,"Lagon Simson","Lagon Simson",variant,18.053323,-63.109385,S1-000,,
-1203870,-1768084,hypsographic,"Green Cay","Green Cay",variant,18.088914,-63.011086,MF-000,,
-1203785,-1769247,hydrographic,"Grand Étang de Simsonbaai","Grand Etang de Simsonbaai",official,18.053323,-63.109385,S1-000,,
-1203870,-1767547,hypsographic,"Île Charlotte","Ile Charlotte",variant,18.088914,-63.011086,MF-000,,
-1203787,-1769260,hypsographic,"Colline du Soldat","Colline du Soldat",official,18.116667,-62.983333,MF-000,,
-1203429,-1768738,hydrographic,"North Curve","North Curve",official,18.12146,-62.983452,MF-000,,
-1203233,-1767220,hypsographic,"Antilles Menores","Antilles Menores",variant,14.666667,-61.016667,S1-000,,
-1202719,-1767672,settlement,"Cul de Sac","Cul de Sac",variant,18.101557,-63.030321,MF-000,,
-1203166,-1768429,hypsographic,"Le Selle","Le Selle",variant,18.05,-63.133333,MF-000,,
-1203320,53721,spot,"Fort de Marigot","Fort de Marigot",variant,18.070781,-63.085437,MF-000,,
-1203184,-1768384,hypsographic,"Groupe de Leeward","Groupe de Leeward",variant,17.35,-62.783333,S1-000,,
-1203453,-1768779,hypsographic,"Pic du Paradis","Pic du Paradis",variant,18.077196,-63.050312,MF-000,,
-1202860,-1767892,hydrographic,"Baie Friers","Baie Friers",variant,18.088837,-63.08175,MF-000,,
-1202718,10954406,hypsographic,"Creole Rock","Creole Rock",variant,18.118058,-63.056351,MF-000,,
