wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-221868,-328505,settlement,Soavina,Soavina,official,-18.467068,46.651167,MG-T,,
-221936,-328596,hypsographic,Sorata,Sorata,official,-13.680083,49.430255,MG-D,,
-221870,-328507,settlement,Soavina,Soavina,official,-18.566167,47.676114,MG-T,,
-221869,-328506,settlement,Soavina,Soavina,official,-18.487243,47.123952,MG-T,,
-221871,-328508,settlement,Soavina,Soavina,official,-18.680956,47.182289,MG-T,,
-221937,-328599,settlement,Sorinda,Sorinda,official,-23.6,46.15,MG-U,,
-222485,-329295,settlement,Tapera,Tapera,official,-24.909599,47.126102,MG-U,,
-221872,-328509,settlement,Soavina,Soavina,official,-18.86709207,47.68243686,MG-T,,
-222484,-329294,hypsographic,Tapera,Tapera,official,-24.916667,47.133333,MG-U,,
-221867,-328504,settlement,Soavina,Soavina,official,-18.333333,47.133333,MG-T,,
-221873,-328510,settlement,Soavina,Soavina,official,-18.95778626,47.5008619,MG-T,,
-221657,-328254,settlement,Soarano,Soarano,official,-16.377956,45.027328,MG-M,,
-221471,-328026,settlement,Sikily,Sikily,official,-22.533333,44.116667,MG-U,,
-221516,-328086,settlement,Soafasy,Soafasy,official,-19.426077,45.376169,MG-U,,
-221686,-328284,settlement,Soarano,Soarano,official,-23.732819,45.261896,MG-U,,
-221685,-328283,settlement,Soarano,Soarano,official,-23.629421,46.80832,MG-F,,
-221684,-328282,settlement,Soarano,Soarano,official,-23.210291,45.999931,MG-U,,
-221690,-328289,settlement,Soarano,Soarano,short,-24.237181,45.890531,MG-U,,
-221656,-328252,settlement,Soarana,Soarana,short,-23.469485,44.489359,MG-U,,
-221655,-328251,settlement,Soarana,Soarana,official,-20.609702,44.405024,MG-U,,
-221691,-328291,settlement,Soarano,Soarano,short,-24.282177,45.452502,MG-U,,
-221692,-328292,settlement,Soarano,Soarano,official,-24.350187,46.215806,MG-U,,
-221688,-328287,settlement,Soarano,Soarano,short,-24.174214,45.282282,MG-U,,
-221687,-328285,settlement,Soarano,Soarano,official,-23.913698,46.939838,MG-F,,
-221693,-328293,settlement,Soarano,Soarano,short,-24.474705,45.436014,MG-U,,
-221689,-328288,settlement,Soarano,Soarano,short,-24.225949,47.191654,MG-U,,
-221694,-328294,settlement,Soarano,Soarano,official,-24.535769,46.965107,MG-U,,
-221470,-328025,hypsographic,Sikily,Sikily,short,-22.321471,44.151657,MG-U,,
-221469,-328024,park,Sijoro,Sijoro,short,-14.127393,47.951278,MG-M,,
-221017,-327439,spot,Sakoa,Sakoa,short,-23.816667,44.766667,MG-U,,
-221016,-327438,settlement,Sakeza,Sakeza,official,-23.066667,47.25,MG-F,,
-220332,-326566,settlement,Sabotsy,Sabotsy,official,-18.891329,47.967253,MG-A,,
-220706,-327021,park,Sahatay,Sahatay,short,-21.360583,43.998685,MG-U,,
-220987,-327404,settlement,Sakave,Sakave,official,-21.820555,45.546415,MG-F,,
-220333,-326567,settlement,Sabotsy,Sabotsy,official,-18.937685,47.292833,MG-T,,
-220989,-327406,settlement,Sakave,Sakave,official,-24.904056,45.876469,MG-U,,
-220986,-327403,settlement,Sakave,Sakave,official,-21.59832,48.006267,MG-F,,
-220991,-327408,hydrographic,Sakave,Sakave,official,-23.522776,45.938212,MG-U,,
-220988,-327405,settlement,Sakave,Sakave,official,-22.574058,46.311279,MG-F,,
-220990,-327407,hydrographic,Sakave,Sakave,official,-21.605507,48.038155,MG-F,,
-220263,-326473,park,Revo,Revo,official,-21.853699,45.008917,MG-U,,
-219820,-325849,hydrographic,Nataona,Nataona,official,-18.216667,48.433333,MG-A,,
-220329,-326562,settlement,Sabotsy,Sabotsy,short,-18.612413,47.129803,MG-T,,
-220330,-326563,settlement,Sabotsy,Sabotsy,official,-18.739093,47.055569,MG-T,,
-219977,-326064,settlement,Onisoa,Onisoa,official,-21.499401,46.02006,MG-F,,
-220264,-326474,settlement,Revory,Revory,official,-25.077776,45.381179,MG-U,,
-219821,-325850,settlement,Nato,Nato,official,-21.468375,48.286591,MG-F,,
-220331,-326564,settlement,Sabotsy,Sabotsy,official,-18.8,46.916667,MG-T,,
-219822,-325851,settlement,Nato,Nato,official,-22.308886,47.829638,MG-F,,
-219821,-325677,settlement,Nalo,Nalo,variant,-21.468375,48.286591,MG-F,,
-219846,-325885,park,Niavo,Niavo,official,-23.75738,43.948534,MG-U,,
-220265,-326476,hydrographic,Rezoky,Rezoky,official,-22.1,44.466667,MG-U,,
-220045,-326196,hydrographic,Rabaona,Rabaona,official,-18.645809,48.483853,MG-A,,
-218929,-324765,settlement,Miadana,Miadana,official,-18.416464,47.122471,MG-T,,
-219703,-325694,settlement,Namakia,Namakia,official,-15.341336,46.735443,MG-M,,
-219347,-325272,settlement,Morafeno,Morafeno,official,-16.966667,45,MG-M,,
-218923,-324759,settlement,Miadana,Miadana,official,-13.25,49.666667,MG-D,,
-219819,-325846,settlement,Nasina,Nasina,official,-19.366667,48.583333,MG-A,,
-218960,-324797,settlement,Miakotso,Miakotso,official,-18.6,46.95,MG-T,,
-219531,-325477,settlement,Morarano,Morarano,official,-18.35,47.2,MG-T,,
-218928,-324764,settlement,Miadana,Miadana,official,-18.25455,47.665164,MG-T,,
-218930,-324766,settlement,Miadana,Miadana,short,-18.70405,47.98562,MG-A,,
-219728,-325728,settlement,Nameho,Nameho,official,-21.85,46.483333,MG-F,,
-218926,-324762,settlement,Miadana,Miadana,short,-15.901749,47.552053,MG-M,,
-219270,-325179,settlement,Mohasoa,Mohasoa,official,-20.812819,47.069818,MG-F,,
-218924,-324760,settlement,Miadana,Miadana,official,-15.678732,47.181348,MG-M,,
-218925,-324761,settlement,Miadana,Miadana,official,-15.861331,47.573839,MG-M,,
-219704,-325695,settlement,Namakia,Namakia,official,-15.913721,45.840394,MG-M,,
-218927,-324763,settlement,Miadana,Miadana,official,-15.997484,46.622126,MG-M,,
-217235,-322708,settlement,Mangily,Mangily,official,-18.120449,44.539807,MG-M,,
-217233,-322706,hypsographic,Mangily,Mangily,official,-18.137034,44.534397,MG-M,,
-217834,-323451,settlement,Marofio,Marofio,official,-24.866667,44.2,MG-U,,
-217112,-322571,settlement,Mangabe,Mangabe,official,-17.4,44.966667,MG-M,,
