wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3023731,-4238462,hydrographic,Ubur-Katantsa,Ubur-Katantsa,official,49.343765,108.658691,S1-000,,
-2959898,-4146239,park,Mongolia,Mongolia,official,45,105,MN-000,,
-2959898,-4141773,park,Mengku,Mengku,variant,45,105,MN-000,,
-2959898,-4146236,park,Mongolei,Mongolei,variant,45,105,MN-000,,
-2959898,-4146240,park,Mongolie,Mongolie,variant,45,105,MN-000,,
-2956875,-4141878,hydrographic,Menzhiken,Menzhiken,official,49.71326,109.089271,S1-000,,
-2956875,6789181,hydrographic,Менжикен,Менжикен,unknown,49.71326,109.089271,S1-000,,
-2942356,-4117403,hydrographic,"Reka Kua","Reka Kua",variant,49.1974967,109.53016827,S1-000,,
-2942356,-4121859,hydrographic,Kuya,Kuya,official,49.1974967,109.53016827,S1-000,,
-2942356,6714562,hydrographic,Куя,Куя,unknown,49.1974967,109.53016827,S1-000,,
-2942356,-4194996,hydrographic,Ruga,Ruga,variant,49.1974967,109.53016827,S1-000,,
-2913199,-4078780,hypsographic,"Khrebet Gurbi-Daban","Khrebet Gurbi-Daban",official,51.5,102,S1-000,,
-2913199,6697763,hypsographic,"Хребет Гурби-Дабан","Хребет Гурби-Дабан",unknown,51.5,102,S1-000,,
-2891698,6651734,hydrographic,"Большой Улилей","Большой Улилей",unknown,49.621959,108.030082,S1-000,,
-2891698,-4048236,hydrographic,"Bol’shoy Uliley","Bol'shoy Uliley",official,49.621959,108.030082,S1-000,,
-2879833,-4031619,hydrographic,Ashinga,Ashinga,official,49.18929778,109.78751115,S1-000,,
-2879833,-4031601,hydrographic,"Reka Ashenga","Reka Ashenga",variant,49.18929778,109.78751115,S1-000,,
-2874681,-4024039,hydrographic,"Reka Agatsa","Reka Agatsa",variant,49.25,112.033333,MN-000,,
-2874681,-4024184,hydrographic,"Agtsu’iin Gol","Agtsu'iin Gol",variant,49.25,112.033333,MN-000,,
-2874681,-4024200,hydrographic,"Agatsïn Gol","Agatsin Gol",official,49.25,112.033333,MN-000,,
-2874681,-4024040,hydrographic,"Agats Gol","Agats Gol",variant,49.25,112.033333,MN-000,,
-2874681,-4024183,hydrographic,"Agtsayn Gol","Agtsayn Gol",variant,49.25,112.033333,MN-000,,
-2874681,-4024182,hydrographic,"Agtsaiin Gol","Agtsaiin Gol",variant,49.25,112.033333,MN-000,,
-2874681,-4024203,hydrographic,Agutsan,Agutsan,variant,49.25,112.033333,MN-000,,
-2874681,-4024199,hydrographic,Agutsa,Agutsa,official,49.25,112.033333,MN-000,,
-2874681,-4024185,hydrographic,Agtsuin-gol,Agtsuin-gol,variant,49.25,112.033333,MN-000,,
-2874681,-4024201,hydrographic,"Agutsa Ho","Agutsa Ho",variant,49.25,112.033333,MN-000,,
-2874681,-4024186,hydrographic,"Agtsyn Gol","Agtsyn Gol",variant,49.25,112.033333,MN-000,,
-2347617,-3241509,settlement,Ak-aral,Ak-aral,official,49.2,90.9,MN-071,,
-2354022,-3245329,settlement,"Damba daruzhayn khid","Damba daruzhayn khid",variant,47.983333,106.916667,MN-1,,
-2354022,-3245327,settlement,"Damba Darajayn Hiyd","Damba Darajayn Hiyd",variant,47.983333,106.916667,MN-1,,
-2354022,-3756167,settlement,"Damba Darajayn Hiid","Damba Darajayn Hiid",official,47.983333,106.916667,MN-1,,
-2354022,-3245328,settlement,"Damba Daruzhain Khid","Damba Daruzhain Khid",variant,47.983333,106.916667,MN-1,,
-2354020,-3245256,settlement,"Dalangin Dugang","Dalangin Dugang",official,49.65,106.866667,MN-049,,
-2354020,-3245314,settlement,"Dalong Monastery","Dalong Monastery",variant,49.65,106.866667,MN-049,,
-2353942,-3259780,hypsographic,"Zurutō Uula","Zuruto Uula",short,46.833333,115.35,MN-061,,
-2353941,-3259745,hydrographic,"Yusutu Gol","Yusutu Gol",short,48.583333,107.766667,MN-047,,
-2353940,-3259727,hypsographic,"Yumtu Uul","Yumtu Uul",short,47.216667,107,MN-047,,
-2353939,-3259726,hypsographic,"Yumt Uul","Yumt Uul",short,44.516667,97.216667,MN-065,,
-2353938,-3259725,settlement,"Yumiin Jisa","Yumiin Jisa",official,46.2,99.033333,MN-069,,
-2353938,-3259723,settlement,"Yumiin chzhisa","Yumiin chzhisa",variant,46.2,99.033333,MN-069,,
-2353937,-3259724,settlement,"Yumiin Dugang","Yumiin Dugang",official,49.133333,103.716667,MN-067,,
-2353937,-3259729,settlement,"Yumyyn dugang","Yumyyn dugang",variant,49.133333,103.716667,MN-067,,
-2353936,-3259705,hydrographic,"Yöstyökiyn Salaa","Yostyokiyn Salaa",official,48.116667,88.9,MN-071,,
