wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1204105,-1769689,settlement,"Vila da Taipa","Vila da Taipa",variant,22.155833,113.556944,MO-000,,
-1204096,-1769606,hypsographic,Hião-Chão,Hiao-Chao,variant,22.199722,113.546389,MO-000,,
-1204080,9353474,settlement,黑沙,黑沙,unknown,22.119167,113.567778,MO-000,,
-1204075,-1769586,hydrographic,"Baía de Choc-Van","Baia de Choc-Van",variant,22.112222,113.560556,MO-000,,
-1204076,9353466,settlement,路环,路环,unknown,22.118056,113.551944,MO-000,,
-1204079,9353922,spot,"Guia Lighthouse","Guia Lighthouse",variant,22.196667,113.549722,MO-000,,
-1204096,-1769570,hypsographic,Aumun,Aumun,variant,22.199722,113.546389,MO-000,,
-1204090,9353539,hydrographic,"Lizhi Wan","Lizhi Wan",official,22.121944,113.551111,MO-000,,
-1204107,9353543,hydrographic,大湾,大湾,unknown,22.127222,113.550278,MO-000,,
-1204084,9354031,park,"Ertong Gongyuan","Ertong Gongyuan",official,22.187222,113.537222,MO-000,,
-1204104,-1769676,hydrographic,"Bacia Sul do Patane","Bacia Sul do Patane",official,22.205278,113.5375,MO-000,,
-1204084,-1769610,park,"Parque Infantil","Parque Infantil",official,22.187222,113.537222,MO-000,,
-1204093,6016510,administrative_region,"Macau Special Administrative Region","Macau Special Administrative Region",colloquial,22.157778,113.559722,MO-000,,
-1204086,-1769614,hydrographic,"Baía de Ká-Hó","Baia de Ka-Ho",official,22.138056,113.584167,MO-000,,
-1204080,-1769602,settlement,Hac-Tsa,Hac-Tsa,variant,22.119167,113.567778,MO-000,,
-1204100,9355649,hydrographic,南湾湖,南湾湖,unknown,22.186389,113.541111,MO-000,,
-1204081,-1769601,hydrographic,"Baía de Hác Sá","Baia de Hac Sa",official,22.120833,113.573056,MO-000,,
-1204100,285770,hydrographic,"Enseada Praia Grande","Enseada Praia Grande",variant,22.186389,113.541111,MO-000,,
-1204098,-1769665,hydrographic,"Pi-tan-ni-Pei Wan","Pi-tan-ni-Pei Wan",variant,22.208056,113.538889,MO-000,,
-1204096,-1769587,hypsographic,Chung-Shan,Chung-Shan,variant,22.199722,113.546389,MO-000,,
-1204081,9353462,hydrographic,黑沙湾,黑沙湾,unknown,22.120833,113.573056,MO-000,,
-1204098,9353731,hydrographic,筷子基北湾,筷子基北湾,unknown,22.208056,113.538889,MO-000,,
-1204105,-1769678,settlement,Taipa,Taipa,official,22.155833,113.556944,MO-000,,
-1204077,-1769621,hypsographic,"Ko Ho Island","Ko Ho Island",variant,22.12611,113.566913,MO-000,,
-1204083,9353733,hypsographic,"Qingzhou Shan","Qingzhou Shan",official,22.211667,113.5375,MO-000,,
-1204095,-1769637,administrative_region,Macau,Macau,variant,22.200278,113.546944,MO-000,1,
-1204093,14103788,administrative_region,Macau,Macau,colloquial,22.157778,113.559722,MO-000,,
-1204072,9355632,hydrographic,"Xi Wan","Xi Wan",variant,22.182222,113.535278,MO-000,,
-1204073,9353875,hypsographic,鸡颈,鸡颈,unknown,22.161111,113.5775,MO-000,,
-1204102,9353547,hydrographic,石排湾,石排湾,unknown,22.141667,113.555556,MO-000,,
-1204099,-1769663,hypsographic,"Penha Hill","Penha Hill",variant,22.186389,113.534722,MO-000,,
-1204106,-1769679,hypsographic,"Ilha da Taipa","Ilha da Taipa",official,22.159722,113.559444,MO-000,,
-1204107,9353542,hydrographic,"Da Wan","Da Wan",official,22.127222,113.550278,MO-000,,
-1204072,9355634,hydrographic,"Lago Sai Van","Lago Sai Van",official,22.182222,113.535278,MO-000,,
-1204100,9355645,hydrographic,"Nan Wan","Nan Wan",variant,22.186389,113.541111,MO-000,,
-1204106,-1769680,hypsographic,"Ilha de Taipa","Ilha de Taipa",variant,22.159722,113.559444,MO-000,,
-1204093,14100698,administrative_region,Macau,Macau,official,22.157778,113.559722,MO-000,,
-1204079,-1769599,spot,"Guia Fort","Guia Fort",variant,22.196667,113.549722,MO-000,,
-1204093,-1769633,administrative_region,Macao,Macao,variant,22.157778,113.559722,MO-000,,
-1204093,6016509,administrative_region,"Aomen Tebie Xingzhengqu","Aomen Tebie Xingzhengqu",official,22.157778,113.559722,MO-000,,
-1204094,-1769589,settlement,"Cidade de Macau","Cidade de Macau",variant,22.200556,113.546111,MO-000,,
-1204096,-1769605,hypsographic,Heungshan,Heungshan,variant,22.199722,113.546389,MO-000,,
-1204079,9353917,spot,"Farol da Guia","Farol da Guia",official,22.196667,113.549722,MO-000,,
-1204104,9353730,hydrographic,"Kuaiziji Nanwan","Kuaiziji Nanwan",official,22.205278,113.5375,MO-000,,
-1204096,-1769641,hypsographic,"Ilha de Macau","Ilha de Macau",official,22.199722,113.546389,MO-000,,
-1204086,9353615,hydrographic,九澳湾,九澳湾,unknown,22.138056,113.584167,MO-000,,
-1204106,-1769609,hypsographic,I-li-mi,I-li-mi,variant,22.159722,113.559444,MO-000,,
-1204102,-1769672,hydrographic,"Baía de Siao Pai Van","Baia de Siao Pai Van",variant,22.141667,113.555556,MO-000,,
-1204090,-1769629,hydrographic,"Li-Chih Wan","Li-Chih Wan",variant,22.121944,113.551111,MO-000,,
-1204078,-1769658,hydrographic,"New Port","New Port",variant,22.193333,113.558056,MO-000,,
-1204097,-1769650,hypsographic,"Maria Point","Maria Point",variant,22.161944,113.542222,MO-000,,
-1204078,9353751,hydrographic,"Wai Gang","Wai Gang",official,22.193333,113.558056,MO-000,,
-1204102,-1769670,hydrographic,"Baía de Siac Pai Van","Baia de Siac Pai Van",variant,22.141667,113.555556,MO-000,,
-1204085,-1769613,park,"Porto Interior","Porto Interior",official,22.198056,113.533611,MO-000,,
-1204088,9353880,hypsographic,一粒米,一粒米,unknown,22.154722,113.576111,MO-000,,
-1204092,-1769628,hydrographic,"Lazarus Bay","Lazarus Bay",variant,22.135,113.585278,MO-000,,
-1204080,9354563,settlement,"Povoação de Hác Sá","Povoacao de Hac Sa",variant,22.119167,113.567778,MO-000,,
