wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
10081733,10290443,hypsographic,Yetti,Yetti,official,25.4868,-7.4446,MR-11,,
10386371,10848797,hypsographic,N-Kato,N-Kato,official,17.0224,-14.6867,MR-06,,
-3174528,-4469992,hypsographic,"Great Desert","Great Desert",variant,26,13,S1-000,,
-3174528,-4483463,hypsographic,Sahara,Sahara,official,26,13,S1-000,,
-3174528,-4483465,hypsographic,"Sahara Desert","Sahara Desert",variant,26,13,S1-000,,
-3174528,-4483499,hypsographic,Sahra,Sahra,variant,26,13,S1-000,,
-3174528,-4483464,hypsographic,"Deserto di Sahara","Deserto di Sahara",variant,26,13,S1-000,,
-2274195,9154820,hydrographic,"Sénégal Fleuve","Senegal Fleuve",official,15.7881,-16.5288,S1-000,,
-2266821,10126199,hydrographic,Den,Den,official,14.0579,-12.341429,S1-000,,
-1404700,-2016698,hydrographic,"Aguelt el Zack","Aguelt el Zack",variant,19.133333,-14.616667,MR-000,,
-1404640,11652383,hydrographic,"Oûdiâne Ṭaouṭrâret","Oudiane Taoutraret",official,26.830287,-8.054864,MR-11,,
-1404799,-2016877,hydrographic,Zwera,Zwera,official,18.4715,-11.9851,MR-09,,
-1404763,-2016797,hypsographic,"Zgueïmir el Kbîr","Zgueimir el Kbir",official,19.05,-13.8,MR-000,,
-1404740,-2016750,hydrographic,Zemarguïé,Zemarguie,variant,16.02784,-6.721669,MR-01,,
-1404760,10299584,hypsographic,"Tâyert Zarhma","Tayert Zarhma",variant,23.1478,-6.5978,MR-07,,
-1404613,10839935,hydrographic,"Dkheiné Boû Hemâr","Dkheine Bou Hemar",official,16.0641,-8.3668,MR-01,,
-1404705,-2016715,hydrographic,"Oued Zane","Oued Zane",official,16.016667,-11.533333,MR-000,,
-1404623,-2016556,hypsographic,"Trik Abaraz","Trik Abaraz",variant,21.266667,-11.433333,MR-07,,
-1404874,-2150072,hydrographic,E-n-Tfâchît,E-n-Tfachit,official,18.0036,-15.5094,MR-06,,
-1404567,-2014327,hydrographic,Ouna,Ouna,variant,14.851374,-12.401602,MR-10,,
-1404681,-2015979,park,"Forêt Classée de Tine Yéra","Foret Classee de Tine Yera",variant,16.95,-15.633333,MR-000,,
-1404740,10487060,hydrographic,"Ez Zemrâguîya","Ez Zemraguiya",official,16.02784,-6.721669,MR-01,,
-1404768,-2016804,hydrographic,Zingui,Zingui,official,15.721565,-6.569327,MR-01,,
-1404767,-2016802,hypsographic,Zingui,Zingui,official,15.684538,-6.540724,MR-01,,
-1404740,-2016761,hydrographic,Zemraglé,Zemragle,variant,16.02784,-6.721669,MR-01,,
-1404815,-2016870,hypsographic,"Tajâl Zraguia","Tajal Zraguia",variant,16.7329,-7.3821,MR-01,,
-1404693,-2016696,hypsographic,Zaag,Zaag,official,15.903713,-10.281518,MR-02,,
-1404800,-2016846,settlement,Zouérate,Zouerate,variant,22.735423,-12.47134,MR-11,,
-1404787,-2016828,hypsographic,"Guelb ez Zob","Guelb ez Zob",official,23.2034,-7.4494,MR-07,,
-1404704,-2009319,hypsographic,"Dhala Aïcha","Dhala Aicha",official,19.7863,-11.6722,MR-07,,
