wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1204362,-1769968,hypsographic,"Triangle Rock","Triangle Rock",official,16.67893,-62.158955,MS-01,,
-1204302,-1769898,hydrographic,"Rendezvous Bay","Rendezvous Bay",official,16.80631,-62.210222,MS-03,,
-1204356,-1769962,park,"Thatch Valley","Thatch Valley",official,16.816176,-62.194492,MS-03,,
-1204309,-1769907,hypsographic,"Roche Point","Roche Point",variant,16.695165,-62.147137,MS-01,,
-1204262,-1769856,hydrographic,"Mile Ghaut","Mile Ghaut",official,16.726174,-62.197732,MS-02,,
-1204154,-1769738,hypsographic,"Center Hills","Center Hills",variant,16.754223,-62.198889,MS-02,,
-1204354,-1769960,spot,"Tar River Estate","Tar River Estate",official,16.718356,-62.163674,MS-02,,
-1204123,-1769706,spot,"Bethel Yard","Bethel Yard",official,16.74434,-62.157091,MS-02,,
-1204178,-1769766,hydrographic,"Farm Bay","Farm Bay",official,16.750004,-62.15386,MS-02,1,
-1204283,-1769879,settlement,"Old Towne","Old Towne",official,16.746034,-62.232958,MS-03,,
-1204226,20432008,settlement,"Iles Bay Estate","Iles Bay Estate",variant,16.736596,-62.230116,MS-03,,
-1204323,-1769927,settlement,"Saint Patrick’s Village","Saint Patrick's Village",variant,16.683943,-62.200815,MS-01,,
-1204207,-1769796,hydrographic,"Ghaut Matraimie Falls","Ghaut Matraimie Falls",official,16.710029,-62.157613,MS-02,,
-1204143,-1769726,hydrographic,"Bunkum River","Bunkum River",official,16.76884,-62.223612,MS-03,,
-1204290,20445773,settlement,"Parsons Estate","Parsons Estate",variant,16.705886,-62.209107,MS-01,,
-1204215,-1769806,settlement,"Harris’ Village","Harris' Village",variant,16.738202,-62.175905,MS-02,,
-1204326,20424950,settlement,"Salem Village","Salem Village",variant,16.748171,-62.221719,MS-03,,
-1204369,20482403,hydrographic,Upper,Upper,official,16.710065,-62.158694,MS-02,,
-1204320,-1769919,hypsographic,"Saint George Hill","Saint George Hill",variant,16.720852,-62.211481,MS-01,,
-1204280,-1769876,hydrographic,"Old Road Bay","Old Road Bay",official,16.738819,-62.23796,MS-03,,
-1204126,-1769709,hydrographic,"Black Ghaut","Black Ghaut",official,16.789128,-62.216225,MS-03,,
-1204256,-1769850,spot,"Lookout Yard","Lookout Yard",official,16.786255,-62.191755,MS-03,,
-1204301,-1769900,settlement,"Rendezvous Village","Rendezvous Village",variant,16.808939,-62.199584,MS-03,,
-1204222,-1769813,hydrographic,Hope,Hope,official,16.749716,-62.214498,MS-03,,
-1204239,-1769831,hydrographic,"Lawyers River","Lawyers River",official,16.762783,-62.225826,MS-03,,
-1204332,20424949,settlement,"Shooters Hill Village","Shooters Hill Village",variant,16.677901,-62.192658,MS-01,,
-1204371,20421455,settlement,"Virgin Island Village","Virgin Island Village",variant,16.77579,-62.218891,MS-03,,
-1204250,-1769843,park,"Locust Valley","Locust Valley",official,16.757456,-62.18226,MS-02,,
-1204321,-1769922,settlement,"Saint George’s Hill","Saint George's Hill",official,16.723989,-62.208614,MS-01,,
-1204270,-1769866,spot,"Mulcares Yard","Mulcares Yard",official,16.725497,-62.160588,MS-02,,
-1204146,-1769729,hydrographic,"Carr’s Bay","Carr's Bay",official,16.795361,-62.212963,MS-03,,
-1204162,-1769750,settlement,"Cuojoe Head","Cuojoe Head",variant,16.779787,-62.210277,MS-03,,
-1204163,-1769751,park,Dagenham,Dagenham,official,16.712462,-62.219704,MS-01,,
-1204113,20442483,settlement,"Banks Level","Banks Level",official,16.786125,-62.216114,MS-03,,
-1204368,-1769974,spot,"Underwood Estate","Underwood Estate",official,16.769594,-62.200954,MS-03,,
-1204156,-1769741,settlement,Cheapend,Cheapend,official,16.768553,-62.221393,MS-03,,
-1204342,-1769948,spot,"Spring Estate","Spring Estate",official,16.697407,-62.195719,MS-01,,
