wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
1074,1245,spot,Q,Q,official,36.017778,14.332778,MT-42,,
931,1097,spot,J1,J1,official,36.038056,14.189722,MT-50,,
-153832,-238758,hydrographic,"Banc Hurd","Banc Hurd",variant,35.916667,14.833333,MT-000,,
-153832,-238759,hydrographic,"Banco Hurd","Banco Hurd",variant,35.916667,14.833333,MT-000,,
-153832,-238760,hydrographic,"Hurd Bank","Hurd Bank",official,35.916667,14.833333,MT-000,,
-19239,-29916,settlement,Tal-Papa,Tal-Papa,official,35.817778,14.522778,MT-05,,
-19284,-30001,settlement,Tas-Sinia,Tas-Sinia,variant,35.860556,14.559722,MT-27,,
-18857,-29128,settlement,Melita,Melita,variant,35.886944,14.4025,MT-29,,
-19249,-29936,park,Tan-Nemes,Tan-Nemes,official,36.035,14.33,MT-42,,
-19267,-29961,park,"Ta’ Saguna","Ta' Saguna",variant,36.021667,14.239722,MT-52,,
-18974,-29350,hydrographic,"Qbajjar Bay","Qbajjar Bay",official,36.078056,14.252222,MT-65,,
-19322,-30092,hypsographic,"Ġebel Wardija","Gebel Wardija",official,35.943333,14.395833,MT-51,,
-18972,-29347,hypsographic,"Rdum il-Qawwi","Rdum il-Qawwi",official,35.973611,14.324167,MT-30,,
-18810,-29002,settlement,L-Istabar,L-Istabar,official,35.878611,14.478333,MT-43,,
-18884,-29170,hydrographic,"Wied ta Mijra Ferha","Wied ta Mijra Ferha",variant,35.875556,14.341944,MT-46,,
-19102,-29546,hypsographic,"Isola di San Paolo","Isola di San Paolo",variant,35.966389,14.402222,MT-30,,
-19340,-29650,hydrographic,"Shat l’Ahmar","Shat l'Ahmar",variant,36.018889,14.288889,MT-13,,
-19091,-29604,hydrographic,"Sant’Anton Valley","Sant'Anton Valley",variant,35.863333,14.425833,MT-66,,
-19113,-29676,spot,"Sliema Point Tower","Sliema Point Tower",official,35.914444,14.506944,MT-56,,
-18991,-28049,settlement,"Casal Paula","Casal Paula",variant,35.873056,14.498889,MT-39,,
-18773,-28878,hydrographic,"Wied ta’ Kandja","Wied ta' Kandja",official,35.856667,14.460278,MT-55,,
-18829,-29057,hypsographic,"Island of Malta","Island of Malta",variant,35.916667,14.433333,MT-000,,
-18903,-29242,spot,"Fort Musta","Fort Musta",variant,35.922778,14.426111,MT-32,,
-18791,-28946,park,"L’Ahrash ta Geooa","L'Ahrash ta Geooa",variant,35.985833,14.361389,MT-30,,
-19368,-30185,spot,"Żurrieq Church","Zurrieq Church",official,35.830556,14.475,MT-68,,
-18821,860,spot,"It-Torri tal-Madliena","It-Torri tal-Madliena",official,35.936667,14.472778,MT-40,,
-18952,-27876,spot,"Bahar Ichagak Tower","Bahar Ichagak Tower",variant,35.946667,14.453056,MT-38,,
-19336,-28820,settlement,Ix-Xaghra,Ix-Xaghra,variant,36.05,14.264444,MT-61,,
-19112,-29675,hypsographic,"Sliema Point","Sliema Point",variant,35.914444,14.507778,MT-56,,
-18933,-29284,hydrographic,"Outer Saint George’s Rock","Outer Saint George's Rock",official,35.937778,14.498611,MT-000,,
-18980,-29358,hydrographic,"Ramla ral-Qortin","Ramla ral-Qortin",variant,35.988889,14.349722,MT-30,,
-18824,-29033,spot,"Madonna Church","Madonna Church",official,35.987778,14.375278,MT-30,,
-19265,-29959,settlement,Tarxien,Tarxien,official,35.865833,14.515,MT-59,,
-19071,-29553,park,"San Paul tat Tarja","San Paul tat Tarja",variant,35.920278,14.4425,MT-38,,
-18859,-29125,hydrographic,"Wied Meisciu","Wied Meisciu",variant,35.926389,14.487222,MT-48,,
-19242,-29922,spot,"Tal-Qadi Temple","Tal-Qadi Temple",official,35.936667,14.42,MT-51,,
-18779,-28906,hypsographic,"Il-Ponta l-Kbira","Il-Ponta l-Kbira",official,35.829444,14.544444,MT-28,,
-18894,-29192,hydrographic,"Cola Mistra","Cola Mistra",variant,35.958333,14.391389,MT-30,,
-19251,-29882,spot,Talkali,Talkali,variant,35.894444,14.421944,MT-01,,
-19007,-29399,hypsographic,"Rixawn Point","Rixawn Point",variant,35.952222,14.389167,MT-51,,
