wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1355525,-1951993,hypsographic,"Piton Saint Denis","Piton Saint Denis",official,-20.415,57.404167,MU-BL,,
-1355358,-1951721,hydrographic,"Papaves River","Papaves River",variant,-20.2875,57.4125,MU-000,,
-1355605,-1952117,hydrographic,"Tamarind Bay","Tamarind Bay",official,-19.666667,63.466667,MU-000,,
-1354923,-1951040,hydrographic,"River Coignarde","River Coignarde",variant,-20.170278,57.731944,MU-FL,,
-1354788,-1951692,hypsographic,"Mount Orange","Mount Orange",variant,-20.21215,57.498218,MU-000,,
-1355057,-1951285,settlement,"Grande Retraits","Grande Retraits",variant,-20.165556,57.676667,MU-FL,,
-1355400,-1951785,hypsographic,"Mont Piton","Mont Piton",official,-19.704167,63.429167,MU-RO,,
-1354859,-1950934,settlement,"Camp Thoret","Camp Thoret",variant,-20.214722,57.616111,MU-MO,,
-1354929,-1951052,settlement,Coquinbourg,Coquinbourg,official,-20.237778,57.638056,MU-FL,,
-1355006,-1951180,hydrographic,"Passe de Flacq","Passe de Flacq",official,-20.148333,57.758611,MU-FL,,
-1355585,-1952083,settlement,Souffleur,Souffleur,official,-20.481667,57.638889,MU-GP,,
-1355413,-1951803,hydrographic,"Rivière Pondar","Riviere Pondar",official,-20.221944,57.633333,MU-000,,
-1354761,9201837,settlement,"Grand Bel Air","Grand Bel Air",official,-20.406389,57.673611,MU-GP,,
-1354825,-1950882,settlement,"Bonne Mère","Bonne Mere",variant,-20.200556,57.712222,MU-FL,,
-1355358,-1951722,hydrographic,"Papaya River","Papaya River",variant,-20.2875,57.4125,MU-000,,
-1355384,-1951761,hypsographic,"Petit Morne","Petit Morne",official,-20.233333,57.716667,MU-FL,,
-1354738,-1950768,hypsographic,"Mont Bar le Duc","Mont Bar le Duc",official,-20.205,57.58,MU-MO,,
-1355424,9201946,hydrographic,"River du Poste","River du Poste",official,-20.491667,57.615556,MU-000,,
-1355487,-1951928,settlement,"Rivière Noire","Riviere Noire",variant,-20.360278,57.366111,MU-BL,,
-1355376,-1951752,hydrographic,"Petite Rivière Bay","Petite Riviere Bay",official,-20.207222,57.393611,MU-BL,,
-1355284,-1951605,settlement,Moka,Moka,official,-20.447778,57.354444,MU-BL,,
-1354955,-1951097,hypsographic,"Curepipe Point","Curepipe Point",official,-20.353611,57.531111,MU-PW,,
-1355596,-1952099,hydrographic,Tabac,Tabac,official,-20.491944,57.620833,MU-GP,,
-1355622,-1952148,hydrographic,"Rivière Train","Riviere Train",official,-20.315,57.643889,MU-MO,,
-1355468,-1951894,settlement,"Riche en Eau","Riche en Eau",official,-20.384722,57.655556,MU-GP,,
-1354723,-1950741,hydrographic,"Bain des Négresses","Bain des Negresses",variant,-20.518333,57.533333,MU-SA,,
-1355483,-1951920,spot,"Rivière Dragon Station","Riviere Dragon Station",official,-20.45,57.55,MU-SA,,
-1355662,9204488,settlement,"Ville d’Avray","Ville d'Avray",variant,-20.336389,57.563056,MU-PW,,
-1355267,-1952098,hypsographic,"Swan Island","Swan Island",variant,-20.3,57.583333,MU-000,,
-1355278,-1951596,settlement,Midlands,Midlands,official,-20.3325,57.558333,MU-PW,,
