wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1307043,-1890756,hypsographic,Tuvaru,Tuvaru,variant,2.89805556,73.37916667,MV-12,,
-1307044,-1890757,hypsographic,Ukulahu,Ukulahu,variant,4.21472604,72.86476282,MV-02,,
-1307042,-1890755,hypsographic,Tutu,Tutu,variant,0.28900213,73.20077866,MV-28,,
-1307088,-1890802,hypsographic,Watedu,Watedu,variant,5.66411414,73.27428449,MV-25,,
-1306999,-1890704,hypsographic,Raverea,Raverea,variant,0.76745591,73.4294166,MV-27,,
-1307000,-1890705,hypsographic,Rebudu,Rebudu,variant,6.2843975,73.15102028,MV-24,,
-1307039,-1890752,hypsographic,Tura,Tura,variant,5.40753612,72.89861111,MV-13,,
-1307005,-1890710,hypsographic,Rohi,Rohi,variant,5.81626044,73.37752536,MV-25,,
-1307020,-1890732,hypsographic,Tahwahta,Tahwahta,variant,5.48535508,72.97560517,MV-13,,
-1307040,-1890753,hypsographic,Turadu,Turadu,variant,5.02273128,72.84041672,MV-20,,
-1307002,-1890707,hypsographic,Rimbudu,Rimbudu,variant,2.92444526,72.89557545,MV-17,,
-1307004,-1890709,hypsographic,Rohi,Rohi,variant,3.87650235,73.3668869,MV-26,,
-1306998,-1890703,hypsographic,Ravare,Ravare,variant,0.71360691,73.28570495,MV-27,,
-1307001,-1890706,hypsographic,Retafudu,Retafudu,variant,0.25254607,73.10501375,MV-28,,
-1306969,264546,hypsographic,"Maale Atoll","Maale Atoll",variant,4.416667,73.5,MV-000,,
-1306970,325645,hypsographic,"Malosmadulu Atoll North","Malosmadulu Atoll North",variant,5.616667,72.916667,MV-13,,
-1306967,-1890664,hypsographic,Noorbhai,Noorbhai,variant,0.380896,73.49772295,MV-27,,
-1307061,19070024,administrative_region,Felidheatholhu,Felidheatholhu,official,3.466667,73.466667,MV-04,,
-1306937,-1890631,hypsographic,Muheri,Muheri,variant,6.65805556,72.93638889,MV-23,,
-1307099,-1890813,hypsographic,Wilingili,Wilingili,variant,4.1736485,73.48448621,MV-26,,
-1307100,-1890814,hydrographic,"Wilingili Channel","Wilingili Channel",official,-0.666667,73.2,MV-000,,
-1306909,-1890599,hypsographic,Mavaru,Mavaru,variant,1.88543323,73.24380094,MV-05,,
-1306924,-1890615,hypsographic,Miladu,Miladu,variant,5.79036875,73.36316347,MV-25,,
-1307074,-1890788,hypsographic,Wakaru,Wakaru,variant,5.13370637,72.91059107,MV-20,,
-1307007,-1890714,hypsographic,Abuhera,Abuhera,variant,-0.64250925,73.10466197,MV-01,,
-1306978,-1890680,hydrographic,"One and a Half Degree Channel","One and a Half Degree Channel",variant,1.5,73.333333,MV-000,,
-1307012,265371,administrative_region,"Miladunmadulu North","Miladunmadulu North",variant,6.233333,73.1,MV-24,,
-1306912,-1890602,hypsographic,Mawafuri,Mawafuri,variant,3.24331685,72.97891608,MV-14,,
-1307095,-1890809,hypsographic,Wewoa,Wewoa,variant,5.76651786,72.89345239,MV-13,,
-1307081,-1890795,hypsographic,Warenfuri,Warenfuri,variant,4.30648328,73.41618307,MV-26,,
-1306936,-1890630,hypsographic,Muduwari,Muduwari,official,5.2,72.9,MV-000,,
-1306965,-1890662,hydrographic,"Noliwang Faro","Noliwang Faro",official,6.6932,73.112482,MV-000,,
-1307019,264509,hypsographic,"Huvadhu Atoll","Huvadhu Atoll",variant,0.5,73.25,MV-000,,
-1307063,-1890777,hypsographic,Wadu,Wadu,variant,4.12426198,73.45717163,MV-26,,
-1306940,-1890633,hypsographic,Mulaku,Mulaku,variant,3,73.5,MV-12,,
-1306953,-1890648,hypsographic,Nakatukufuri,Nakatukufuri,official,4.3,73.35,MV-000,,
-1306991,-1890696,hypsographic,Rakidu,Rakidu,variant,3.31461258,73.4700858,MV-04,,
-1306982,-1890685,hypsographic,Padu,Padu,variant,2.96272005,72.94680698,MV-17,,
-1306995,-1890700,hypsographic,Raskatin,Raskatin,variant,5.80755723,73.0031392,MV-13,,
-1307013,-1890720,hypsographic,Sihura,Sihura,variant,0.26666667,73.37666667,MV-28,,
-1306943,-1890638,hypsographic,Munafuri,Munafuri,variant,1.98897244,73.30875108,MV-05,,
-1306958,-1890675,administrative_region,Nyaviyani,Nyaviyani,variant,-0.3,73.433333,MV-29,,
-1306958,291705,administrative_region,Foammula,Foammula,variant,-0.3,73.433333,MV-29,,
-1307015,271587,hypsographic,"Maalhosmadulu Dhekunuburi","Maalhosmadulu Dhekunuburi",variant,5.2,73,MV-20,,
