wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1487592,-2125768,hydrographic,Zoa,Zoa,official,-16.35,35.266667,MW-TH,,
-1486859,-2124892,settlement,Sani,Sani,official,-13.6,34.466667,MW-SA,,
-1486313,-2124208,settlement,Nsume,Nsume,official,-14.833333,35.55,MW-MH,,
-1485142,-2122806,settlement,Mwala,Mwala,official,-13.633333,33.45,MW-LI,,
-1483607,-2121027,hydrographic,Maoni,Maoni,official,-15.45,34.55,MW-NE,,
-1480747,-2117701,hydrographic,Dwale,Dwale,official,-16.783333,35.25,MW-NS,,
-1484083,-2121569,settlement,Mduwa,Mduwa,official,-13.715404,33.080099,MW-MC,,
-1483769,-2121218,settlement,Matumba,Matumba,official,-13.666667,34.266667,MW-SA,,
-1486188,-2124061,hydrographic,Nkudzi,Nkudzi,official,-13.85,33.716667,MW-LI,,
-1479388,-2116182,settlement,Chibara,Chibara,official,-12,34.066667,MW-NB,,
-1485319,-2123014,hypsographic,Mzemba,Mzemba,official,-15.710859,35.111342,MW-BL,,
-1486050,-2123888,settlement,Njuli,Njuli,official,-15.688398,35.133484,MW-CR,,
-1486400,-2124308,settlement,Ntila,Ntila,official,-14.983333,35.633333,MW-MH,,
-1487054,-2125118,settlement,Sosola,Sosola,official,-14.516667,34.833333,MW-MG,,
-1485745,-2123527,settlement,Nchefu,Nchefu,official,-13.6,33.7,MW-DO,,
-1486094,-2123950,settlement,Nkhala,Nkhala,official,-13.386564,34.288635,MW-000,,
-1482958,-2120251,settlement,Longwe,Longwe,official,-13.480722,34.332114,MW-000,,
-1481072,-2118082,settlement,James,James,official,-14.95,34.9,MW-000,,
-1484777,-2122397,settlement,Msekwa,Msekwa,official,-12.083333,34.716667,MW-LK,,
-1485818,-2123618,settlement,Ndela,Ndela,official,-15.433333,35.283333,MW-ZO,,
-1487615,-2125793,settlement,Zunga,Zunga,official,-10.845163,34.211675,MW-RU,,
-1487545,-2125720,settlement,Zayuka,Zayuka,official,-11.733333,34.216667,MW-NB,,
-1484463,-2122030,settlement,Mnewa,Mnewa,official,-13.466667,34.35,MW-SA,,
-1487273,-2125377,settlement,Tongole,Tongole,official,-12.983333,33.633333,MW-KS,,
-1485814,-2123614,settlement,Ndeka,Ndeka,official,-13.281221,33.616362,MW-DO,,
-1486187,-2124060,hypsographic,Nkudzi,Nkudzi,official,-14.168365,34.989805,MW-000,,
-1485820,-2123620,settlement,Ndelema,Ndelema,official,-15.520137,34.73662,MW-NE,,
