wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
16141027,21616840,settlement,"La Estancia Segundo Sector","La Estancia Segundo Sector",official,25.724167,-100.24155884,MX-NLE,,
16141775,21615558,settlement,"Bosquencinos Primera Etapa","Bosquencinos Primera Etapa",official,25.5907831,-100.27592282,MX-NLE,,
16143252,21617522,settlement,"Hacienda Mitras 4to. Sector","Hacienda Mitras 4to. Sector",variant,25.73510926,-100.39209667,MX-NLE,,
16141016,21614217,settlement,"Tierra y Libertad Sector Centro","Tierra y Libertad Sector Centro",official,25.73808164,-100.33760254,MX-NLE,,
16140952,21616685,settlement,"Colonia Misión Cumbres 2do. Sector","Colonia Mision Cumbres 2do. Sector",variant,25.73791067,-100.39031218,MX-NLE,,
13946992,21620669,settlement,"Colonia Jardines Floridos","Colonia Jardines Floridos",variant,25.79804009,-100.04820973,MX-NLE,,
16142999,21614135,settlement,"Lomas Modelo Norte","Lomas Modelo Norte",official,25.731111,-100.355556,MX-NLE,,
16142834,21615683,settlement,"Colonia Colinas del Valle Primer Sector Primera Etapa","Colonia Colinas del Valle Primer Sector Primera Etapa",variant,25.67840785,-100.393889,MX-NLE,,
16140560,21611402,settlement,Centro,Centro,official,19.37552033,-103.71250943,MX-COL,,
16143191,21615857,settlement,"Colonia Misión Lincoln 1er. Sector","Colonia Mision Lincoln 1er. Sector",variant,25.74091284,-100.37510977,MX-NLE,,
16142692,21615138,settlement,"Cerradas de Santa Rosa Primer Sector","Cerradas de Santa Rosa Primer Sector",official,25.75305978,-100.23062847,MX-NLE,,
16142727,21616569,settlement,"Colonia Bosques del Valle 2do. Sector","Colonia Bosques del Valle 2do. Sector",variant,25.646944,-100.37396081,MX-NLE,,
12192318,21610767,settlement,"La Parota","La Parota",official,19.14315149,-103.63712809,MX-COL,,
16142775,21614759,settlement,"Fraccionamiento MYCRSA Industrial","Fraccionamiento MYCRSA Industrial",variant,25.70656869,-100.20153592,MX-NLE,,
16142630,21615608,settlement,"Jardines de San Agustín 1er. Sector","Jardines de San Agustin 1er. Sector",variant,25.63036414,-100.33480814,MX-NLE,,
13537013,21610734,settlement,"Villa Izcalli Caxitlán","Villa Izcalli Caxitlan",official,19.286397,-103.734924,MX-COL,,
16138437,21605566,settlement,"Fraccionamiento el Sauzal","Fraccionamiento el Sauzal",variant,31.60311018,-106.31336378,MX-CHH,,
