wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2585722,-3558092,administrative_region,Outjo,Outjo,official,-19.5,15.5,NA-000,1,
-2580814,-3557617,administrative_region,Oos-Caprivi,Oos-Caprivi,variant,-17.833333,24,NA-000,1,
-2582249,-3553730,administrative_region,"Hereroland Oos","Hereroland Oos",official,-20.75,19.75,NA-000,1,
-2580954,-3552023,administrative_region,Damaraland,Damaraland,official,-20.5,14.5,NA-000,1,
-2585840,-3558237,settlement,Pomona,Pomona,official,-27.19146877,15.30450758,NA-KA,,
-2585765,-3558143,hypsographic,Palmkop,Palmkop,official,-19.91101409,14.02140562,NA-KU,,
-2586741,-3559369,administrative_region,Swakopmund,Swakopmund,official,-23,15,NA-000,1,
-2582801,-3560154,administrative_region,Warmbad,Warmbad,variant,-28,18.5,NA-000,1,
-2582923,-3554607,administrative_region,Keetmanshoop,Keetmanshoop,official,-26.5,19,NA-000,1,
-2580579,-3551523,administrative_region,Bethanien,Bethanien,official,-26.5,17,NA-000,1,
-2582814,-3554465,administrative_region,"Karibib District","Karibib District",variant,-22.333333,15.833333,NA-000,1,
-2585486,-3557779,spot,Osis,Osis,official,-25.41738,16.80280577,NA-HA,,
-2580814,-3552357,administrative_region,"Eastern Caprivi Strip","Eastern Caprivi Strip",variant,-17.833333,24,NA-000,1,
-2585485,-3557777,spot,Osiris,Osiris,official,-22.89499565,18.95718441,NA-OH,,
-2585282,-3557544,settlement,Ongumi,Ongumi,official,-17.41443842,17.27227988,NA-OW,,
-2585281,-3557543,settlement,Onguma,Onguma,official,-17.9,16.116667,NA-OT,,
-2585622,-3557961,administrative_region,Otjiwarongo,Otjiwarongo,official,-20.666667,16.833333,NA-000,1,
-2585280,-3557542,spot,Onguma,Onguma,official,-18.7310158,17.04860471,NA-OT,,
-2582249,-3553729,administrative_region,"Hereroland East","Hereroland East",variant,-20.75,19.75,NA-000,1,
-2585279,-3557537,settlement,Onguati,Onguati,official,-19.79913655,14.54508271,NA-KU,,
-2580814,-3552356,administrative_region,"Eastern Caprivi","Eastern Caprivi",variant,-17.833333,24,NA-000,1,
-2585734,-3551098,administrative_region,Ambo-Land,Ambo-Land,variant,-18,16,NA-000,1,
-2584021,-3555974,administrative_region,Namaland,Namaland,official,-25.666667,18,NA-000,1,
-2580579,-3551521,administrative_region,Bethanie,Bethanie,variant,-26.5,17,NA-000,1,
-2587023,-3559725,administrative_region,Tsumeb,Tsumeb,official,-19,17,NA-000,1,
-2582801,-3554445,administrative_region,Karasburg,Karasburg,official,-28,18.5,NA-000,1,
-2582767,-3554401,administrative_region,Kaokofeld,Kaokofeld,variant,-18,13,NA-000,1,
-2580689,-3551806,administrative_region,Bushmanland,Bushmanland,variant,-19.5,20,NA-000,1,
-2584527,-3556653,administrative_region,Okahandja,Okahandja,official,-21.666667,17.333333,NA-000,1,
-2585278,-3557534,spot,Ongos,Ongos,official,-22.45577133,16.98421374,NA-KH,,
-2580814,-3551827,administrative_region,"Caprivi Oos","Caprivi Oos",official,-17.833333,24,NA-000,1,
-2585223,-3557478,settlement,Ondudu,Ondudu,official,-17.4049728,15.29308193,NA-OS,,
-2585222,-3557477,settlement,Ondova,Ondova,official,-17.28058993,13.19249975,NA-KU,,
-2585221,-3557476,hydrographic,Ondoto,Ondoto,official,-17.30899328,13.79269448,NA-KU,,
-2581954,-3553330,administrative_region,Grootfontein,Grootfontein,official,-19.583333,18,NA-000,1,
-2585914,-3558327,administrative_region,Rehoboth,Rehoboth,official,-23.5,17,NA-000,1,
-2580814,-3552358,administrative_region,"Eastern Caprivi Zipfel","Eastern Caprivi Zipfel",variant,-17.833333,24,NA-000,1,
-2582903,-3554584,administrative_region,Kavango,Kavango,official,-18.416667,19.75,NA-000,1,
-2585734,-3558098,administrative_region,Ovamboland,Ovamboland,variant,-18,16,NA-000,1,
-2584890,-3557083,administrative_region,Omaruru,Omaruru,official,-21.5,16,NA-000,1,
-2585093,-3557330,settlement,Onahima,Onahima,official,-17.75,16.066667,NA-OT,,
-2585092,-3557329,settlement,Onahi,Onahi,official,-18.27006781,16.30923174,NA-OT,,
-2584922,-3557125,settlement,Ombabi,Ombabi,official,-17.39199784,17.46809621,NA-OW,,
-2584921,-3557124,settlement,Ombaba,Ombaba,official,-17.516667,16.866667,NA-OW,,
-2584502,-3556623,hydrographic,Ohima,Ohima,official,-17.80090471,17.27537469,NA-OT,,
-2583684,-3553102,administrative_region,Gibeon,Gibeon,variant,-24.5,18.666667,NA-000,1,
-2583641,-3555509,administrative_region,Maltahöhe,Maltahohe,official,-25,16.5,NA-000,1,
-2581819,-3553159,administrative_region,Gobabis,Gobabis,official,-22.5,19,NA-000,1,
-2584501,-3556622,hydrographic,Ohikik,Ohikik,official,-17.41754797,17.68243842,NA-OW,,
-2584500,-3556621,hydrographic,Oheuva,Oheuva,official,-17.083333,13.35,NA-KU,,
-2585722,-3558062,administrative_region,Otyo,Otyo,variant,-19.5,15.5,NA-000,1,
-2582903,-3556876,administrative_region,Okavango,Okavango,variant,-18.416667,19.75,NA-000,1,
-2582767,-3554405,administrative_region,Kaokoveld,Kaokoveld,variant,-18,13,NA-000,1,
-2583552,-3555392,administrative_region,Lüderitz,Luderitz,official,-26.5,16,NA-000,1,
-2584422,-3556527,hydrographic,Nyondo,Nyondo,official,-18.033333,18.966667,NA-KW,,
