wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1711019,-2401811,settlement,Amoa,Amoa,official,-20.766667,165.2,NC-000,,
-1714503,-2406197,hypsographic,Pouatao,Pouatao,official,-20.916667,164.75,NC-000,,
-1715195,-2407046,hypsographic,Tiva,Tiva,official,-21.483333,165.316667,NC-000,,
-1713778,-2405322,hypsographic,Ouangué,Ouangue,official,-21.15,165.1,NC-000,,
-1713009,-2404352,hypsographic,Modiou,Modiou,official,-21.166667,165.55,NC-000,,
-1713057,-2404410,hypsographic,Monmoua,Monmoua,official,-21.55,165.483333,NC-000,,
-1714794,-2406555,hypsographic,Shini,Shini,official,-21.599564,167.862363,NC-01,,
-1711362,-2402223,hypsographic,Bouauni,Bouauni,official,-20.766667,164.4,NC-000,,
-1715008,-2406821,settlement,Téouta,Teouta,official,-20.4,166.616667,NC-000,,
-1714646,-2406381,hypsographic,Rail,Rail,official,-20.8,164.783333,NC-000,,
-1712252,-2403394,hydrographic,Kambéak,Kambeak,official,-20.6,164.65,NC-000,,
-1711778,-2402775,park,Eocé,Eoce,official,-21.366667,167.816667,NC-000,,
-1711503,-2402409,settlement,Céni,Ceni,variant,-21.471689,168.01267,NC-01,,
-1715032,-2406849,hydrographic,Thio,Thio,official,-21.616667,166.233333,NC-000,,
-1713803,-2407223,settlement,Uara,Uara,variant,-22.42392,166.840132,NC-03,,
-1713131,-2404513,park,Nadoao,Nadoao,official,-20.75,167.083333,NC-000,,
-1712429,-2403605,hypsographic,Komo,Komo,official,-21.55,165.633333,NC-000,,
-1713994,-2405594,hydrographic,"Fo Ouia","Fo Ouia",official,-21.65,165.85,NC-000,,
-1712340,-2403497,park,Kédi,Kedi,official,-21.633333,168.083333,NC-000,,
-1711310,-2402166,hypsographic,Bokoua,Bokoua,official,-21.466667,165.633333,NC-000,,
-1715171,-2407018,hypsographic,Tiova,Tiova,official,-22.133333,166.916667,NC-000,,
-1713132,-2404514,park,Naété,Naete,official,-20.766667,167.2,NC-000,,
-1715173,-2407020,hydrographic,Tipéi,Tipei,official,-20.783333,165.216667,NC-000,,
-1712209,-2403340,hydrographic,Ka,Ka,official,-22.433333,166.55,NC-000,,
-1711929,-2402970,hypsographic,"Mé Ghi","Me Ghi",official,-21.933333,166.55,NC-000,,
-1714504,-2406198,hypsographic,Pouaten,Pouaten,official,-21.033333,164.75,NC-000,,
-1711950,-2402995,settlement,Golone,Golone,official,-20.266667,164.116667,NC-000,,
-1715172,-2407019,hydrographic,Tipapi,Tipapi,official,-20.783333,165.216667,NC-000,,
-1711047,-2401845,hypsographic,Anmoïan,Anmoian,official,-19.55,163.583333,NC-000,,
-1711309,-2402165,hypsographic,Bokéo,Bokeo,official,-21.483333,165.65,NC-000,,
-1714442,-2406116,hydrographic,Ponapou,Ponapou,official,-21.1,165.416667,NC-000,,
-1715414,-2407374,settlement,Waho,Waho,variant,-22.166667,166.95,NC-000,,
-1713846,-2405411,hydrographic,Oucheu,Oucheu,official,-21.683333,165.8,NC-000,,
-1711930,-2402971,settlement,Ghio,Ghio,official,-21.516667,166.1,NC-000,,
-1713971,-2405562,hypsographic,Ouéré,Ouere,official,-21.783333,165.883333,NC-000,,
-1715031,-2406848,settlement,Thio,Thio,official,-21.616667,166.216667,NC-000,,
-1715007,-2406820,hypsographic,Téounda,Teounda,official,-20.9,164.616667,NC-000,,
-1712059,-2403141,settlement,Haouli,Haouli,official,-21.533333,165.85,NC-000,,
-1714958,-2406763,hypsographic,Tchoute,Tchoute,official,-20.7,164.733333,NC-000,,
-1715269,-2407140,settlement,Toul,Toul,official,-21.083333,167.416667,NC-000,,
-1714915,-2406714,settlement,Taradi,Taradi,official,-21.516667,165.916667,NC-000,,
-1712341,-2403498,hydrographic,Kéguine,Keguine,official,-20.4,164.4,NC-000,,
-1711835,-2402855,park,Finut,Finut,official,-20.733333,167.183333,NC-000,,
-1712039,-2403112,hypsographic,Grouau,Grouau,official,-21.066667,165.283333,NC-000,,
-1712362,-2403525,hydrographic,Kieho,Kieho,official,-21.566667,166.133333,NC-000,,
-1713662,-2405185,park,Omatch,Omatch,official,-20.4,166.55,NC-000,,
-1712140,-2403235,settlement,Houone,Houone,official,-20.05,163.8,NC-000,,
-1714669,-2406410,settlement,Roï,Roi,official,-21.466667,167.95,NC-000,,
