wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1084960,-1609045,administrative_region,"Département de Niamey","Departement de Niamey",official,14,2,NE-000,1,
-1080697,-1603208,hydrographic,Gaouar,Gaouar,official,15.8,6.116667,NE-5,,
-1082032,-1605019,settlement,Hérou,Herou,official,13.655297,0.89668,NE-6,,
6409337,6746355,hydrographic,Amane,Amane,official,17.5485,8.2486,NE-1,,
6408976,6745994,hydrographic,Gaza,Gaza,official,17.89,8.6254,NE-1,,
6373543,6599809,hydrographic,Agora,Agora,official,18.222778,8.816944,NE-1,,
6334929,6547719,hydrographic,Imbala,Imbala,official,16.34,5.869444,NE-5,,
6373410,6599676,hydrographic,Tole,Tole,official,18.449167,8.758056,NE-1,,
10271718,10640530,spot,Ardo,Ardo,official,13.7364,11.71,NE-2,,
10167074,10451434,hydrographic,Daboa,Daboa,official,13.713356,10.804308,NE-7,,
10319810,10716929,settlement,Torso,Torso,official,13.2581,2.3726,NE-6,,
9211719,9279666,hypsographic,Fadeï,Fadei,official,20.023889,8.3525,NE-1,,
10157000,10424967,settlement,Gota,Gota,official,13.129285,8.457922,NE-7,,
10306536,10693719,hydrographic,Aborak,Aborak,official,14.8079,10.3231,NE-7,,
10308958,10696999,settlement,Homlé,Homle,official,14.019724,6.250927,NE-5,,
10307325,10694586,hypsographic,Loga,Loga,official,14.955564,1.688817,NE-6,,
10081630,10290228,settlement,Doli,Doli,official,15.1379,4.7688,NE-5,,
-2030735,-2821289,settlement,Wassa,Wassa,variant,13.520533,12.962289,NE-2,,
-2030735,10514925,settlement,Basa,Basa,official,13.520533,12.962289,NE-2,,
11636602,13962238,settlement,Dogawa,Dogawa,official,12.945515,2.802228,NE-3,,
11636750,13962446,hydrographic,Bélou,Belou,official,12.758658,2.969465,NE-3,,
-1718827,-2411434,spot,Kabia,Kabia,official,14.856849,0.205115,NE-6,,
-3180717,-4467451,hydrographic,"El Ouar","El Ouar",variant,22.651968,14.184225,S1-000,,
-3180717,13935812,hydrographic,"بئر الوعر","بئر الوعر",unknown,22.651968,14.184225,S1-000,,
-3180717,-4493848,hydrographic,"Bi’r al Wa‘r","Bi'r al Wa`r",official,22.651968,14.184225,S1-000,,
-3180717,-4491387,hydrographic,Tumū,Tumu,variant,22.651968,14.184225,S1-000,,
-3180717,-4491382,hydrographic,Tummo,Tummo,variant,22.651968,14.184225,S1-000,,
-3180717,-4493849,hydrographic,Toummo,Toummo,official,22.651968,14.184225,S1-000,,
-3180717,-4491538,hydrographic,"Bir el Uaar","Bir el Uaar",variant,22.651968,14.184225,S1-000,,
-3179340,-4491381,hypsographic,"Monts de Toummo","Monts de Toummo",official,22.720452,14.194854,S1-000,,
-3179340,-4491383,hypsographic,"Jabal Tummo","Jabal Tummo",variant,22.720452,14.194854,S1-000,,
-3179340,-4491384,hypsographic,"Monti di Tummo","Monti di Tummo",variant,22.720452,14.194854,S1-000,,
-3179340,-4491386,hypsographic,Tumu,Tumu,variant,22.720452,14.194854,S1-000,,
-3179340,-4491380,hypsographic,Tummo,Tummo,official,22.720452,14.194854,S1-000,,
-3168443,-4473578,hydrographic,"Wādī al Kabīr al Ghāriq","Wadi al Kabir al Ghariq",official,23.467044,13.696035,S1-000,,
-3168443,11003533,hydrographic,"Oued el Kébir el Gharegh","Oued el Kebir el Gharegh",official,23.467044,13.696035,S1-000,,
-3168443,-4469330,hydrographic,"Wādī al Gharīq al Kabīr","Wadi al Ghariq al Kabir",variant,23.467044,13.696035,S1-000,,
-3168443,-4465534,hydrographic,"Uádi el Chebir el-Gáregh","Uadi el Chebir el-Garegh",variant,23.467044,13.696035,S1-000,,
-3147563,-4441504,park,"Chad Basin","Chad Basin",official,16,16,S1-000,,
-3147563,-4456068,park,"Pays-Bas du Tchad",Pays-BasduTchad,variant,16,16,S1-000,,
-3147563,-4441503,park,"Chad Basin","Chad Basin",colloquial,16,16,S1-000,,
-3147563,-4441506,park,"Bassin du Lac Tchad","Bassin du Lac Tchad",official,16,16,S1-000,,
-3147563,-4456067,park,"Le Bassin du Tchad",LeBassinduTchad,variant,16,16,S1-000,,
-2020889,-2805435,hydrographic,Kworra,Kworra,variant,5.301564,6.416801,S1-000,,
-2020889,-2791009,hydrographic,"Dioliba Fleuve","Dioliba Fleuve",variant,5.301564,6.416801,S1-000,,
-2020889,-2801542,hydrographic,Joliba,Joliba,variant,5.301564,6.416801,S1-000,,
-2020889,-2791048,hydrographic,Djoliba,Djoliba,variant,5.301564,6.416801,S1-000,,
-2020889,-2809831,hydrographic,"River Niger","River Niger",official,5.301564,6.416801,S1-000,,
-2020889,-1924821,hydrographic,Dioliba,Dioliba,variant,5.301564,6.416801,S1-000,,
-2020889,-2809834,hydrographic,Niger,Niger,official,5.301564,6.416801,S1-000,,
-2020889,-2817817,hydrographic,Timbiko,Timbiko,variant,5.301564,6.416801,S1-000,,
-2018974,-2807575,hydrographic,"Goulbi m-Maradi","Goulbi m-Maradi",variant,13.633333,6.333333,S1-000,,
-2018974,-2807578,hydrographic,"Goulbin Maradi","Goulbin Maradi",official,13.633333,6.333333,S1-000,,
-2018974,-2807574,hydrographic,"Goulbi Maradi","Goulbi Maradi",variant,13.633333,6.333333,S1-000,,
-2018974,-2807577,hydrographic,"River Maradi","River Maradi",official,13.633333,6.333333,S1-000,,
-2015733,-2803802,hydrographic,"Komadougou Yobbé","Komadougou Yobbe",variant,13.71633,13.378182,S1-000,,
-2015733,-2803806,hydrographic,"Komadugu Yobe","Komadugu Yobe",official,13.71633,13.378182,S1-000,,
-2015733,-2822467,hydrographic,"River Yo","River Yo",variant,13.71633,13.378182,S1-000,,
-2014531,9178356,settlement,Kanamga,Kanamga,official,13.120108,12.107449,NE-2,,
-2015733,-2822469,hydrographic,"Yobi River","Yobi River",variant,13.71633,13.378182,S1-000,,
-2015733,-2803807,hydrographic,"Komadougou Yobé","Komadougou Yobe",official,13.71633,13.378182,S1-000,,
-2015733,-2822468,hydrographic,"River Yobe","River Yobe",variant,13.71633,13.378182,S1-000,,
-2014531,-2802356,settlement,Kanama,Kanama,variant,13.120108,12.107449,NE-2,,
