wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1609352,-2272381,hypsographic,"White Rock","White Rock",official,-29.116667,167.95,NF-000,,
-1606996,-2269795,hypsographic,"Point Vincent","Point Vincent",official,-28.995918,167.920419,NF-000,,
-1608319,-2271244,hydrographic,"Watermill Creek","Watermill Creek",official,-29.066667,167.95,NF-000,,
-1605504,-2268138,hydrographic,"Town Creek","Town Creek",official,-29.05,167.95,NF-000,,
-1603138,-2265541,hydrographic,"Sydney Bay","Sydney Bay",official,-29.061103,167.952173,NF-000,,
-1602293,-2264632,hydrographic,"Stockyard Creek","Stockyard Creek",official,-29.016667,167.983333,NF-000,,
-1601431,-2263703,hypsographic,"South Rock","South Rock",official,-29.136474,167.946909,NF-000,,
-1602104,-2264426,hypsographic,"Steels Point","Steels Point",official,-29.028488,167.996356,NF-000,,
-1598346,-2260316,hypsographic,"Point Ross","Point Ross",official,-29.062539,167.936743,NF-000,,
-1598032,-2259976,hydrographic,"Rocky Point Creek","Rocky Point Creek",official,-29.066667,167.933333,NF-000,,
-1598026,-2259970,hypsographic,"Rocky Point","Rocky Point",official,-29.05142,167.920494,NF-000,,
-1598346,-2260350,hypsographic,"Ross Point","Ross Point",variant,-29.062539,167.936743,NF-000,,
-1595443,-2257207,hypsographic,"Mount Pitt","Mount Pitt",official,-29.015855,167.936887,NF-000,,
-1596312,-2258147,hypsographic,"Puppys Point","Puppys Point",official,-29.023821,167.920074,NF-000,,
-1594784,-2256499,hypsographic,"Philip Island","Philip Island",official,-29.119556,167.952035,NF-000,,
-1591208,-2252531,hypsographic,"Nepean Island","Nepean Island",official,-29.071744,167.964105,NF-000,,
-1591894,14065497,administrative_region,"Norfolk Island","Norfolk Island",official,-29.033333,167.95,NF-000,,
-1591894,-2253281,administrative_region,"Territory of Norfolk Island","Territory of Norfolk Island",official,-29.033333,167.95,NF-000,,
-1591893,-2253280,hypsographic,"Norfolk Island","Norfolk Island",official,-29.030302,167.952954,NF-000,,
-1584456,-2245095,settlement,"Longridge Station","Longridge Station",official,-29.05,167.933333,NF-000,,
-1584456,-2245093,settlement,Longridge,Longridge,variant,-29.05,167.933333,NF-000,,
-1581820,-2242229,settlement,Kingston,Kingston,official,-29.056894,167.961744,NF-000,,
-1579858,-2240093,hypsographic,"Jacobs Rock","Jacobs Rock",official,-29.019893,167.920539,NF-000,,
-1578982,-2239130,hypsographic,"Point Howe","Point Howe",official,-28.995718,167.925419,NF-000,,
-1579134,-2239311,hypsographic,"Hunter Point","Hunter Point",variant,-29.062091,167.962013,NF-000,,
-1577915,-2237986,hypsographic,"Headstone Point","Headstone Point",official,-29.044459,167.921019,NF-000,,
-1579134,-2239297,hypsographic,"Point Hunter","Point Hunter",official,-29.062091,167.962013,NF-000,,
-1578294,-2238393,hypsographic,"High Red Rock","High Red Rock",official,-29.113306,167.953767,NF-000,,
-1577914,-2237984,spot,Headstone,Headstone,official,-29.05,167.916667,NF-000,,
-1577914,-2237985,spot,"Headstone Landing","Headstone Landing",variant,-29.05,167.916667,NF-000,,
-1573549,-2233214,hypsographic,"Flat Rock","Flat Rock",official,-29.022031,167.920431,NF-000,,
-1572099,-2231637,hydrographic,"Emily Bay","Emily Bay",official,-29.060825,167.961917,NF-000,,
-1573550,-2233215,hypsographic,"Flat Rock","Flat Rock",official,-29.110567,167.951175,NF-000,,
-1570913,-2230325,hydrographic,"Duncombe Bay","Duncombe Bay",official,-28.999702,167.93077,NF-000,,
-1568022,-2227197,hydrographic,"Creswell Bay","Creswell Bay",variant,-29.058591,167.943333,NF-000,,
-1568022,-2227190,hydrographic,"Cresswell Bay","Cresswell Bay",official,-29.058591,167.943333,NF-000,,
-1564577,-2223440,hydrographic,"Cascade Bay","Cascade Bay",official,-29.018441,167.97305,NF-000,,
-1566433,-2225459,hypsographic,"Collins Head","Collins Head",official,-29.055482,167.985787,NF-000,,
-1564578,-2223441,hydrographic,"Cascade Creek","Cascade Creek",official,-29.016667,167.966667,NF-000,,
-1564583,-2223446,settlement,"Cascade Station","Cascade Station",official,-29.033333,167.966667,NF-000,,
-1562735,-2221417,hypsographic,"Bumbora Rocks","Bumbora Rocks",variant,-29.066667,167.933333,NF-000,,
-1562735,-2221418,hypsographic,"Bumboras Rock","Bumboras Rock",official,-29.066667,167.933333,NF-000,,
-1561840,-2220458,hydrographic,"Broken Bridge Creek","Broken Bridge Creek",official,-29.016667,167.966667,NF-000,,
-1561339,-2219913,hypsographic,"Bradley Rocks","Bradley Rocks",official,-29.065553,167.965701,NF-000,,
-1559377,-2217792,hypsographic,"Point Blackbourne","Point Blackbourne",official,-29.045875,167.99457,NF-000,,
-1559261,-2217662,hypsographic,"Bird Rock","Bird Rock",official,-29.005029,167.957317,NF-000,,
-1557142,-2215326,hydrographic,"Ball Bay","Ball Bay",official,-29.04949,167.986272,NF-000,,
-1557842,-2216100,hypsographic,"Mount Bates","Mount Bates",official,-29.011241,167.940103,NF-000,,
-1555974,-2214031,hydrographic,"Anson Bay","Anson Bay",official,-29.010852,167.921329,NF-000,,
-1555976,-2214033,hypsographic,"Anson Point","Anson Point",official,-29.007977,167.916298,NF-000,,
