wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1113202,-1645242,settlement,Lourdes,Lourdes,official,12.768058,-86.755737,NI-LE,,
-1115417,-1648637,settlement,Zapotal,Zapotal,official,13.697206,-86.759753,NI-NS,,
-1115101,-1648118,settlement,Uhran,Uhran,official,14.947543,-83.533014,NI-AN,,
-1115071,-1648067,settlement,"Tum Tum","Tum Tum",official,14.316667,-83.4,NI-AN,,
-1115360,-1648546,settlement,Yablis,Yablis,official,14.166667,-83.816667,NI-AN,,
-1112153,-1643916,park,Kaska,Kaska,official,13.495866,-84.967168,NI-AN,,
-1114265,-1646953,settlement,"San José","San Jose",official,13.583333,-86.7,NI-NS,,
-1121465,-1651839,hydrographic,"Golfo de Chorotega","Golfo de Chorotega",variant,13.15061,-87.660952,S1-000,,
-1121465,-1656747,hydrographic,"Golfo de Fonseca","Golfo de Fonseca",official,13.15061,-87.660952,S1-000,,
-1121465,-1656745,hydrographic,"Bahía de Fonseca","Bahia de Fonseca",variant,13.15061,-87.660952,S1-000,,
-1121465,-1656750,hydrographic,"Gulf of Fonseca","Gulf of Fonseca",variant,13.15061,-87.660952,S1-000,,
-1121465,-1656746,hydrographic,"Bay of Fonseca","Bay of Fonseca",variant,13.15061,-87.660952,S1-000,,
-1115322,-1648474,hydrographic,"Río Wawasang","Rio Wawasang",official,12.554153,-83.746336,NI-AS,,
-1115159,-1648199,settlement,"Valle La Tejera","Valle La Tejera",official,13.069533,-86.001036,NI-JI,,
-1114657,-1647416,settlement,"Santa Teresa","Santa Teresa",official,11.890552,-86.434143,NI-MN,,
-1115117,-1648142,hydrographic,"Umbra Tingne","Umbra Tingne",variant,14.671585,-84.660837,NI-AN,,
-1115010,18984462,administrative_region,Tisma,Tisma,official,12.085539,-86.022066,NI-MS,,
-1114856,-1647710,hydrographic,"Río Sung Sung","Rio Sung Sung",official,14.108532,-83.515296,NI-AN,,
-1115359,-1648545,settlement,Yabaltara,Yabaltara,official,13.59855,-83.913362,NI-AN,,
-1114871,-1647741,park,Switch,Switch,official,14.429642,-83.762687,NI-AN,,
-1115332,-1648487,hypsographic,"Cerro Waylawás","Cerro Waylawas",official,13.655681,-84.817744,NI-AN,,
-1115284,-1643549,hydrographic,"Rio Guasaca","Rio Guasaca",variant,13.085995,-85.686701,NI-MT,,
-1114902,-1647803,hydrographic,"Quebrada Tapalwas","Quebrada Tapalwas",variant,13.31807,-84.419578,NI-AN,,
-1115003,-1647948,hydrographic,"Río Tipitapa","Rio Tipitapa",official,12.083333,-85.883333,NI-000,,
-1115227,-1648311,settlement,Viscaíno,Viscaino,official,12.733333,-86.616667,NI-LE,,
-1114685,-1647442,settlement,"Santo Domingo","Santo Domingo",variant,12.083333,-86.25,NI-MN,,
-1114807,-1647712,hydrographic,"Laguna Sunie","Laguna Sunie",variant,12.800232,-83.731596,NI-AS,,
