wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14925248,19618650,administrative_region,BES-eilanden,BES-eilanden,variant,12.223056,-68.296111,NL-000,,1
14925248,19618798,administrative_region,"BES Islands","BES Islands",variant,12.223056,-68.296111,NL-000,,1
14925248,19618536,administrative_region,"Caribisch Nederland","Caribisch Nederland",official,12.223056,-68.296111,NL-000,,1
14925248,19618797,administrative_region,"Islanan BES","Islanan BES",variant,12.223056,-68.296111,NL-000,,1
-1710526,-2400739,administrative_region,"Dutch West Indies","Dutch West Indies",variant,12.166667,-69,S1-000,1,
14925248,19618534,administrative_region,"Caribbean Netherlands","Caribbean Netherlands",official,12.223056,-68.296111,NL-000,,1
14925248,19618537,administrative_region,"Hulanda Karibense","Hulanda Karibense",official,12.223056,-68.296111,NL-000,,1
14925042,19617978,administrative_region,Netherlands,Netherlands,colloquial,52.233333,5.466667,NL-000,,1
-1710526,-2401166,administrative_region,"Netherlands West Indies","Netherlands West Indies",variant,12.166667,-69,S1-000,1,
-1710526,-2401164,administrative_region,"Netherlands Antilles","Netherlands Antilles",colloquial,12.166667,-69,S1-000,1,
-1710526,-2400685,administrative_region,Curaçao,Curacao,variant,12.166667,-69,S1-000,1,
-1710526,13822577,administrative_region,"Antia Hulandes","Antia Hulandes",official,12.166667,-69,S1-000,1,
14925042,19617979,administrative_region,Nederland,Nederland,official,52.233333,5.466667,NL-000,,1
-1710526,-2401165,administrative_region,"Nederlandse Antillen","Nederlandse Antillen",official,12.166667,-69,S1-000,1,
-1710526,-2401159,administrative_region,"Nederlandsche Antillen","Nederlandsche Antillen",variant,12.166667,-69,S1-000,1,
-2144022,-2974212,settlement,Eind,Eind,official,51.597765,5.236838,NL-NB,,
-2143790,-2973907,settlement,Dun,Dun,official,51.5,5.3,NL-NB,,
-2153359,-2985856,settlement,Spijk,Spijk,official,53.390609,6.838052,NL-GR,,
-2153355,-2985852,settlement,Spijk,Spijk,official,51.770536,5.12072,NL-NB,,
-2153357,-2985854,settlement,Spijk,Spijk,official,51.849496,6.152401,NL-GE,,
-2145734,-2976376,settlement,Heikant,Heikant,official,51.250933,4.034949,NL-ZE,,
-2141979,-2971533,settlement,Broek,Broek,official,51.932324,4.969155,NL-ZH,,
-2154284,-2987077,settlement,Ubroek,Ubroek,official,51.37782,6.158693,NL-LI,,
-2140621,-2969874,settlement,Arum,Arum,official,53.130718,5.473018,NL-FR,,
-2140423,-2969623,settlement,Amby,Amby,official,50.862549,5.733924,NL-LI,,
-2142803,-2972590,spot,"De Jager","De Jager",official,51.583333,4.2,NL-ZE,,
-2154899,-2987822,settlement,Vlijmen,Vlijmen,official,51.6984,5.221648,NL-NB,,
-2143172,-2973107,hydrographic,"De Ried","De Ried",official,53.2,5.45,NL-FR,,
-2152129,-2984315,settlement,Riel,Riel,official,51.4256,5.52264,NL-NB,,
-2156321,-2989562,settlement,Zeist,Zeist,official,52.094411,5.241944,NL-UT,,
-2148723,-2980111,settlement,Linne,Linne,official,51.15589,5.938854,NL-LI,,
-2153112,-2985551,settlement,Sleen,Sleen,official,52.77462,6.802404,NL-DR,,
