wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3742663,-4977637,park,Micronesia,Micronesia,colloquial,9,155,S1-000,,
-1187314,-1749382,administrative_region,"Yaren District","Yaren District",official,-0.545321,166.923713,NR-14,,
-1187283,-1749316,hydrographic,"Anibare Bay","Anibare Bay",official,-0.533333,166.954167,NR-000,,
-1187295,-1749334,spot,"Hansenide Hospital","Hansenide Hospital",variant,-0.55,166.95,NR-000,,
-1187278,14089920,administrative_region,Aiwo,Aiwo,official,-0.533602,166.914143,NR-01,,
-1187286,-1749319,hypsographic,"Anna Point","Anna Point",official,-0.5,166.933333,NR-000,,
-1187299,-1749345,administrative_region,Menden,Menden,variant,-0.543263,166.938204,NR-11,,
-1187304,-1749375,hypsographic,"Shank Island","Shank Island",variant,-0.527778,166.933333,NR-000,,
-1187304,-1749354,hypsographic,Naura,Naura,variant,-0.527778,166.933333,NR-000,,
-1187300,-1749349,hypsographic,"Menen Point","Menen Point",variant,-0.55,166.95,NR-000,,
-1187314,-1749342,administrative_region,Jaren,Jaren,variant,-0.545321,166.923713,NR-14,,
-1187296,18921914,administrative_region,Iyu,Iyu,variant,-0.519135,166.952912,NR-10,,
-1187294,14089952,administrative_region,Ewa,Ewa,official,-0.510644,166.937939,NR-09,,
-1187282,-1749330,administrative_region,Enniberri,Enniberri,variant,-0.529302,166.944446,NR-04,,
-1187282,18921934,administrative_region,"Anibare District","Anibare District",official,-0.529302,166.944446,NR-04,,
-1187304,-1749374,hypsographic,Schank,Schank,variant,-0.527778,166.933333,NR-000,,
-1187295,-1749333,spot,"Hansenide Colony","Hansenide Colony",variant,-0.55,166.95,NR-000,,
-1187299,-1749346,administrative_region,Menen,Menen,variant,-0.543263,166.938204,NR-11,,
-1187296,-1749337,administrative_region,Ijub,Ijub,variant,-0.519135,166.952912,NR-10,,
-1187312,-1749379,administrative_region,"Uaboe District","Uaboe District",official,-0.519039,166.931498,NR-13,,
-1187312,14089958,administrative_region,Uaboe,Uaboe,official,-0.519039,166.931498,NR-13,,
-1187290,-1749325,hydrographic,"Buada Lagoon","Buada Lagoon",official,-0.535278,166.922222,NR-07,,
-1187300,-1749348,hypsographic,"Meneng Point","Meneng Point",official,-0.55,166.95,NR-000,,
-1187288,-1749323,administrative_region,"Boe District","Boe District",official,-0.540582,166.915911,NR-06,,
-1187305,285926,administrative_region,Nauru,Nauru,official,-0.533333,166.933333,NR-000,,
-1187283,-1749311,hydrographic,"Anebare Bay","Anebare Bay",variant,-0.533333,166.954167,NR-000,,
-1187296,-1749338,administrative_region,Ijuh,Ijuh,variant,-0.519135,166.952912,NR-10,,
-1187295,-1749335,spot,"Hansenide Station","Hansenide Station",official,-0.55,166.95,NR-000,,
-1187287,18620762,administrative_region,"Baitsi District","Baitsi District",official,-0.516667,166.933333,NR-05,,
-1187278,-1749307,administrative_region,"Aiwo District","Aiwo District",official,-0.533602,166.914143,NR-01,,
-1187287,18619792,administrative_region,Baitsi,Baitsi,official,-0.516667,166.933333,NR-05,,
-1187291,-1749326,hypsographic,"Central Plateau","Central Plateau",official,-0.533333,166.933333,NR-000,,
-1187304,-1749366,hypsographic,Onawero,Onawero,variant,-0.527778,166.933333,NR-000,,
-1187281,-1749314,administrative_region,"Anetan District","Anetan District",official,-0.507731,166.944072,NR-03,,
-1187289,-1749324,administrative_region,"Buada District","Buada District",official,-0.531439,166.923671,NR-07,,
-1187292,-1749327,administrative_region,"Denigomodu District","Denigomodu District",official,-0.524422,166.918633,NR-08,,
-1187304,-1749364,hypsographic,Nawodo,Nawodo,variant,-0.527778,166.933333,NR-000,,
-1187304,-1749363,hypsographic,Navodo,Navodo,variant,-0.527778,166.933333,NR-000,,
-1187305,-1749357,administrative_region,Naoero,Naoero,official,-0.533333,166.933333,NR-000,,
-1187279,18921912,administrative_region,Anebar,Anebar,variant,-0.513068,166.949334,NR-02,,
-1187287,-1749320,administrative_region,"Baiti District","Baiti District",variant,-0.516667,166.933333,NR-05,,
-1187314,-1749383,administrative_region,Yarren,Yarren,variant,-0.545321,166.923713,NR-14,,
-1187283,-1749331,hydrographic,"Enniberri Bay","Enniberri Bay",variant,-0.533333,166.954167,NR-000,,
-1187285,-1749318,settlement,Anna,Anna,official,-0.5,166.933333,NR-000,,
-1187301,-1749350,spot,"Moqua Cave","Moqua Cave",official,-0.55,166.916667,NR-000,,
-1187296,-1749339,administrative_region,Ijuw,Ijuw,official,-0.519135,166.952912,NR-10,,
-1187287,-1749321,administrative_region,Beidi,Beidi,variant,-0.516667,166.933333,NR-05,,
-1187279,18921913,administrative_region,"Anabar District","Anabar District",official,-0.513068,166.949334,NR-02,,
-1187307,14089956,administrative_region,Nibok,Nibok,official,-0.521463,166.926913,NR-12,,
-1187287,14089946,administrative_region,Baiti,Baiti,variant,-0.516667,166.933333,NR-05,,
-1187279,-1749308,administrative_region,Anabar,Anabar,official,-0.513068,166.949334,NR-02,,
-1187287,-1749322,administrative_region,Beiji,Beiji,variant,-0.516667,166.933333,NR-05,,
-1187293,-1749329,spot,Domaneab,Domaneab,official,-0.516667,166.916667,NR-000,,
-1187304,-1749355,hypsographic,Nauru,Nauru,official,-0.527778,166.933333,NR-000,,
-1187302,-1749351,hydrographic,"Moqua Well","Moqua Well",official,-0.55,166.916667,NR-000,,
-1187307,-1749365,administrative_region,"Nibok District","Nibok District",official,-0.521463,166.926913,NR-12,,
-1187313,-1749381,settlement,Yangor,Yangor,official,-0.533333,166.916667,NR-000,,
-1187304,-1749359,hypsographic,"Nauru Atoll","Nauru Atoll",variant,-0.527778,166.933333,NR-000,,
