wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1187212,-1749233,settlement,Hakupu,Hakupu,official,-19.12796,-169.843405,NU-000,,
-1187256,18897799,settlement,"Tamakautoga Village","Tamakautoga Village",official,-19.10587,-169.915553,NU-000,,
-1187200,-1749220,park,Anakula,Anakula,official,-19.016667,-169.916667,NU-000,,
-1187251,18897798,park,Patuoku,Patuoku,official,-18.96625,-169.805433,NU-000,,
-1187213,-1749234,settlement,Hikutivake,Hikutivake,official,-18.965361,-169.880443,NU-000,,
-1187234,-1749256,settlement,Mamakula,Mamakula,official,-18.95,-169.9,NU-000,,
-1187238,-1749260,settlement,Matalave,Matalave,official,-18.95,-169.9,NU-000,,
-1187246,-1749269,settlement,Mutalau,Mutalau,official,-18.962258,-169.828265,NU-000,,
-1187254,-1749281,park,Takaoga,Takaoga,official,-19.05,-169.783333,NU-000,,
-1187277,18897802,vegetation,Veli,Veli,official,-19.083979,-169.798079,NU-000,,
-1187244,-1749267,vegetation,Motutopu,Motutopu,variant,-19.025329,-169.803085,NU-000,,
-1187215,-1749236,settlement,Huvalu,Huvalu,official,-19.066667,-169.8,NU-000,,
-1187251,-1749276,park,Patuoko,Patuoko,variant,-18.96625,-169.805433,NU-000,,
-1187207,-1749228,vegetation,Fuata,Fuata,official,-19.095833,-169.910447,NU-000,,
-1187270,-1749298,park,Tumea,Tumea,official,-18.983333,-169.8,NU-000,,
-1187257,-1749285,park,Tamatakula,Tamatakula,official,-18.95,-169.883333,NU-000,,
-1187268,-1749296,settlement,Tuapa,Tuapa,variant,-18.991485,-169.904221,NU-000,,
-1187206,-1749227,settlement,Fatiau,Fatiau,official,-19.116667,-169.9,NU-000,,
-1187211,-1749232,park,Grutulili,Grutulili,official,-18.966667,-169.816667,NU-000,,
-1187260,-1749288,park,Taueau,Taueau,official,-19,-169.916667,NU-000,,
-1187262,-1749290,park,Tialeuta,Tialeuta,official,-18.95,-169.85,NU-000,,
-1187268,18897801,settlement,"Tuapa Village","Tuapa Village",official,-18.991485,-169.904221,NU-000,,
-1187255,-1749283,park,Talakifea,Talakifea,official,-19.016667,-169.916667,NU-000,,
-1187259,-1749287,park,Tapaike,Tapaike,official,-18.95,-169.866667,NU-000,,
-1187197,-1749217,hydrographic,"Alofi Bay","Alofi Bay",official,-19.042439,-169.925688,NU-000,,
-1187250,-1749275,park,Nukufetau,Nukufetau,official,-19.1,-169.85,NU-000,,
-1187209,-1749230,park,Fulalatea,Fulalatea,official,-19.1,-169.9,NU-000,,
-1187265,-1749293,park,Toa,Toa,official,-19.05,-169.916667,NU-000,,
-1187254,-1749282,park,Takaogo,Takaogo,variant,-19.05,-169.783333,NU-000,,
-1187235,-1749257,park,Mataafi,Mataafi,official,-19.1,-169.833333,NU-000,,
-1187218,-1749240,park,Kavaka,Kavaka,official,-19.033333,-169.783333,NU-000,,
-1187214,-1749235,park,Hina,Hina,official,-18.95,-169.9,NU-000,,
-1187203,-1749224,park,Fagalilika,Fagalilika,official,-19.066667,-169.916667,NU-000,,
-1187241,-1749263,park,Meleuli,Meleuli,official,-18.95,-169.883333,NU-000,,
-1187230,-1749252,park,Makatu,Makatu,official,-18.983333,-169.916667,NU-000,,
-1187217,-1749239,vegetation,Kaopa,Kaopa,variant,-19.040546,-169.791281,NU-000,,
-1187249,-1749274,hypsographic,"Niue Island","Niue Island",official,-19.033333,-169.866667,NU-000,,
-1187264,-1749292,hypsographic,Tipa,Tipa,official,-19.1,-169.916667,NU-000,,
-1187269,-1749297,park,Tukitukipule,Tukitukipule,official,-19,-169.916667,NU-000,,
-1187266,18897800,settlement,"Toi Village","Toi Village",official,-18.974171,-169.858573,NU-000,,
-1187249,-1749278,hypsographic,"Savage Island","Savage Island",variant,-19.033333,-169.866667,NU-000,,
-1187227,-1749249,park,Makaapiapi,Makaapiapi,official,-19.1,-169.9,NU-000,,
-1187232,-1749254,park,Makatutaha,Makatutaha,official,-18.967201,-169.888633,NU-000,,
-1187216,-1749238,park,Kaimite,Kaimite,official,-19.05,-169.916667,NU-000,,
-1187220,-1749242,park,Laloata,Laloata,official,-18.95,-169.883333,NU-000,,
-1187224,-1749246,settlement,Liha,Liha,official,-18.95,-169.8,NU-000,,
-1187240,-1749262,park,Matavao,Matavao,official,-19.066667,-169.9,NU-000,,
-1187245,-1749268,park,Muilimu,Muilimu,official,-18.95,-169.9,NU-000,,
-1187253,-1749280,park,Tahileleki,Tahileleki,official,-19,-169.916667,NU-000,,
-1187222,-1749244,park,Lalotuake,Lalotuake,official,-19.016667,-169.916667,NU-000,,
-1187271,-1749299,vegetation,Tumukieto,Tumukieto,official,-19.131994,-169.862332,NU-000,,
-1187236,-1749258,park,Matafonua,Matafonua,official,-18.95,-169.816667,NU-000,,
-1187205,-1749226,park,Falehavaiki,Falehavaiki,official,-19.1,-169.866667,NU-000,,
-1187276,-1749304,park,Vaohina,Vaohina,official,-19,-169.916667,NU-000,,
-1187239,18897796,hypsographic,Matapa,Matapa,official,-18.962072,-169.882325,NU-000,,
-1187231,-1749253,park,Makatugi,Makatugi,official,-19.083333,-169.916667,NU-000,,
-1187264,-1749223,hypsographic,"Blow Hole Point","Blow Hole Point",variant,-19.1,-169.916667,NU-000,,
-1187213,18897792,settlement,"Hikutavake Village","Hikutavake Village",official,-18.965361,-169.880443,NU-000,,
-1187266,-1749294,settlement,Toi,Toi,variant,-18.974171,-169.858573,NU-000,,
-1187195,-1749215,park,Aleuta,Aleuta,official,-19.05,-169.95,NU-000,,
-1187210,-1749231,park,Fumaila,Fumaila,official,-18.95,-169.883333,NU-000,,
-1187256,-1749284,settlement,Tamakautoga,Tamakautoga,variant,-19.10587,-169.915553,NU-000,,
-1187201,-1749221,settlement,Avatele,Avatele,official,-19.1,-169.916667,NU-000,,
-1187219,-1749241,settlement,Lakepa,Lakepa,official,-18.983333,-169.8,NU-000,,
-1187196,-1749216,settlement,Alofi,Alofi,official,-19.053889,-169.92,NU-000,,
-1187233,18897795,settlement,"Makefu Village","Makefu Village",official,-19.001795,-169.913834,NU-000,,
-1187244,-1749266,vegetation,Motutapu,Motutapu,official,-19.025329,-169.803085,NU-000,,
-1187198,-1749218,park,Ana,Ana,official,-19.066667,-169.816667,NU-000,,
-1187261,-1749289,park,Taumalala,Taumalala,official,-19.05,-169.783333,NU-000,,
-1187212,18897791,settlement,"Hakupu Village","Hakupu Village",official,-19.12796,-169.843405,NU-000,,
-1187263,-1749291,park,Tiatele,Tiatele,official,-18.95,-169.816667,NU-000,,
-1187204,-1749225,park,Fakaagi,Fakaagi,official,-19.1,-169.9,NU-000,,
-1187234,-1749270,settlement,Namukulu,Namukulu,variant,-18.95,-169.9,NU-000,,
-1187274,-1749302,park,Vaiila,Vaiila,official,-19.016667,-169.916667,NU-000,,
-1187208,-1749229,park,Fugigie,Fugigie,official,-19,-169.916667,NU-000,,
-1187273,-1749301,park,Vahavaha,Vahavaha,official,-19.1,-169.833333,NU-000,,
-1187239,-1749261,hypsographic,"Matapa Chasm","Matapa Chasm",variant,-18.962072,-169.882325,NU-000,,
-1187249,-1749272,hypsographic,Niue,Niue,official,-19.033333,-169.866667,NU-000,,
-1187226,-1749248,park,Lolokieto,Lolokieto,official,-18.95,-169.883333,NU-000,,
-1187223,-1749245,park,Lavaka,Lavaka,official,-18.95,-169.816667,NU-000,,
-1187242,-1749264,hypsographic,Motu,Motu,official,-19.021669,-169.794618,NU-000,,
-1187233,-1749255,settlement,Makefu,Makefu,variant,-19.001795,-169.913834,NU-000,,
-1187217,18897793,vegetation,Kaupa,Kaupa,official,-19.040546,-169.791281,NU-000,,
-1187246,18897797,settlement,"Mutalau Village","Mutalau Village",official,-18.962258,-169.828265,NU-000,,
-1187237,-1749259,park,Matalakuti,Matalakuti,official,-18.95,-169.816667,NU-000,,
-1187228,-1749250,park,Makanga,Makanga,official,-18.95,-169.866667,NU-000,,
-1187248,-1749273,administrative_region,Niue,Niue,official,-19.051389,-169.862222,NU-000,,
-1187247,-1749271,park,Natuku,Natuku,official,-19.033333,-169.783333,NU-000,,
-1187258,-1749286,settlement,Taoli,Taoli,official,-19.1,-169.883333,NU-000,,
-1187275,-1749303,hypsographic,"Vailoa Chasm","Vailoa Chasm",official,-19,-169.916667,NU-000,,
-1187225,18897794,settlement,"Liku Village","Liku Village",official,-19.054169,-169.788566,NU-000,,
-1187243,-1749265,park,Motule,Motule,official,-18.933333,-169.833333,NU-000,,
-1187248,279448,administrative_region,"Republic of Niue","Republic of Niue",variant,-19.051389,-169.862222,NU-000,,
-1187199,-1749219,park,Anaheke,Anaheke,official,-18.983333,-169.916667,NU-000,,
-1187249,-1749237,hypsographic,Iniue,Iniue,variant,-19.033333,-169.866667,NU-000,,
-1187277,-1749305,vegetation,Vili,Vili,variant,-19.083979,-169.798079,NU-000,,
-1187267,-1749295,hypsographic,"Tomb Point","Tomb Point",official,-19.054418,-169.921878,NU-000,,
-1187202,-1749222,hydrographic,"Avatele Bay","Avatele Bay",official,-19.117077,-169.920459,NU-000,,
-1187221,-1749243,vegetation,Lalole,Lalole,official,-18.994174,-169.811328,NU-000,,
-1187225,-1749247,settlement,Liku,Liku,variant,-19.054169,-169.788566,NU-000,,
-1187229,-1749251,park,Makanga,Makanga,official,-19,-169.8,NU-000,,
-1187252,-1749277,park,Pikiona,Pikiona,official,-19.083333,-169.816667,NU-000,,
-1187272,-1749300,park,Tutuila,Tutuila,official,-18.95,-169.9,NU-000,,
14550699,18897758,vegetation,Fou,Fou,official,-18.976667,-169.839346,NU-000,,
14550634,18897693,hydrographic,Limu,Limu,official,-18.974948,-169.896202,NU-000,,
14550588,18897647,vegetation,Omea,Omea,official,-19.001521,-169.886888,NU-000,,
14550563,18897622,road,"Tafolomahina Bush Road","Tafolomahina Bush Road",official,-19.044381,-169.866317,NU-000,,
14550507,18897566,vegetation,Vaifulufulu,Vaifulufulu,official,-19.052824,-169.802911,NU-000,,
14550676,18897735,park,Halatafeta,Halatafeta,official,-19.078052,-169.782838,NU-000,,
14550624,18897683,hypsographic,"Makapu Point","Makapu Point",official,-19.014421,-169.92407,NU-000,,
14550387,18897346,spot,"Wash Away Café","Wash Away Cafe",official,-19.128034,-169.912315,NU-000,,
14550558,18897617,settlement,"Taloa Heights","Taloa Heights",official,-19.059722,-169.922899,NU-000,,
14550400,18897559,park,Vaiopeope,Vaiopeope,official,-18.953614,-169.839164,NU-000,,
14550646,18897705,spot,"Kings Lookout","Kings Lookout",official,-19.068001,-169.935779,NU-000,,
14550393,18897552,road,"Valikulu Sea Track","Valikulu Sea Track",official,-19.066148,-169.789164,NU-000,,
14550629,18897688,park,Lou,Lou,official,-19.099195,-169.79925,NU-000,,
14550626,18897685,vegetation,Makamalu,Makamalu,official,-19.011333,-169.828114,NU-000,,
14550651,18897710,spot,Kavata,Kavata,official,-19.081987,-169.889876,NU-000,,
14550698,18897757,park,Foulua,Foulua,official,-19.12724,-169.830231,NU-000,,
14550731,18897790,road,"Agoago Bush Track","Agoago Bush Track",official,-19.119866,-169.851798,NU-000,,
14550671,18897730,vegetation,Havaka,Havaka,official,-19.102981,-169.859369,NU-000,,
14550392,18897551,spot,Vaotoi,Vaotoi,official,-19.115508,-169.817704,NU-000,,
14550657,18897716,vegetation,Kapihi,Kapihi,official,-18.97445,-169.838449,NU-000,,
14550683,18897742,vegetation,Gaga,Gaga,official,-18.989816,-169.844551,NU-000,,
14550590,18897649,vegetation,Niufela,Niufela,official,-19.025105,-169.838972,NU-000,,
14550632,18897691,road,"Logovao-Fugavai Bush Road","Logovao-Fugavai Bush Road",official,-19.027297,-169.853168,NU-000,,
14550516,18897575,park,Uluvehi,Uluvehi,official,-18.956488,-169.828554,NU-000,,
14550552,18897611,road,"Taoke Sea Track","Taoke Sea Track",official,-19.011309,-169.804081,NU-000,,
14550616,18897675,road,"Malafati Bush Road","Malafati Bush Road",official,-19.030435,-169.824851,NU-000,,
14550544,18897603,park,Togo,Togo,official,-19.104799,-169.80707,NU-000,,
14550678,18897737,hypsographic,"Halagigie Point","Halagigie Point",official,-19.074665,-169.949098,NU-000,,
14550663,18897722,spot,Houma,Houma,official,-19.070406,-169.945861,NU-000,,
14550674,18897733,vegetation,Hatea,Hatea,official,-18.976791,-169.815761,NU-000,,
14550389,18897348,vegetation,Vinivini,Vinivini,official,-19.061167,-169.818177,NU-000,,
14550730,18897789,road,"Ahuafi Bush Track","Ahuafi Bush Track",official,-19.098921,-169.863273,NU-000,,
14550526,18897585,road,"Tumukieto Bush Road","Tumukieto Bush Road",official,-19.133165,-169.864823,NU-000,,
14550688,18897747,vegetation,Fukava,Fukava,official,-18.989243,-169.86943,NU-000,,
14550724,18897783,park,Ana,Ana,official,-19.115607,-169.816135,NU-000,,
14550540,18897599,spot,Tokamea,Tokamea,official,-19.03945,-169.910098,NU-000,,
14550543,18897602,road,"Toi Sea Track","Toi Sea Track",official,-18.972059,-169.848797,NU-000,,
14550561,18897620,road,"Talamaitoga Bush Road","Talamaitoga Bush Road",official,-19.126964,-169.896152,NU-000,,
14550654,18897713,park,Kauhi,Kauhi,official,-19.032079,-169.789811,NU-000,,
14550711,18897770,settlement,"Avatele Village","Avatele Village",official,-19.125046,-169.911667,NU-000,,
14550642,18897701,vegetation,Lalokafika,Lalokafika,official,-19.072673,-169.895455,NU-000,,
14550679,18897738,park,Halafualagi,Halafualagi,official,-19.146787,-169.846966,NU-000,,
14550682,18897741,vegetation,Hafata,Hafata,official,-19.060071,-169.84206,NU-000,,
14550571,18897630,hypsographic,Puluhiki,Puluhiki,official,-19.00304,-169.796486,NU-000,,
14550505,18897564,park,Vaihakea,Vaihakea,official,-18.957584,-169.822164,NU-000,,
14550525,18897584,vegetation,Tumulo,Tumulo,official,-19.089931,-169.879939,NU-000,,
14550705,18897764,road,"Fatiau Sea Track","Fatiau Sea Track",official,-19.1435,-169.892939,NU-000,,
14550532,18897591,park,Tukumate,Tukumate,official,-18.960935,-169.810975,NU-000,,
14550503,18897562,park,Vaikona,Vaikona,official,-19.086868,-169.789039,NU-000,,
14550656,18897715,road,"Kapihi Bush Road","Kapihi Bush Road",official,-18.990015,-169.844003,NU-000,,
14550610,18897669,hypsographic,"Mata Point","Mata Point",official,-19.146289,-169.842857,NU-000,,
14550514,18897573,vegetation,Va,Va,official,-19.071303,-169.860116,NU-000,,
14550531,18897590,spot,Tukuofe,Tukuofe,official,-19.053596,-169.840815,NU-000,,
14550672,18897731,vegetation,Haupo,Haupo,official,-19.006029,-169.882455,NU-000,,
14550569,18897628,road,"Segisegi Bush Track","Segisegi Bush Track",official,-19.019378,-169.872667,NU-000,,
14550710,18897769,road,"Avatele-Vaiea Road","Avatele-Vaiea Road",official,-19.127486,-169.911368,NU-000,,
14550681,18897740,vegetation,Hago,Hago,official,-19.058153,-169.84724,NU-000,,
14550583,18897642,park,Pala,Pala,official,-19.148879,-169.860639,NU-000,,
14550564,18897623,vegetation,Tafolomahina,Tafolomahina,official,-19.046772,-169.854736,NU-000,,
14550565,18897624,park,Tafalalo,Tafalalo,official,-19.067966,-169.942424,NU-000,,
14550581,18897640,spot,Palaha,Palaha,official,-18.995469,-169.908878,NU-000,,
14550397,18897556,hypsographic,Vaitafe,Vaitafe,official,-18.986853,-169.802189,NU-000,,
14550559,18897618,road,"Talava Sea Track","Talava Sea Track",official,-18.960749,-169.878913,NU-000,,
14550529,18897588,road,"Tumufa-Paluki Bush Road","Tumufa-Paluki Bush Road",official,-19.083406,-169.880064,NU-000,,
14550394,18897553,park,Valikulu,Valikulu,official,-19.069125,-169.777309,NU-000,,
14550586,18897645,park,Opaahi,Opaahi,official,-19.060818,-169.931043,NU-000,,
14550726,18897785,settlement,"Alofi Township","Alofi Township",official,-19.054144,-169.919985,NU-000,,
14550652,18897711,park,Kavata,Kavata,official,-18.958226,-169.873019,NU-000,,
14550700,18897759,road,"Fokipa Bush Road","Fokipa Bush Road",official,-19.112992,-169.865968,NU-000,,
14550584,18897643,road,"Pago-Panivaka Bush Road","Pago-Panivaka Bush Road",official,-19.126615,-169.89924,NU-000,,
14550398,18897557,road,"Vaipukupuku Bush Road","Vaipukupuku Bush Road",official,-18.993701,-169.868508,NU-000,,
14550579,18897638,road,"Patuoku Sea Track","Patuoku Sea Track",official,-18.972496,-169.819992,NU-000,,
14550645,18897704,spot,"Kololi Motel","Kololi Motel",official,-19.054542,-169.918591,NU-000,,
14550719,18897778,spot,Anatoga,Anatoga,official,-19.053919,-169.920882,NU-000,,
14550548,18897607,park,Tavahihi,Tavahihi,official,-18.99146,-169.906238,NU-000,,
14550708,18897767,spot,Fafagu,Fafagu,official,-19.140362,-169.889403,NU-000,,
