wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-169413,-260248,settlement,Ramoca,Ramoca,official,8.45,-82.716667,PA-4,,
11971778,14704235,settlement,Químón,Quimon,official,8.229965,-78.077911,PA-5,,
14972269,19730467,settlement,Maraca,Maraca,official,8.390053,-81.850993,PA-NB,,
14989430,19760115,settlement,Struri,Struri,official,9.371783,-82.629439,PA-1,,
15023854,19841620,settlement,Conaca,Conaca,official,8.110945,-80.774997,PA-9,,
15030141,19909864,settlement,Argón,Argon,official,8.946128,-79.7387,PA-10,,
15020006,19823590,settlement,Bambú,Bambu,official,8.645624,-81.20267,PA-9,,
15005504,19789512,settlement,Tibra,Tibra,official,8.601957,-81.66509,PA-NB,,
15114452,20124122,settlement,Chitra,Chitra,official,9.521925,-79.156393,PA-3,,
15071415,20010467,settlement,Sabana,Sabana,official,8.790535,-78.206084,PA-5,,
-1108885,-1640190,hydrographic,"Boca Tarire","Boca Tarire",variant,9.572547,-82.564638,S1-000,,
-1109530,-1640191,hydrographic,"Río Tarire","Rio Tarire",variant,9.571287,-82.564847,S1-000,,
-1109530,-1640074,hydrographic,"Río Sixola","Rio Sixola",variant,9.571287,-82.564847,S1-000,,
-1109530,-1640072,hydrographic,"Río Sixaola","Rio Sixaola",official,9.571287,-82.564847,S1-000,,
-1109530,-1640209,hydrographic,Telire,Telire,variant,9.571287,-82.564847,S1-000,,
-1108885,-4851868,hydrographic,"Boca Río Sixaola","Boca Rio Sixaola",official,9.572547,-82.564638,S1-000,,
-1109498,19758242,settlement,Sibubi,Sibubi,variant,9.596355,-82.818098,PA-1,,
-1108385,-1638645,hypsographic,"Cerro Pando","Cerro Pando",official,8.919796,-82.721948,S1-000,,
-1108885,20423392,hydrographic,"Boca Río Sixaola","Boca Rio Sixaola",variant,9.572547,-82.564638,S1-000,,
-1109591,-1639357,hypsographic,"Cordillera de Salamanca","Cordillera de Salamanca",variant,9.572155,-83.663814,S1-000,,
-1108726,-1639093,hypsographic,"Cerro Punta Gorda","Cerro Punta Gorda",official,8.055258,-82.89349,S1-000,,
-1109591,-1640158,hypsographic,"Las Montañas de Talamanca","Las Montanas de Talamanca",variant,9.572155,-83.663814,S1-000,,
-1108885,-1640031,hydrographic,"Boca Sicsaola","Boca Sicsaola",variant,9.572547,-82.564638,S1-000,,
-1108885,-1640075,hydrographic,"Bocario Snaola","Bocario Snaola",variant,9.572547,-82.564638,S1-000,,
-1109556,-1640109,hydrographic,"Río Sucut","Rio Sucut",official,9.4095,-82.9675,S1-000,,
-1109498,-1640027,settlement,Sibube,Sibube,official,9.596355,-82.818098,PA-1,,
-1109556,20422512,hydrographic,"Río Sukut","Rio Sukut",official,9.4095,-82.9675,S1-000,,
-1109591,-1640157,hypsographic,"Cordillera de Talamanca","Cordillera de Talamanca",official,9.572155,-83.663814,S1-000,,
-1108885,-1639279,hydrographic,"Boca del Río Sixaola","Boca del Rio Sixaola",official,9.572547,-82.564638,S1-000,,
-1109530,-1640307,hydrographic,"Río Torire","Rio Torire",variant,9.571287,-82.564847,S1-000,,
-1109514,-4851867,hydrographic,"Río Sini","Rio Sini",official,9.218312,-82.909352,S1-000,,
-1109514,20425968,hydrographic,"Río Siní","Rio Sini",official,9.218312,-82.909352,S1-000,,
-1109530,-1640285,hydrographic,"Río Tiliri","Rio Tiliri",variant,9.571287,-82.564847,S1-000,,
-1108885,-1640070,hydrographic,"Boca del Sixaola","Boca del Sixaola",variant,9.572547,-82.564638,S1-000,,
-1108769,-1639147,hypsographic,"Cerro Quijada del Diablo","Cerro Quijada del Diablo",official,8.906536,-82.749137,S1-000,,
-1107646,-1637593,hydrographic,"Río Katsi","Rio Katsi",official,9.528767,-82.934831,S1-000,,
-1106357,-1635752,hypsographic,"Punta Burica","Punta Burica",official,8.03143,-82.872003,S1-000,,
-1107998,-1638136,hypsographic,"Cerro Mamey","Cerro Mamey",official,8.64953,-82.838912,S1-000,,
-1107998,19703369,hypsographic,"Cerro Baitún","Cerro Baitun",official,8.64953,-82.838912,S1-000,,
-1107075,19754728,hypsographic,"Cerro Echandí","Cerro Echandi",variant,9.030643,-82.819814,S1-000,,
-1107075,-1638646,hypsographic,"Cerro Pando","Cerro Pando",variant,9.030643,-82.819814,S1-000,,
-1107646,19758055,hydrographic,"Río Katzi","Rio Katzi",official,9.528767,-82.934831,S1-000,,
-1107075,-1636726,hypsographic,"Cerro Echandi","Cerro Echandi",official,9.030643,-82.819814,S1-000,,
-1107646,-1636073,hydrographic,"Río Catsi","Rio Catsi",variant,9.528767,-82.934831,S1-000,,
-1107998,19703368,hypsographic,"Cerro Namey","Cerro Namey",variant,8.64953,-82.838912,S1-000,,
-600163,-816759,hypsographic,"Punta Cabo Tiburón","Punta Cabo Tiburon",variant,8.676955,-77.371011,S1-000,,
-600163,-846215,hypsographic,"Cabo Tiburón","Cabo Tiburon",official,8.676955,-77.371011,S1-000,,
-596204,-841072,hypsographic,"Cerros de Quía","Cerros de Quia",variant,7.575592,-77.519112,S1-000,,
-596050,15842378,hypsographic,"Altos de Puna","Altos de Puna",official,8.45084,-77.39372,S1-000,,
-596204,15863095,hypsographic,"Cerro de Quía","Cerro de Quia",official,7.575592,-77.519112,S1-000,,
-596050,-840849,hypsographic,"Alto de Puna","Alto de Puna",variant,8.45084,-77.39372,S1-000,,
-596050,-840857,hypsographic,"Cerro Puno","Cerro Puno",variant,8.45084,-77.39372,S1-000,,
-596204,-841073,hypsographic,"Altos de Quía","Altos de Quia",official,7.575592,-77.519112,S1-000,,
-590689,-833616,hypsographic,"Cerro Limon","Cerro Limon",variant,7.969009,-77.155037,S1-000,,
-590689,-814131,hypsographic,"Cerro Alto de Limón","Cerro Alto de Limon",variant,7.969009,-77.155037,S1-000,,
-590689,-833608,hypsographic,"Alto Limón","Alto Limon",official,7.969009,-77.155037,S1-000,,
-586853,-829180,hydrographic,"Río Jampavadó","Rio Jampavado",official,7.220969,-77.792255,S1-000,,
-586853,-829178,hydrographic,"Río Jamparadó","Rio Jamparado",variant,7.220969,-77.792255,S1-000,,
-586853,-845824,hydrographic,"Río Tam Pavadó","Rio Tam Pavado",variant,7.220969,-77.792255,S1-000,,
-585053,-825542,hypsographic,"Cerro Gandí","Cerro Gandi",official,8.508038,-77.456593,S1-000,,
-159952,-248118,settlement,"El Astá","El Asta",official,8.537727,-78.115485,PA-5,,
-162065,-250702,spot,Gamboa,Gamboa,short,9.116667,-79.716667,PA-3,,
-171490,-263096,settlement,"Yayas Afuera","Yayas Afuera",official,8.927474,-79.853702,PA-10,,
-171423,-262986,settlement,Visita,Visita,official,9.183333,-78.833333,PA-8,1,
-171422,-262985,hydrographic,"Río Virulí","Rio Viruli",official,8.48324,-80.526357,PA-2,,
-171376,-262930,hypsographic,"Vigia Islands","Vigia Islands",official,9.216667,-79.583333,PA-3,,
-171354,-262900,hydrographic,"Río Viejo","Rio Viejo",official,8.418742,-80.339315,PA-2,1,
-171353,-262899,hydrographic,"Río Viejo","Rio Viejo",official,7.732554,-81.043305,PA-9,,
-171760,-263001,hypsographic,"Isla Vitorino","Isla Vitorino",variant,9.043676,-80.05142,PA-3,,
-171760,-250342,hypsographic,"False Point Island","False Point Island",variant,9.043676,-80.05142,PA-3,,
-171760,19976861,hypsographic,"Isla Victorino","Isla Victorino",official,9.043676,-80.05142,PA-3,,
-171682,-1530340,hydrographic,"Quebrada La Leona","Quebrada La Leona",official,9.026987,-79.937015,PA-10,,
-171682,-253318,hydrographic,"Rio La Leona","Rio La Leona",variant,9.026987,-79.937015,PA-10,,
-171670,-1530339,park,Darién,Darien,official,8.5,-77.5,PA-000,,
-171670,-1530338,park,Darién,Darien,official,8.5,-77.5,PA-000,,
-171670,-251928,park,"Istmo del Darién","Istmo del Darien",official,8.5,-77.5,PA-000,,
-171670,-251926,park,"Isthmus of Darien","Isthmus of Darien",official,8.5,-77.5,PA-000,,
-171638,20426040,hydrographic,"Laguna Paja","Laguna Paja",variant,8.45,-82.883333,S1-000,,
-171638,-247305,hydrographic,"Lago de Colorado","Lago de Colorado",variant,8.45,-82.883333,S1-000,,
-171638,20426039,hydrographic,"Laguna Colorado","Laguna Colorado",official,8.45,-82.883333,S1-000,,
-171638,-1530337,hydrographic,"Pantano Colorado","Pantano Colorado",official,8.45,-82.883333,S1-000,,
-171630,-1530335,administrative_region,"Corregimiento El Chorillo","Corregimiento El Chorillo",variant,8.947913,-79.546426,PA-8,,
-171630,-246866,administrative_region,Chorillo,Chorillo,variant,8.947913,-79.546426,PA-8,,
-171630,-246884,administrative_region,"Barrio del Chorrillo","Barrio del Chorrillo",variant,8.947913,-79.546426,PA-8,,
-171630,15872085,administrative_region,"Corregimiento El Chorrillo","Corregimiento El Chorrillo",official,8.947913,-79.546426,PA-8,,
-171566,-263197,settlement,Zurrones,Zurrones,official,7.807656,-81.070508,PA-9,,
-171565,15767656,hypsographic,"Punta Zurrones","Punta Zurrones",official,7.487915,-81.257459,PA-9,,
-171565,-263196,hypsographic,"Punta Zurrón","Punta Zurron",variant,7.487915,-81.257459,PA-9,,
-171565,-261878,hypsographic,"Punta Surrones","Punta Surrones",variant,7.487915,-81.257459,PA-9,,
-171564,-263194,hydrographic,"Quebrada Zumbona","Quebrada Zumbona",official,8.8028,-82.678534,PA-4,,
-171563,-263193,hydrographic,"Quebrada Zumbona","Quebrada Zumbona",variant,8.522691,-82.664922,PA-4,,
-171563,-261857,hydrographic,"Quebrada Sumbona","Quebrada Sumbona",variant,8.522691,-82.664922,PA-4,,
-171563,19706566,hydrographic,"Quebrada La Sumbona","Quebrada La Sumbona",official,8.522691,-82.664922,PA-4,,
-171562,-263192,settlement,Zumbador,Zumbador,official,8.610458,-80.392617,PA-2,,
-171561,-263191,hydrographic,"Quebrada Zula","Quebrada Zula",official,8.466303,-81.357425,PA-NB,,
