wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
10057527,10229857,hypsographic,"Loma Antoyo","Loma Antoyo",official,-11.97255,-75.37458,PE-JUN,,
10058126,10230456,settlement,Churco,Churco,official,-11.79257,-75.27183,PE-JUN,,
10060119,10232550,hydrographic,"Quebrada Inchic Cayan","Quebrada Inchic Cayan",official,-9.387309,-76.684326,PE-HUC,,
10059790,10232221,settlement,Auqui,Auqui,official,-9.455802,-76.998427,PE-ANC,,
10059541,10231972,hypsographic,"Cerro Torre Punta","Cerro Torre Punta",official,-9.444224,-76.511468,PE-HUC,,
10059619,10232050,hypsographic,"Cerro Ocococha","Cerro Ocococha",official,-9.039931,-76.843632,PE-HUC,,
10058325,10230655,settlement,"San Juán de Mataula","San Juan de Mataula",official,-11.92204,-75.35098,PE-JUN,,
10058096,10230426,settlement,"Dos de Mayo","Dos de Mayo",official,-11.84753,-75.28304,PE-JUN,,
10057606,10229936,hypsographic,"Cerro Urcuhuay","Cerro Urcuhuay",official,-11.983562,-75.167696,PE-JUN,,
10059421,10231852,hydrographic,"Laguna Parina","Laguna Parina",official,-9.195967,-76.824762,PE-ANC,,
10058010,10230340,settlement,Ancal,Ancal,official,-11.87783,-75.23321,PE-JUN,,
10058068,10230398,settlement,"San Antonio","San Antonio",official,-11.84389,-75.42539,PE-JUN,,
10057704,10230034,hypsographic,"Cerro Monterayoc","Cerro Monterayoc",official,-11.77876,-75.31101,PE-JUN,,
10058320,10230650,settlement,Chalhua,Chalhua,official,-11.55475,-75.11619,PE-JUN,,
10059524,10231955,hypsographic,"Cerro Antarraga","Cerro Antarraga",official,-9.38092,-76.83528,PE-HUC,,
10058352,10230682,settlement,Alameda,Alameda,official,-11.9105,-75.31842,PE-JUN,,
10060034,10232465,hydrographic,"Quebrada Perolcocha","Quebrada Perolcocha",official,-9.265002,-76.649338,PE-HUC,,
10059922,10232353,settlement,Cachi,Cachi,official,-9.329211,-76.921043,PE-ANC,,
10057579,10229909,hypsographic,"Cerro Tamias","Cerro Tamias",official,-11.628978,-75.264176,PE-JUN,,
10057753,10230083,hypsographic,"Cerro Sayhua","Cerro Sayhua",official,-11.701475,-75.155824,PE-JUN,,
10057479,10229809,hypsographic,"Nevado Panchamaco","Nevado Panchamaco",official,-11.777571,-75.101524,PE-JUN,,
10057355,10229685,hydrographic,"Quebrada Astillería","Quebrada Astilleria",official,-11.61694,-75.04416,PE-JUN,,
10059478,10231909,hydrographic,"Laguna Yurac Cocha","Laguna Yurac Cocha",official,-9.449937,-76.552421,PE-HUC,,
10057258,10229588,hydrographic,"Quebrada Livicocha","Quebrada Livicocha",official,-11.6608,-75.08608,PE-JUN,,
10057538,10229868,hypsographic,"Cerro Cristón","Cerro Criston",official,-11.91239,-75.43554,PE-JUN,,
10057210,10229540,hydrographic,"Quebrada Sillaloma","Quebrada Sillaloma",official,-11.65137,-75.30195,PE-JUN,,
10057781,10230111,hydrographic,"Laguna Cushurococha","Laguna Cushurococha",official,-11.7082,-75.05035,PE-JUN,,
10060054,10232485,hydrographic,"Quebrada Cayay","Quebrada Cayay",official,-9.149999,-76.659833,PE-HUC,,
10058390,10230720,settlement,Hijadero,Hijadero,official,-11.79522,-75.43191,PE-JUN,,
10058062,10230392,settlement,"Los Andes","Los Andes",official,-11.84681,-75.47146,PE-JUN,,
10057727,10230057,hypsographic,"Cerro Ventanilla","Cerro Ventanilla",official,-11.593582,-75.122786,PE-JUN,,
10057193,10229523,hydrographic,"Quebrada Uchallma","Quebrada Uchallma",official,-11.80208,-75.31537,PE-JUN,,
10059583,10232014,hypsographic,"Cerro Paracsha","Cerro Paracsha",official,-9.461465,-76.715843,PE-HUC,,
10057627,10229957,hypsographic,"Sicnahuanca Cerro","Sicnahuanca Cerro",official,-11.84336,-75.1975,PE-JUN,,
10059562,10231993,hypsographic,"Cerro Huaca Rumipunta","Cerro Huaca Rumipunta",official,-9.403675,-76.620901,PE-HUC,,
10059353,10231784,spot,"Zona Arqueológica Anco","Zona Arqueologica Anco",official,-9.374601,-76.68515,PE-HUC,,
10059691,10232122,hypsographic,"Cerro Cusicancha","Cerro Cusicancha",official,-9.205263,-76.709916,PE-HUC,,
10057429,10229759,hypsographic,"Cerro Saihua","Cerro Saihua",official,-11.814668,-75.067748,PE-JUN,,
10057891,10230221,hydrographic,"Laguna Yanacocha","Laguna Yanacocha",official,-11.62523,-75.42708,PE-JUN,,
10058186,10230516,settlement,Pusacpampa,Pusacpampa,official,-11.73995,-75.06858,PE-JUN,,
10057185,10229515,hydrographic,"Quebrada Tanquispata","Quebrada Tanquispata",official,-11.95312,-75.24627,PE-JUN,,
10060165,10232596,hydrographic,"Quebrada Taptash","Quebrada Taptash",official,-9.43346,-76.683879,PE-HUC,,
10059914,10232345,settlement,Recresh,Recresh,variant,-9.31008048,-76.98061913,PE-ANC,,
10057126,10229456,hydrographic,"Quebrada Aguila","Quebrada Aguila",official,-11.66087,-75.006758,PE-JUN,,
10057265,10229595,hydrographic,"Quebrada Malmamera","Quebrada Malmamera",official,-11.89426,-75.15849,PE-JUN,,
10059892,10232323,settlement,"Casa Cruz","Casa Cruz",official,-9.41469,-76.79875,PE-HUC,,
10059810,10232241,settlement,Escalón,Escalon,official,-9.497368,-76.852935,PE-HUC,,
10057783,10230113,hydrographic,"Laguna Verdecocha","Laguna Verdecocha",official,-11.69816,-75.0586,PE-JUN,,
10059383,10231814,park,Calero,Calero,official,-9.362736,-76.743675,PE-HUC,,
10057577,10229907,hypsographic,"Cerro Cacachurco","Cerro Cacachurco",official,-11.66259,-75.28967,PE-JUN,,
10058081,10230411,settlement,Shinca,Shinca,official,-11.84751,-75.35404,PE-JUN,,
10057561,10229891,hypsographic,"Cerro Derrumbo","Cerro Derrumbo",official,-11.53133,-75.27686,PE-JUN,,
10059849,10232280,settlement,"El Carmen","El Carmen",official,-9.310412,-76.936711,PE-ANC,,
10058195,10230525,settlement,Aichanlalaco,Aichanlalaco,official,-11.738286,-75.01455,PE-JUN,,
10057221,10229551,hydrographic,"Quebrada Quispatuna","Quebrada Quispatuna",official,-11.76105,-75.14058,PE-JUN,,
10059405,10231836,hydrographic,"Laguna Rancash","Laguna Rancash",official,-9.026586,-76.862291,PE-HUC,,
10060052,10232483,hydrographic,"Quebrada Shalaragra","Quebrada Shalaragra",official,-9.015726,-76.791921,PE-HUC,,
10058431,10230761,park,"Llama Corral","Llama Corral",official,-11.60441,-75.02469,PE-JUN,,
10059952,10232383,settlement,"Santa Rosa de Tingo","Santa Rosa de Tingo",variant,-9.36479524,-76.98068852,PE-ANC,,
10060169,10232600,hydrographic,"Quebrada Huagrish","Quebrada Huagrish",official,-9.415348,-76.784414,PE-HUC,,
10059703,10232134,hypsographic,"Cerro Chupi","Cerro Chupi",official,-9.246304,-76.774241,PE-HUC,,
10059601,10232032,hypsographic,"Cerro Chilía","Cerro Chilia",official,-9.103445,-76.918418,PE-ANC,,
10059442,10231873,hydrographic,"Laguna Mesacocha","Laguna Mesacocha",official,-9.269699,-76.833137,PE-ANC,,
10057445,10229775,hypsographic,"Cerro Mercé","Cerro Merce",official,-11.97322,-75.03872,PE-JUN,,
10059645,10232076,hypsographic,"Cerro Magra Punta","Cerro Magra Punta",official,-9.066823,-76.831058,PE-HUC,,
10057267,10229597,hydrographic,"Quebrada Mamallaynioc","Quebrada Mamallaynioc",official,-11.58989,-75.08909,PE-JUN,,
