wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
138878,170519,hypsographic,Aié,Aie,official,-17.01,-149.536111,PF-000,,
14648917,19068170,hypsographic,Ro,Ro,official,-14.490962,-146.372817,PF-05,,
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1311813,-1898556,hydrographic,Tupapau,Tupapau,official,-17.8,-149.3,PF-000,,
-1311735,-1898409,hydrographic,"Toa Tehe","Toa Tehe",official,-17.5,-149.5,PF-000,,
-1310894,-1896916,hydrographic,"Rivière Paea","Riviere Paea",official,-17.583333,-149.816667,PF-000,,
-1311459,19072274,hydrographic,"Baie Teapoa","Baie Teapoa",official,-16.782631,-151.019416,PF-04,,
-1311796,-1898528,hydrographic,"Passe Tuheiava","Passe Tuheiava",official,-15.008619,-148.278832,PF-05,,
-1311829,-1898602,hypsographic,Uauka,Uauka,variant,-8.9,-139.55,PF-000,,
-1311262,-1895278,hypsographic,"East Sentinel Island","East Sentinel Island",variant,-8.95,-140.083333,PF-000,,
-1311809,-1896532,hypsographic,"Atoll Motu-Iti","Atoll Motu-Iti",variant,-16.283333,-151.833333,PF-000,,
-1311751,-1898435,hydrographic,"Tomotai Pass","Tomotai Pass",variant,-17.833333,-149.116667,PF-000,,
-1311743,-1898425,hydrographic,"Tohautu Bay","Tohautu Bay",variant,-17.760223,-149.326598,PF-02,,
-1311919,-1898737,hydrographic,"Rivière Vaimuu","Riviere Vaimuu",official,-17.733333,-149.2,PF-000,,
-1311158,-1897346,hydrographic,"Passe Punaeroa","Passe Punaeroa",official,-16.897026,-151.487846,PF-04,,
-1311298,19082631,hydrographic,"Passe de Rautea","Passe de Rautea",variant,-17.736603,-149.209732,PF-02,,
-1311071,-1897198,hypsographic,Piopio,Piopio,official,-17.466667,-149.816667,PF-000,,
-1311980,-1898821,settlement,Vairo,Vairo,variant,-17.854597,-149.135791,PF-02,,
-1310599,-1896352,hydrographic,"Rivière Mataravi","Riviere Mataravi",official,-17.75,-149.183333,PF-000,,
-1311902,-1898718,hydrographic,"Passe de Vaihi","Passe de Vaihi",official,-17.683333,-149.3,PF-000,,
-1311910,-1898728,hydrographic,"Rivière Vailoloa","Riviere Vailoloa",official,-17.766667,-149.466667,PF-000,,
-1311156,-1897341,administrative_region,"District de Punaauia","District de Punaauia",official,-17.616667,-149.583333,PF-000,,
-1311346,-1897771,hypsographic,"Plateau de Tamanu","Plateau de Tamanu",official,-17.616667,-149.533333,PF-000,,
-1311443,421189,hypsographic,"Pointe Teakarereanga","Pointe Teakarereanga",official,-23.159741,-135.061349,PF-05,,
-1310810,-1896776,hydrographic,"Omoa Bay","Omoa Bay",variant,-10.5,-138.666667,PF-000,,
-1311051,-1897159,hypsographic,"Mont Perahu","Mont Perahu",official,-27.583333,-144.366667,PF-000,,
-1310644,-1896439,hydrographic,Meremere,Meremere,official,-16.016667,-142.45,PF-000,,
-1311794,-1895078,hypsographic,"Austral Islands","Austral Islands",variant,-23,-150,PF-000,,
-1311399,-1897324,hypsographic,Pukapuka,Pukapuka,variant,-17.333333,-138.383333,PF-000,,
-1311289,-1898968,hypsographic,Yermólov,Yermolov,variant,-16.35,-143.133333,PF-000,,
-1311994,-1898840,hydrographic,"Rivière Vaitaitai","Riviere Vaitaitai",official,-17.733333,-149.2,PF-000,,
-1311306,-1897697,hypsographic,"Île Tahiti","Ile Tahiti",variant,-17.616667,-149.45,PF-000,,
-1311626,19082625,hydrographic,"Teruea Rivière","Teruea Riviere",official,-17.736322,-149.234272,PF-02,,
-1312000,19059000,hydrographic,Vaitehoro,Vaitehoro,variant,-17.738545,-149.255266,PF-02,,
-1310710,-1896589,hydrographic,Nahoe,Nahoe,official,-9.75,-138.916667,PF-000,,
-1312046,-1898920,hypsographic,"Motu Veiamanu","Motu Veiamanu",variant,-23.885738,-147.62012,PF-01,,
-1310594,-1896346,administrative_region,"District de Mataoae","District de Mataoae",official,-17.816667,-149.266667,PF-000,,
-1310699,-1898588,hypsographic,"Motu Ua","Motu Ua",variant,-10.533333,-138.616667,PF-000,,
-1311293,-1897669,hypsographic,"Île Tahaa","Ile Tahaa",official,-16.626642,-151.492207,PF-04,,
-1310617,19086184,hypsographic,"Mont Matotea","Mont Matotea",variant,-17.834883,-149.206578,PF-02,,
-1310612,-1896374,hydrographic,"Rivière Matehoro","Riviere Matehoro",official,-17.75,-149.5,PF-000,,
-1311796,-1898529,hydrographic,"Tuheiava Pass","Tuheiava Pass",variant,-15.008619,-148.278832,PF-05,,
-1311061,19083029,hydrographic,"Baie Piarere","Baie Piarere",official,-17.861492,-149.139227,PF-02,,
-1311186,19064211,hydrographic,"Baie Raai","Baie Raai",official,-16.609865,-151.442111,PF-04,,
-1311412,-1897886,hypsographic,"Roche Tauna","Roche Tauna",official,-9.333333,-140.05,PF-000,,
-1311278,-1897647,settlement,Taapuna,Taapuna,official,-17.6,-149.6,PF-000,,
-1311852,-1898642,hydrographic,"Rivière Uufau","Riviere Uufau",official,-17.533333,-149.866667,PF-000,,
-1311140,-1897313,hydrographic,"Vai Puha","Vai Puha",official,-9.933333,-139.033333,PF-000,,
-1311442,-1897942,hydrographic,"Bassin Teahupoo","Bassin Teahupoo",variant,-17.839311,-149.280024,PF-02,,
-1311878,-1898677,hypsographic,"Vallée Vaianahe","Vallee Vaianahe",official,-17.55,-149.85,PF-000,,
-1311304,-1897692,hydrographic,Tahire,Tahire,official,-17.783333,-149.3,PF-000,,
-1311359,-1897793,hydrographic,"Taotoi Pass","Taotoi Pass",variant,-17.483333,-149.9,PF-000,,
-1311399,-1896618,hypsographic,Narcisse,Narcisse,variant,-17.333333,-138.383333,PF-000,,
-1311435,-1897930,hypsographic,"Pointe Teaehoa","Pointe Teaehoa",official,-9.85,-139.016667,PF-000,,
-1311727,-1898397,hypsographic,"Île Toapuhi","Ile Toapuhi",official,-16.673436,-151.48833,PF-04,,
-1310605,-1896363,hydrographic,"Mataura Anchorage","Mataura Anchorage",variant,-23.35,-149.483333,PF-000,,
-1310753,-1898745,hydrographic,"Vai Noro River","Vai Noro River",variant,-17.85,-149.25,PF-000,,
-1310724,-1896613,hydrographic,"Naotue Bay","Naotue Bay",variant,-9.783333,-138.833333,PF-000,,
-1310773,-1896308,hydrographic,Maruhia,Maruhia,variant,-17.75,-149.533333,PF-000,,
-1311197,-1898915,hypsographic,Vavitoo,Vavitoo,variant,-23.866357,-147.66015,PF-01,,
-1311446,421603,hypsographic,Tekava,Tekava,official,-23.164628,-134.8524,PF-05,,
-1310961,-1897015,hypsographic,"Vallée Papeaea","Vallee Papeaea",official,-17.483333,-149.833333,PF-000,,
-1311789,-1898511,hydrographic,"Rivière Tuauru","Riviere Tuauru",variant,-17.5,-149.483333,PF-000,,
-1310916,-1896940,hypsographic,"Morne Pahiaraia","Morne Pahiaraia",variant,-16.706121,-151.025834,PF-04,,
-1311256,-1897550,hypsographic,"Îlot Rumarei","Ilot Rumarei",official,-23.113772,-134.990737,PF-05,,
-1311596,-1898190,hydrographic,"Rivière Teputa","Riviere Teputa",official,-17.766667,-149.133333,PF-000,,
-1311236,-1897525,hydrographic,"Vai Rorahau","Vai Rorahau",official,-17.85,-149.216667,PF-000,,
-1311263,-1897601,hypsographic,"Sentinelle de l’Ouest","Sentinelle de l'Ouest",official,-8.95,-140.1,PF-000,,
-1311862,-1898657,hydrographic,"Baie Vahioti","Baie Vahioti",official,-16.5797,-151.518989,PF-04,,
-1310713,-1896594,hydrographic,"Nairi Pehe","Nairi Pehe",official,-17.772367,-149.432095,PF-02,,
-1310641,-1896427,hypsographic,Mekiro,Mekiro,variant,-23.174153,-134.920935,PF-05,,
-1311432,-1897921,settlement,Taverea,Taverea,official,-17.716667,-149.583333,PF-000,,
-1312007,-1898857,hydrographic,Vaitepua,Vaitepua,official,-9.85,-139.05,PF-000,,
-1310684,-1896534,hypsographic,"Ile Motu Iti","Ile Motu Iti",variant,-8.816667,-140.033333,PF-000,,
-1311408,-1897876,hypsographic,"Monts Tauaouoho","Monts Tauaouoho",official,-10.483333,-138.616667,PF-000,,
-1311072,-1897200,settlement,Pipine,Pipine,official,-17.516667,-149.516667,PF-000,,
-1311666,-1898303,hypsographic,"Pointe Tiamahana","Pointe Tiamahana",official,-16.653336,-151.528583,PF-04,,
-1310859,-1896858,hypsographic,Otepipi,Otepipi,official,-17.433333,-145.5,PF-000,,
-1311317,-1897718,hypsographic,"Taïaro Island","Taiaro Island",variant,-15.744345,-144.633242,PF-05,,
-1311736,-1898411,hydrographic,"Îlot Toatoatu","Ilot Toatoatu",variant,-16.704972,-151.479807,PF-04,,
-1311299,-1897683,hydrographic,Taharuu,Taharuu,variant,-17.75,-149.466667,PF-000,,
-1311493,-1898018,hypsographic,Tehakoro,Tehakoro,official,-18.133333,-140.883333,PF-000,,
-1310661,421141,hypsographic,"Mont Mukotaka","Mont Mukotaka",official,-23.104867,-134.964502,PF-05,,
-1311588,-1898176,hypsographic,"Vallée Tepu","Vallee Tepu",official,-17.483333,-149.816667,PF-000,,
-1310731,-1896629,hypsographic,"Atoll Nengo-Nengo","Atoll Nengo-Nengo",official,-18.783333,-141.8,PF-000,,
-1310737,-1896646,hypsographic,"Niau Island","Niau Island",variant,-16.155716,-146.355614,PF-05,,
-1311933,-1898756,hydrographic,"Baie Vaiore","Baie Vaiore",variant,-16.602698,-151.542339,PF-04,,
-1311092,-1897231,hydrographic,Poihake,Poihake,official,-9.711307,-139.042209,PF-03,,
-1311586,-1898167,hypsographic,"Atoll Tepoko","Atoll Tepoko",variant,-16.820672,-144.281035,PF-05,,
-1310772,-1896715,settlement,Oae,Oae,official,-16.45,-152.25,PF-000,,
-1311047,-1897154,hydrographic,"Chenal Pehoa","Chenal Pehoa",variant,-17.817631,-149.297497,PF-02,,
-1311346,-1898544,hypsographic,"Plateau du Tumanu","Plateau du Tumanu",variant,-17.616667,-149.533333,PF-000,,
