wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2200862,-3046117,settlement,Tai,Tai,official,-8.007061,142.905449,PG-WPD,,
-2195734,-3039091,settlement,Mis,Mis,official,-5.216667,145.766667,PG-MPM,,
-2195034,-3038088,settlement,Mari,Mari,official,-4.4,142.966667,PG-ESW,,
-2192332,-3034473,settlement,Kisi,Kisi,official,-6.1,145.666667,PG-EHG,,
-2191184,-3032957,settlement,Kali,Kali,official,-2.116667,146.55,PG-MRL,,
-2190737,-3032338,settlement,Iwa,Iwa,official,-6.9,145.683333,PG-EHG,,
-2190338,-3031804,settlement,Ili,Ili,official,-4.866667,152.3,PG-EBR,,
-2189031,-3030063,settlement,Goi,Goi,official,-6.133333,145.133333,PG-CPK,,
-2185456,-3025062,settlement,Bam,Bam,official,-10.088244,148.878192,PG-CPM,,
-2183964,-3023084,settlement,Adu,Adu,official,-6.216667,142.2,PG-WPD,,
-2204350,-3050819,settlement,Zarit,Zarit,official,-6.883333,141.516667,PG-WPD,,
-2204197,-3050610,settlement,Yimin,Yimin,official,-3.941803,142.263715,PG-SAN,,
-2203571,-3049765,settlement,Wideru,Wideru,official,-6.733392,147.445423,PG-MPL,,
-2204174,20023816,hydrographic,Yes,Yes,official,-3.333333,141.283333,PG-SAN,,
-2202215,-3047968,settlement,Umasia,Umasia,official,-7.016667,145.016667,PG-GPK,,
-2203691,-3049925,settlement,Woiya,Woiya,official,-6.083333,143.383333,PG-SHM,,
-2203342,-3049443,settlement,Wasu,Wasu,official,-6.083333,142.15,PG-WPD,,
-2203966,-3050306,settlement,Yame,Yame,official,-6.083333,145.233333,PG-EHG,,
-2202849,-3048784,settlement,Wagum,Wagum,official,-5.26138,145.620516,PG-MPM,,
-2204198,-3050611,settlement,Yiminar,Yiminar,official,-5.883333,144.75,PG-WHM,,
-2203063,-3049077,settlement,Wamobi,Wamobi,official,-6.316667,142.366667,PG-WPD,,
-2202216,-3047969,settlement,Umba,Umba,official,-7.016667,145.966667,PG-MPL,,
-2203064,-3049078,settlement,Wamoin,Wamoin,official,-3.734086,143.412355,PG-ESW,,
-2203341,-3049442,settlement,Wasu,Wasu,official,-5.970559,147.203175,PG-MPL,,
-2202848,-3048783,settlement,Waguk,Waguk,official,-5.269784,145.740824,PG-MPM,,
-2200612,-3045791,settlement,Sugan,Sugan,official,-6.088853,146.785932,PG-MPL,,
-2192908,-3035220,settlement,Kowat,Kowat,official,-4.821912,145.362582,PG-MPM,,
-2199914,-3044831,settlement,Sewai,Sewai,official,-10.05,151.266667,PG-MBA,,
-2199893,-3044803,settlement,Sernion,Sernion,official,-4.05,141.316667,PG-SAN,,
-2192725,-3034972,settlement,Konoka,Konoka,official,-6.461532,144.015508,PG-SHM,,
-2187932,-3028556,settlement,Eho,Eho,official,-9.673358,147.720267,PG-CPM,,
-2191938,-3033975,settlement,Kema,Kema,official,-6.2,145.4,PG-EHG,,
-2185383,-3024959,settlement,Bakobi,Bakobi,official,-6.121386,144.857039,PG-CPK,,
-2191017,-3032740,settlement,Kago,Kago,official,-8.549294,147.468122,PG-CPM,,
-2184806,-3024195,settlement,Aroa,Aroa,official,-9.05,146.8,PG-CPM,,
-2192119,-3034209,hypsographic,Kiapara,Kiapara,official,-10.616667,150.65,PG-MBA,,
-2201993,-3047668,settlement,Turubi,Turubi,official,-6.033333,142.766667,PG-SHM,,
-2200591,-3045756,settlement,Suarmin,Suarmin,official,-5.15,142.05,PG-SAN,,
-2202121,-3047837,settlement,Ujilo,Ujilo,official,-9.146448,148.043723,PG-NPP,,
-2190115,-3031509,settlement,Iame,Iame,official,-6.383333,143.85,PG-SHM,,
-2198621,-3043026,settlement,Puju,Puju,official,-2.138145,146.71341,PG-MRL,,
-2191018,-3032741,settlement,Kagop,Kagop,official,-5.93043,143.981605,PG-WHM,,
-2184132,-3023291,settlement,Ainsi,Ainsi,official,-7.843668,147.657405,PG-MPL,,
-2185046,-3024500,settlement,Aupwel,Aupwel,official,-5.535384,147.900423,PG-MPL,,
-2192044,-3034103,settlement,Kerilku,Kerilku,official,-6.3,144.8,PG-CPK,,
-2189485,-3030672,settlement,Hahei,Hahei,official,-2.083333,147.633333,PG-MRL,,
-2191020,-3032743,settlement,Kagu,Kagu,official,-6.320294,145.565572,PG-EHG,,
-2196505,-3040139,settlement,Namie,Namie,official,-7.316667,146.7,PG-MPL,,
-2191371,-3033206,settlement,Kandai,Kandai,official,-3.683333,143.766667,PG-ESW,,
-2201862,-3047488,settlement,Tufi,Tufi,official,-9.079312,149.322053,PG-NPP,,
-2191937,-3033974,settlement,Kema,Kema,official,-6.081007,143.506653,PG-SHM,,
-2186240,-3026154,settlement,Boiku,Boiku,official,-6.086171,145.113874,PG-CPK,,
-2200642,-3045834,settlement,Suki,Suki,official,-8.042474,141.722829,PG-WPD,,
-2190220,-3031638,settlement,Ibuka,Ibuka,official,-6.533333,143.216667,PG-SHM,,
-2201792,-3047386,settlement,Towine,Towine,official,-10.666667,151.033333,PG-MBA,,
-2185476,-3025094,settlement,Bamun,Bamun,official,-6.216667,144.916667,PG-CPK,,
-2200891,-3046155,settlement,Takamap,Takamap,official,-6.016667,149.3,PG-WBK,,
-2200912,-3046184,settlement,Tal,Tal,official,-5.383333,151.633333,PG-EBR,,
-2185488,-3025112,settlement,Banang,Banang,official,-4.316667,144.833333,PG-MPM,,
-2187263,-3027636,settlement,Dara,Dara,official,-9.783333,149.766667,PG-MBA,,
-2192909,-3035221,settlement,Kowiro,Kowiro,official,-3.825034,143.636187,PG-ESW,,
-2189508,-3030700,settlement,Hakhak,Hakhak,official,-6.2,149.55,PG-WBK,,
-2192120,-3034211,settlement,Kiara,Kiara,official,-9.085247,148.286895,PG-NPP,,
-2190747,-3032353,settlement,Iwani,Iwani,official,-3.906918,141.750187,PG-SAN,,
-2185343,-3024907,spot,Baio,Baio,official,-10.416667,150.416667,PG-MBA,,
-2196374,-3039959,settlement,Nago,Nago,official,-6.765555,141.336946,PG-WPD,,
-2186579,-3026658,settlement,Budanga,Budanga,official,-8.733333,142.8,PG-WPD,,
-2195877,-3039287,spot,Molmol,Molmol,official,-5.3,147.616667,PG-MPL,,
-2188012,-3028667,settlement,Elobe,Elobe,official,-5.593586,150.90376,PG-WBK,,
-2190154,-3031556,settlement,Iaria,Iaria,official,-6.233333,143.666667,PG-SHM,,
-2188264,-3029011,settlement,Faiya,Faiya,official,-6.643264,145.204962,PG-EHG,,
-2190240,-3031666,settlement,Idula,Idula,official,-8.566882,147.08674,PG-CPM,,
-2188373,-3029180,settlement,Fo,Fo,official,-6.166667,145.633333,PG-EHG,,
-2188033,-3028690,settlement,Embogo,Embogo,official,-8.844005,148.484506,PG-NPP,,
-2190088,-3031477,settlement,Iagobei,Iagobei,official,-7.266667,146.35,PG-MPL,,
-2202214,-3047967,settlement,Umasa,Umasa,official,-6.667722,145.477074,PG-EHG,,
-2188656,-3029566,settlement,Garli,Garli,official,-7.616667,147.45,PG-MPL,,
-2195876,-3039286,settlement,Molmo,Molmo,official,-3.359535,141.859167,PG-SAN,,
-2195447,-3038692,settlement,Mendo,Mendo,official,-6.333333,143.85,PG-SHM,,
-2185105,-3024575,settlement,Avena,Avena,variant,-8.066667,146.9,PG-CPM,,
-2188593,-3029482,settlement,Ganbagu,Ganbagu,official,-5.933333,144.95,PG-CPK,,
-2187761,-3028308,hydrographic,"Ok Dui","Ok Dui",official,-5.4,141.166667,PG-WPD,,
-2199892,-3044802,settlement,Serki,Serki,official,-8.389936,141.811252,PG-WPD,,
-2186204,-3026104,settlement,Boganon,Boganon,official,-5.8,145.816667,PG-MPM,,
-2192148,-3034244,settlement,Kido,Kido,official,-9.272451,146.903641,PG-CPM,,
-2190854,-3032507,settlement,Jirikin,Jirikin,official,-4.266667,144.65,PG-MPM,,
-2186312,-3026257,settlement,Bonagai,Bonagai,official,-9.1,152.7,PG-MBA,,
-2186779,-3026940,settlement,Buri,Buri,official,-8.583333,148.383333,PG-NPP,,
-2185436,-3025030,settlement,Balimo,Balimo,official,-8.03899,142.960454,PG-WPD,,
-2188104,-3028786,settlement,Ensaru,Ensaru,official,-5.386711,145.45484,PG-MPM,,
-2192576,-3034784,settlement,Komainde,Komainde,official,-5.95,145,PG-CPK,,
-2186578,-3026657,settlement,Budamu,Budamu,official,-5.688819,146.042881,PG-MPM,,
-2184869,-3024272,settlement,Asako,Asako,official,-10.366667,149.783333,PG-MBA,,
-2193388,-3035856,settlement,Kwamu,Kwamu,official,-6.553348,147.148432,PG-MPL,,
-2188397,-3029211,settlement,Fore,Fore,official,-5.633333,145.3,PG-MPM,,
-2190069,-3031451,settlement,Iabagl,Iabagl,official,-5.95,144.05,PG-WHM,,
