wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
11754696,14221255,settlement,"Town and Country North Executive Village","Town and Country North Executive Village",official,14.773002,120.942748,PH-BUL,,
11754708,14221267,road,"Binang Second","Binang Second",official,14.795849,120.927926,PH-BUL,,
11755746,14224714,spot,"Blue Mosque","Blue Mosque",short,14.497034,121.053362,PH-TAG,,
11754654,14221387,spot,"BC Chemical and Paper Product","BC Chemical and Paper Product",official,14.768103,120.953624,PH-BUL,,
11754662,14221395,spot,"Nagbalon Barangay Hall","Nagbalon Barangay Hall",official,14.751308,120.951077,PH-BUL,,
11755691,14224658,road,Molave,Molave,official,14.477332,121.056031,PH-TAG,,
11755646,14224633,road,Acacia,Acacia,official,14.462668,121.051048,PH-MUN,,
11772525,14260100,road,Red,Red,official,14.528696,121.145779,PH-RIZ,,
11755716,14224683,road,"Saint Joseph","Saint Joseph",official,14.483482,121.058936,PH-TAG,,
11755697,14224664,spot,"Iglesia ni Cristo - Lokal ng Bagumbayan","Iglesia ni Cristo - Lokal ng Bagumbayan",short,14.479681,121.05894,PH-TAG,,
11754704,14221263,settlement,"Constantino Parks Subdivision","Constantino Parks Subdivision",official,14.758493,120.943301,PH-BUL,,
11754911,14222028,spot,"Maxingal Bridge","Maxingal Bridge",official,18.218193,121.670047,PH-CAG,,
11754739,14221412,settlement,Balaongan,Balaongan,official,14.761548,120.977951,PH-BUL,,
11755735,14224702,spot,"Bicutan Parochial School","Bicutan Parochial School",official,14.49155,121.061937,PH-TAG,,
11754749,14221422,spot,"Pantoc Chapel","Pantoc Chapel",official,14.766835,120.985083,PH-BUL,,
11754666,14221399,road,Poseidon,Poseidon,official,14.754052,120.961559,PH-BUL,,
11755718,14224685,spot,"International Starch Company","International Starch Company",official,14.481669,121.055082,PH-TAG,,
11754652,14221185,spot,"Golden Star Sawmill","Golden Star Sawmill",official,14.770223,120.955208,PH-BUL,,
11754655,14221388,spot,"Mariano National Trade School","Mariano National Trade School",official,14.759699,120.959485,PH-BUL,,
11754660,14221393,road,Eagle,Eagle,official,14.751253,120.966082,PH-BUL,,
11754698,14221257,settlement,"Fausta Village","Fausta Village",official,14.765163,120.946522,PH-BUL,,
11755307,14223857,settlement,Tagumay,Tagumay,official,18.030237,121.701132,PH-CAG,,
11754914,14222031,spot,"Lal-lo High School","Lal-lo High School",official,18.201871,121.66268,PH-CAG,,
11755700,14224667,spot,"Spring Sun Factory","Spring Sun Factory",official,14.481047,121.053643,PH-TAG,,
11755606,14224613,road,"Matampay Street","Matampay Street",official,14.49798,121.057947,PH-TAG,,
11755772,14224740,road,"Road Two","Road Two",official,14.489551,121.057889,PH-TAG,,
11755305,14223855,settlement,Ganzano,Ganzano,official,18.013328,121.662564,PH-CAG,,
11755677,14224644,spot,"Sagrada Familia Parish Church","Sagrada Familia Parish Church",official,14.469985,121.056104,PH-TAG,,
11754915,14222032,settlement,Cagoran,Cagoran,official,18.193228,121.684536,PH-CAG,,
11754756,14221429,road,"Santo Niño","Santo Nino",official,14.765489,120.989277,PH-BUL,,
11755461,14224502,road,Lanao,Lanao,official,14.499541,121.05188,PH-TAG,,
11754694,14221253,spot,"Lolomboy High School","Lolomboy High School",official,14.779484,120.933616,PH-BUL,,
11755637,14224624,road,Sampaguita,Sampaguita,official,14.461382,121.052406,PH-MUN,,
11755296,14223825,settlement,"Centro Sur","Centro Sur",official,18.059375,121.641547,PH-CAG,,
11754649,14221182,spot,"Patubig Chapel","Patubig Chapel",official,14.774647,120.95755,PH-BUL,,
11755701,14224668,road,"Daang Calabao","Daang Calabao",official,14.480283,121.054543,PH-TAG,,
