wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14179482,18277258,settlement,Uthiwala,Uthiwala,official,32.941371,71.282338,PK-PB,,
14178407,18274167,settlement,"Chah Dakwala","Chah Dakwala",official,28.570147,70.501791,PK-PB,,
14179496,18277271,spot,"Khudozai Railway Station","Khudozai Railway Station",official,32.896024,71.447902,PK-PB,,
14179599,18277523,spot,"Jetha Bhutta","Jetha Bhutta",variant,28.693505,70.757051,PK-PB,,
14178551,18274311,settlement,"Basti Maulvi Abdullah","Basti Maulvi Abdullah",official,28.541781,70.67843,PK-PB,,
14178168,18273442,hydrographic,"Dera Gabolan","Dera Gabolan",official,28.653491,70.45371,PK-PB,,
14179499,18277274,settlement,"Shew Khel","Shew Khel",official,32.889034,71.381731,PK-PB,,
14178369,18274089,settlement,"Basti Ghulan Jilani","Basti Ghulan Jilani",official,28.717128,70.535332,PK-PB,,
14179920,18277912,settlement,"Haji Sarwarwala","Haji Sarwarwala",official,32.168994,71.581798,PK-PB,,
14180050,18278146,settlement,"Dhok Sangtol","Dhok Sangtol",official,32.973198,71.990703,PK-PB,,
14179526,18277302,settlement,"Lashkari Khel","Lashkari Khel",official,32.85628,71.39427,PK-PB,,
14180111,18278344,settlement,"Dera Hajiwala","Dera Hajiwala",official,31.721655,71.480883,PK-PB,,
14179470,18277246,settlement,"Wanda Faqir Wala","Wanda Faqir Wala",official,32.971754,71.440306,PK-PB,,
14178304,18273868,settlement,Kanjanwali,Kanjanwali,official,32.002325,71.110893,PK-PB,,
14178145,18273419,hydrographic,"Mahran Minor","Mahran Minor",official,28.513388,70.333929,PK-PB,,
14180017,18278113,settlement,"Dera Sultan","Dera Sultan",official,32.763703,71.843391,PK-PB,,
14178102,18273356,settlement,"Kot Qutab","Kot Qutab",official,28.519758,70.319015,PK-PB,,
14179971,18278067,settlement,"Dhok Tor Khel","Dhok Tor Khel",official,32.99593,71.915491,PK-PB,,
14178130,18273404,settlement,"Basti Gharibabad","Basti Gharibabad",official,28.729027,70.404636,PK-PB,,
14178415,18274175,settlement,"Basti Abdullah","Basti Abdullah",official,28.513069,70.575023,PK-PB,,
14179880,18277816,spot,"Ziarat Faqirni","Ziarat Faqirni",official,32.990062,71.780578,PK-PB,,
14179651,18277483,settlement,"Chak One Hundred Ninety-one","Chak One Hundred Ninety-one",official,28.687831,70.92551,PK-PB,,
14178129,18273403,settlement,"Mohanwil Khan","Mohanwil Khan",official,28.742048,70.413673,PK-PB,,
14179675,18277507,spot,"Saluwali Farm","Saluwali Farm",official,28.548041,70.908324,PK-PB,,
14179593,18277425,settlement,"Chak Two Hundred Sixty-four","Chak Two Hundred Sixty-four",official,28.704107,70.800201,PK-PB,,
14178583,18274343,settlement,"Chak Muhkiwala","Chak Muhkiwala",official,28.734213,70.564939,PK-PB,,
14178435,18274195,settlement,"Basti Ghunian","Basti Ghunian",official,28.574406,70.579017,PK-PB,,
14179994,18278090,settlement,"Dhok Matuki","Dhok Matuki",official,32.933192,71.935874,PK-PB,,
14178433,18274193,settlement,"Basti Thekrian","Basti Thekrian",official,28.558028,70.64502,PK-PB,,
14179530,18277306,settlement,"Sohrab Khel","Sohrab Khel",official,32.848879,71.493716,PK-PB,,
14178603,18274363,road,"Pakistan Railway Khanpur Chacharan Branch","Pakistan Railway Khanpur Chacharan Branch",official,28.633136,70.637586,PK-PB,,
14179645,18277477,settlement,"Chak One Hundred Eighty-three","Chak One Hundred Eighty-three",official,28.70853,70.930425,PK-PB,,
14178607,18274367,settlement,Riaz,Riaz,official,28.662513,70.659395,PK-PB,,
