wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1187330,-1749401,administrative_region,"Department of Saint Pierre and Miquelon","Department of Saint Pierre and Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187330,17731449,administrative_region,"Collectivité Territoriale de Saint-Pierre-et-Miquelon","Collectivite Territoriale de Saint-Pierre-et-Miquelon",official,46.833333,-56.333333,PM-000,,
-1187330,14475636,administrative_region,"Saint Pierre and Miquelon","Saint Pierre and Miquelon",colloquial,46.833333,-56.333333,PM-000,,
-1187318,-1749396,hypsographic,"Petite Miquelon","Petite Miquelon",variant,46.847228,-56.319389,PM-000,,
-1187328,-1749399,settlement,Saint-Pierre,Saint-Pierre,official,46.781054,-56.176391,PM-000,,
-1187329,-1749400,hypsographic,"Île Saint-Pierre","Ile Saint-Pierre",official,46.788192,-56.190347,PM-000,,
-1187330,-1749405,administrative_region,"Département de Saint-Pierre et Miquelon","Departement de Saint-Pierre et Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187321,-1749391,settlement,Miquelon,Miquelon,official,47.0975,-56.381389,PM-000,,
-1187330,-1749403,administrative_region,"Collectivité Territoriale de Saint-Pierre et Miquelon","Collectivite Territoriale de Saint-Pierre et Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187316,-1749385,hypsographic,"Cap Coupé","Cap Coupe",variant,46.78296,-56.350138,PM-000,,
-1187330,17731450,administrative_region,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,official,46.833333,-56.333333,PM-000,,
-1187322,281673,hypsographic,"Cap du Nid à l’Aigle","Cap du Nid a l'Aigle",official,47.139722,-56.348611,PM-000,,
-1187319,-1749389,hypsographic,"Isthme de Langlade","Isthme de Langlade",official,46.92346,-56.326421,PM-000,,
-1187317,-1749386,hypsographic,"Diamant Pointe","Diamant Pointe",variant,46.751296,-56.221522,PM-000,,
-1187318,-1749388,hypsographic,Langlade,Langlade,official,46.847228,-56.319389,PM-000,,
-1187316,279048,hypsographic,"Pointe du Ouest","Pointe du Ouest",official,46.78296,-56.350138,PM-000,,
-1187324,-1749394,administrative_region,"Commune de Miquelon-Langlade","Commune de Miquelon-Langlade",official,46.934633,-56.326421,PM-000,,
-1187323,19802817,hypsographic,Miquelon,Miquelon,official,46.966389,-56.327778,PM-000,,
-1187320,-1749390,hypsographic,"Île aux Marins","Ile aux Marins",official,46.787049,-56.148473,PM-000,,
-1187323,-1749393,hypsographic,"Île Miquelon","Ile Miquelon",official,46.966389,-56.327778,PM-000,,
-1187330,-1749404,administrative_region,"Territory of Saint Pierre and Miquelon","Territory of Saint Pierre and Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187330,-1749387,administrative_region,"Territoire des Îles Saint-Pierre et Miquelon","Territoire des Iles Saint-Pierre et Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187329,19802816,hypsographic,Saint-Pierre,Saint-Pierre,official,46.788192,-56.190347,PM-000,,
-1187325,-1749395,hypsographic,"Cap Percé","Cap Perce",official,46.885435,-56.249323,PM-000,,
-1187327,-1749398,administrative_region,"Commune de Saint-Pierre","Commune de Saint-Pierre",official,46.783333,-56.2,PM-000,,
-1187330,-1749402,administrative_region,"Territorial Collectivity of Saint Pierre and Miquelon","Territorial Collectivity of Saint Pierre and Miquelon",colloquial,46.833333,-56.333333,PM-000,,
-1187317,278002,hypsographic,"Pointe du Diamant","Pointe du Diamant",official,46.751296,-56.221522,PM-000,,
-1187326,-1749397,hypsographic,"Platte Pointe","Platte Pointe",variant,46.821902,-56.403487,PM-000,,
-1187330,14475637,administrative_region,"Saint-Pierre et Miquelon","Saint-Pierre et Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187330,-1749407,administrative_region,"Territoire de Saint Pierre et Miquelon","Territoire de Saint Pierre et Miquelon",variant,46.833333,-56.333333,PM-000,,
-1187322,-1749392,hypsographic,"Cap Miquelon","Cap Miquelon",variant,47.139722,-56.348611,PM-000,,
-1187315,-1749384,hypsographic,"Pointe Blanche","Pointe Blanche",official,46.754599,-56.175444,PM-000,,
-1187326,279851,hypsographic,"Pointe Plate","Pointe Plate",official,46.821902,-56.403487,PM-000,,
222819,279850,hypsographic,"La Coupée","La Coupee",official,46.824534,-56.400463,PM-000,,
224099,281633,hypsographic,"La Plaine","La Plaine",official,47.095833,-56.3875,PM-000,,
224179,281730,hypsographic,"Le Mulou","Le Mulou",official,46.78,-56.160278,PM-000,,
221677,278081,hypsographic,"La Pointe","La Pointe",official,46.774975,-56.157587,PM-000,,
221622,278007,hydrographic,"Basse de la Brebis","Basse de la Brebis",official,46.750917,-56.238402,PM-000,,
221637,278026,hypsographic,"Cap à la Viérge","Cap a la Vierge",official,46.767971,-56.2322,PM-000,,
221541,277875,hypsographic,"Tête du Petit Havre","Tete du Petit Havre",official,46.756565,-56.176219,PM-000,,
221646,278038,hydrographic,"Anse à Marc Cadet","Anse a Marc Cadet",official,46.760872,-56.210923,PM-000,,
221686,278092,hydrographic,"Passe du Sud-Est","Passe du Sud-Est",official,46.777516,-56.15411,PM-000,,
221680,278084,hypsographic,"Rocher à Bertrand","Rocher a Bertrand",official,46.777116,-56.155618,PM-000,,
221623,278008,hypsographic,"Roche la Perle","Roche la Perle",official,46.75243,-56.233395,PM-000,,
221661,278054,hydrographic,"Les Grappinots","Les Grappinots",official,46.758838,-56.151093,PM-000,,
221632,278019,hydrographic,"Anse à Brossard","Anse a Brossard",official,46.766902,-56.236939,PM-000,,
221671,278071,hydrographic,"Caillou au Chat","Caillou au Chat",official,46.767556,-56.138163,PM-000,,
221639,278029,hydrographic,"Étang des Laveuses","Etang des Laveuses",official,46.764293,-56.231819,PM-000,,
221664,278058,hypsographic,"Tête de Galantry","Tete de Galantry",official,46.764761,-56.157809,PM-000,,
221681,278085,hydrographic,"Anse à Bertrand","Anse a Bertrand",official,46.775541,-56.16091,PM-000,,
221641,278031,hydrographic,"Étang de Savoyard","Etang de Savoyard",official,46.763038,-56.2219,PM-000,,
221548,277882,hydrographic,"Étang Bonnier","Etang Bonnier",official,46.759692,-56.187745,PM-000,,
221547,277881,hypsographic,"La Langue","La Langue",official,46.759986,-56.171346,PM-000,,
221662,278055,hypsographic,"Île aux Chasseurs","Ile aux Chasseurs",official,46.761856,-56.154388,PM-000,,
221616,278000,hydrographic,"Basse des Grappins","Basse des Grappins",official,46.751578,-56.149689,PM-000,,
221617,278001,hydrographic,"Basse de la Marne","Basse de la Marne",official,46.7325,-56.233333,PM-000,,
221648,278040,hypsographic,"Cap aux Basques","Cap aux Basques",official,46.762829,-56.205612,PM-000,,
221676,278077,hydrographic,"Anse à l’Allumette","Anse a l'Allumette",official,46.771505,-56.157366,PM-000,,
221543,277877,hypsographic,Bonnier,Bonnier,official,46.755548,-56.188018,PM-000,,
221667,278063,hydrographic,"Basse de l’Indre","Basse de l'Indre",official,46.766284,-56.148099,PM-000,,
221650,278042,hydrographic,"Anse à Ravenel","Anse a Ravenel",official,46.764367,-56.19522,PM-000,,
221676,278078,hydrographic,"Anse à Philibert","Anse a Philibert",variant,46.771505,-56.157366,PM-000,,
221615,281711,hydrographic,"Basse de la Tournioure","Basse de la Tournioure",variant,46.748558,-56.186414,PM-000,,
221659,278052,hypsographic,"Les Flacous","Les Flacous",official,46.760626,-56.161968,PM-000,,
221634,278022,hypsographic,"Cap à Brossard","Cap a Brossard",official,46.768174,-56.234483,PM-000,,
221625,278010,hydrographic,"Basse du Bélier","Basse du Belier",official,46.752427,-56.246219,PM-000,,
221628,278014,hydrographic,"Basse de Savoyard","Basse de Savoyard",official,46.762072,-56.24553,PM-000,,
221630,278016,hypsographic,"Pointe de Savoyard","Pointe de Savoyard",official,46.764245,-56.241767,PM-000,,
221652,278044,hydrographic,"Étangs Jumelles","Etangs Jumelles",official,46.763358,-56.184489,PM-000,,
221653,278045,hydrographic,"Étang des Herbiers","Etang des Herbiers",official,46.763235,-56.178976,PM-000,,
221651,278043,hydrographic,"Étang Jourdan","Etang Jourdan",official,46.765081,-56.185277,PM-000,,
221544,277878,hydrographic,"Petit Havre","Petit Havre",official,46.761093,-56.171297,PM-000,,
