wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1307131,-1890858,hypsographic,"Saint Pauls Point","Saint Pauls Point",official,-25.066667,-130.083333,PN-000,,
-1307138,-1890867,hypsographic,"Youngs Rock","Youngs Rock",official,-25.05,-130.1,PN-000,,
-1307111,-1890827,hypsographic,"Ducie Atoll","Ducie Atoll",official,-24.666667,-124.783333,PN-000,,
-1307111,-1890826,hypsographic,Ducie,Ducie,official,-24.666667,-124.783333,PN-000,,
-1307125,-1890846,hypsographic,"Oeno Atoll","Oeno Atoll",official,-23.933333,-130.733333,PN-000,,
-1307110,-1890825,hypsographic,"Deep Valley","Deep Valley",official,-25.066667,-130.1,PN-000,,
-1307129,14066123,administrative_region,"Pitcairn Islands","Pitcairn Islands",official,-25.066667,-130.1,PN-000,,
-1307112,-1890830,hypsographic,"Garnets Ridge","Garnets Ridge",official,-25.066667,-130.1,PN-000,,
-1307116,-1890835,hypsographic,"The Hollow","The Hollow",official,-25.066667,-130.1,PN-000,,
-1307120,-1890839,hydrographic,Manelee,Manelee,official,-25.083333,-130.083333,PN-000,,
-1307119,-1890838,hypsographic,"Lookout Point","Lookout Point",official,-25.066667,-130.1,PN-000,,
-1307108,-1890823,hypsographic,"Point Christian","Point Christian",official,-25.066667,-130.116667,PN-000,,
-1307134,-1890862,hypsographic,"South Point","South Point",official,-24.4,-128.3,PN-000,,
-1307115,-1890833,hypsographic,Henderson,Henderson,variant,-24.366667,-128.316667,PN-000,,
-1307124,-1890843,hypsographic,"North East Point","North East Point",official,-24.316667,-128.3,PN-000,,
-1307128,-1890844,hypsographic,"Occas Island","Occas Island",variant,-25.066667,-130.083333,PN-000,,
-1307125,-1890847,hypsographic,"Oeno Island","Oeno Island",variant,-23.933333,-130.733333,PN-000,,
-1307132,-1890859,hypsographic,"Saint Pauls Valley","Saint Pauls Valley",official,-25.066667,-130.083333,PN-000,,
-1307115,-1890834,hypsographic,"Henderson Island","Henderson Island",official,-24.366667,-128.316667,PN-000,,
-1307133,-1890861,hypsographic,"Sandy Islets","Sandy Islets",variant,-23.916667,-130.733333,PN-000,,
-1307118,-1890837,hypsographic,"Long Ridge","Long Ridge",official,-25.066667,-130.1,PN-000,,
-1307137,-1890866,hypsographic,"Water Valley","Water Valley",official,-25.066667,-130.1,PN-000,,
-1307111,-1890828,hypsographic,"Ducie Island","Ducie Island",variant,-24.666667,-124.783333,PN-000,,
-1307131,-1890857,hypsographic,"Saint Paul’s","Saint Paul's",variant,-25.066667,-130.083333,PN-000,,
-1307117,-1890836,hypsographic,Hollyander,Hollyander,official,-25.066667,-130.083333,PN-000,,
-1307125,-1890845,hypsographic,Oeno,Oeno,official,-23.933333,-130.733333,PN-000,,
-1307107,-1890822,hydrographic,"Bounty Bay","Bounty Bay",official,-25.066667,-130.083333,PN-000,,
-1307136,-1890865,park,"Ted Side","Ted Side",official,-25.066667,-130.1,PN-000,,
-1307126,-1890848,hypsographic,"Outer Valley","Outer Valley",official,-25.066667,-130.1,PN-000,,
-1307135,-1890863,hypsographic,Tahoutoumah,Tahoutoumah,official,-24.083333,-130.083333,PN-000,,
-1307115,-1890829,hypsographic,"Elizabeth Island","Elizabeth Island",variant,-24.366667,-128.316667,PN-000,,
-1307129,-1890853,administrative_region,"Pitcairn, Henderson, Ducie and Oeno Islands","Pitcairn, Henderson, Ducie and Oeno Islands",official,-25.066667,-130.1,PN-000,,
-1307121,-1890840,hypsographic,"McCoys Valley","McCoys Valley",official,-25.066667,-130.083333,PN-000,,
-1307113,-1890831,hypsographic,"Gense Valley","Gense Valley",official,-25.066667,-130.1,PN-000,,
-1307109,-1890824,spot,"Christians Cave","Christians Cave",official,-25.066667,-130.1,PN-000,,
-1307128,-1890850,hypsographic,Pitcairn,Pitcairn,variant,-25.066667,-130.083333,PN-000,,
-1307133,-1890860,hypsographic,"Sandy Islands","Sandy Islands",official,-23.916667,-130.733333,PN-000,,
-1307123,-1890842,hypsographic,"North East Point","North East Point",official,-23.916667,-130.733333,PN-000,,
-1307127,-1890849,hypsographic,"Parlver Valley Ridge","Parlver Valley Ridge",official,-25.066667,-130.1,PN-000,,
-1307130,-1890855,hypsographic,"The Rope","The Rope",official,-25.066667,-130.083333,PN-000,,
-1307106,-1890821,hypsographic,"Bens Place","Bens Place",official,-25.066667,-130.083333,PN-000,,
-1307131,-1890856,hypsographic,"Saint Paul Point","Saint Paul Point",variant,-25.066667,-130.083333,PN-000,,
-1307114,-1890832,hydrographic,Gudgeen,Gudgeen,official,-25.066667,-130.1,PN-000,,
-1307135,-1890864,hypsographic,Tahoutumah,Tahoutumah,variant,-24.083333,-130.083333,PN-000,,
-1307128,-1890852,hypsographic,"Pitcairn Island","Pitcairn Island",official,-25.066667,-130.083333,PN-000,,
-1307128,-1890854,hypsographic,"Pitcairn’s Island","Pitcairn's Island",variant,-25.066667,-130.083333,PN-000,,
-1307105,-1890820,settlement,Adamstown,Adamstown,official,-25.066667,-130.083333,PN-000,,
-1307104,-1890819,hypsographic,"Adams Rock","Adams Rock",official,-25.066667,-130.066667,PN-000,,
-1307122,-1890841,hypsographic,"Middle Hill","Middle Hill",official,-25.066667,-130.083333,PN-000,,
11743579,14198597,hypsographic,"Awahou Point","Awahou Point",short,-24.338613,-128.331439,PN-000,,
