wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-797180,12972914,settlement,النصيرات,النصيرات,unknown,31.448611,34.3925,XG-000,,
-797162,-1153452,hypsographic,"Tall Jinān","Tall Jinan",official,31.361111,34.270556,XG-000,,
-797196,10913850,settlement,"شوكة الصوفي","شوكة الصوفي",unknown,31.259971,34.282605,XG-000,,
-797138,-1153366,park,"‘Arab es Sufiyin","`Arab es Sufiyin",variant,31.234722,34.27,XG-000,,
-797176,-1153490,settlement,"Newe Deqalim","Newe Deqalim",variant,31.350822,34.274543,XG-000,,
-797147,-1153399,settlement,"Der el Bela","Der el Bela",variant,31.417827,34.350331,XG-000,,
-797149,19450826,settlement,דוגית,דוגית,unknown,31.573858,34.488994,XG-000,,
-797178,19451387,settlement,"נצר חזני","נצר חזני",unknown,31.380123,34.321183,XG-000,,
-797202,-1153557,spot,"Sheikh al Mughazi","Sheikh al Mughazi",variant,31.415556,34.376944,XG-000,,
-797210,-1153567,hypsographic,"Tall ash Sheikh Radwan","Tall ash Sheikh Radwan",variant,31.533333,34.433333,XG-000,,
-797216,-1153346,hypsographic,"Tel Ajur","Tel Ajur",variant,31.466944,34.406389,XG-000,,
-797154,-1153420,settlement,"Gan Or","Gan Or",short,31.337122,34.259432,XG-000,,
-797123,-1153338,settlement,Abasān,Abasan,variant,31.319131,34.340052,XG-000,,
-797136,-1153362,settlement,"An Nazlah","An Nazlah",official,31.533333,34.483333,XG-000,,
-797209,-1153566,spot,"Sheikh Muhammad al-Yamani","Sheikh Muhammad al-Yamani",variant,31.416667,34.333333,XG-000,,
-797185,-1153509,hypsographic,"Tall al Qaţīfah","Tall al Qatifah",official,31.396389,34.304722,XG-000,,
-797124,-1153340,park,"Abū ‘Awdah","Abu `Awdah",official,31.227222,34.271667,XG-000,,
-797148,19893451,spot,"Deir El-Balah",DeirEl-Balah,official,31.423928,34.339027,XG-000,,
-797186,-1153510,settlement,"Qazān an Najjār","Qazan an Najjar",variant,31.323773,34.286629,XG-000,,
-797155,-1153371,settlement,‘Azzā,`Azza,variant,31.506932,34.455968,XG-000,,
-797166,-1153460,spot,"Khan Younis camp","Khan Younis camp",variant,31.349291,34.293358,XG-000,,
