wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2180111,-3015058,settlement,Zebra,Zebra,official,41.9,-8.433333,PT-16,,
-2178851,-3013697,settlement,Vales,Vales,official,40.0772,-8.793005,PT-06,,
-2171759,-3006022,settlement,Peão,Peao,official,39.946143,-8.404519,PT-10,,
-2164065,-2997755,hypsographic,Cruzes,Cruzes,official,37.3,-8.4,PT-08,,
-2160755,-2994288,settlement,Caia,Caia,official,38.964372,-7.11055,PT-12,,
-2160587,-2994114,settlement,Cabo,Cabo,official,42.071554,-8.441365,PT-16,,
-2158892,-2992332,hypsographic,Atalaia,Atalaia,official,38.968078,-9.211844,PT-11,,
-2166024,-2999857,settlement,Francos,Francos,official,41.167603,-8.637669,PT-13,,
-2179232,-3014097,settlement,Ventosa,Ventosa,official,41.665008,-8.171986,PT-03,,
-2174429,-3008837,settlement,Ribeira,Ribeira,official,41.11958,-7.94166,PT-18,,
-2162015,-2995609,settlement,Casal,Casal,official,40.743181,-7.44184,PT-09,,
-2158896,-2992336,settlement,Atalaia,Atalaia,official,39.116813,-9.09369,PT-11,,
-2179026,-3013887,settlement,Várzea,Varzea,official,41.567701,-8.172639,PT-03,,
-2159689,-2993186,settlement,Belver,Belver,official,37.7,-7.883333,PT-02,,
-2176695,-3011430,settlement,Serzedo,Serzedo,official,41.405022,-8.229264,PT-03,,
-2177554,-3012353,settlement,Tojo,Tojo,official,40.212725,-7.860491,PT-06,,
-2172985,-3007302,settlement,Portela,Portela,official,37.336931,-7.992137,PT-08,,
-2179025,-3013886,settlement,Várzea,Varzea,official,41.516075,-8.578226,PT-03,,
-2172993,-3007310,settlement,Portela,Portela,official,39.483333,-8.366667,PT-14,,
-2162014,-2995608,settlement,Casal,Casal,official,40.709645,-7.876034,PT-18,,
-2179671,-3014571,settlement,Vilar,Vilar,official,40.941174,-7.922546,PT-18,,
-2168121,-3002145,settlement,Lordelo,Lordelo,official,41.942529,-8.368709,PT-16,,
-2167631,-3001608,settlement,Lamas,Lamas,official,40.985972,-8.56923,PT-01,,
-2160144,-2993656,settlement,Bouças,Boucas,official,41.075192,-8.111849,PT-18,,
-2168515,-3002583,settlement,Malhada,Malhada,official,40.629238,-8.190076,PT-18,,
-2170223,-3004367,settlement,Moreira,Moreira,official,40.736408,-7.498555,PT-09,,
-2165106,-2998879,settlement,Favaios,Favaios,official,41.26876,-7.504653,PT-17,,
-2179762,-3014665,settlement,Vilares,Vilares,official,41.31855,-7.996308,PT-13,,
-2157810,-2991175,settlement,Algeriz,Algeriz,official,40.868794,-8.383175,PT-01,,
-2160679,-2994207,settlement,Cachão,Cachao,official,41.388351,-7.167598,PT-04,,
-2173018,-3007335,settlement,Portela,Portela,official,41.109702,-8.301463,PT-13,,
-2179024,-3013885,settlement,Várzea,Varzea,official,41.351672,-8.187832,PT-13,,
-2173247,-3007593,settlement,Póvoa,Povoa,official,39.393184,-8.609206,PT-14,,
-2174031,-3008421,settlement,Raquel,Raquel,official,41.133333,-7.783333,PT-18,,
-2163300,-2996965,settlement,Colares,Colares,official,38.799215,-9.44691,PT-11,,
-2179664,-3014564,settlement,Vilar,Vilar,official,40.026911,-8.201153,PT-10,,
-2176694,-3011429,settlement,Serzedo,Serzedo,official,41.051047,-8.616054,PT-13,,
-2167329,-3001255,settlement,Juncal,Juncal,official,38.716667,-7.833333,PT-07,,
-2166558,-3000424,settlement,Gestoso,Gestoso,official,40.852694,-8.244065,PT-18,,
-2168118,-3002142,settlement,Lordelo,Lordelo,official,41.493217,-8.690383,PT-03,,
-2172682,-3006985,settlement,Pocinho,Pocinho,official,37.192364,-7.541883,PT-08,,
-2171071,-3005302,settlement,Outeiro,Outeiro,official,39.366329,-9.024061,PT-10,,
-2161897,-2995491,settlement,Casais,Casais,official,39.423513,-9.102134,PT-10,,
-2162856,-2996502,settlement,César,Cesar,official,40.91702,-8.437548,PT-01,,
-2167419,-3001349,settlement,Ladeira,Ladeira,official,39.670826,-8.066356,PT-05,,
-2164973,-2998736,settlement,Faifa,Faifa,official,40.95094,-8.004228,PT-18,,
-2161038,-2994590,settlement,Campos,Campos,official,41.655128,-7.764419,PT-17,,
-2173256,-3007602,settlement,Póvoa,Povoa,official,40.196558,-8.100333,PT-06,,
-2163118,-2996775,settlement,Cidões,Cidoes,official,41.788317,-7.022432,PT-04,,
-2173248,-3007594,settlement,Póvoa,Povoa,official,39.601041,-8.970101,PT-10,,
-2167332,-3001258,settlement,Juncal,Juncal,official,39.914281,-7.567382,PT-05,,
-2158898,-2992338,settlement,Atalaia,Atalaia,official,39.367529,-8.72882,PT-14,,
-2179680,-3014580,settlement,Vilar,Vilar,official,41.584289,-8.20433,PT-03,,
-2168980,-3003067,settlement,Matos,Matos,official,37.422985,-7.614718,PT-08,,
-2168152,-3002178,settlement,Louredo,Louredo,official,41.095507,-8.015594,PT-18,,
-2158244,-2991636,settlement,Amial,Amial,official,40.617491,-8.500033,PT-01,,
-2167422,-3001352,settlement,Ladeira,Ladeira,official,40.017658,-8.097084,PT-06,,
-2172984,-3007301,settlement,Portela,Portela,official,37.299463,-7.744062,PT-08,,
-2167627,-3001604,settlement,Lamas,Lamas,official,40.082562,-8.377066,PT-06,,
-2158391,-2991793,settlement,Anta,Anta,official,39.057667,-8.256338,PT-12,,
-2171380,-3005621,settlement,Palmaz,Palmaz,official,40.793309,-8.451688,PT-01,,
-2164185,-2997879,settlement,Curvel,Curvel,official,39.088575,-9.153543,PT-11,,
-2179027,-3013888,settlement,Várzea,Varzea,official,41.901836,-8.217461,PT-16,,
-2174197,-3008596,settlement,Regadio,Regadio,official,40.981457,-8.512117,PT-01,,
-2165918,-2999744,settlement,Foz,Foz,official,39.257927,-8.222266,PT-14,,
-2179230,-3014095,settlement,Ventosa,Ventosa,official,40.714024,-8.099914,PT-18,,
-2159401,-2992880,settlement,Barraco,Barraco,official,39.866667,-8.75,PT-10,,
-2171649,-3005910,settlement,Parteira,Parteira,official,41.233333,-8.7,PT-13,,
-2176939,-3011696,settlement,Sobreda,Sobreda,official,41.033278,-8.458745,PT-01,,
-2172992,-3007309,settlement,Portela,Portela,official,39.45,-8.316667,PT-14,,
-2171035,-3005264,settlement,Ourém,Ourem,official,39.641675,-8.591899,PT-14,,
-2173001,-3007318,settlement,Portela,Portela,official,39.851062,-8.316342,PT-10,,
-2158859,-2992297,settlement,Assento,Assento,official,41.255957,-7.770694,PT-17,,
-2173249,-3007595,settlement,Póvoa,Povoa,official,39.65,-8.4,PT-14,,
-2158392,-2991794,settlement,Anta,Anta,official,40.166667,-8.75,PT-06,,
-2173006,-3007323,settlement,Portela,Portela,official,40.258888,-7.942046,PT-06,,
-2160681,-2994209,settlement,Cachave,Cachave,official,41.992176,-8.4742,PT-16,,
-2173259,-3007605,settlement,Póvoa,Povoa,official,40.314034,-8.671732,PT-06,,
-2172994,-3007311,settlement,Portela,Portela,official,39.483333,-8.9,PT-10,,
-2166758,-3000634,settlement,Goujoim,Goujoim,official,41.089584,-7.63305,PT-18,,
-2170870,-3005090,settlement,Olaia,Olaia,official,39.521121,-8.500026,PT-14,,
-2173250,-3007596,settlement,Póvoa,Povoa,official,39.790826,-8.034453,PT-05,,
-2166860,-3000747,settlement,Granja,Granja,official,38.619962,-8.540585,PT-07,,
-2163119,-2996776,settlement,Cidoi,Cidoi,official,41.317787,-8.615658,PT-13,,
-2160422,-2993946,settlement,Bustelo,Bustelo,official,40.97783,-8.118446,PT-01,,
-2164975,-2998738,settlement,Failde,Failde,official,41.724335,-6.752606,PT-04,,
-2160419,-2993943,settlement,Bustelo,Bustelo,official,40.512474,-8.386,PT-01,,
-2177612,-3012414,settlement,Torre,Torre,official,37.136557,-8.660722,PT-08,,
-2164399,-2998118,settlement,Eirado,Eirado,official,40.774735,-7.488909,PT-09,,
-2179682,-3014582,settlement,Vilar,Vilar,official,41.669413,-7.733743,PT-17,,
-2164555,-2998291,settlement,Ermida,Ermida,official,39.806129,-7.95321,PT-05,,
-2179004,-3013865,settlement,Várzea,Varzea,official,39.205436,-8.049046,PT-12,,
-2173254,-3007600,settlement,Póvoa,Povoa,official,40.128733,-8.337369,PT-06,,
-2175226,-3009685,settlement,Sanfins,Sanfins,official,41.016518,-7.723161,PT-18,,
-2174430,-3008838,settlement,Ribeira,Ribeira,official,41.188145,-7.793199,PT-17,,
-2173003,-3007320,settlement,Portela,Portela,official,40.077693,-8.599784,PT-06,,
