wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3739309,-4969860,hypsographic,Biduul,Biduul,official,7.273333,134.303889,PW-000,,
-3742663,-4977637,park,Micronesia,Micronesia,colloquial,9,155,S1-000,,
-3741084,-4970082,hypsographic,"Saint Andrew Islands","Saint Andrew Islands",variant,5.333333,132.216667,PW-000,,
-3741084,-5080121,hypsographic,Songosor-Inseln,Songosor-Inseln,variant,5.333333,132.216667,PW-000,,
-3741084,-5115649,hypsographic,"Southwest Islands","Southwest Islands",variant,5.333333,132.216667,PW-000,,
-3741084,-4970136,hypsographic,"Sonsoru To","Sonsoru To",variant,5.333333,132.216667,PW-000,,
-3740583,-4969533,hypsographic,Ngaruang,Ngaruang,variant,8.166667,134.648889,PW-000,,
-3741084,-4970080,hypsographic,"Saint Andrew","Saint Andrew",variant,5.333333,132.216667,PW-000,,
-3740583,-4969536,hypsographic,"Ngaruangl Island","Ngaruangl Island",variant,8.166667,134.648889,PW-000,,
-3740583,-4969742,hypsographic,Ngeruangel,Ngeruangel,variant,8.166667,134.648889,PW-000,,
-3741084,-4970122,hypsographic,Sonserol,Sonserol,variant,5.333333,132.216667,PW-000,,
-3740583,-4972105,hypsographic,Ngaruangl,Ngaruangl,official,8.166667,134.648889,PW-000,,
-3741084,-5074040,hypsographic,"Sonsorol Islands","Sonsorol Islands",official,5.333333,132.216667,PW-000,,
-3741084,-5080122,hypsographic,Sonsoru-shotō,Sonsoru-shoto,variant,5.333333,132.216667,PW-000,,
-3740583,-4969769,hypsographic,Ngerwangel,Ngerwangel,variant,8.166667,134.648889,PW-000,,
-3739197,-5103205,settlement,Alakasoho,Alakasoho,variant,7.469634,134.610543,PW-226,,
-3739230,-4969678,hydrographic,"Taoch ra Klebeang","Taoch ra Klebeang",official,7.638611,134.633333,PW-000,,
-3739211,-4969610,hydrographic,"Toagel Ngel","Toagel Ngel",variant,7.297778,134.47,PW-000,,
-3739423,-4970115,hypsographic,Songosor,Songosor,variant,5.324444,132.221111,PW-000,,
-3739211,-4969613,hydrographic,"Ngell Durchfahrt","Ngell Durchfahrt",variant,7.297778,134.47,PW-000,,
-3739282,-5114091,hypsographic,"Goritoru Mountain","Goritoru Mountain",variant,7.596944,134.617222,PW-000,,
-3739374,-5106767,hypsographic,"Channel Point","Channel Point",official,7.298056,134.449722,PW-000,,
-3739245,-4968655,settlement,Arumizu,Arumizu,variant,7.3375,134.498611,PW-000,,
-3739402,-5114628,hypsographic,"Umurbrogel Mountain","Umurbrogel Mountain",variant,7.01,134.234722,PW-000,,
-3739221,-4969011,hydrographic,"Good Islands","Good Islands",variant,7.984444,134.542222,PW-000,,
-3739433,-4970106,hypsographic,Simono-To,Simono-To,variant,7.327222,134.497222,PW-000,,
-3739198,-4969538,settlement,Ngasachang,Ngasachang,variant,7.383526,134.579817,PW-000,,
-3739423,-4970130,hypsographic,Sonsoral,Sonsoral,variant,5.324444,132.221111,PW-000,,
-3739494,-4969192,hypsographic,Ked-ra-tund,Ked-ra-tund,variant,7.367222,134.515,PW-000,,
-3739423,-4970129,hypsographic,Sonsonrrol,Sonsonrrol,variant,5.324444,132.221111,PW-000,,
-3739506,-5113769,hypsographic,Ngkesill,Ngkesill,official,7.218056,134.393056,PW-000,,
-3739292,-5113857,hydrographic,"Telebadel ra Ngerael","Telebadel ra Ngerael",official,7.943333,134.495556,PW-000,,
-3739402,-5114626,hypsographic,"Rois Aias","Rois Aias",variant,7.01,134.234722,PW-000,,
-3739433,-5103806,hypsographic,"Ngarategetei Island","Ngarategetei Island",variant,7.327222,134.497222,PW-000,,
-3739198,-4968599,settlement,Aramarakarakuru,Aramarakarakuru,variant,7.383526,134.579817,PW-000,,
-3739202,-4969584,hydrographic,"Beluu Lukes","Beluu Lukes",official,7.288889,134.507778,PW-000,,
-3739471,-4970146,hydrographic,Stations-Hafen,Stations-Hafen,variant,7.333333,134.466667,PW-000,,
-3739221,-4969070,hydrographic,Hokusei-shō,Hokusei-sho,variant,7.984444,134.542222,PW-000,,
-3739373,-4970025,hydrographic,"Rael Orak","Rael Orak",official,8.038611,134.690833,PW-000,,
-3739538,-5103207,hypsographic,Yasi,Yasi,official,7.333333,134.5,PW-000,,
-3739264,-5113967,hypsographic,"Ngkesiil Island","Ngkesiil Island",variant,7.338333,134.555,PW-000,,
-3739245,-4969728,settlement,Ngermid,Ngermid,official,7.3375,134.498611,PW-000,,
-3739423,-4970125,hypsographic,Sonsol,Sonsol,variant,5.324444,132.221111,PW-000,,
-3739229,-4969671,hydrographic,"Demul Iou","Demul Iou",official,7.168333,134.393333,PW-000,,
-3739197,-4969571,settlement,Ngchesar,Ngchesar,official,7.469634,134.610543,PW-226,,
-3739321,-5103775,hydrographic,Sebeseb,Sebeseb,official,7.122222,134.329167,PW-000,,
-3739402,-5114627,hypsographic,"Umurbogol Mountain","Umurbogol Mountain",variant,7.01,134.234722,PW-000,,
-3739402,-4970210,hypsographic,"Umurbrogol Mountains","Umurbrogol Mountains",variant,7.01,134.234722,PW-000,,
-3739221,-5078792,hydrographic,"Good Island","Good Island",variant,7.984444,134.542222,PW-000,,
-3739541,-5077053,hydrographic,"Achei Uchul","Achei Uchul",variant,7.234863,134.443175,PW-000,,
-3739211,-5110419,hydrographic,"Ngell Channel","Ngell Channel",variant,7.297778,134.47,PW-000,,
-3739300,-5114799,hypsographic,Ogyurottoru-To,Ogyurottoru-To,variant,7.270833,134.363889,PW-000,,
-3739285,-5114073,hypsographic,"Elechol ra Nguruhei","Elechol ra Nguruhei",official,6.913056,134.124444,PW-000,,
-3739245,-5099592,settlement,Ngarmid,Ngarmid,variant,7.3375,134.498611,PW-000,,
-3739245,-4968627,settlement,Armid,Armid,variant,7.3375,134.498611,PW-000,,
-3739264,-4969812,hypsographic,"Ng Kesill Island","Ng Kesill Island",variant,7.338333,134.555,PW-000,,
-3739300,-4969850,hypsographic,"Ogiurottoru Island","Ogiurottoru Island",variant,7.270833,134.363889,PW-000,,
-3739423,-4970093,hypsographic,Sanserol,Sanserol,variant,5.324444,132.221111,PW-000,,
-3739244,-4969719,settlement,Kloulklubed,Kloulklubed,official,7.039444,134.2525,PW-000,,
-3739423,-4970112,hypsographic,Sonesor,Sonesor,variant,5.324444,132.221111,PW-000,,
-3739345,-4969928,hypsographic,"Otohima Island","Otohima Island",variant,7.316667,134.483333,PW-000,,
-3739264,-5113762,hypsographic,Ngkesiil,Ngkesiil,variant,7.338333,134.555,PW-000,,
-3739423,-5116656,hypsographic,Dongosaro,Dongosaro,variant,5.324444,132.221111,PW-000,,
-3739264,-4968993,hypsographic,Geseru,Geseru,variant,7.338333,134.555,PW-000,,
-3739198,-4968969,settlement,Gasakan,Gasakan,variant,7.383526,134.579817,PW-000,,
-3739200,-4969581,hydrographic,Ikerdeu,Ikerdeu,official,7.480857,134.634705,PW-000,,
-3739526,-5113887,hypsographic,Usa,Usa,official,7.316667,134.483333,PW-000,,
-3739197,-4968882,settlement,Galaus,Galaus,variant,7.469634,134.610543,PW-226,,
-3739421,-4970092,hypsographic,Sanryo-To,Sanryo-To,variant,7.328611,134.4875,PW-000,,
-3739423,-4970137,hypsographic,Sontserol,Sontserol,variant,5.324444,132.221111,PW-000,,
-3739508,-4970213,hydrographic,Btil,Btil,official,8.065278,134.681944,PW-000,,
-3739232,-4969684,spot,Arimasuku,Arimasuku,official,7.127222,134.235556,PW-000,,
-3739423,-4970141,hypsographic,Sonzerol,Sonzerol,variant,5.324444,132.221111,PW-000,,
-3739264,-4969784,hypsographic,"Ngethil Island","Ngethil Island",variant,7.338333,134.555,PW-000,,
-3739423,-4970133,hypsographic,"Sonsorol Island","Sonsorol Island",variant,5.324444,132.221111,PW-000,,
-3739506,-4970211,hypsographic,"Unkaseri Island","Unkaseri Island",variant,7.218056,134.393056,PW-000,,
-3739221,-4969010,hydrographic,Good,Good,variant,7.984444,134.542222,PW-000,,
-3739439,-4970113,settlement,"Btululachang ra Rrai","Btululachang ra Rrai",official,7.441021,134.594216,PW-226,,
-3739433,-5103802,hypsographic,Simono,Simono,official,7.327222,134.497222,PW-000,,
-3739285,-4969830,hypsographic,"Ngurugei Beach","Ngurugei Beach",variant,6.913056,134.124444,PW-000,,
-3739292,-5113859,hydrographic,"Telepedele Ngerael","Telepedele Ngerael",variant,7.943333,134.495556,PW-000,,
-3739423,-4970121,hypsographic,Sonserol,Sonserol,variant,5.324444,132.221111,PW-000,,
-3739408,-4970074,hypsographic,"Ryugu Island","Ryugu Island",variant,7.316667,134.483333,PW-000,,
-3739211,-5110420,hydrographic,"Toachel ra Ngel","Toachel ra Ngel",official,7.297778,134.47,PW-000,,
-3739321,-4969879,hydrographic,"Olobetapel Lagoon","Olobetapel Lagoon",variant,7.122222,134.329167,PW-000,,
-3739423,-4970116,hypsographic,Songosor-Inseln,Songosor-Inseln,variant,5.324444,132.221111,PW-000,,
-3739423,-4970079,hypsographic,"Saint Andrew","Saint Andrew",variant,5.324444,132.221111,PW-000,,
-3739211,-4969609,hydrographic,"Toachel Ngel","Toachel Ngel",variant,7.297778,134.47,PW-000,,
-3739311,-5114751,hypsographic,Kmekii,Kmekii,official,7.636111,134.642778,PW-000,,
-3739423,-4968725,hypsographic,Banna,Banna,variant,5.324444,132.221111,PW-000,,
-3739198,-5113753,settlement,Nggasagang,Nggasagang,variant,7.383526,134.579817,PW-000,,
-3739198,-5113754,settlement,Gaskan,Gaskan,variant,7.383526,134.579817,PW-000,,
-3739372,-4970023,hydrographic,Ulach,Ulach,official,8.066111,134.684722,PW-000,,
-3739423,-4970135,hypsographic,"Sonsoru To","Sonsoru To",variant,5.324444,132.221111,PW-000,,
-3739221,-4969844,hydrographic,"Nordwest Riff","Nordwest Riff",variant,7.984444,134.542222,PW-000,,
-3739494,-5103789,hypsographic,"Mount Tsunsu","Mount Tsunsu",official,7.367222,134.515,PW-000,,
-3739423,-5074039,hypsographic,Sonsorol,Sonsorol,official,5.324444,132.221111,PW-000,,
-3739496,-5103791,spot,Goikul,Goikul,official,7.374065,134.58801,PW-000,,
-3739282,-4969827,hypsographic,Ngulitel,Ngulitel,official,7.596944,134.617222,PW-000,,
-3739496,-4970187,spot,Tut,Tut,variant,7.374065,134.58801,PW-000,,
-3739433,-5103805,hypsographic,Ngerebetei,Ngerebetei,variant,7.327222,134.497222,PW-000,,
-3739494,-5103790,hypsographic,"Tsunsu Mountain","Tsunsu Mountain",variant,7.367222,134.515,PW-000,,
-3739264,-5113761,hypsographic,"Kesill Island","Kesill Island",variant,7.338333,134.555,PW-000,,
-3739400,-4970064,hypsographic,Bkulomekerall,Bkulomekerall,official,7.172778,134.271667,PW-000,,
-3739292,-4969839,hydrographic,Nishi,Nishi,variant,7.943333,134.495556,PW-000,,
-3739243,-4969717,hydrographic,Urecheruchel,Urecheruchel,official,7.129167,134.366667,PW-000,,
-3739264,-5113760,hypsographic,Ngkesill,Ngkesill,official,7.338333,134.555,PW-000,,
-3739238,-4969714,settlement,Ngargersiul,Ngargersiul,variant,7.341111,134.474444,PW-000,,
-3739282,-5114076,hypsographic,"Mount Guritoru","Mount Guritoru",variant,7.596944,134.617222,PW-000,,
-3739331,-4969909,hydrographic,Desengong,Desengong,official,7.627222,134.618333,PW-000,,
-3739300,-5114798,hypsographic,Ogiurottoru-To,Ogiurottoru-To,variant,7.270833,134.363889,PW-000,,
-3739433,-4970105,hypsographic,"Simono Island","Simono Island",variant,7.327222,134.497222,PW-000,,
-3739197,-5103203,settlement,Ngerutoi,Ngerutoi,variant,7.469634,134.610543,PW-226,,
-3739324,-4969894,hydrographic,Nkebeduul,Nkebeduul,official,7.502132,134.520807,PW-000,,
-3739324,-5115059,hydrographic,Ngkebeduul,Ngkebeduul,variant,7.502132,134.520807,PW-000,,
-3739538,-4970249,hypsographic,"Yasi Island","Yasi Island",variant,7.333333,134.5,PW-000,,
-3739321,-4970100,hydrographic,"Schonian Hafen","Schonian Hafen",variant,7.122222,134.329167,PW-000,,
-3739423,-4970139,hypsographic,Sonzeral,Sonzeral,variant,5.324444,132.221111,PW-000,,
-3739473,-5114847,hypsographic,Tai,Tai,official,7.316667,134.483333,PW-000,,
-3739300,-5114749,hypsographic,Ogyurottoru,Ogyurottoru,official,7.270833,134.363889,PW-000,,
-3739373,-5115383,hydrographic,"Rael Orak","Rael Orak",variant,8.038611,134.690833,PW-000,,
-3739526,-4970235,hypsographic,"Usa Island","Usa Island",variant,7.316667,134.483333,PW-000,,
-3739423,-4970142,hypsographic,Souserol,Souserol,variant,5.324444,132.221111,PW-000,,
-3739374,-4970026,hypsographic,"Kap Planet","Kap Planet",variant,7.298056,134.449722,PW-000,,
-3739423,-4970128,hypsographic,Sonsonrrol,Sonsonrrol,variant,5.324444,132.221111,PW-000,,
-3739494,-4970185,hypsographic,"Mount Tuns","Mount Tuns",variant,7.367222,134.515,PW-000,,
-3739329,-4969905,hydrographic,"Helen Channel","Helen Channel",official,2.883333,131.756944,PW-000,,
-3739433,-4970192,hypsographic,"Ueno Island","Ueno Island",variant,7.327222,134.497222,PW-000,,
-3739541,18148631,hydrographic,"Uchul Achei","Uchul Achei",official,7.234863,134.443175,PW-000,,
-3739421,-4970091,hypsographic,"Sanryo Island","Sanryo Island",variant,7.328611,134.4875,PW-000,,
-3739423,-4970043,hypsographic,Puru,Puru,variant,5.324444,132.221111,PW-000,,
-3739402,-5114625,hypsographic,Gomleblagol,Gomleblagol,variant,7.01,134.234722,PW-000,,
-3739198,-4968598,settlement,Aramarakarakkuru,Aramarakarakkuru,variant,7.383526,134.579817,PW-000,,
-3739221,-5078793,hydrographic,"Lookout Island","Lookout Island",variant,7.984444,134.542222,PW-000,,
-3739211,-4969612,hydrographic,Ngel-Einfahrt,Ngel-Einfahrt,variant,7.297778,134.47,PW-000,,
-3739292,-5113858,hydrographic,Tehelengerael,Tehelengerael,variant,7.943333,134.495556,PW-000,,
-3739402,-5114624,hypsographic,"Umurbrogol Mountain","Umurbrogol Mountain",variant,7.01,134.234722,PW-000,,
-3739282,-4969048,hypsographic,Guriteru,Guriteru,variant,7.596944,134.617222,PW-000,,
-3739423,-4968727,hypsographic,"Banna To","Banna To",variant,5.324444,132.221111,PW-000,,
-3739292,-5113856,hydrographic,"West Entrance","West Entrance",variant,7.943333,134.495556,PW-000,,
-3739221,-4969292,hydrographic,"Look-out Islands","Look-out Islands",variant,7.984444,134.542222,PW-000,,
-3739402,-4970067,hypsographic,"Rois Sias","Rois Sias",variant,7.01,134.234722,PW-000,,
-3739402,-5114623,hypsographic,"Rois Omleblochel","Rois Omleblochel",official,7.01,134.234722,PW-000,,
-3739433,-5103804,hypsographic,"Ngara Tegetei","Ngara Tegetei",variant,7.327222,134.497222,PW-000,,
-3739494,-4970183,hypsographic,Tsunsu-San,Tsunsu-San,variant,7.367222,134.515,PW-000,,
-3739423,-4970095,hypsographic,Sansoral,Sansoral,variant,5.324444,132.221111,PW-000,,
-3739292,-4970243,hydrographic,"West Entrance Nishi","West Entrance Nishi",variant,7.943333,134.495556,PW-000,,
-3739197,-4968596,settlement,Arakasō,Arakaso,variant,7.469634,134.610543,PW-226,,
-3739423,-4970088,hypsographic,"San Andres","San Andres",variant,5.324444,132.221111,PW-000,,
-3739282,-4969049,hypsographic,Guritoru-San,Guritoru-San,variant,7.596944,134.617222,PW-000,,
-3739421,-5103813,hypsographic,Ngedesakr,Ngedesakr,official,7.328611,134.4875,PW-000,,
-3739201,-4969583,hypsographic,Imloch,Imloch,official,7.526944,134.606667,PW-000,,
-3739253,-4969751,hypsographic,Bkulngeblai,Bkulngeblai,official,7.499345,134.636657,PW-212,,
-3739345,-5114848,hypsographic,Otohima,Otohima,official,7.316667,134.483333,PW-000,,
-3739198,-4969799,settlement,Nghesehang,Nghesehang,variant,7.383526,134.579817,PW-000,,
-3739433,-4970193,hypsographic,Ueno-To,Ueno-To,variant,7.327222,134.497222,PW-000,,
-3739245,-4968659,settlement,Arumuzu,Arumuzu,variant,7.3375,134.498611,PW-000,,
-3739300,-5114797,hypsographic,"Ogyurottoru Island","Ogyurottoru Island",variant,7.270833,134.363889,PW-000,,
-3739264,-5072848,hypsographic,Ngethil,Ngethil,variant,7.338333,134.555,PW-000,,
-3739308,-4969859,hypsographic,Klaibudech,Klaibudech,official,7.508088,134.500358,PW-000,,
-3739301,-4969851,settlement,Elauesachel,Elauesachel,official,7.457614,134.505715,PW-002,,
-3739198,-4968560,settlement,Amarakarakkuru,Amarakarakkuru,variant,7.383526,134.579817,PW-000,,
-3739312,-4969865,settlement,Iebukel,Iebukel,official,7.698333,134.637778,PW-000,,
-3739506,-4970212,hypsographic,Unkerseri,Unkerseri,variant,7.218056,134.393056,PW-000,,
-3739221,-4968901,hydrographic,Garairu,Garairu,variant,7.984444,134.542222,PW-000,,
-3739473,-4970152,hypsographic,"Tai Island","Tai Island",variant,7.316667,134.483333,PW-000,,
-3739198,-4969574,settlement,Ngchesechang,Ngchesechang,official,7.383526,134.579817,PW-000,,
-3739221,-4969634,hydrographic,Ngerael,Ngerael,official,7.984444,134.542222,PW-000,,
-3739197,-5103202,settlement,Enkassar,Enkassar,variant,7.469634,134.610543,PW-226,,
-3739321,-4970101,hydrographic,"Schonian Harbor","Schonian Harbor",variant,7.122222,134.329167,PW-000,,
-3739367,-4970015,hydrographic,Kmosongd,Kmosongd,official,8.050556,134.684167,PW-000,,
-3739321,-4970099,hydrographic,"Schoman Harbor","Schoman Harbor",variant,7.122222,134.329167,PW-000,,
-3739408,-5114846,hypsographic,Ryugu,Ryugu,official,7.316667,134.483333,PW-000,,
-3739423,-4970123,hypsographic,Sonseron,Sonseron,variant,5.324444,132.221111,PW-000,,
-3739211,-4968992,hydrographic,Geru-suidō,Geru-suido,variant,7.297778,134.47,PW-000,,
-3739211,-4969614,hydrographic,Ngell-Einfahrt,Ngell-Einfahrt,variant,7.297778,134.47,PW-000,,
-3739282,-4969042,hypsographic,"Mount Gulitel","Mount Gulitel",variant,7.596944,134.617222,PW-000,,
-3739254,-4969752,settlement,Echang,Echang,official,7.343611,134.448889,PW-000,,
-3739423,-4970119,hypsographic,Sonrol,Sonrol,variant,5.324444,132.221111,PW-000,,
-3739324,-5115058,hydrographic,"Gabatouru River","Gabatouru River",variant,7.502132,134.520807,PW-000,,
