wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14362100,18554921,spot,Lima,Lima,official,-26.532145,-58.033992,PY-12,,
14947477,19664042,settlement,Itapé,Itape,official,-27.094258,-56.015327,PY-7,,
-1012051,-1495130,hypsographic,"Paso San Carlos","Paso San Carlos",official,-24.716667,-58.9,S1-000,,
-988654,18542526,hypsographic,"Isla Santa Isabel","Isla Santa Isabel",official,-27.420434,-57.490944,PY-12,,
-988654,-1467746,hypsographic,"Isla Entre Ríos","Isla Entre Rios",variant,-27.420434,-57.490944,PY-12,,
-912834,-1350849,settlement,Say,Say,official,-23.9,-56.066667,PY-2,,
-912833,-1350848,settlement,Sauzal,Sauzal,official,-22.516667,-62.25,PY-19,,
-912039,-1349774,settlement,Palmar,Palmar,official,-23.533333,-61.266667,PY-19,,
-911460,-1348890,settlement,Fondo,Fondo,official,-24.05,-57.6,PY-15,,
-912038,-1349773,settlement,Palmar,Palmar,official,-23.2,-61.466667,PY-19,,
-912001,-1349713,settlement,Ñumí,Numi,variant,-25.950525,-56.329602,PY-4,,
-913002,-1351106,settlement,Tororá,Torora,official,-23.383333,-55.516667,PY-13,,
-912037,-1349772,settlement,Palmar,Palmar,official,-22.45,-61.333333,PY-19,,
-913212,-1351408,spot,Yhu,Yhu,short,-25.066667,-55.916667,PY-5,,
-913214,18664019,settlement,Ihú,Ihu,variant,-25.057835,-55.922672,PY-5,,
-911459,-1348888,park,Florido,Florido,official,-25.166667,-55.066667,PY-5,,
-910125,-1347276,park,Cabacuá,Cabacua,short,-26.45,-56.266667,PY-6,,
-912467,-1350354,settlement,"Puesto Peña","Puesto Pena",official,-22.683333,-62,PY-19,,
-913076,-1351213,settlement,"Villa Elisa","Villa Elisa",official,-25.373361,-57.584108,PY-11,,
-912654,-1350612,spot,"Campo Sanguina","Campo Sanguina",official,-22.9,-56.6,PY-1,,
-912788,-1350787,settlement,"Santa Rosa","Santa Rosa",official,-24.566667,-55.783333,PY-5,,
-912512,-1350409,park,"Punta Curupay Care","Punta Curupay Care",variant,-27.46407,-56.47666,PY-7,1,
-912550,-1350467,settlement,"Retiro Serranía","Retiro Serrania",official,-22.383333,-57.5,PY-1,,
-913030,-1351141,settlement,Tunari,Tunari,official,-21.166667,-60.533333,PY-19,,
