wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3099138,-4374306,hydrographic,"Sawdā’ Nathīl","Sawda' Nathil",variant,24.535665,51.084341,QA-RA,,
-3099140,-4374311,hydrographic,"Sabkhat Sawdā’ Nathīl","Sabkhat Sawda' Nathil",official,24.509176,51.079945,QA-RA,,
-3099138,-4374271,hydrographic,"Sa‘udā Nathīl","Sa`uda Nathil",variant,24.535665,51.084341,QA-RA,,
-3099140,-4369205,hydrographic,"Sabkhat al Khufūs","Sabkhat al Khufus",variant,24.509176,51.079945,QA-RA,,
-3099138,17433369,hydrographic,"سوداء نثيل","سوداء نثيل",unknown,24.535665,51.084341,QA-RA,,
-3099140,-4369722,hydrographic,"Sabkhat Lukhfus","Sabkhat Lukhfus",variant,24.509176,51.079945,QA-RA,,
-3099138,-4375290,hydrographic,"Sowda Nathīl","Sowda Nathil",variant,24.535665,51.084341,QA-RA,,
-3099140,17433368,hydrographic,"سبخة سوداء نثيل","سبخة سوداء نثيل",unknown,24.509176,51.079945,QA-RA,,
-3099138,-4374305,hydrographic,"Sawdā’ Nathīl","Sawda' Nathil",official,24.535665,51.084341,QA-RA,,
-3099138,-4373834,hydrographic,Sagh’ain,Sagh'ain,variant,24.535665,51.084341,QA-RA,,
-3099140,-4374310,hydrographic,"Sabkhat Sawdā’ Nathīl","Sabkhat Sawda' Nathil",variant,24.509176,51.079945,QA-RA,,
-3096527,-4369199,hypsographic,"Burq al Khufūs","Burq al Khufus",official,24.556298,51.164506,QA-WA,,
-3096072,-4368214,hypsographic,"Hazm Jau es Salamah","Hazm Jau es Salamah",variant,24.518259,50.979453,S1-000,,
-3096072,257062,hypsographic,"Jaww as Salāmah","Jaww as Salamah",official,24.518259,50.979453,S1-000,,
-3096072,14772668,hypsographic,"Jawb as Salāmah","Jawb as Salamah",variant,24.518259,50.979453,S1-000,,
-3096072,-4368235,hypsographic,"Jawb as Salāmah","Jawb as Salamah",variant,24.518259,50.979453,S1-000,,
-3096072,17498010,hypsographic,"جو السلامة","جو السلامة",unknown,24.518259,50.979453,S1-000,,
-3092884,15503473,hypsographic,"Shibh al Jazīrah al ‘Arabīyah","Shibh al Jazirah al `Arabiyah",official,25,45,S1-000,,
-3092883,-4363787,park,"Bilād al ‘Arab","Bilad al `Arab",official,25,45,S1-000,,
-3092884,11181255,hypsographic,"جزيرة العرب","جزيرة العرب",unknown,25,45,S1-000,,
-3092883,15503254,park,"بلاد العرب","بلاد العرب",unknown,25,45,S1-000,,
-3092883,-4368270,park,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092883,-4361700,park,Arabia,Arabia,colloquial,25,45,S1-000,,
-3092884,15503472,hypsographic,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092884,15503474,hypsographic,"شبه الجزيرة العربية","شبه الجزيرة العربية",unknown,25,45,S1-000,,
-3092884,-4361702,hypsographic,"Arabian Peninsula","Arabian Peninsula",colloquial,25,45,S1-000,,
-3092257,-4360449,hydrographic,"Al Mashākhīl","Al Mashakhil",variant,24.513846,50.919056,S1-000,,
-3092257,18660114,hydrographic,"سبخة المشاخيل","سبخة المشاخيل",unknown,24.513846,50.919056,S1-000,,
-3092257,-4370471,hydrographic,"Sabkhat al Mashākhīl","Sabkhat al Mashakhil",official,24.513846,50.919056,S1-000,,
-785504,-1131021,hypsographic,"Ras an Nauf","Ras an Nauf",variant,25.655958,51.555146,QA-KH,,
-785465,6486090,settlement,"مَدِينَة خَلِيفَة","مدينة خليفة",unknown,25.320471,51.477874,QA-DA,,
-785691,-1131453,hydrographic,"Umm Taga","Umm Taga",variant,25.308284,51.082473,QA-SH,,
-785572,6485986,hypsographic,سِدْرِيَّة,سدرية,unknown,25.920064,51.353643,QA-MS,,
-785691,-1131457,hydrographic,"Umm Ţāqah","Umm Taqah",official,25.308284,51.082473,QA-SH,,
-785574,-1130432,hydrographic,"Al Sadiya","Al Sadiya",variant,25.480374,51.432151,QA-ZA,,
-785532,-1131093,hydrographic,"Bi’r Rawḑat al Jarrah","Bi'r Rawdat al Jarrah",variant,25.45,50.816667,QA-SH,,
