wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1355262,-1951571,hypsographic,Mascarenhas,Mascarenhas,variant,-20,57,S1-000,,
-1355262,-1951568,hypsographic,"Mascarene Islands","Mascarene Islands",official,-20,57,S1-000,,
-1355262,-1951569,hypsographic,Mascareignes,Mascareignes,official,-20,57,S1-000,,
-1355262,-1951493,hypsographic,"Les Mascareignes","Les Mascareignes",variant,-20,57,S1-000,,
-1331212,-1922048,hypsographic,"Petite Plaine","Petite Plaine",variant,-21.143618,55.594659,RE-000,,
-1331407,-1921542,hydrographic,"Grande Rade","Grande Rade",variant,-20.992149,55.269603,RE-000,,
-1331489,-1922422,hydrographic,"Ravine du Trou","Ravine du Trou",official,-21.23874,55.309652,RE-000,,
-1331302,-1922165,settlement,Renaissance,Renaissance,variant,-20.927239,55.60433,RE-000,,
-1331356,-1921825,hydrographic,"Les Sables Noirs","Les Sables Noirs",variant,-21.3,55.45,RE-000,,
-1331415,-1922328,hypsographic,"Plaine des Salazes","Plaine des Salazes",official,-21.114644,55.515933,RE-000,,
-1331057,-1921853,settlement,"Ligne des Bambous","Ligne des Bambous",variant,-21.299468,55.490492,RE-000,,
-1331046,-1921840,hypsographic,"Le Tapage","Le Tapage",official,-21.237057,55.441,RE-000,,
-1331459,-1922387,hypsographic,"Piton de Tangues","Piton de Tangues",official,-21.186643,55.653812,RE-000,,
-1331482,-1921829,hydrographic,"Les Trois Bassins","Les Trois Bassins",variant,-21.110134,55.254278,RE-000,,
-1331387,-1922287,settlement,Saint-François,Saint-Francois,official,-21.069745,55.73293,RE-000,,
-1331327,-1922205,settlement,"Rivière du Mât","Riviere du Mat",variant,-20.975643,55.647489,RE-000,,
-1331468,-1922397,hypsographic,"Piton Terre-Rouge","Piton Terre-Rouge",variant,-21.315142,55.513546,RE-000,,
-1331352,-1922241,hypsographic,"Pas des Sables","Pas des Sables",official,-21.235221,55.647661,RE-000,,
-1331118,-1921922,hydrographic,"Ravine Marmanière","Ravine Marmaniere",official,-20.916667,55.5,RE-000,,
-1331354,-1922243,hypsographic,"Plaine des Sables","Plaine des Sables",official,-21.233402,55.658365,RE-000,,
-1331466,18890216,hydrographic,"Ravine Terre Rouge","Ravine Terre Rouge",official,-20.992716,55.649922,RE-000,,
-1331198,-1922027,hydrographic,"Petit Bras de Patience","Petit Bras de Patience",official,-21.124738,55.634193,RE-000,,
-1331428,-1922344,settlement,Savannah,Savannah,official,-20.98661,55.298314,RE-000,,
-1331016,-1921802,settlement,"Les Aigrettes","Les Aigrettes",official,-21.142871,55.456084,RE-000,,
-1331029,-1921816,settlement,"Les Jacques","Les Jacques",official,-21.376464,55.630826,RE-000,,
-1331366,-1922439,settlement,"Village Sainte Anne","Village Sainte Anne",variant,-21.08204,55.745226,RE-000,,
-1331323,-1922202,hypsographic,"Pic Rivière des Roches","Pic Riviere des Roches",variant,-21.059952,55.619277,RE-000,,
-1331287,-1921574,hypsographic,Grègues,Gregues,variant,-21.302979,55.610379,RE-000,,
-1331077,-1921876,settlement,"Maison James Biget","Maison James Biget",official,-21.215645,55.521072,RE-000,,
-1331273,-1922130,hypsographic,"Piton Ravine Blanche","Piton Ravine Blanche",variant,-21.229472,55.562074,RE-000,,
-1331255,-1922104,hydrographic,"Bras de Ponteau","Bras de Ponteau",variant,-21.245586,55.488015,RE-000,,
-1331397,-1922303,hydrographic,"Grande Rivière Saint-Jean","Grande Riviere Saint-Jean",official,-20.910808,55.628605,RE-000,,
-1331123,-1921929,hydrographic,"Ravine Marrons","Ravine Marrons",official,-21.004901,55.638727,RE-000,,
-1331304,-1922168,hydrographic,"Ravine Rencontre","Ravine Rencontre",official,-21.307637,55.804387,RE-000,,
-1331464,-1922393,park,"Terre Plate","Terre Plate",official,-21.080225,55.520246,RE-000,,
-1331472,-1922403,hypsographic,"Piton Tortue","Piton Tortue",official,-21.151002,55.551675,RE-000,,
-1331060,18874082,settlement,"Îlet aux Palmistes","Ilet aux Palmistes",official,-21.335232,55.801641,RE-000,,
-1331461,-1922390,spot,"Caverne de Terre","Caverne de Terre",official,-20.983333,55.466667,RE-000,,
-1331076,-1921875,settlement,"Maison Isautier","Maison Isautier",official,-21.314476,55.53208,RE-000,,
-1331172,-1921988,vegetation,"Bois de Nèfles","Bois de Nefles",official,-21.076162,55.241353,RE-000,,
-1331385,-1922284,hydrographic,"Rivière Saint-Étienne","Riviere Saint-Etienne",official,-21.302077,55.40278,RE-000,,
-1331202,-1922031,hydrographic,"Ravine Pavée","Ravine Pavee",official,-21.089846,55.5933,RE-000,,
-1331443,18875144,settlement,"Bois Noirs","Bois Noirs",official,-21.379031,55.639323,RE-000,,
-1331040,18875134,settlement,"Trois Mares","Trois Mares",official,-21.258414,55.500724,RE-000,,
-1331459,-1922405,hypsographic,"Piton des Treize Cantons","Piton des Treize Cantons",variant,-21.186643,55.653812,RE-000,,
-1331120,-1921925,hypsographic,"Piton de Marmite","Piton de Marmite",variant,-21.057109,55.454365,RE-000,,
-1331207,-1922041,hypsographic,"Petit Bernard","Petit Bernard",variant,-21.144826,55.405422,RE-000,,
-1331126,-1921932,hydrographic,"Rivière des Marsouins","Riviere des Marsouins",official,-21.03114,55.71636,RE-000,,
-1331395,18891400,settlement,"Saint-Gilles les Bains","Saint-Gilles les Bains",official,-21.052031,55.225708,RE-000,,
-1331409,-1922316,hypsographic,"Brûlé de Saint-Paul","Brule de Saint-Paul",variant,-21.087476,55.383227,RE-000,,
-1331190,-1922014,hydrographic,"Bras du Parc","Bras du Parc",official,-21.071403,55.491718,RE-000,,
-1331495,-1922431,hydrographic,"Ravine de la Veuve","Ravine de la Veuve",official,-21.232261,55.298041,RE-000,,
-1331246,-1922094,spot,"Caverne Plate","Caverne Plate",official,-20.966667,55.433333,RE-000,,
-1331488,-1922421,hypsographic,"Piton Trois Têtes","Piton Trois Tetes",official,-21.183009,55.790446,RE-000,,
-1331248,-1922096,hydrographic,"Ravine Plate","Ravine Plate",official,-21.096973,55.681294,RE-000,,
-1331470,-1922401,hydrographic,"Ravine Tête Dure","Ravine Tete Dure",official,-20.998331,55.311125,RE-000,,
-1331196,18889345,hydrographic,"Bras Patience","Bras Patience",official,-21.093139,55.612481,RE-000,,
-1331281,-1922139,hypsographic,"Piton de la Ravine des Cafres","Piton de la Ravine des Cafres",official,-21.2,55.366667,RE-000,,
-1331377,-1922274,hypsographic,"Piton de Sainte-Rose","Piton de Sainte-Rose",official,-21.199455,55.73079,RE-000,,
-1331365,-1922256,hydrographic,"Rivière de Saint Denis","Riviere de Saint Denis",variant,-20.875526,55.444118,RE-000,,
-1331463,-1922392,hypsographic,"Terre Carrère","Terre Carrere",official,-21.079821,55.685907,RE-000,,
-1331385,-1922285,hydrographic,"Rivière de Saint Etienne","Riviere de Saint Etienne",variant,-21.302077,55.40278,RE-000,,
-1331238,-1922084,hydrographic,"Ravine du Piton Rond","Ravine du Piton Rond",official,-21.193053,55.693975,RE-000,,
-1331242,-1922088,hypsographic,"Piton de la Plaine des Cafres","Piton de la Plaine des Cafres",official,-21.133419,55.572704,RE-000,,
-1331327,18890211,settlement,"Rivière du Mât les Hauts","Riviere du Mat les Hauts",official,-20.975643,55.647489,RE-000,,
-1331421,-1922336,settlement,"Saline-les Hauts","Saline-les Hauts",official,-21.092626,55.305531,RE-000,,
-1331270,-1922127,settlement,"Ravine à Marquet","Ravine a Marquet",official,-20.95,55.333333,RE-000,,
-1331333,-1922216,hydrographic,"Ravine Rochefort","Ravine Rochefort",official,-21.36537,55.724406,RE-000,,
-1331292,18888065,settlement,"La Ravine Glissante","La Ravine Glissante",official,-21.138109,55.806629,RE-000,,
-1331066,-1921865,hypsographic,"Cirque de Mafatte","Cirque de Mafatte",variant,-21.053263,55.424933,RE-000,,
-1331113,-1921917,hydrographic,"Ravine de la Mare Longue","Ravine de la Mare Longue",official,-21.35,55.75,RE-000,,
-1331054,-1921850,hypsographic,"Plaine des Lianes","Plaine des Lianes",official,-21.016667,55.75,RE-000,,
-1331376,-1922273,hypsographic,"Brûlé de Sainte-Rose","Brule de Sainte-Rose",official,-21.143638,55.77125,RE-000,,
-1331219,-1922324,hydrographic,"Ravine Saint Pierre","Ravine Saint Pierre",variant,-21.08287,55.749917,RE-000,,
-1331405,-1922312,settlement,Saint-Paul,Saint-Paul,official,-21.009607,55.271336,RE-000,,
-1331014,-1921800,settlement,"Le Rond","Le Rond",official,-21.316272,55.60681,RE-000,,
-1331161,18875138,settlement,"Mont Vert les Bas","Mont Vert les Bas",official,-21.332472,55.530328,RE-000,,
-1331359,-1922249,settlement,Saint-Benoît,Saint-Benoit,official,-21.037952,55.715461,RE-000,,
-1331132,-1921941,hydrographic,"Petit Bras Massard","Petit Bras Massard",official,-21.057341,55.680631,RE-000,,
-1331038,-1921831,hypsographic,"Les Trois Chameaux","Les Trois Chameaux",official,-21.074874,55.217808,RE-000,,
-1331141,-1921952,hydrographic,"Bras des Merles","Bras des Merles",official,-20.998073,55.397719,RE-000,,
-1331420,-1922337,hydrographic,"Ravine des Salines","Ravine des Salines",variant,-21.090316,55.239353,RE-000,,
-1331498,-1922440,hypsographic,"Piton de Villers","Piton de Villers",official,-21.190309,55.573436,RE-000,,
-1331211,-1922047,hydrographic,"Ravine de la Petite Île","Ravine de la Petite Ile",variant,-21.374135,55.567667,RE-000,,
-1331317,18912405,hypsographic,"Piton Défaud","Piton Defaud",official,-20.962518,55.307418,RE-000,,
-1331232,-1922076,hydrographic,"Grand Bras Piton","Grand Bras Piton",official,-21.099105,55.678413,RE-000,,
-1331416,-1922329,settlement,Salazie,Salazie,official,-21.027098,55.539502,RE-000,,
-1331346,-1922231,hypsographic,"Cratère Rouge","Cratere Rouge",official,-21.233333,55.733333,RE-000,,
-1331332,-1922215,hydrographic,"Ravine de la Roche à Jacquot","Ravine de la Roche a Jacquot",official,-21.028317,55.492901,RE-000,,
-1331207,-1922039,hypsographic,"Petit Bénard","Petit Benard",variant,-21.144826,55.405422,RE-000,,
-1331342,-1922227,hypsographic,"Rond des Chevrons","Rond des Chevrons",official,-21.150173,55.510036,RE-000,,
-1331156,-1921970,hypsographic,Montause,Montause,official,-21.185746,55.3289,RE-000,,
-1331257,-1922108,hydrographic,"Ravine du Portail","Ravine du Portail",official,-21.217402,55.288965,RE-000,,
-1331222,-1922061,hypsographic,"Cap Picard","Cap Picard",official,-20.983333,55.55,RE-000,,
-1331161,-1922435,settlement,"Village de Montvert","Village de Montvert",variant,-21.332472,55.530328,RE-000,,
-1331260,-1922115,hydrographic,"Mare à Poule d’Eau","Mare a Poule d'Eau",official,-21.051232,55.525836,RE-000,,
-1331314,18892411,hypsographic,"Pointe du Parc","Pointe du Parc",official,-21.351042,55.484674,RE-000,,
-1331195,-1922023,hydrographic,"Rivière Patates à Durand","Riviere Patates a Durand",variant,-20.883508,55.467452,RE-000,,
-1331396,-1922302,settlement,"Saint-Gilles-les Hauts","Saint-Gilles-les Hauts",variant,-21.050203,55.269995,RE-000,,
-1331127,-1921933,hydrographic,"Rivière des Marsouins","Riviere des Marsouins",official,-21.101021,55.585228,RE-000,,
-1331208,-1922044,hypsographic,"Petite Île","Petite Ile",official,-21.376391,55.568063,RE-000,,
-1331462,-1922391,hypsographic,"Pointe Terre","Pointe Terre",official,-21.166667,55.383333,RE-000,,
-1331042,-1922426,settlement,Vacoas,Vacoas,variant,-21.316667,55.8,RE-000,,
-1331170,-1921986,spot,"Caverne Mussard","Caverne Mussard",official,-21.094964,55.510302,RE-000,,
-1331491,18889309,settlement,L’Union,L'Union,official,-20.999681,55.67236,RE-000,,
-1331280,18891780,settlement,"La Ravine des Cabris","La Ravine des Cabris",official,-21.286117,55.470099,RE-000,,
-1331101,-1921903,hydrographic,"Ravine la Mare","Ravine la Mare",variant,-20.890353,55.529763,RE-000,,
-1331051,-1921845,settlement,L’Hermitage,L'Hermitage,variant,-21.081759,55.227801,RE-000,,
-1331081,-1921880,settlement,"Maison Payet","Maison Payet",official,-20.966667,55.633333,RE-000,,
-1331349,-1922234,hypsographic,"Pointe Rouge","Pointe Rouge",official,-21.174793,55.833966,RE-000,,
-1331195,-1922021,hydrographic,"Ravine Patates à Durand","Ravine Patates a Durand",variant,-20.883508,55.467452,RE-000,,
-1331401,-1922308,settlement,Saint-Leu,Saint-Leu,official,-21.170589,55.288236,RE-000,,
-1331449,-1922373,hypsographic,"Pointe de la Table","Pointe de la Table",official,-21.331185,55.808122,RE-000,,
-1331073,-1921872,hypsographic,"Piton Maillot","Piton Maillot",official,-21.03847,55.507145,RE-000,,
-1331075,-1921874,settlement,"Maison Henou","Maison Henou",official,-21.149497,55.597821,RE-000,,
-1331278,18875595,hypsographic,"La Porte","La Porte",official,-21.349868,55.796705,RE-000,,
-1331451,-1922376,settlement,Takamaka,Takamaka,official,-21.317855,55.800941,RE-000,,
-1331444,-1922367,settlement,"Stella Matutina","Stella Matutina",variant,-21.20201,55.295949,RE-000,,
-1331261,-1922117,hydrographic,"Ravine du Premier Bras","Ravine du Premier Bras",official,-20.883251,55.497384,RE-000,,
-1331355,18875597,hypsographic,"Quai d’Henri Dalleau","Quai d'Henri Dalleau",official,-21.360501,55.782388,RE-000,,
-1331497,-1922070,settlement,Piton,Piton,variant,-21.219678,55.310953,RE-000,,
-1331114,-1921918,settlement,Marepine,Marepine,official,-20.888499,55.518441,RE-000,,
-1331504,-1922448,settlement,"Vue Belle","Vue Belle",official,-21.07884,55.275002,RE-000,,
-1331199,-1922028,hydrographic,"Ravine Patience","Ravine Patience",official,-21.149441,55.447963,RE-000,,
-1331231,-1922073,hydrographic,"Bras Piton","Bras Piton",official,-21.01607,55.613069,RE-000,,
-1331176,-1921993,hypsographic,"Piton Noir","Piton Noir",official,-21.3,55.733333,RE-000,,
-1331160,-1921978,hypsographic,"Piton Monvert","Piton Monvert",variant,-21.327574,55.538502,RE-000,,
-1331119,-1921923,hypsographic,"Piton Marmite","Piton Marmite",official,-20.975342,55.470524,RE-000,,
-1331089,-1921888,hypsographic,"Pitons Manapany","Pitons Manapany",official,-21.364801,55.591301,RE-000,,
-1331314,-1922188,hypsographic,"Pointe de la Rivière Arbord","Pointe de la Riviere Arbord",variant,-21.351042,55.484674,RE-000,,
-1331299,-1922162,hypsographic,"Piton de Reinette","Piton de Reinette",variant,-21.274604,55.346489,RE-000,,
-1331115,-1921928,hypsographic,"Brulé Marron","Brule Marron",variant,-21.147647,55.471398,RE-000,,
-1331245,-1922093,settlement,Plate,Plate,variant,-21.204478,55.333715,RE-000,,
-1331325,-1922206,hypsographic,"Pointe de la Rivière du Mât","Pointe de la Riviere du Mat",official,-20.979235,55.700982,RE-000,,
-1331219,-1922325,hydrographic,"Rivière Saint Pierre","Riviere Saint Pierre",variant,-21.08287,55.749917,RE-000,,
-1331310,-1921711,hypsographic,"La Réunion","La Reunion",official,-21.1,55.6,RE-000,,
-1331324,-1922204,hypsographic,"Pointe de la Rivière des Roches","Pointe de la Riviere des Roches",official,-20.983333,55.7,RE-000,,
-1331159,18875249,hydrographic,"Bras de Mont Vert","Bras de Mont Vert",official,-21.324452,55.528586,RE-000,,
-1331137,-1921947,hypsographic,"Coteau Mazarin","Coteau Mazarin",official,-21.075128,55.55228,RE-000,,
-1331295,-1922157,settlement,"Ravine Martin","Ravine Martin",official,-21.166667,55.45,RE-000,,
-1331426,-1922342,hypsographic,"Piton Sartave","Piton Sartave",official,-20.956245,55.397606,RE-000,,
-1331492,-1922428,hypsographic,"Piton Véra","Piton Vera",official,-21.116667,55.366667,RE-000,,
-1331063,-1921859,hypsographic,"Piton Long","Piton Long",official,-21.15,55.366667,RE-000,,
-1331084,-1921883,hypsographic,"Plaine des Makes","Plaine des Makes",official,-21.200465,55.416915,RE-000,,
-1331272,-1922129,settlement,"Ravine Blanche","Ravine Blanche",variant,-21.337066,55.460532,RE-000,,
-1331157,-1921971,hydrographic,"Ruisseau Montplaisir","Ruisseau Montplaisir",official,-20.891537,55.45893,RE-000,,
-1331327,-1922209,settlement,"Rivière du Mât Usine","Riviere du Mat Usine",variant,-20.975643,55.647489,RE-000,,
-1331456,-1922384,hydrographic,"Ravine du Tampon","Ravine du Tampon",official,-21.265895,55.554444,RE-000,,
-1331277,18874241,settlement,"Ravine Ango","Ravine Ango",official,-21.349793,55.791054,RE-000,,
-1331200,-1922029,hypsographic,"Piton Patu de Rosemont","Piton Patu de Rosemont",official,-21.176778,55.598544,RE-000,,
-1331483,-1922416,hypsographic,"Piton des Trois Mares","Piton des Trois Mares",official,-21.102381,55.548875,RE-000,,
-1331479,-1922412,settlement,Trinité,Trinite,official,-21.333333,55.766667,RE-000,,
-1331497,-1922436,settlement,"Village du Piton","Village du Piton",variant,-21.219678,55.310953,RE-000,,
-1331236,-1922082,hydrographic,"Ravine du Piton","Ravine du Piton",variant,-21.147868,55.826369,RE-000,,
-1331455,-1922382,hypsographic,"Plaine des Tamarins","Plaine des Tamarins",official,-21.081442,55.443751,RE-000,,
-1331274,-1922132,hypsographic,"Pointe de la Ravine Blanche","Pointe de la Ravine Blanche",official,-21.337904,55.456415,RE-000,,
-1331283,18875142,settlement,"La Ravine des Cafres les Hauts","La Ravine des Cafres les Hauts",official,-21.337336,55.518707,RE-000,,
-1331485,-1922418,settlement,"Trois Mares-les Hauts","Trois Mares-les Hauts",variant,-21.244103,55.512805,RE-000,,
-1331330,-1922213,settlement,"Rivière Saint-Pierre","Riviere Saint-Pierre",official,-21.083333,55.733333,RE-000,,
-1331219,-1922058,hydrographic,"Ravine du Petit Saint-Pierre","Ravine du Petit Saint-Pierre",official,-21.08287,55.749917,RE-000,,
-1331447,-1922370,hydrographic,"Bras Tabac","Bras Tabac",official,-21.083333,55.616667,RE-000,,
-1331150,-1921962,settlement,"M. Lamotte","M. Lamotte",official,-20.983333,55.666667,RE-000,,
-1331490,-1922423,hypsographic,"Piton des Trous Blancs","Piton des Trous Blancs",official,-21.166667,55.6,RE-000,,
-1331393,-1922298,hydrographic,"Bras Saint-Gilles","Bras Saint-Gilles",official,-21.033333,55.283333,RE-000,,
-1331028,-1921815,settlement,"Les Jacques","Les Jacques",official,-21.070834,55.701527,RE-000,,
-1331298,18874282,hypsographic,"Puys Ramond","Puys Ramond",official,-21.294255,55.70295,RE-000,,
-1331027,-1921813,hypsographic,"Les Deux Mamelles","Les Deux Mamelles",official,-21.078151,55.619853,RE-000,,
-1331396,18891401,settlement,"Saint-Gilles les Hauts","Saint-Gilles les Hauts",official,-21.050203,55.269995,RE-000,,
-1331230,-1922072,hydrographic,"Bras Piton","Bras Piton",official,-21.03044,55.5887,RE-000,,
-1331098,-1921899,hypsographic,"Piton Maravalavou","Piton Maravalavou",official,-21.166667,55.6,RE-000,,
-1331108,-1921911,hypsographic,"Piton de la Mare d’Arzule","Piton de la Mare d'Arzule",variant,-21.337186,55.7646,RE-000,,
-1331434,-1922351,hydrographic,"Ravine Sèche","Ravine Seche",official,-21.033333,55.5,RE-000,,
-1331067,-1921864,settlement,Mafatte,Mafatte,official,-21.061408,55.417468,RE-000,,
-1331180,-1921997,hypsographic,"Coteau des Orangers","Coteau des Orangers",official,-21.140651,55.440713,RE-000,,
-1331057,18891775,settlement,"La Ligne des Bambous","La Ligne des Bambous",official,-21.299468,55.490492,RE-000,,
-1331319,-1922196,hypsographic,"Piton Rivière des Marsouins","Piton Riviere des Marsouins",official,-21.116667,55.566667,RE-000,,
-1331263,-1922119,settlement,Quartier-Français,Quartier-Francais,variant,-20.929035,55.635239,RE-000,,
-1331263,18890199,settlement,"Quartier Français","Quartier Francais",official,-20.929035,55.635239,RE-000,,
-1331398,-1922304,hydrographic,"Petite Rivière Saint-Jean","Petite Riviere Saint-Jean",official,-20.926461,55.629809,RE-000,,
-1331390,18887605,hypsographic,"Morne de Saint-François","Morne de Saint-Francois",official,-21.137184,55.649425,RE-000,,
-1331249,-1922091,hypsographic,"Piton Plat","Piton Plat",variant,-20.990683,55.45213,RE-000,,
-1331395,-1922297,settlement,"Saint Gilles","Saint Gilles",variant,-21.052031,55.225708,RE-000,,
-1331037,-1921830,hypsographic,"Les Trois Bras","Les Trois Bras",official,-21.152313,55.728707,RE-000,,
-1331438,-1922357,hypsographic,"Piton Sec Patates","Piton Sec Patates",official,-20.926638,55.449544,RE-000,,
-1331475,-1922408,hydrographic,"Ravine du Tremblet","Ravine du Tremblet",official,-21.292857,55.804468,RE-000,,
-1331280,-1922138,settlement,"Ravine des Cabris","Ravine des Cabris",variant,-21.286117,55.470099,RE-000,,
-1331183,-1922004,hypsographic,Osmondes,Osmondes,variant,-21.213319,55.745413,RE-000,,
-1331015,-1922239,settlement,Ruisseau,Ruisseau,variant,-21.258634,55.438964,RE-000,,
-1331391,-1922293,hydrographic,"Premier Bras Saint-François","Premier Bras Saint-Francois",official,-21.083333,55.683333,RE-000,,
