wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2181089,-3018058,administrative_region,Shangugu,Shangugu,variant,-2.5,29.166667,RW-000,1,
-2181185,-3016323,administrative_region,"Prefegitura ya Gisenyi","Prefegitura ya Gisenyi",official,-1.75,29.5,RW-000,1,
-2181355,-3016691,administrative_region,"Prefegitura ya Kibuye","Prefegitura ya Kibuye",official,-2.166667,29.416667,RW-000,1,
-2181907,-3017825,administrative_region,"Préfecture de Ruhengeri","Prefecture de Ruhengeri",official,-1.583333,29.666667,RW-000,1,
-2180310,-3015326,administrative_region,"Prefegitura ya Butare","Prefegitura ya Butare",official,-2.583333,29.583333,RW-000,1,
-2180310,-3015325,administrative_region,"Préfecture de Butare","Prefecture de Butare",official,-2.583333,29.583333,RW-000,1,
-2180297,-3015297,administrative_region,"Préfecture de Byumba","Prefecture de Byumba",official,-1.5,30.166667,RW-000,1,
-2181360,-3016703,administrative_region,"Prefegitura ya Kigali","Prefegitura ya Kigali",official,-2,29.666667,RW-000,1,
-2181178,-3016304,administrative_region,"Préfecture de Gikongoro","Prefecture de Gikongoro",official,-2.5,29.5,RW-000,1,
-2181352,-3016685,administrative_region,Kibungu,Kibungu,variant,-2,30.583333,RW-000,1,
-2181200,-3016350,administrative_region,"Préfecture de Gitarama","Prefecture de Gitarama",official,-2,29.583333,RW-000,1,
-2181089,-3016124,administrative_region,"Prefegitura ya Cyangugu","Prefegitura ya Cyangugu",official,-2.5,29.166667,RW-000,1,
-2180297,-3015200,administrative_region,Biumba,Biumba,variant,-1.5,30.166667,RW-000,1,
-2181185,-3016807,administrative_region,Kisenyi,Kisenyi,variant,-1.75,29.5,RW-000,1,
-2181089,-3016123,administrative_region,"Préfecture de Cyangugu","Prefecture de Cyangugu",official,-2.5,29.166667,RW-000,1,
-2181178,-3016305,administrative_region,"Prefegitura ya Gikongoro","Prefegitura ya Gikongoro",official,-2.5,29.5,RW-000,1,
-2180310,-3015129,administrative_region,Astrida,Astrida,variant,-2.583333,29.583333,RW-000,1,
-2181185,-3016322,administrative_region,"Préfecture de Gisenyi","Prefecture de Gisenyi",official,-1.75,29.5,RW-000,1,
-2181907,-3017826,administrative_region,"Prefegitura ya Ruhengeri","Prefegitura ya Ruhengeri",official,-1.583333,29.666667,RW-000,1,
-2181352,-3016684,administrative_region,"Prefegitura ya Kibunga","Prefegitura ya Kibunga",variant,-2,30.583333,RW-000,1,
-2180297,-3015298,administrative_region,"Prefegitura ya Byumba","Prefegitura ya Byumba",official,-1.5,30.166667,RW-000,1,
-2181352,9318868,administrative_region,"Prefegitura ya Kibungo","Prefegitura ya Kibungo",official,-2,30.583333,RW-000,1,
-2181200,-3016351,administrative_region,"Prefegitura ya Gitarama","Prefegitura ya Gitarama",official,-2,29.583333,RW-000,1,
-2181352,-3016683,administrative_region,"Préfecture de Kibungo","Prefecture de Kibungo",official,-2,30.583333,RW-000,1,
-2181355,-3016690,administrative_region,"Préfecture de Kibuye","Prefecture de Kibuye",official,-2.166667,29.416667,RW-000,1,
-2181178,-3017640,administrative_region,Nyanza,Nyanza,variant,-2.5,29.5,RW-000,1,
-2181360,-3016702,administrative_region,"Préfecture de Kigali","Prefecture de Kigali",official,-2,29.666667,RW-000,1,
-2181186,-3016324,settlement,Gisera,Gisera,short,-2.150556,30.478056,RW-02,,
-2181327,-3016633,settlement,Kayenzi,Kayenzi,official,-1.906112,29.846458,RW-05,,
-2181697,-3017387,hydrographic,Mweso,Mweso,variant,-2.0973,30.1346,RW-02,,
-2181386,-3016762,hydrographic,Kintobo,Kintobo,official,-2.579444,29.443056,RW-05,,
-2181879,-3017766,settlement,Rucunda,Rucunda,official,-2.3352,29.4345,RW-05,,
-2181662,-3017300,park,Musasa,Musasa,short,-1.916667,29.85,RW-05,,
-2181901,-3017813,hydrographic,Ruhanga,Ruhanga,official,-1.7485,29.5228,RW-04,,
